time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969668.0,0.0,0.0
2020-03-07,0.0,1.0,2.0,0.0,0.0,973168.0,1.0,1.0
2020-03-08,0.0,0.0,1.0,0.0,1.0,980370.0,1.0,0.0
2020-03-09,4.0,0.0,0.0,1.0,1.0,986974.0,1.0,0.0
2020-03-10,1.0,1.0,1.0,0.0,1.0,992980.0,3.0,2.0
2020-03-11,3.0,0.0,2.0,0.0,0.0,996390.0,3.0,0.0
2020-03-12,4.0,0.0,2.0,1.0,0.0,1001605.0,4.0,1.0
2020-03-13,4.0,1.0,1.0,1.0,1.0,1002946.0,5.0,1.0
2020-03-14,5.0,1.0,1.0,0.0,1.0,1005373.0,6.0,1.0
2020-03-15,5.0,1.0,0.0,0.0,2.0,1005335.0,7.0,1.0
2020-03-16,5.0,1.0,0.0,0.0,3.0,1007228.0,7.0,0.0
2020-03-17,5.0,3.0,1.0,0.0,4.0,1007638.0,9.0,2.0
2020-03-18,7.0,3.0,3.0,0.0,3.0,1008596.0,11.0,2.0
2020-03-19,12.0,2.0,1.0,1.0,4.0,1009775.0,11.0,0.0
2020-03-20,6.0,1.0,2.0,0.0,6.0,1011402.0,12.0,1.0
2020-03-21,10.0,1.0,4.0,0.0,4.0,1013203.0,14.0,2.0
2020-03-22,11.0,0.0,2.0,2.0,4.0,1014156.0,14.0,0.0
2020-03-23,16.0,2.0,2.0,1.0,4.0,1013558.0,16.0,2.0
2020-03-24,12.0,1.0,1.0,2.0,7.0,1013253.0,16.0,0.0
2020-03-25,15.0,1.0,1.0,1.0,7.0,1012360.0,17.0,1.0
2020-03-26,17.0,4.0,1.0,1.0,9.0,1013936.0,20.0,3.0
2020-03-27,21.0,2.0,5.0,1.0,14.0,1013623.0,22.0,2.0
2020-03-28,21.0,3.0,4.0,0.0,12.0,1014300.0,25.0,3.0
2020-03-29,21.0,4.0,2.0,0.0,14.0,1015944.0,29.0,4.0
2020-03-30,25.0,4.0,3.0,2.0,12.0,1016597.0,32.0,3.0
2020-03-31,30.0,4.0,7.0,1.0,14.0,1015985.0,34.0,2.0
2020-04-01,26.0,5.0,6.0,8.0,17.0,1016499.0,40.0,6.0
2020-04-02,49.0,3.0,10.0,5.0,24.0,1017514.0,43.0,3.0
2020-04-03,64.0,13.0,6.0,3.0,22.0,1016967.0,54.0,11.0
2020-04-04,73.0,14.0,7.0,6.0,24.0,1016491.0,65.0,11.0
2020-04-05,81.0,12.0,13.0,6.0,32.0,1018226.0,78.0,13.0
2020-04-06,94.0,21.0,13.0,10.0,42.0,1017988.0,96.0,18.0
2020-04-07,95.0,23.0,22.0,16.0,48.0,1017977.0,118.0,22.0
2020-04-08,121.0,22.0,15.0,16.0,64.0,1018646.0,135.0,17.0
2020-04-09,146.0,32.0,16.0,19.0,80.0,1017780.0,156.0,21.0
2020-04-10,182.0,32.0,29.0,18.0,89.0,1018537.0,177.0,21.0
2020-04-11,235.0,49.0,40.0,18.0,99.0,1017632.0,218.0,41.0
2020-04-12,268.0,58.0,38.0,31.0,111.0,1017931.0,275.0,57.0
2020-04-13,306.0,67.0,39.0,44.0,131.0,1018380.0,333.0,58.0
2020-04-14,348.0,78.0,52.0,48.0,154.0,1017763.0,397.0,64.0
2020-04-15,440.0,98.0,77.0,59.0,170.0,1017687.0,472.0,75.0
2020-04-16,557.0,143.0,83.0,73.0,209.0,1019081.0,571.0,99.0
2020-04-17,682.0,149.0,120.0,93.0,288.0,1018210.0,673.0,102.0
2020-04-18,845.0,177.0,146.0,109.0,362.0,1017801.0,825.0,152.0
2020-04-19,1060.0,185.0,171.0,130.0,420.0,1017315.0,982.0,157.0
2020-04-20,1242.0,233.0,217.0,150.0,529.0,1017033.0,1178.0,196.0
2020-04-21,1471.0,311.0,217.0,181.0,616.0,1016481.0,1408.0,230.0
2020-04-22,1767.0,409.0,304.0,225.0,732.0,1014420.0,1746.0,338.0
2020-04-23,2193.0,472.0,366.0,281.0,903.0,1015307.0,2117.0,371.0
2020-04-24,2723.0,611.0,440.0,318.0,1148.0,1015206.0,2593.0,476.0
2020-04-25,3277.0,689.0,556.0,415.0,1364.0,1013344.0,3136.0,543.0
2020-04-26,4032.0,844.0,682.0,480.0,1630.0,1012122.0,3771.0,635.0
2020-04-27,4888.0,980.0,847.0,612.0,1963.0,1010744.0,4585.0,814.0
2020-04-28,5751.0,1218.0,943.0,757.0,2343.0,1009737.0,5562.0,977.0
2020-04-29,6812.0,1376.0,1186.0,844.0,2793.0,1008063.0,6721.0,1159.0
2020-04-30,8098.0,1729.0,1297.0,1036.0,3395.0,1005258.0,8087.0,1366.0
2020-05-01,9699.0,2111.0,1555.0,1289.0,4101.0,1002661.0,9732.0,1645.0
2020-05-02,11846.0,2501.0,1884.0,1503.0,5052.0,998621.0,11678.0,1946.0
2020-05-03,14107.0,2986.0,2392.0,1772.0,6117.0,994920.0,14043.0,2365.0
2020-05-04,17071.0,3455.0,2893.0,2134.0,7394.0,989691.0,16758.0,2715.0
2020-05-05,20512.0,4240.0,3384.0,2566.0,8918.0,983071.0,20069.0,3311.0
2020-05-06,24339.0,5190.0,4001.0,3029.0,10707.0,975382.0,24223.0,4154.0
2020-05-07,28715.0,6197.0,4868.0,3591.0,12849.0,966354.0,29153.0,4930.0
2020-05-08,34374.0,7258.0,5803.0,4468.0,15400.0,954703.0,34870.0,5717.0
2020-05-09,40752.0,8919.0,6791.0,5232.0,18595.0,943389.0,41856.0,6986.0
2020-05-10,48284.0,10460.0,8205.0,6141.0,22167.0,928466.0,49857.0,8001.0
2020-05-11,57271.0,12222.0,9604.0,7577.0,26693.0,910335.0,59397.0,9540.0
2020-05-12,66882.0,14681.0,11413.0,8894.0,32056.0,888729.0,70806.0,11409.0
2020-05-13,78594.0,17170.0,13845.0,10663.0,38672.0,865337.0,84208.0,13402.0
2020-05-14,91154.0,20023.0,16180.0,12735.0,46256.0,837918.0,99713.0,15505.0
2020-05-15,105875.0,23529.0,18838.0,14944.0,55332.0,806527.0,117764.0,18051.0
2020-05-16,121120.0,27329.0,21879.0,17643.0,65653.0,771373.0,138713.0,20949.0
