time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,971018.0,0.0,0.0
2020-03-07,3.0,3.0,0.0,0.0,0.0,973117.0,0.0,0.0
2020-03-08,5.0,0.0,2.0,0.0,0.0,981555.0,1.0,1.0
2020-03-09,4.0,1.0,1.0,1.0,0.0,987060.0,2.0,1.0
2020-03-10,4.0,0.0,1.0,1.0,1.0,992552.0,2.0,0.0
2020-03-11,4.0,0.0,1.0,0.0,1.0,996967.0,2.0,0.0
2020-03-12,4.0,0.0,0.0,0.0,1.0,1001039.0,2.0,0.0
2020-03-13,3.0,0.0,1.0,1.0,1.0,1002277.0,3.0,1.0
2020-03-14,4.0,4.0,1.0,0.0,1.0,1004866.0,6.0,3.0
2020-03-15,7.0,1.0,1.0,1.0,1.0,1005987.0,6.0,0.0
2020-03-16,12.0,1.0,1.0,0.0,2.0,1007012.0,7.0,1.0
2020-03-17,8.0,0.0,3.0,0.0,1.0,1009564.0,8.0,1.0
2020-03-18,8.0,0.0,1.0,1.0,1.0,1010386.0,8.0,0.0
2020-03-19,7.0,0.0,0.0,0.0,1.0,1011489.0,8.0,0.0
2020-03-20,10.0,1.0,0.0,0.0,2.0,1013317.0,9.0,1.0
2020-03-21,10.0,3.0,1.0,1.0,1.0,1012860.0,12.0,3.0
2020-03-22,11.0,1.0,2.0,0.0,1.0,1012193.0,13.0,1.0
2020-03-23,8.0,3.0,3.0,1.0,2.0,1012188.0,16.0,3.0
2020-03-24,8.0,2.0,2.0,1.0,5.0,1012820.0,17.0,1.0
2020-03-25,11.0,3.0,2.0,3.0,4.0,1013259.0,20.0,3.0
2020-03-26,14.0,2.0,1.0,3.0,8.0,1014455.0,22.0,2.0
2020-03-27,26.0,3.0,3.0,2.0,11.0,1015804.0,25.0,3.0
2020-03-28,23.0,8.0,2.0,3.0,9.0,1015868.0,31.0,6.0
2020-03-29,37.0,5.0,3.0,1.0,18.0,1014760.0,34.0,3.0
2020-03-30,31.0,2.0,7.0,0.0,25.0,1015032.0,39.0,5.0
2020-03-31,46.0,7.0,7.0,4.0,25.0,1015742.0,44.0,5.0
2020-04-01,70.0,11.0,7.0,10.0,22.0,1015529.0,51.0,7.0
2020-04-02,68.0,15.0,8.0,12.0,36.0,1015544.0,62.0,11.0
2020-04-03,99.0,23.0,11.0,10.0,50.0,1016318.0,77.0,15.0
2020-04-04,100.0,22.0,14.0,12.0,58.0,1014908.0,98.0,21.0
2020-04-05,141.0,16.0,23.0,14.0,58.0,1015606.0,111.0,13.0
2020-04-06,167.0,28.0,23.0,21.0,69.0,1016370.0,135.0,24.0
2020-04-07,183.0,49.0,16.0,31.0,82.0,1016519.0,171.0,36.0
2020-04-08,225.0,52.0,31.0,30.0,99.0,1017271.0,209.0,38.0
2020-04-09,227.0,50.0,31.0,36.0,115.0,1017048.0,253.0,44.0
2020-04-10,274.0,59.0,43.0,36.0,148.0,1018620.0,298.0,45.0
2020-04-11,339.0,75.0,56.0,50.0,178.0,1017691.0,362.0,64.0
2020-04-12,436.0,96.0,65.0,58.0,200.0,1017145.0,442.0,80.0
2020-04-13,536.0,109.0,93.0,58.0,267.0,1017889.0,530.0,88.0
2020-04-14,617.0,123.0,95.0,60.0,282.0,1019954.0,632.0,102.0
2020-04-15,756.0,154.0,110.0,71.0,312.0,1018476.0,744.0,112.0
