time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970241.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,972188.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,1.0,979380.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,1.0,986378.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,1.0,991724.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,1.0,996358.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,999989.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002962.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1006671.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,0.0,1008348.0,0.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1009536.0,0.0,0.0
2020-03-17,2.0,2.0,0.0,0.0,2.0,1008633.0,0.0,0.0
2020-03-18,6.0,2.0,0.0,0.0,2.0,1010829.0,1.0,1.0
2020-03-19,11.0,5.0,0.0,0.0,4.0,1012607.0,4.0,3.0
2020-03-20,8.0,2.0,1.0,1.0,4.0,1012117.0,4.0,0.0
2020-03-21,8.0,1.0,2.0,0.0,3.0,1012202.0,5.0,1.0
2020-03-22,5.0,0.0,2.0,0.0,4.0,1012467.0,5.0,0.0
2020-03-23,6.0,0.0,3.0,0.0,2.0,1013558.0,5.0,0.0
2020-03-24,9.0,0.0,2.0,1.0,3.0,1014203.0,5.0,0.0
2020-03-25,11.0,1.0,0.0,1.0,5.0,1014660.0,6.0,1.0
2020-03-26,21.0,2.0,2.0,1.0,6.0,1015584.0,8.0,2.0
2020-03-27,17.0,3.0,2.0,2.0,7.0,1015958.0,13.0,5.0
2020-03-28,17.0,1.0,2.0,1.0,8.0,1015374.0,14.0,1.0
2020-03-29,12.0,0.0,4.0,2.0,11.0,1015576.0,14.0,0.0
2020-03-30,18.0,3.0,1.0,7.0,8.0,1016226.0,16.0,2.0
2020-03-31,25.0,6.0,4.0,3.0,11.0,1016546.0,24.0,8.0
2020-04-01,34.0,5.0,6.0,3.0,18.0,1016196.0,29.0,5.0
2020-04-02,41.0,2.0,7.0,6.0,18.0,1016286.0,34.0,5.0
2020-04-03,42.0,12.0,8.0,8.0,20.0,1017761.0,47.0,13.0
2020-04-04,53.0,12.0,10.0,7.0,20.0,1017584.0,52.0,5.0
2020-04-05,67.0,9.0,11.0,6.0,21.0,1017229.0,58.0,6.0
2020-04-06,83.0,19.0,11.0,7.0,33.0,1017347.0,70.0,12.0
2020-04-07,109.0,26.0,15.0,12.0,30.0,1017259.0,95.0,25.0
2020-04-08,119.0,28.0,22.0,7.0,43.0,1017561.0,119.0,24.0
2020-04-09,169.0,33.0,26.0,22.0,50.0,1018256.0,145.0,26.0
2020-04-10,197.0,51.0,32.0,24.0,56.0,1020056.0,185.0,40.0
2020-04-11,249.0,42.0,44.0,21.0,70.0,1018773.0,212.0,27.0
2020-04-12,290.0,59.0,53.0,35.0,100.0,1019191.0,267.0,55.0
2020-04-13,351.0,73.0,46.0,41.0,138.0,1019566.0,313.0,46.0
2020-04-14,397.0,88.0,57.0,55.0,171.0,1018579.0,383.0,70.0
2020-04-15,463.0,79.0,78.0,59.0,201.0,1021290.0,449.0,66.0
