time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970411.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,1.0,0.0,972452.0,0.0,0.0
2020-03-08,4.0,0.0,0.0,1.0,1.0,979216.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,2.0,986173.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,3.0,991053.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,997124.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,3.0,1000626.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1004133.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,1.0,1006182.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1007678.0,0.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,2.0,1008947.0,0.0,0.0
2020-03-17,2.0,2.0,0.0,1.0,1.0,1011064.0,2.0,2.0
2020-03-18,3.0,0.0,0.0,1.0,2.0,1012512.0,2.0,0.0
2020-03-19,2.0,0.0,1.0,1.0,3.0,1014063.0,2.0,0.0
2020-03-20,5.0,0.0,1.0,1.0,4.0,1013841.0,3.0,1.0
2020-03-21,5.0,1.0,1.0,1.0,4.0,1014582.0,4.0,1.0
2020-03-22,2.0,2.0,1.0,0.0,7.0,1015225.0,5.0,1.0
2020-03-23,6.0,3.0,2.0,2.0,5.0,1015015.0,6.0,1.0
2020-03-24,14.0,1.0,4.0,1.0,6.0,1016445.0,8.0,2.0
2020-03-25,19.0,5.0,5.0,2.0,8.0,1015661.0,12.0,4.0
2020-03-26,26.0,7.0,3.0,4.0,10.0,1016254.0,17.0,5.0
2020-03-27,26.0,4.0,4.0,1.0,13.0,1016239.0,20.0,3.0
2020-03-28,18.0,7.0,4.0,4.0,15.0,1015811.0,27.0,7.0
2020-03-29,46.0,12.0,6.0,11.0,21.0,1014905.0,34.0,7.0
2020-03-30,63.0,14.0,10.0,7.0,29.0,1014934.0,46.0,12.0
2020-03-31,76.0,15.0,11.0,10.0,29.0,1015514.0,50.0,4.0
2020-04-01,87.0,12.0,17.0,9.0,31.0,1015672.0,59.0,9.0
2020-04-02,82.0,27.0,20.0,14.0,34.0,1015967.0,84.0,25.0
2020-04-03,114.0,21.0,24.0,16.0,48.0,1016588.0,98.0,14.0
2020-04-04,132.0,27.0,23.0,20.0,55.0,1016701.0,121.0,23.0
2020-04-05,167.0,33.0,25.0,25.0,68.0,1016527.0,144.0,23.0
2020-04-06,189.0,41.0,36.0,22.0,73.0,1016107.0,177.0,33.0
2020-04-07,219.0,42.0,34.0,27.0,98.0,1015575.0,211.0,34.0
2020-04-08,259.0,44.0,37.0,36.0,105.0,1016078.0,241.0,30.0
2020-04-09,279.0,69.0,34.0,33.0,138.0,1016972.0,294.0,53.0
2020-04-10,314.0,75.0,56.0,42.0,143.0,1017043.0,353.0,59.0
2020-04-11,395.0,71.0,58.0,54.0,180.0,1017875.0,415.0,62.0
2020-04-12,503.0,108.0,69.0,61.0,211.0,1018178.0,489.0,74.0
2020-04-13,623.0,131.0,88.0,79.0,280.0,1018500.0,596.0,107.0
2020-04-14,740.0,165.0,114.0,89.0,325.0,1017710.0,736.0,140.0
2020-04-15,893.0,189.0,135.0,109.0,368.0,1018351.0,873.0,137.0
2020-04-16,1075.0,250.0,181.0,137.0,450.0,1016753.0,1065.0,192.0
2020-04-17,1309.0,256.0,230.0,178.0,548.0,1017035.0,1273.0,208.0
2020-04-18,1538.0,326.0,265.0,194.0,648.0,1016186.0,1544.0,271.0
2020-04-19,1891.0,364.0,322.0,249.0,768.0,1016056.0,1856.0,312.0
2020-04-20,2330.0,476.0,379.0,283.0,948.0,1015212.0,2246.0,390.0
2020-04-21,2745.0,598.0,439.0,332.0,1163.0,1013723.0,2702.0,456.0
2020-04-22,3191.0,718.0,543.0,401.0,1353.0,1014031.0,3289.0,587.0
2020-04-23,3912.0,823.0,675.0,493.0,1648.0,1014582.0,3912.0,623.0
2020-04-24,4746.0,1040.0,739.0,588.0,1973.0,1012808.0,4723.0,811.0
2020-04-25,5668.0,1186.0,877.0,739.0,2322.0,1010356.0,5648.0,925.0
2020-04-26,6814.0,1462.0,1075.0,847.0,2850.0,1007714.0,6796.0,1148.0
2020-04-27,8266.0,1762.0,1357.0,1007.0,3490.0,1006201.0,8166.0,1370.0
2020-04-28,9980.0,2122.0,1655.0,1257.0,4173.0,1002567.0,9863.0,1697.0
2020-04-29,11789.0,2489.0,1956.0,1461.0,5095.0,998847.0,11891.0,2028.0
2020-04-30,14088.0,3039.0,2350.0,1804.0,6048.0,995573.0,14309.0,2418.0
2020-05-01,16886.0,3512.0,2737.0,2194.0,7383.0,989908.0,17077.0,2768.0
2020-05-02,20060.0,4235.0,3356.0,2485.0,8808.0,983529.0,20473.0,3396.0
2020-05-03,23907.0,5064.0,3964.0,3084.0,10565.0,976458.0,24496.0,4023.0
