time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970718.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,1.0,973409.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,1.0,0.0,979869.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,0.0,986573.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,991257.0,0.0,0.0
2020-03-11,1.0,0.0,1.0,0.0,0.0,996398.0,0.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,1000159.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,1.0,0.0,1003113.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,2.0,1006068.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,2.0,1007315.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,1.0,2.0,1009202.0,0.0,0.0
2020-03-17,0.0,1.0,0.0,1.0,2.0,1008817.0,1.0,1.0
2020-03-18,2.0,1.0,0.0,1.0,2.0,1010152.0,1.0,0.0
2020-03-19,4.0,1.0,0.0,1.0,2.0,1010528.0,1.0,0.0
2020-03-20,7.0,0.0,1.0,1.0,2.0,1011166.0,1.0,0.0
2020-03-21,3.0,1.0,0.0,1.0,1.0,1011787.0,2.0,1.0
2020-03-22,4.0,0.0,0.0,0.0,1.0,1013253.0,2.0,0.0
2020-03-23,6.0,0.0,0.0,1.0,1.0,1013223.0,2.0,0.0
2020-03-24,8.0,0.0,0.0,2.0,2.0,1013677.0,2.0,0.0
2020-03-25,4.0,1.0,1.0,0.0,3.0,1014572.0,3.0,1.0
2020-03-26,5.0,0.0,2.0,0.0,1.0,1015187.0,4.0,1.0
2020-03-27,9.0,1.0,1.0,0.0,3.0,1016071.0,5.0,1.0
2020-03-28,6.0,1.0,2.0,0.0,5.0,1015940.0,6.0,1.0
2020-03-29,9.0,3.0,2.0,0.0,8.0,1015971.0,8.0,2.0
2020-03-30,13.0,3.0,3.0,0.0,7.0,1015454.0,10.0,2.0
2020-03-31,16.0,3.0,3.0,1.0,6.0,1016003.0,12.0,2.0
2020-04-01,23.0,4.0,3.0,7.0,6.0,1015834.0,15.0,3.0
2020-04-02,31.0,6.0,4.0,3.0,9.0,1017141.0,19.0,4.0
2020-04-03,28.0,5.0,5.0,5.0,7.0,1017664.0,21.0,2.0
2020-04-04,36.0,7.0,4.0,3.0,14.0,1017412.0,27.0,6.0
2020-04-05,46.0,8.0,7.0,4.0,15.0,1017404.0,33.0,6.0
2020-04-06,55.0,10.0,8.0,7.0,16.0,1017525.0,42.0,9.0
2020-04-07,60.0,17.0,11.0,11.0,23.0,1016233.0,54.0,12.0
2020-04-08,82.0,21.0,16.0,12.0,30.0,1016403.0,71.0,17.0
2020-04-09,121.0,31.0,20.0,17.0,40.0,1016270.0,92.0,21.0
2020-04-10,148.0,32.0,27.0,24.0,58.0,1016807.0,117.0,25.0
2020-04-11,171.0,49.0,23.0,26.0,70.0,1017444.0,149.0,32.0
2020-04-12,192.0,48.0,37.0,21.0,85.0,1017642.0,185.0,36.0
2020-04-13,225.0,49.0,38.0,33.0,93.0,1016180.0,224.0,39.0
2020-04-14,278.0,60.0,44.0,36.0,99.0,1016421.0,269.0,45.0
2020-04-15,352.0,68.0,48.0,41.0,134.0,1016183.0,319.0,50.0
2020-04-16,399.0,80.0,65.0,52.0,166.0,1017991.0,391.0,72.0
2020-04-17,473.0,102.0,90.0,64.0,192.0,1017193.0,480.0,89.0
2020-04-18,551.0,122.0,95.0,74.0,246.0,1016988.0,574.0,94.0
2020-04-19,631.0,139.0,103.0,88.0,283.0,1016598.0,670.0,96.0
2020-04-20,777.0,189.0,101.0,108.0,343.0,1015774.0,811.0,141.0
2020-04-21,964.0,202.0,161.0,113.0,433.0,1015506.0,970.0,159.0
2020-04-22,1181.0,240.0,188.0,147.0,505.0,1017125.0,1153.0,183.0
2020-04-23,1435.0,306.0,207.0,152.0,630.0,1018519.0,1382.0,229.0
2020-04-24,1723.0,359.0,275.0,191.0,710.0,1018353.0,1679.0,297.0
2020-04-25,2027.0,394.0,352.0,218.0,861.0,1018119.0,2010.0,331.0
2020-04-26,2402.0,499.0,415.0,275.0,1007.0,1017420.0,2428.0,418.0
2020-04-27,3033.0,627.0,478.0,389.0,1235.0,1015447.0,2941.0,513.0
2020-04-28,3589.0,753.0,607.0,448.0,1536.0,1014352.0,3545.0,604.0
