time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970216.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,1.0,0.0,971950.0,1.0,1.0
2020-03-08,5.0,0.0,2.0,1.0,0.0,978652.0,1.0,0.0
2020-03-09,5.0,0.0,1.0,0.0,2.0,986531.0,2.0,1.0
2020-03-10,3.0,1.0,0.0,1.0,2.0,991890.0,4.0,2.0
2020-03-11,3.0,2.0,1.0,0.0,2.0,996658.0,5.0,1.0
2020-03-12,4.0,1.0,1.0,0.0,1.0,1000424.0,5.0,0.0
2020-03-13,5.0,1.0,0.0,0.0,1.0,1003643.0,6.0,1.0
2020-03-14,3.0,0.0,1.0,0.0,2.0,1005303.0,7.0,1.0
2020-03-15,6.0,0.0,2.0,0.0,2.0,1006254.0,7.0,0.0
2020-03-16,6.0,1.0,1.0,1.0,4.0,1007725.0,9.0,2.0
2020-03-17,6.0,3.0,0.0,1.0,2.0,1009370.0,11.0,2.0
2020-03-18,6.0,2.0,1.0,1.0,3.0,1009449.0,11.0,0.0
2020-03-19,11.0,2.0,2.0,0.0,1.0,1010740.0,12.0,1.0
2020-03-20,12.0,4.0,2.0,2.0,1.0,1011244.0,13.0,1.0
2020-03-21,12.0,6.0,1.0,1.0,3.0,1011618.0,16.0,3.0
2020-03-22,21.0,4.0,4.0,3.0,2.0,1012440.0,18.0,2.0
2020-03-23,25.0,3.0,1.0,4.0,10.0,1013591.0,19.0,1.0
2020-03-24,25.0,5.0,4.0,3.0,10.0,1014704.0,26.0,7.0
2020-03-25,33.0,6.0,3.0,6.0,12.0,1014584.0,30.0,4.0
2020-03-26,34.0,11.0,7.0,2.0,17.0,1015700.0,39.0,9.0
2020-03-27,47.0,11.0,9.0,6.0,18.0,1015401.0,47.0,8.0
2020-03-28,54.0,7.0,6.0,11.0,16.0,1015865.0,53.0,6.0
2020-03-29,66.0,6.0,8.0,13.0,19.0,1015171.0,56.0,3.0
2020-03-30,59.0,10.0,16.0,11.0,34.0,1017383.0,66.0,10.0
2020-03-31,70.0,19.0,16.0,12.0,41.0,1017318.0,80.0,14.0
2020-04-01,89.0,15.0,18.0,10.0,41.0,1016449.0,91.0,11.0
2020-04-02,125.0,21.0,24.0,15.0,45.0,1016458.0,106.0,15.0
2020-04-03,124.0,28.0,24.0,14.0,61.0,1016483.0,136.0,30.0
2020-04-04,141.0,31.0,28.0,16.0,64.0,1016435.0,169.0,33.0
2020-04-05,177.0,37.0,30.0,22.0,73.0,1016984.0,195.0,26.0
2020-04-06,214.0,49.0,37.0,27.0,80.0,1016409.0,224.0,29.0
2020-04-07,301.0,53.0,53.0,38.0,96.0,1017566.0,259.0,35.0
2020-04-08,335.0,75.0,48.0,51.0,128.0,1017495.0,306.0,47.0
2020-04-09,412.0,92.0,56.0,50.0,168.0,1017099.0,376.0,70.0
2020-04-10,482.0,97.0,77.0,56.0,196.0,1018412.0,442.0,66.0
2020-04-11,558.0,118.0,91.0,64.0,227.0,1018680.0,542.0,100.0
2020-04-12,663.0,148.0,101.0,90.0,272.0,1017452.0,659.0,117.0
2020-04-13,829.0,184.0,147.0,111.0,317.0,1018024.0,807.0,148.0
2020-04-14,1048.0,207.0,168.0,130.0,415.0,1018081.0,965.0,158.0
2020-04-15,1209.0,236.0,215.0,171.0,516.0,1016313.0,1151.0,186.0
2020-04-16,1409.0,311.0,241.0,183.0,638.0,1014930.0,1391.0,240.0
2020-04-17,1709.0,354.0,274.0,242.0,723.0,1014663.0,1689.0,298.0
2020-04-18,2034.0,405.0,328.0,254.0,890.0,1014537.0,2030.0,341.0
2020-04-19,2376.0,489.0,398.0,304.0,999.0,1013456.0,2421.0,391.0
2020-04-20,2911.0,599.0,533.0,376.0,1184.0,1012978.0,2933.0,512.0
2020-04-21,3467.0,767.0,552.0,457.0,1510.0,1012753.0,3530.0,597.0
2020-04-22,4155.0,838.0,699.0,560.0,1794.0,1012022.0,4195.0,665.0
2020-04-23,5041.0,1068.0,810.0,680.0,2130.0,1011534.0,5042.0,847.0
2020-04-24,5918.0,1259.0,1032.0,708.0,2544.0,1009360.0,6070.0,1028.0
2020-04-25,7238.0,1518.0,1191.0,968.0,3068.0,1008143.0,7273.0,1203.0
2020-04-26,8620.0,1861.0,1420.0,1126.0,3719.0,1004255.0,8744.0,1471.0
2020-04-27,10414.0,2254.0,1747.0,1400.0,4438.0,999065.0,10550.0,1806.0
2020-04-28,12401.0,2613.0,2060.0,1636.0,5326.0,995687.0,12658.0,2108.0
2020-04-29,14989.0,3176.0,2419.0,1920.0,6511.0,991962.0,15130.0,2472.0
2020-04-30,18067.0,3796.0,2956.0,2258.0,7761.0,985989.0,18104.0,2974.0
2020-05-01,21233.0,4529.0,3549.0,2812.0,9402.0,979484.0,21742.0,3638.0
2020-05-02,25417.0,5385.0,4200.0,3274.0,11306.0,970558.0,25973.0,4231.0
2020-05-03,30457.0,6541.0,5022.0,3905.0,13464.0,962039.0,31178.0,5205.0
2020-05-04,36567.0,7810.0,5937.0,4710.0,16444.0,950271.0,37182.0,6004.0
2020-05-05,43299.0,9214.0,7325.0,5559.0,19793.0,937512.0,44388.0,7206.0
2020-05-06,50835.0,11080.0,8587.0,6796.0,23551.0,921639.0,53060.0,8672.0
2020-05-07,59866.0,12868.0,10163.0,8161.0,28269.0,904600.0,63017.0,9957.0
2020-05-08,70192.0,15137.0,11993.0,9415.0,34117.0,883617.0,74954.0,11937.0
2020-05-09,81453.0,17944.0,14338.0,11046.0,40573.0,859065.0,89102.0,14148.0
2020-05-10,94616.0,20910.0,16832.0,13112.0,48130.0,829808.0,105281.0,16179.0
2020-05-11,108513.0,23968.0,19606.0,15739.0,57437.0,796507.0,123951.0,18670.0
2020-05-12,123476.0,27733.0,22614.0,18309.0,68500.0,761276.0,145355.0,21404.0
2020-05-13,139655.0,31689.0,26279.0,21199.0,80663.0,721082.0,169588.0,24233.0
2020-05-14,155831.0,36485.0,29952.0,24430.0,95486.0,679773.0,197088.0,27500.0
2020-05-15,172494.0,40607.0,34056.0,28237.0,112491.0,635326.0,227445.0,30357.0
2020-05-16,187789.0,44632.0,37998.0,32229.0,131427.0,589158.0,260851.0,33406.0
2020-05-17,202487.0,48631.0,42650.0,35933.0,152936.0,541351.0,296895.0,36044.0
2020-05-18,214349.0,52914.0,46509.0,40194.0,177319.0,492042.0,335789.0,38894.0
2020-05-19,225034.0,56709.0,50455.0,44086.0,204708.0,443657.0,376970.0,41181.0
2020-05-20,230773.0,59357.0,53705.0,47986.0,234682.0,397481.0,419663.0,42693.0
2020-05-21,232993.0,61301.0,57083.0,51269.0,266592.0,354076.0,463301.0,43638.0
2020-05-22,233047.0,62165.0,58931.0,54991.0,300758.0,314205.0,506921.0,43620.0
