time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,970239.0,0.0,0.0
2020-03-07,5.0,0.0,1.0,1.0,0.0,972439.0,0.0,0.0
2020-03-08,4.0,1.0,0.0,1.0,1.0,979054.0,1.0,1.0
2020-03-09,3.0,1.0,0.0,1.0,1.0,985771.0,1.0,0.0
2020-03-10,3.0,1.0,1.0,0.0,2.0,991560.0,2.0,1.0
2020-03-11,1.0,2.0,1.0,0.0,2.0,996290.0,4.0,2.0
2020-03-12,2.0,0.0,2.0,0.0,1.0,1000445.0,4.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,3.0,1003226.0,4.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,3.0,1004529.0,4.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,4.0,1005846.0,4.0,0.0
2020-03-16,1.0,1.0,0.0,0.0,3.0,1008692.0,5.0,1.0
2020-03-17,0.0,1.0,0.0,0.0,2.0,1011067.0,5.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,3.0,1012116.0,5.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,4.0,1011337.0,5.0,0.0
2020-03-20,4.0,1.0,0.0,1.0,3.0,1011963.0,5.0,0.0
2020-03-21,3.0,2.0,1.0,0.0,3.0,1012130.0,7.0,2.0
2020-03-22,3.0,1.0,1.0,1.0,0.0,1012178.0,9.0,2.0
2020-03-23,4.0,0.0,2.0,0.0,1.0,1011800.0,9.0,0.0
2020-03-24,8.0,0.0,2.0,2.0,1.0,1013901.0,9.0,0.0
2020-03-25,6.0,0.0,1.0,1.0,0.0,1013055.0,9.0,0.0
2020-03-26,5.0,0.0,0.0,3.0,0.0,1013328.0,9.0,0.0
2020-03-27,5.0,1.0,0.0,0.0,3.0,1014153.0,9.0,0.0
2020-03-28,7.0,2.0,1.0,0.0,2.0,1013449.0,10.0,1.0
2020-03-29,10.0,1.0,2.0,2.0,2.0,1013657.0,10.0,0.0
2020-03-30,13.0,2.0,0.0,0.0,5.0,1014188.0,11.0,1.0
2020-03-31,9.0,2.0,1.0,0.0,6.0,1014523.0,15.0,4.0
2020-04-01,15.0,3.0,2.0,2.0,7.0,1016187.0,17.0,2.0
2020-04-02,17.0,8.0,3.0,1.0,6.0,1014847.0,20.0,3.0
2020-04-03,28.0,7.0,4.0,5.0,11.0,1015880.0,22.0,2.0
2020-04-04,25.0,4.0,7.0,5.0,10.0,1016596.0,26.0,4.0
2020-04-05,31.0,5.0,6.0,3.0,18.0,1017360.0,30.0,4.0
2020-04-06,39.0,4.0,7.0,7.0,17.0,1017582.0,32.0,2.0
2020-04-07,42.0,4.0,2.0,4.0,25.0,1017231.0,36.0,4.0
2020-04-08,37.0,10.0,4.0,4.0,36.0,1017554.0,43.0,7.0
2020-04-09,59.0,9.0,8.0,5.0,38.0,1018396.0,51.0,8.0
2020-04-10,66.0,21.0,8.0,7.0,36.0,1020320.0,66.0,15.0
2020-04-11,78.0,12.0,16.0,14.0,33.0,1020837.0,76.0,10.0
2020-04-12,109.0,18.0,17.0,11.0,43.0,1019377.0,87.0,11.0
2020-04-13,115.0,24.0,12.0,14.0,62.0,1018440.0,104.0,17.0
2020-04-14,168.0,33.0,21.0,20.0,67.0,1018724.0,127.0,23.0
2020-04-15,183.0,41.0,24.0,22.0,85.0,1018227.0,155.0,28.0
2020-04-16,216.0,52.0,37.0,26.0,101.0,1018708.0,191.0,36.0
2020-04-17,308.0,56.0,42.0,42.0,123.0,1019555.0,227.0,36.0
2020-04-18,341.0,96.0,43.0,49.0,151.0,1018562.0,302.0,75.0
2020-04-19,428.0,101.0,75.0,49.0,184.0,1018530.0,369.0,67.0
2020-04-20,562.0,85.0,91.0,81.0,223.0,1019626.0,437.0,68.0
2020-04-21,616.0,122.0,106.0,76.0,268.0,1018447.0,558.0,121.0
2020-04-22,761.0,138.0,137.0,90.0,318.0,1019345.0,674.0,116.0
2020-04-23,922.0,174.0,142.0,108.0,361.0,1017978.0,822.0,148.0
2020-04-24,1111.0,218.0,163.0,145.0,450.0,1018803.0,1001.0,179.0
2020-04-25,1280.0,288.0,220.0,170.0,563.0,1018620.0,1230.0,229.0
2020-04-26,1601.0,323.0,253.0,183.0,689.0,1018551.0,1467.0,237.0
2020-04-27,1934.0,389.0,343.0,227.0,843.0,1017755.0,1777.0,310.0
2020-04-28,2399.0,452.0,397.0,308.0,986.0,1017654.0,2156.0,379.0
2020-04-29,2878.0,596.0,448.0,358.0,1199.0,1016556.0,2638.0,482.0
2020-04-30,3499.0,731.0,549.0,430.0,1459.0,1015612.0,3208.0,570.0
2020-05-01,4109.0,875.0,691.0,514.0,1769.0,1014293.0,3922.0,714.0
2020-05-02,5049.0,1093.0,835.0,623.0,2087.0,1012930.0,4782.0,860.0
2020-05-03,6100.0,1298.0,999.0,747.0,2554.0,1009988.0,5756.0,974.0
2020-05-04,7401.0,1568.0,1262.0,894.0,3082.0,1006900.0,6993.0,1237.0
2020-05-05,8979.0,1811.0,1466.0,1198.0,3726.0,1004848.0,8444.0,1451.0
2020-05-06,10898.0,2307.0,1766.0,1368.0,4600.0,1002400.0,10328.0,1884.0
2020-05-07,13162.0,2897.0,2252.0,1634.0,5535.0,998610.0,12581.0,2253.0
2020-05-08,15887.0,3348.0,2627.0,2003.0,6728.0,993129.0,15125.0,2544.0
2020-05-09,19085.0,3999.0,3089.0,2400.0,8283.0,988767.0,18271.0,3146.0
2020-05-10,22638.0,4839.0,3769.0,2871.0,9929.0,980662.0,22125.0,3854.0
2020-05-11,27078.0,5692.0,4501.0,3392.0,11900.0,971521.0,26559.0,4434.0
2020-05-12,32229.0,6891.0,5315.0,4160.0,14314.0,959673.0,32020.0,5461.0
2020-05-13,38435.0,8234.0,6404.0,4974.0,17118.0,947373.0,38463.0,6443.0
2020-05-14,45499.0,9708.0,7602.0,5974.0,20628.0,933858.0,46038.0,7575.0
2020-05-15,53833.0,11559.0,9000.0,7105.0,24848.0,917346.0,55093.0,9055.0
2020-05-16,63353.0,13716.0,10716.0,8463.0,29821.0,897341.0,65890.0,10797.0
2020-05-17,74240.0,16425.0,12729.0,9979.0,35749.0,874931.0,78477.0,12587.0
2020-05-18,86645.0,19015.0,15126.0,12102.0,42738.0,849242.0,93057.0,14580.0
2020-05-19,99933.0,22018.0,18075.0,14195.0,51057.0,818727.0,110021.0,16964.0
