time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,969953.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,973108.0,0.0,0.0
2020-03-08,2.0,0.0,2.0,1.0,0.0,979955.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,987037.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,992137.0,0.0,0.0
2020-03-11,1.0,2.0,0.0,0.0,1.0,996795.0,2.0,2.0
2020-03-12,1.0,1.0,0.0,0.0,0.0,1001127.0,3.0,1.0
2020-03-13,5.0,2.0,1.0,1.0,0.0,1003771.0,6.0,3.0
2020-03-14,5.0,3.0,1.0,0.0,1.0,1005281.0,8.0,2.0
2020-03-15,9.0,0.0,1.0,0.0,0.0,1006464.0,8.0,0.0
2020-03-16,11.0,0.0,1.0,0.0,1.0,1007700.0,8.0,0.0
2020-03-17,10.0,2.0,1.0,0.0,0.0,1009341.0,11.0,3.0
2020-03-18,8.0,4.0,3.0,1.0,0.0,1009192.0,15.0,4.0
2020-03-19,4.0,2.0,2.0,2.0,0.0,1010394.0,18.0,3.0
2020-03-20,11.0,4.0,2.0,2.0,3.0,1013507.0,20.0,2.0
2020-03-21,14.0,5.0,2.0,3.0,3.0,1013320.0,21.0,1.0
2020-03-22,26.0,4.0,3.0,1.0,8.0,1013425.0,24.0,3.0
2020-03-23,29.0,5.0,3.0,3.0,12.0,1015090.0,32.0,8.0
2020-03-24,36.0,5.0,5.0,4.0,13.0,1015341.0,38.0,6.0
2020-03-25,51.0,6.0,4.0,3.0,19.0,1014706.0,41.0,3.0
2020-03-26,46.0,12.0,9.0,4.0,24.0,1014405.0,55.0,14.0
2020-03-27,69.0,16.0,10.0,11.0,29.0,1014258.0,62.0,7.0
2020-03-28,76.0,19.0,15.0,5.0,34.0,1014611.0,78.0,16.0
2020-03-29,93.0,27.0,15.0,12.0,38.0,1014667.0,94.0,16.0
2020-03-30,107.0,21.0,18.0,22.0,43.0,1015942.0,109.0,15.0
2020-03-31,132.0,33.0,19.0,25.0,56.0,1014879.0,133.0,24.0
2020-04-01,194.0,36.0,25.0,21.0,69.0,1015539.0,164.0,31.0
2020-04-02,211.0,41.0,28.0,31.0,86.0,1016323.0,195.0,31.0
2020-04-03,213.0,60.0,39.0,28.0,98.0,1017661.0,249.0,54.0
2020-04-04,257.0,53.0,57.0,33.0,115.0,1016874.0,289.0,40.0
2020-04-05,338.0,63.0,49.0,42.0,144.0,1015069.0,345.0,56.0
2020-04-06,395.0,100.0,52.0,46.0,152.0,1016704.0,421.0,76.0
2020-04-07,490.0,110.0,81.0,65.0,183.0,1017398.0,502.0,81.0
2020-04-08,588.0,114.0,113.0,72.0,225.0,1016027.0,588.0,86.0
2020-04-09,688.0,158.0,113.0,104.0,287.0,1016997.0,726.0,138.0
2020-04-10,874.0,183.0,142.0,129.0,347.0,1017389.0,856.0,130.0
2020-04-11,1038.0,209.0,164.0,138.0,456.0,1016821.0,1033.0,177.0
2020-04-12,1219.0,263.0,185.0,154.0,501.0,1016738.0,1230.0,197.0
2020-04-13,1410.0,302.0,233.0,188.0,604.0,1015975.0,1484.0,254.0
2020-04-14,1665.0,339.0,286.0,231.0,708.0,1016687.0,1739.0,255.0
2020-04-15,2025.0,471.0,335.0,277.0,810.0,1015933.0,2101.0,362.0
2020-04-16,2477.0,517.0,414.0,327.0,1026.0,1014891.0,2513.0,412.0
2020-04-17,2995.0,662.0,460.0,413.0,1265.0,1014615.0,3009.0,496.0
2020-04-18,3651.0,788.0,585.0,461.0,1573.0,1012902.0,3621.0,612.0
2020-04-19,4314.0,873.0,714.0,512.0,1885.0,1011625.0,4308.0,687.0
2020-04-20,5154.0,1061.0,825.0,621.0,2255.0,1010306.0,5163.0,855.0
2020-04-21,6350.0,1281.0,1049.0,787.0,2701.0,1008012.0,6199.0,1036.0
2020-04-22,7587.0,1627.0,1184.0,974.0,3175.0,1005942.0,7506.0,1307.0
2020-04-23,8988.0,1962.0,1523.0,1171.0,3827.0,1003290.0,9056.0,1550.0
2020-04-24,10920.0,2351.0,1827.0,1440.0,4702.0,1000977.0,10889.0,1833.0
2020-04-25,13141.0,2836.0,2170.0,1730.0,5670.0,996226.0,13061.0,2172.0
2020-04-26,15825.0,3382.0,2574.0,2067.0,6844.0,991882.0,15649.0,2588.0
2020-04-27,18769.0,3913.0,3143.0,2346.0,8199.0,985993.0,18757.0,3108.0
2020-04-28,22215.0,4715.0,3727.0,2784.0,9865.0,979186.0,22510.0,3753.0
2020-04-29,26405.0,5514.0,4348.0,3353.0,11721.0,970898.0,26809.0,4299.0
2020-04-30,31457.0,6796.0,5202.0,4087.0,14028.0,961813.0,32252.0,5443.0
2020-05-01,37169.0,7929.0,6534.0,4873.0,16932.0,950148.0,38493.0,6241.0
2020-05-02,44647.0,9524.0,7513.0,5894.0,20212.0,935492.0,45861.0,7368.0
2020-05-03,52783.0,11222.0,8863.0,7042.0,24120.0,919428.0,54657.0,8796.0
2020-05-04,61575.0,13421.0,10555.0,8321.0,29153.0,898946.0,65175.0,10518.0
2020-05-05,71913.0,15802.0,12317.0,9817.0,34787.0,877651.0,77299.0,12124.0
2020-05-06,83610.0,18468.0,14550.0,11515.0,41648.0,852473.0,91633.0,14334.0
2020-05-07,96896.0,21302.0,17249.0,13474.0,49661.0,822726.0,108166.0,16533.0
2020-05-08,111119.0,24803.0,19947.0,15985.0,58745.0,791480.0,127184.0,19018.0
2020-05-09,126658.0,28408.0,23155.0,18725.0,69523.0,756412.0,149014.0,21830.0
2020-05-10,142434.0,32590.0,26625.0,21693.0,82340.0,715988.0,173850.0,24836.0
2020-05-11,158961.0,36599.0,30275.0,25090.0,97396.0,674158.0,201295.0,27445.0
2020-05-12,174753.0,41045.0,34590.0,28360.0,114279.0,628910.0,232463.0,31168.0
2020-05-13,189842.0,45638.0,38744.0,32351.0,133405.0,582494.0,266514.0,34051.0
2020-05-14,204162.0,49439.0,43013.0,36342.0,155787.0,533843.0,302858.0,36344.0
2020-05-15,215550.0,53110.0,47280.0,40071.0,180616.0,485411.0,341796.0,38938.0
2020-05-16,224203.0,56970.0,50645.0,44628.0,208102.0,438152.0,383020.0,41224.0
2020-05-17,230351.0,58774.0,54608.0,48376.0,237648.0,391907.0,425343.0,42323.0
2020-05-18,233210.0,61808.0,56987.0,52006.0,269235.0,347876.0,469241.0,43898.0
2020-05-19,232515.0,62993.0,59431.0,55196.0,304682.0,308588.0,513095.0,43854.0
2020-05-20,228463.0,62889.0,61433.0,56963.0,341140.0,272911.0,556610.0,43515.0
2020-05-21,221948.0,61714.0,61949.0,59008.0,378657.0,241063.0,598714.0,42104.0
2020-05-22,212837.0,60459.0,61124.0,60429.0,416773.0,212710.0,639598.0,40884.0
2020-05-23,201756.0,58274.0,60678.0,60774.0,455323.0,188455.0,678679.0,39081.0
2020-05-24,189001.0,55806.0,58962.0,59800.0,494677.0,166404.0,715700.0,37021.0
2020-05-25,175807.0,52751.0,56847.0,58666.0,533378.0,148578.0,750115.0,34415.0
2020-05-26,161541.0,49295.0,54028.0,57224.0,570412.0,133364.0,782114.0,31999.0
2020-05-27,148308.0,45780.0,50604.0,54625.0,606440.0,119919.0,811555.0,29441.0
2020-05-28,134486.0,42331.0,47193.0,51917.0,640165.0,109277.0,838535.0,26980.0
2020-05-29,121602.0,38801.0,43873.0,48469.0,672349.0,100117.0,862819.0,24284.0
2020-05-30,109808.0,34858.0,40377.0,45359.0,701032.0,92222.0,884789.0,21970.0
2020-05-31,98396.0,31645.0,36965.0,42418.0,730260.0,85406.0,904453.0,19664.0
2020-06-01,88196.0,28670.0,33648.0,38968.0,758450.0,79916.0,922311.0,17858.0
2020-06-02,78964.0,26025.0,30176.0,35912.0,781453.0,74766.0,938363.0,16052.0
2020-06-03,70199.0,23555.0,27630.0,32536.0,803379.0,70785.0,952647.0,14284.0
2020-06-04,62191.0,20772.0,24860.0,29328.0,822379.0,66988.0,965351.0,12704.0
2020-06-05,55062.0,18658.0,22185.0,26467.0,840892.0,64022.0,976666.0,11315.0
2020-06-06,49081.0,16431.0,19888.0,23767.0,856703.0,61713.0,986565.0,9899.0
2020-06-07,42954.0,14534.0,17901.0,21360.0,872023.0,59568.0,995355.0,8790.0
2020-06-08,38053.0,12694.0,15867.0,19276.0,885118.0,57559.0,1002937.0,7582.0
2020-06-09,33695.0,11460.0,13833.0,17259.0,895594.0,55740.0,1009768.0,6831.0
2020-06-10,29464.0,10177.0,12286.0,15229.0,905862.0,54793.0,1015887.0,6119.0
2020-06-11,25848.0,9034.0,10904.0,13258.0,913375.0,53472.0,1021224.0,5337.0
2020-06-12,22724.0,7802.0,9719.0,11986.0,921423.0,52263.0,1025873.0,4649.0
2020-06-13,20067.0,6984.0,8666.0,10521.0,929038.0,51324.0,1030017.0,4144.0
2020-06-14,17764.0,5934.0,7638.0,9427.0,934694.0,50565.0,1033532.0,3515.0
2020-06-15,15629.0,5349.0,6703.0,8297.0,940545.0,50002.0,1036814.0,3282.0
2020-06-16,13818.0,4630.0,5882.0,7307.0,946031.0,49264.0,1039517.0,2703.0
2020-06-17,12027.0,4088.0,5210.0,6385.0,950610.0,48652.0,1042067.0,2550.0
2020-06-18,10510.0,3635.0,4489.0,5681.0,954497.0,48496.0,1044230.0,2163.0
2020-06-19,9219.0,3120.0,3998.0,4942.0,957829.0,48216.0,1046146.0,1916.0
2020-06-20,8070.0,2697.0,3600.0,4303.0,960450.0,48089.0,1047765.0,1619.0
2020-06-21,7101.0,2361.0,3110.0,3761.0,963382.0,47708.0,1049194.0,1429.0
2020-06-22,6190.0,2070.0,2636.0,3304.0,965945.0,47561.0,1050476.0,1282.0
2020-06-23,5458.0,1851.0,2269.0,2862.0,969453.0,47234.0,1051545.0,1069.0
2020-06-24,4745.0,1658.0,2019.0,2560.0,969532.0,47154.0,1052539.0,994.0
2020-06-25,4132.0,1429.0,1810.0,2326.0,970401.0,47025.0,1053399.0,860.0
2020-06-26,3620.0,1263.0,1596.0,1983.0,972699.0,46522.0,1054164.0,765.0
2020-06-27,3240.0,1064.0,1378.0,1747.0,973776.0,46418.0,1054779.0,615.0
2020-06-28,2822.0,1004.0,1239.0,1468.0,974268.0,46536.0,1055375.0,596.0
2020-06-29,2439.0,889.0,1056.0,1328.0,976016.0,46457.0,1055870.0,495.0
2020-06-30,2187.0,741.0,946.0,1136.0,977562.0,46372.0,1056298.0,428.0
2020-07-01,1892.0,694.0,803.0,943.0,977587.0,46437.0,1056675.0,377.0
2020-07-02,1627.0,600.0,706.0,861.0,977682.0,46499.0,1057001.0,326.0
2020-07-03,1414.0,521.0,626.0,798.0,978875.0,46429.0,1057311.0,310.0
2020-07-04,1274.0,424.0,542.0,726.0,980361.0,46400.0,1057551.0,240.0
2020-07-05,1116.0,373.0,482.0,591.0,979825.0,46331.0,1057799.0,248.0
2020-07-06,920.0,316.0,409.0,534.0,980837.0,46161.0,1058000.0,201.0
