time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970439.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,972909.0,0.0,0.0
2020-03-08,1.0,1.0,1.0,1.0,0.0,979180.0,1.0,1.0
2020-03-09,2.0,0.0,1.0,1.0,0.0,986634.0,1.0,0.0
2020-03-10,3.0,0.0,0.0,1.0,0.0,992143.0,1.0,0.0
2020-03-11,3.0,0.0,0.0,1.0,1.0,996240.0,1.0,0.0
2020-03-12,1.0,1.0,1.0,0.0,2.0,1000963.0,2.0,1.0
2020-03-13,2.0,0.0,1.0,0.0,0.0,1003156.0,2.0,0.0
2020-03-14,1.0,2.0,0.0,1.0,0.0,1005806.0,4.0,2.0
2020-03-15,4.0,1.0,0.0,1.0,2.0,1007783.0,4.0,0.0
2020-03-16,3.0,1.0,1.0,2.0,1.0,1009196.0,5.0,1.0
2020-03-17,5.0,2.0,0.0,2.0,2.0,1009495.0,6.0,1.0
2020-03-18,4.0,1.0,1.0,1.0,3.0,1011105.0,7.0,1.0
2020-03-19,3.0,1.0,2.0,1.0,5.0,1010400.0,8.0,1.0
2020-03-20,6.0,0.0,3.0,0.0,3.0,1010939.0,8.0,0.0
2020-03-21,4.0,0.0,1.0,1.0,4.0,1011930.0,8.0,0.0
2020-03-22,2.0,2.0,2.0,0.0,6.0,1011645.0,10.0,2.0
2020-03-23,4.0,2.0,0.0,0.0,4.0,1012589.0,10.0,0.0
2020-03-24,7.0,3.0,1.0,0.0,5.0,1012982.0,11.0,1.0
2020-03-25,13.0,4.0,3.0,1.0,4.0,1013976.0,14.0,3.0
2020-03-26,14.0,2.0,5.0,1.0,6.0,1014642.0,14.0,0.0
2020-03-27,15.0,2.0,4.0,1.0,6.0,1013396.0,18.0,4.0
2020-03-28,12.0,5.0,1.0,1.0,11.0,1013166.0,23.0,5.0
2020-03-29,18.0,4.0,5.0,0.0,10.0,1013239.0,25.0,2.0
2020-03-30,29.0,5.0,3.0,3.0,10.0,1013073.0,27.0,2.0
2020-03-31,31.0,9.0,1.0,1.0,11.0,1014960.0,30.0,3.0
2020-04-01,35.0,9.0,4.0,5.0,13.0,1014951.0,39.0,9.0
2020-04-02,35.0,10.0,6.0,4.0,16.0,1015220.0,46.0,7.0
2020-04-03,51.0,10.0,5.0,7.0,18.0,1015274.0,54.0,8.0
2020-04-04,56.0,11.0,12.0,8.0,16.0,1015523.0,71.0,17.0
2020-04-05,63.0,19.0,13.0,9.0,27.0,1016422.0,85.0,14.0
2020-04-06,85.0,16.0,14.0,13.0,29.0,1016779.0,95.0,10.0
2020-04-07,99.0,28.0,15.0,9.0,38.0,1016472.0,117.0,22.0
2020-04-08,122.0,18.0,16.0,11.0,44.0,1017349.0,128.0,11.0
2020-04-09,129.0,24.0,18.0,14.0,57.0,1017647.0,154.0,26.0
2020-04-10,166.0,30.0,19.0,16.0,73.0,1017167.0,183.0,29.0
2020-04-11,180.0,48.0,31.0,23.0,82.0,1017684.0,222.0,39.0
2020-04-12,215.0,50.0,42.0,21.0,95.0,1018070.0,262.0,40.0
2020-04-13,274.0,47.0,50.0,31.0,118.0,1017574.0,301.0,39.0
2020-04-14,321.0,71.0,47.0,35.0,148.0,1018984.0,353.0,52.0
2020-04-15,399.0,79.0,60.0,46.0,160.0,1018479.0,404.0,51.0
2020-04-16,449.0,93.0,72.0,48.0,212.0,1018349.0,476.0,72.0
2020-04-17,546.0,92.0,85.0,64.0,240.0,1017818.0,558.0,82.0
2020-04-18,632.0,126.0,112.0,84.0,288.0,1018715.0,668.0,110.0
2020-04-19,803.0,182.0,148.0,105.0,354.0,1017835.0,810.0,142.0
2020-04-20,919.0,206.0,167.0,124.0,441.0,1017574.0,978.0,168.0
2020-04-21,1193.0,249.0,212.0,146.0,510.0,1017840.0,1170.0,192.0
2020-04-22,1494.0,339.0,275.0,187.0,619.0,1019297.0,1436.0,266.0
2020-04-23,1790.0,415.0,271.0,266.0,745.0,1018370.0,1759.0,323.0
2020-04-24,2260.0,506.0,356.0,275.0,910.0,1016615.0,2146.0,387.0
2020-04-25,2700.0,606.0,460.0,306.0,1046.0,1016748.0,2607.0,461.0
2020-04-26,3274.0,686.0,539.0,412.0,1252.0,1017084.0,3129.0,522.0
2020-04-27,3909.0,818.0,665.0,522.0,1555.0,1016250.0,3797.0,668.0
2020-04-28,4689.0,990.0,762.0,596.0,1936.0,1015838.0,4569.0,772.0
2020-04-29,5591.0,1227.0,897.0,706.0,2321.0,1011681.0,5479.0,910.0
2020-04-30,6692.0,1431.0,1078.0,815.0,2830.0,1009103.0,6580.0,1101.0
2020-05-01,8048.0,1716.0,1320.0,1003.0,3383.0,1007296.0,7964.0,1384.0
2020-05-02,9671.0,2053.0,1568.0,1182.0,4055.0,1004754.0,9542.0,1578.0
2020-05-03,11829.0,2482.0,1867.0,1487.0,4898.0,998770.0,11476.0,1934.0
2020-05-04,14003.0,2981.0,2209.0,1811.0,5903.0,996214.0,13865.0,2389.0
2020-05-05,16785.0,3595.0,2742.0,2129.0,7023.0,990665.0,16643.0,2778.0
2020-05-06,20167.0,4376.0,3235.0,2572.0,8500.0,985147.0,20029.0,3386.0
2020-05-07,23973.0,4997.0,4008.0,3076.0,10291.0,978137.0,23963.0,3934.0
2020-05-08,28369.0,6000.0,4636.0,3781.0,12450.0,968450.0,28668.0,4705.0
2020-05-09,33599.0,7168.0,5478.0,4342.0,15168.0,956657.0,34283.0,5615.0
2020-05-10,39881.0,8585.0,6601.0,5237.0,18173.0,944472.0,40973.0,6690.0
2020-05-11,47133.0,10129.0,8087.0,6295.0,21580.0,928704.0,48898.0,7925.0
2020-05-12,55749.0,12140.0,9445.0,7607.0,26016.0,911470.0,58218.0,9320.0
2020-05-13,66033.0,14242.0,11311.0,8821.0,31425.0,891650.0,69250.0,11032.0
2020-05-14,77088.0,16913.0,13310.0,10477.0,37478.0,867624.0,82468.0,13218.0
2020-05-15,89586.0,19634.0,15891.0,12518.0,44957.0,841234.0,97750.0,15282.0
2020-05-16,103108.0,22754.0,18414.0,14457.0,53883.0,811088.0,115311.0,17561.0
2020-05-17,117606.0,26279.0,21315.0,17141.0,63869.0,778021.0,135697.0,20386.0
2020-05-18,133100.0,30040.0,24547.0,19877.0,75446.0,739918.0,158706.0,23009.0
2020-05-19,149601.0,34371.0,28425.0,23169.0,88931.0,699351.0,184663.0,25957.0
2020-05-20,166400.0,38383.0,32339.0,26550.0,105136.0,654987.0,213732.0,29069.0
2020-05-21,182844.0,43273.0,36042.0,30151.0,123299.0,609113.0,246081.0,32349.0
2020-05-22,198093.0,47767.0,40731.0,34170.0,144369.0,560701.0,281502.0,35421.0
2020-05-23,210633.0,51678.0,44785.0,38692.0,168188.0,511513.0,319613.0,38111.0
2020-05-24,221187.0,55394.0,48966.0,42644.0,194117.0,462648.0,359902.0,40289.0
2020-05-25,229294.0,58245.0,53152.0,46213.0,223012.0,414900.0,401865.0,41963.0
2020-05-26,233441.0,60639.0,56096.0,50359.0,253895.0,370215.0,445267.0,43402.0
2020-05-27,234213.0,62594.0,58191.0,53739.0,288203.0,328315.0,489331.0,44064.0
2020-05-28,231634.0,63070.0,60666.0,56402.0,323685.0,289699.0,533079.0,43748.0
2020-05-29,225883.0,63114.0,61695.0,59076.0,360105.0,255094.0,576639.0,43560.0
