time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970626.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,974142.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,980315.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,987559.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,1.0,992031.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,997557.0,0.0,0.0
2020-03-12,0.0,1.0,0.0,0.0,0.0,1001316.0,1.0,1.0
2020-03-13,1.0,0.0,1.0,0.0,0.0,1002322.0,1.0,0.0
2020-03-14,3.0,0.0,2.0,0.0,0.0,1004008.0,2.0,1.0
2020-03-15,2.0,0.0,0.0,1.0,1.0,1006903.0,2.0,0.0
2020-03-16,4.0,0.0,0.0,1.0,1.0,1009142.0,2.0,0.0
2020-03-17,2.0,0.0,1.0,0.0,3.0,1010639.0,3.0,1.0
2020-03-18,2.0,0.0,0.0,1.0,3.0,1011455.0,3.0,0.0
2020-03-19,4.0,1.0,0.0,0.0,4.0,1011313.0,4.0,1.0
2020-03-20,2.0,1.0,0.0,1.0,4.0,1012515.0,5.0,1.0
2020-03-21,5.0,1.0,0.0,0.0,5.0,1012157.0,5.0,0.0
2020-03-22,2.0,2.0,0.0,0.0,3.0,1011953.0,6.0,1.0
2020-03-23,6.0,1.0,2.0,1.0,3.0,1012537.0,7.0,1.0
2020-03-24,10.0,0.0,0.0,2.0,4.0,1012364.0,7.0,0.0
2020-03-25,8.0,0.0,1.0,0.0,5.0,1011934.0,8.0,1.0
2020-03-26,8.0,3.0,2.0,2.0,3.0,1013248.0,12.0,4.0
2020-03-27,10.0,4.0,2.0,2.0,7.0,1012803.0,15.0,3.0
2020-03-28,14.0,5.0,3.0,2.0,6.0,1013973.0,17.0,2.0
2020-03-29,16.0,3.0,7.0,4.0,6.0,1013961.0,18.0,1.0
2020-03-30,27.0,4.0,6.0,2.0,10.0,1015521.0,21.0,3.0
2020-03-31,24.0,5.0,7.0,3.0,11.0,1014954.0,27.0,6.0
2020-04-01,33.0,2.0,7.0,5.0,19.0,1016411.0,31.0,4.0
2020-04-02,36.0,4.0,5.0,4.0,17.0,1015789.0,35.0,4.0
