time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970012.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,1.0,1.0,973607.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979782.0,1.0,1.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986356.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992745.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997337.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000448.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003206.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004766.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1005386.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1006890.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1008356.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010005.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1010506.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1011979.0,1.0,0.0
2020-03-21,0.0,0.0,1.0,0.0,1.0,1013291.0,1.0,0.0
2020-03-22,0.0,0.0,1.0,0.0,1.0,1013526.0,1.0,0.0
2020-03-23,2.0,0.0,1.0,0.0,0.0,1014585.0,1.0,0.0
2020-03-24,2.0,1.0,0.0,0.0,0.0,1014795.0,2.0,1.0
2020-03-25,1.0,0.0,1.0,0.0,0.0,1014751.0,2.0,0.0
2020-03-26,2.0,0.0,0.0,0.0,1.0,1016440.0,2.0,0.0
2020-03-27,1.0,0.0,0.0,0.0,2.0,1016771.0,2.0,0.0
2020-03-28,2.0,0.0,0.0,0.0,1.0,1016761.0,2.0,0.0
2020-03-29,3.0,0.0,1.0,0.0,2.0,1016139.0,2.0,0.0
2020-03-30,6.0,0.0,2.0,1.0,0.0,1015037.0,4.0,2.0
2020-03-31,11.0,0.0,0.0,2.0,2.0,1014906.0,5.0,1.0
2020-04-01,10.0,3.0,0.0,0.0,4.0,1015320.0,6.0,1.0
2020-04-02,11.0,3.0,0.0,0.0,6.0,1015368.0,6.0,0.0
2020-04-03,14.0,3.0,1.0,1.0,9.0,1015468.0,7.0,1.0
2020-04-04,13.0,1.0,2.0,1.0,10.0,1015251.0,7.0,0.0
2020-04-05,14.0,3.0,2.0,1.0,12.0,1017219.0,9.0,2.0
2020-04-06,22.0,1.0,4.0,1.0,9.0,1018395.0,11.0,2.0
2020-04-07,25.0,4.0,4.0,2.0,12.0,1018645.0,15.0,4.0
2020-04-08,32.0,8.0,2.0,3.0,12.0,1017875.0,19.0,4.0
2020-04-09,35.0,6.0,5.0,4.0,15.0,1018721.0,23.0,4.0
2020-04-10,40.0,8.0,0.0,2.0,24.0,1021278.0,26.0,3.0
2020-04-11,42.0,9.0,8.0,4.0,28.0,1021568.0,35.0,9.0
2020-04-12,51.0,9.0,17.0,6.0,22.0,1020268.0,44.0,9.0
