time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970414.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,972953.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,978821.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985837.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,992711.0,1.0,1.0
2020-03-11,3.0,0.0,1.0,0.0,0.0,996797.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,999796.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,2.0,0.0,1002861.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1006320.0,1.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,1007470.0,2.0,1.0
2020-03-16,1.0,0.0,1.0,0.0,0.0,1009346.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009579.0,2.0,0.0
2020-03-18,2.0,0.0,1.0,0.0,1.0,1010591.0,3.0,1.0
2020-03-19,5.0,0.0,0.0,1.0,0.0,1010591.0,3.0,0.0
2020-03-20,5.0,1.0,0.0,1.0,2.0,1010437.0,4.0,1.0
2020-03-21,5.0,0.0,1.0,0.0,0.0,1011182.0,4.0,0.0
2020-03-22,3.0,0.0,0.0,0.0,0.0,1012739.0,5.0,1.0
2020-03-23,2.0,1.0,1.0,0.0,0.0,1013713.0,6.0,1.0
2020-03-24,5.0,1.0,0.0,0.0,1.0,1013934.0,6.0,0.0
2020-03-25,5.0,1.0,0.0,1.0,1.0,1013272.0,7.0,1.0
2020-03-26,7.0,2.0,2.0,1.0,2.0,1013376.0,8.0,1.0
2020-03-27,6.0,1.0,4.0,1.0,3.0,1014356.0,11.0,3.0
2020-03-28,5.0,1.0,3.0,2.0,3.0,1013990.0,13.0,2.0
2020-03-29,9.0,2.0,2.0,2.0,5.0,1014794.0,14.0,1.0
2020-03-30,5.0,4.0,1.0,1.0,7.0,1014998.0,15.0,1.0
2020-03-31,6.0,3.0,2.0,1.0,6.0,1016283.0,16.0,1.0
2020-04-01,6.0,3.0,2.0,1.0,7.0,1016789.0,18.0,2.0
2020-04-02,12.0,4.0,0.0,1.0,4.0,1017022.0,20.0,2.0
2020-04-03,18.0,5.0,1.0,2.0,7.0,1017452.0,22.0,2.0
2020-04-04,21.0,6.0,3.0,1.0,8.0,1017955.0,26.0,4.0
2020-04-05,32.0,9.0,8.0,4.0,11.0,1018541.0,32.0,6.0
2020-04-06,50.0,3.0,11.0,6.0,10.0,1016813.0,37.0,5.0
2020-04-07,46.0,11.0,7.0,6.0,17.0,1018611.0,50.0,13.0
2020-04-08,55.0,14.0,8.0,7.0,19.0,1018477.0,57.0,7.0
2020-04-09,83.0,19.0,15.0,10.0,23.0,1018092.0,71.0,14.0
2020-04-10,103.0,15.0,22.0,9.0,32.0,1017782.0,84.0,13.0
2020-04-11,120.0,21.0,22.0,8.0,41.0,1016698.0,101.0,17.0
2020-04-12,128.0,20.0,24.0,11.0,44.0,1017931.0,116.0,15.0
2020-04-13,147.0,27.0,33.0,15.0,60.0,1017526.0,137.0,21.0
2020-04-14,170.0,36.0,31.0,18.0,75.0,1017247.0,165.0,28.0
2020-04-15,194.0,41.0,24.0,28.0,90.0,1018179.0,193.0,28.0
2020-04-16,262.0,41.0,36.0,26.0,95.0,1018564.0,220.0,27.0
2020-04-17,291.0,66.0,55.0,35.0,115.0,1018639.0,280.0,60.0
2020-04-18,381.0,77.0,60.0,45.0,154.0,1018298.0,338.0,58.0
2020-04-19,431.0,96.0,73.0,46.0,148.0,1019917.0,411.0,73.0
2020-04-20,536.0,106.0,88.0,76.0,182.0,1019580.0,501.0,90.0
2020-04-21,629.0,130.0,91.0,94.0,227.0,1019477.0,611.0,110.0
2020-04-22,756.0,155.0,116.0,97.0,298.0,1019241.0,724.0,113.0
2020-04-23,875.0,207.0,151.0,91.0,380.0,1018532.0,886.0,162.0
2020-04-24,1068.0,210.0,184.0,128.0,453.0,1018552.0,1048.0,162.0
2020-04-25,1276.0,252.0,233.0,164.0,522.0,1017912.0,1289.0,241.0
2020-04-26,1523.0,351.0,230.0,207.0,615.0,1016446.0,1549.0,260.0
2020-04-27,1887.0,415.0,300.0,221.0,786.0,1016190.0,1874.0,325.0
2020-04-28,2302.0,480.0,365.0,300.0,979.0,1014795.0,2256.0,382.0
2020-04-29,2793.0,591.0,453.0,353.0,1132.0,1015843.0,2709.0,453.0
2020-04-30,3371.0,694.0,552.0,413.0,1402.0,1016044.0,3270.0,561.0
2020-05-01,3877.0,839.0,664.0,504.0,1689.0,1014501.0,3961.0,691.0
2020-05-02,4674.0,1014.0,786.0,629.0,2029.0,1012018.0,4741.0,780.0
2020-05-03,5737.0,1207.0,980.0,731.0,2451.0,1009974.0,5683.0,942.0
2020-05-04,6896.0,1491.0,1151.0,894.0,3021.0,1008128.0,6897.0,1214.0
2020-05-05,8321.0,1798.0,1335.0,1032.0,3631.0,1006524.0,8264.0,1367.0
2020-05-06,10026.0,2088.0,1628.0,1271.0,4266.0,1003493.0,9924.0,1660.0
2020-05-07,12089.0,2506.0,1985.0,1500.0,5177.0,999291.0,11898.0,1974.0
2020-05-08,14411.0,3094.0,2305.0,1818.0,6234.0,996110.0,14283.0,2385.0
2020-05-09,17068.0,3692.0,2715.0,2258.0,7544.0,989679.0,17112.0,2829.0
2020-05-10,20671.0,4468.0,3451.0,2569.0,9097.0,983525.0,20616.0,3504.0
2020-05-11,24576.0,5306.0,4064.0,3140.0,10904.0,975362.0,24657.0,4041.0
2020-05-12,29560.0,6320.0,4843.0,3830.0,13083.0,966085.0,29599.0,4942.0
2020-05-13,35378.0,7541.0,5831.0,4570.0,15842.0,954307.0,35527.0,5928.0
2020-05-14,42027.0,9039.0,7064.0,5383.0,19007.0,940718.0,42576.0,7049.0
2020-05-15,49803.0,10769.0,8506.0,6563.0,22723.0,926039.0,51063.0,8487.0
2020-05-16,58186.0,12787.0,9969.0,7880.0,27107.0,909037.0,61063.0,10000.0
2020-05-17,68280.0,15004.0,11818.0,9344.0,32676.0,887022.0,72656.0,11593.0
2020-05-18,79754.0,17658.0,14007.0,10986.0,39441.0,861829.0,86386.0,13730.0
2020-05-19,92522.0,20513.0,16488.0,12957.0,47015.0,835156.0,102252.0,15866.0
2020-05-20,106599.0,23580.0,19036.0,15245.0,55877.0,803461.0,120350.0,18098.0
2020-05-21,121965.0,27167.0,22088.0,17668.0,66823.0,769054.0,141308.0,20958.0
2020-05-22,137718.0,31122.0,25684.0,20630.0,78643.0,730312.0,165277.0,23969.0
2020-05-23,154261.0,35396.0,29498.0,23870.0,92697.0,688724.0,192060.0,26783.0
2020-05-24,170338.0,40042.0,33111.0,27460.0,108593.0,643971.0,222197.0,30137.0
2020-05-25,186796.0,44466.0,37614.0,31197.0,127532.0,597160.0,255268.0,33071.0
2020-05-26,201732.0,48660.0,41327.0,35693.0,148819.0,550003.0,291098.0,35830.0
2020-05-27,213993.0,52857.0,45866.0,39372.0,173696.0,502174.0,330125.0,39027.0
2020-05-28,223514.0,56327.0,49810.0,43449.0,199519.0,453265.0,371150.0,41025.0
2020-05-29,230673.0,59091.0,53740.0,47489.0,229111.0,406409.0,413653.0,42503.0
2020-05-30,234597.0,61299.0,56525.0,51216.0,261342.0,362908.0,457100.0,43447.0
2020-05-31,234826.0,62236.0,59201.0,54590.0,295016.0,321087.0,500904.0,43804.0
2020-06-01,231248.0,62804.0,60955.0,57084.0,330280.0,283650.0,544578.0,43674.0
2020-06-02,224843.0,63218.0,61912.0,58862.0,368321.0,248862.0,587646.0,43068.0
2020-06-03,216059.0,61631.0,61965.0,60490.0,406542.0,219498.0,629406.0,41760.0
2020-06-04,205357.0,59691.0,60928.0,60897.0,445627.0,194487.0,669452.0,40046.0
2020-06-05,192949.0,56971.0,59460.0,60621.0,485261.0,172438.0,707218.0,37766.0
2020-06-06,180061.0,53839.0,57264.0,59405.0,523966.0,153130.0,742433.0,35215.0
2020-06-07,165864.0,50648.0,55137.0,57660.0,562205.0,136438.0,775349.0,32916.0
2020-06-08,151688.0,46916.0,51962.0,55394.0,598502.0,123102.0,805377.0,30028.0
2020-06-09,138606.0,43037.0,48672.0,52529.0,632825.0,111176.0,832856.0,27479.0
2020-06-10,125644.0,39768.0,45109.0,49913.0,665342.0,101348.0,858050.0,25194.0
2020-06-11,113202.0,36523.0,41432.0,46359.0,696041.0,93404.0,881031.0,22981.0
2020-06-12,101646.0,32805.0,38509.0,42955.0,725153.0,86034.0,901358.0,20327.0
2020-06-13,90504.0,29792.0,34954.0,39413.0,751741.0,80106.0,919840.0,18482.0
2020-06-14,81112.0,26792.0,31692.0,36015.0,776001.0,75713.0,936302.0,16462.0
2020-06-15,72775.0,24153.0,28287.0,32893.0,797921.0,71121.0,951070.0,14768.0
2020-06-16,64603.0,21771.0,25711.0,30094.0,818660.0,67446.0,964224.0,13154.0
2020-06-17,57380.0,19252.0,22865.0,27176.0,837420.0,64348.0,976018.0,11794.0
2020-06-18,50579.0,17088.0,20524.0,24465.0,854084.0,61319.0,986655.0,10637.0
2020-06-19,44571.0,15091.0,18726.0,21939.0,868971.0,59187.0,995859.0,9204.0
2020-06-20,39576.0,13179.0,16460.0,19671.0,881311.0,57178.0,1003839.0,7980.0
2020-06-21,34653.0,11752.0,14543.0,17636.0,893842.0,55852.0,1011014.0,7175.0
2020-06-22,30472.0,10340.0,12820.0,15664.0,905099.0,54437.0,1017279.0,6265.0
2020-06-23,26586.0,9306.0,11275.0,13748.0,915040.0,52864.0,1022886.0,5607.0
2020-06-24,23343.0,8132.0,10155.0,12006.0,922827.0,51903.0,1027629.0,4743.0
2020-06-25,20457.0,7145.0,8963.0,10774.0,930780.0,50826.0,1031828.0,4199.0
2020-06-26,17872.0,6423.0,7813.0,9518.0,936446.0,50219.0,1035542.0,3714.0
2020-06-27,15690.0,5461.0,6881.0,8587.0,942506.0,49595.0,1038751.0,3209.0
2020-06-28,14047.0,4816.0,6017.0,7323.0,947174.0,48969.0,1041575.0,2824.0
2020-06-29,12315.0,4240.0,5201.0,6600.0,951783.0,48464.0,1044121.0,2546.0
2020-06-30,10670.0,3750.0,4573.0,5844.0,954635.0,48297.0,1046371.0,2250.0
2020-07-01,9416.0,3199.0,4003.0,5121.0,959956.0,48153.0,1048249.0,1878.0
2020-07-02,8228.0,2800.0,3596.0,4421.0,963496.0,47876.0,1049943.0,1694.0
2020-07-03,7370.0,2473.0,3088.0,3870.0,965626.0,47604.0,1051417.0,1474.0
2020-07-04,6336.0,2108.0,2703.0,3371.0,968925.0,47248.0,1052709.0,1292.0
2020-07-05,5490.0,1920.0,2331.0,3016.0,969756.0,46694.0,1053888.0,1179.0
2020-07-06,4797.0,1747.0,2110.0,2695.0,971050.0,46654.0,1054921.0,1033.0
