time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970647.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,1.0,0.0,972001.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,980599.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,987736.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,991948.0,0.0,0.0
2020-03-11,3.0,2.0,0.0,0.0,1.0,997321.0,1.0,1.0
2020-03-12,5.0,1.0,0.0,0.0,2.0,1001323.0,1.0,0.0
2020-03-13,5.0,1.0,2.0,0.0,2.0,1003638.0,2.0,1.0
2020-03-14,6.0,3.0,0.0,1.0,2.0,1005625.0,3.0,1.0
2020-03-15,4.0,2.0,2.0,1.0,1.0,1007024.0,5.0,2.0
2020-03-16,8.0,0.0,3.0,1.0,0.0,1009758.0,6.0,1.0
2020-03-17,9.0,2.0,2.0,0.0,3.0,1009529.0,8.0,2.0
2020-03-18,8.0,5.0,1.0,1.0,2.0,1010842.0,12.0,4.0
2020-03-19,6.0,3.0,2.0,0.0,3.0,1010886.0,13.0,1.0
2020-03-20,10.0,5.0,1.0,1.0,3.0,1011545.0,14.0,1.0
2020-03-21,12.0,4.0,2.0,0.0,4.0,1011461.0,16.0,2.0
2020-03-22,14.0,3.0,1.0,0.0,8.0,1012576.0,18.0,2.0
2020-03-23,13.0,2.0,3.0,1.0,8.0,1012953.0,18.0,0.0
2020-03-24,17.0,3.0,5.0,1.0,9.0,1014037.0,22.0,4.0
2020-03-25,20.0,3.0,5.0,5.0,9.0,1014486.0,25.0,3.0
2020-03-26,22.0,5.0,4.0,6.0,8.0,1014248.0,29.0,4.0
2020-03-27,29.0,6.0,6.0,3.0,9.0,1014426.0,33.0,4.0
2020-03-28,37.0,5.0,6.0,4.0,19.0,1014632.0,38.0,5.0
2020-03-29,43.0,8.0,12.0,5.0,21.0,1015299.0,47.0,9.0
2020-03-30,49.0,11.0,5.0,9.0,25.0,1015781.0,57.0,10.0
2020-03-31,57.0,4.0,10.0,2.0,29.0,1016094.0,61.0,4.0
2020-04-01,50.0,7.0,6.0,5.0,25.0,1017135.0,66.0,5.0
2020-04-02,71.0,14.0,11.0,8.0,31.0,1017072.0,79.0,13.0
2020-04-03,99.0,26.0,15.0,9.0,40.0,1016781.0,97.0,18.0
2020-04-04,122.0,29.0,29.0,11.0,49.0,1017265.0,119.0,22.0
2020-04-05,148.0,30.0,31.0,20.0,55.0,1017404.0,140.0,21.0
2020-04-06,166.0,25.0,31.0,23.0,71.0,1017637.0,166.0,26.0
2020-04-07,184.0,41.0,29.0,37.0,76.0,1018412.0,203.0,37.0
2020-04-08,246.0,50.0,45.0,26.0,99.0,1017833.0,245.0,42.0
2020-04-09,304.0,59.0,52.0,34.0,123.0,1018771.0,298.0,53.0
2020-04-10,378.0,85.0,59.0,47.0,144.0,1018844.0,365.0,67.0
2020-04-11,453.0,79.0,60.0,47.0,176.0,1018925.0,428.0,63.0
2020-04-12,524.0,103.0,78.0,49.0,206.0,1018012.0,510.0,82.0
2020-04-13,567.0,131.0,84.0,66.0,240.0,1018378.0,623.0,113.0
2020-04-14,716.0,158.0,131.0,85.0,307.0,1018084.0,744.0,121.0
2020-04-15,822.0,189.0,126.0,124.0,348.0,1017522.0,903.0,159.0
2020-04-16,1014.0,211.0,201.0,132.0,441.0,1018684.0,1088.0,185.0
2020-04-17,1214.0,261.0,177.0,161.0,535.0,1018535.0,1274.0,186.0
2020-04-18,1499.0,314.0,267.0,161.0,632.0,1017568.0,1511.0,237.0
2020-04-19,1767.0,350.0,270.0,240.0,753.0,1016456.0,1787.0,276.0
2020-04-20,2148.0,425.0,328.0,248.0,901.0,1016820.0,2143.0,356.0
2020-04-21,2483.0,535.0,403.0,289.0,1108.0,1015452.0,2601.0,458.0
2020-04-22,3051.0,649.0,487.0,392.0,1345.0,1015985.0,3114.0,513.0
2020-04-23,3761.0,797.0,590.0,473.0,1611.0,1015951.0,3710.0,596.0
2020-04-24,4400.0,953.0,718.0,549.0,1940.0,1014975.0,4496.0,786.0
2020-04-25,5273.0,1130.0,849.0,679.0,2342.0,1013698.0,5406.0,910.0
2020-04-26,6333.0,1360.0,1030.0,822.0,2797.0,1010369.0,6480.0,1074.0
2020-04-27,7807.0,1659.0,1251.0,988.0,3253.0,1006704.0,7774.0,1294.0
2020-04-28,9460.0,1972.0,1520.0,1169.0,3931.0,1003149.0,9266.0,1492.0
2020-04-29,11302.0,2273.0,1876.0,1409.0,4787.0,998957.0,11105.0,1839.0
2020-04-30,13386.0,2863.0,2191.0,1706.0,5791.0,996448.0,13441.0,2336.0
2020-05-01,16052.0,3388.0,2602.0,1985.0,6932.0,991307.0,16033.0,2592.0
