time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970631.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,972952.0,1.0,1.0
2020-03-08,3.0,0.0,0.0,1.0,0.0,979494.0,1.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,986941.0,3.0,2.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,992743.0,3.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,996409.0,3.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,998751.0,3.0,0.0
2020-03-13,2.0,2.0,1.0,0.0,0.0,1002560.0,4.0,1.0
2020-03-14,6.0,1.0,0.0,0.0,1.0,1006373.0,4.0,0.0
2020-03-15,3.0,0.0,1.0,1.0,1.0,1008236.0,4.0,0.0
2020-03-16,5.0,1.0,1.0,3.0,1.0,1008237.0,5.0,1.0
2020-03-17,6.0,2.0,0.0,2.0,0.0,1009237.0,6.0,1.0
2020-03-18,8.0,2.0,0.0,1.0,0.0,1008932.0,7.0,1.0
2020-03-19,6.0,2.0,1.0,1.0,2.0,1011768.0,8.0,1.0
2020-03-20,12.0,2.0,2.0,0.0,3.0,1012992.0,8.0,0.0
2020-03-21,15.0,2.0,1.0,2.0,4.0,1013640.0,8.0,0.0
2020-03-22,16.0,2.0,0.0,2.0,5.0,1013658.0,10.0,2.0
2020-03-23,21.0,0.0,2.0,0.0,3.0,1014270.0,11.0,1.0
2020-03-24,21.0,2.0,0.0,1.0,5.0,1013796.0,13.0,2.0
2020-03-25,16.0,2.0,1.0,0.0,6.0,1014867.0,17.0,4.0
2020-03-26,21.0,4.0,4.0,0.0,7.0,1014987.0,23.0,6.0
2020-03-27,21.0,3.0,7.0,2.0,13.0,1013964.0,27.0,4.0
2020-03-28,30.0,5.0,4.0,6.0,13.0,1014186.0,29.0,2.0
2020-03-29,32.0,8.0,5.0,9.0,13.0,1014970.0,33.0,4.0
2020-03-30,51.0,14.0,7.0,5.0,20.0,1015881.0,44.0,11.0
2020-03-31,63.0,22.0,9.0,8.0,27.0,1015948.0,57.0,13.0
2020-04-01,73.0,13.0,9.0,7.0,33.0,1016364.0,65.0,8.0
2020-04-02,83.0,19.0,15.0,16.0,36.0,1016699.0,81.0,16.0
2020-04-03,109.0,26.0,23.0,13.0,44.0,1016748.0,94.0,13.0
2020-04-04,114.0,26.0,17.0,21.0,57.0,1015536.0,117.0,23.0
2020-04-05,140.0,34.0,20.0,17.0,59.0,1017817.0,145.0,28.0
2020-04-06,163.0,37.0,25.0,27.0,63.0,1018453.0,175.0,30.0
2020-04-07,193.0,41.0,28.0,20.0,96.0,1016774.0,209.0,34.0
2020-04-08,219.0,59.0,49.0,27.0,107.0,1017001.0,262.0,53.0
2020-04-09,287.0,63.0,55.0,48.0,129.0,1017284.0,305.0,43.0
2020-04-10,348.0,81.0,70.0,55.0,146.0,1017551.0,367.0,62.0
2020-04-11,411.0,87.0,69.0,64.0,190.0,1018373.0,441.0,74.0
2020-04-12,468.0,109.0,89.0,72.0,219.0,1018276.0,537.0,96.0
2020-04-13,582.0,136.0,102.0,65.0,265.0,1018916.0,639.0,102.0
2020-04-14,717.0,148.0,98.0,102.0,307.0,1017531.0,756.0,117.0
2020-04-15,924.0,205.0,135.0,107.0,350.0,1018332.0,905.0,149.0
2020-04-16,1075.0,229.0,201.0,118.0,450.0,1016572.0,1093.0,188.0
2020-04-17,1297.0,288.0,213.0,149.0,543.0,1016523.0,1317.0,224.0
2020-04-18,1566.0,318.0,257.0,176.0,655.0,1015922.0,1569.0,252.0
2020-04-19,1868.0,378.0,302.0,217.0,788.0,1015042.0,1879.0,310.0
2020-04-20,2262.0,468.0,359.0,290.0,946.0,1015490.0,2230.0,351.0
2020-04-21,2687.0,558.0,436.0,364.0,1142.0,1014654.0,2680.0,450.0
2020-04-22,3239.0,662.0,520.0,405.0,1345.0,1013884.0,3212.0,532.0
2020-04-23,3804.0,842.0,616.0,469.0,1645.0,1013158.0,3860.0,648.0
