time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970674.0,0.0,0.0
2020-03-07,3.0,1.0,0.0,0.0,0.0,973222.0,0.0,0.0
2020-03-08,4.0,1.0,0.0,0.0,0.0,980447.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,988064.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992274.0,2.0,2.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,997132.0,2.0,0.0
2020-03-12,0.0,1.0,1.0,0.0,0.0,1000536.0,2.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,1004006.0,2.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,0.0,1005752.0,2.0,0.0
2020-03-15,2.0,0.0,1.0,0.0,0.0,1006797.0,3.0,1.0
2020-03-16,2.0,0.0,0.0,1.0,1.0,1007087.0,3.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,2.0,1008371.0,3.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1009014.0,3.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,2.0,1010797.0,3.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,2.0,1010831.0,3.0,0.0
2020-03-21,1.0,0.0,0.0,2.0,1.0,1012395.0,3.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,2.0,1014030.0,3.0,0.0
2020-03-23,2.0,0.0,0.0,0.0,1.0,1014835.0,3.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,1.0,1015454.0,3.0,0.0
2020-03-25,0.0,1.0,0.0,0.0,1.0,1014248.0,4.0,1.0
2020-03-26,3.0,1.0,0.0,1.0,4.0,1014966.0,5.0,1.0
2020-03-27,3.0,2.0,0.0,0.0,6.0,1013875.0,5.0,0.0
2020-03-28,1.0,0.0,0.0,0.0,6.0,1015500.0,5.0,0.0
2020-03-29,4.0,1.0,0.0,0.0,5.0,1015614.0,6.0,1.0
2020-03-30,6.0,1.0,2.0,0.0,3.0,1015556.0,7.0,1.0
2020-03-31,7.0,1.0,2.0,0.0,2.0,1017575.0,7.0,0.0
2020-04-01,8.0,2.0,2.0,1.0,5.0,1016571.0,7.0,0.0
2020-04-02,10.0,4.0,2.0,1.0,5.0,1016541.0,11.0,4.0
2020-04-03,18.0,6.0,2.0,2.0,4.0,1016415.0,14.0,3.0
2020-04-04,28.0,8.0,9.0,2.0,7.0,1015773.0,20.0,6.0
2020-04-05,36.0,12.0,5.0,4.0,9.0,1015980.0,26.0,6.0
2020-04-06,30.0,13.0,8.0,8.0,10.0,1017956.0,40.0,14.0
2020-04-07,50.0,7.0,11.0,8.0,16.0,1018922.0,49.0,9.0
2020-04-08,49.0,11.0,10.0,4.0,20.0,1019990.0,62.0,13.0
2020-04-09,56.0,14.0,11.0,7.0,26.0,1019055.0,73.0,11.0
2020-04-10,75.0,15.0,9.0,11.0,27.0,1020123.0,83.0,10.0
2020-04-11,86.0,20.0,10.0,10.0,33.0,1018680.0,98.0,15.0
2020-04-12,96.0,34.0,14.0,8.0,36.0,1018131.0,122.0,24.0
2020-04-13,127.0,28.0,21.0,21.0,41.0,1017855.0,142.0,20.0
2020-04-14,171.0,35.0,35.0,18.0,60.0,1016804.0,168.0,26.0
2020-04-15,205.0,43.0,30.0,28.0,63.0,1017502.0,196.0,28.0
2020-04-16,234.0,45.0,45.0,26.0,77.0,1017807.0,235.0,39.0
2020-04-17,264.0,59.0,47.0,35.0,111.0,1017671.0,287.0,52.0
2020-04-18,320.0,72.0,47.0,40.0,127.0,1018708.0,341.0,54.0
2020-04-19,404.0,104.0,65.0,45.0,153.0,1018226.0,420.0,79.0
2020-04-20,476.0,117.0,85.0,60.0,187.0,1018261.0,511.0,91.0
2020-04-21,585.0,122.0,99.0,80.0,227.0,1019420.0,611.0,100.0
2020-04-22,693.0,145.0,117.0,101.0,292.0,1019281.0,727.0,116.0
2020-04-23,870.0,164.0,120.0,123.0,342.0,1019197.0,852.0,125.0
2020-04-24,972.0,201.0,149.0,120.0,420.0,1019840.0,1005.0,153.0
2020-04-25,1099.0,250.0,188.0,143.0,498.0,1020675.0,1203.0,198.0
2020-04-26,1315.0,278.0,221.0,188.0,613.0,1020282.0,1414.0,211.0
2020-04-27,1588.0,323.0,256.0,210.0,733.0,1020842.0,1672.0,258.0
2020-04-28,1977.0,431.0,335.0,253.0,882.0,1019014.0,1996.0,324.0
2020-04-29,2413.0,537.0,404.0,302.0,1064.0,1018672.0,2437.0,441.0
2020-04-30,2944.0,643.0,479.0,385.0,1240.0,1016675.0,2961.0,524.0
2020-05-01,3554.0,726.0,617.0,449.0,1496.0,1014993.0,3535.0,574.0
2020-05-02,4221.0,906.0,713.0,543.0,1769.0,1014097.0,4274.0,739.0
2020-05-03,5025.0,1100.0,828.0,636.0,2148.0,1013940.0,5150.0,876.0
2020-05-04,6154.0,1367.0,998.0,771.0,2674.0,1011534.0,6210.0,1060.0
2020-05-05,7609.0,1592.0,1229.0,958.0,3189.0,1009629.0,7422.0,1212.0
2020-05-06,9020.0,1919.0,1468.0,1130.0,3916.0,1007144.0,8940.0,1518.0
2020-05-07,10907.0,2240.0,1829.0,1363.0,4670.0,1003513.0,10721.0,1781.0
2020-05-08,13158.0,2716.0,2165.0,1619.0,5685.0,999233.0,12875.0,2154.0
2020-05-09,15682.0,3298.0,2590.0,2003.0,6763.0,994409.0,15482.0,2607.0
2020-05-10,18901.0,3975.0,3120.0,2398.0,8176.0,988773.0,18652.0,3170.0
2020-05-11,22411.0,4819.0,3712.0,2872.0,9796.0,981850.0,22550.0,3898.0
2020-05-12,26861.0,5805.0,4398.0,3461.0,11954.0,974041.0,27063.0,4513.0
2020-05-13,32397.0,6684.0,5333.0,4027.0,14416.0,963087.0,32297.0,5234.0
2020-05-14,38092.0,8161.0,6526.0,4855.0,17301.0,950115.0,38808.0,6511.0
2020-05-15,45591.0,9737.0,7542.0,6005.0,20753.0,935904.0,46316.0,7508.0
2020-05-16,54159.0,11716.0,9155.0,7061.0,25054.0,917785.0,55481.0,9165.0
2020-05-17,63149.0,13951.0,10981.0,8569.0,29920.0,897963.0,66388.0,10907.0
2020-05-18,74387.0,16313.0,12886.0,10219.0,35720.0,875612.0,79019.0,12631.0
2020-05-19,86455.0,19069.0,15134.0,12013.0,43205.0,849074.0,93822.0,14803.0
2020-05-20,99506.0,22056.0,17350.0,14093.0,51447.0,819999.0,110965.0,17143.0
2020-05-21,114384.0,25409.0,20693.0,16503.0,61131.0,786086.0,130637.0,19672.0
2020-05-22,129917.0,29329.0,23680.0,19568.0,72657.0,749514.0,153190.0,22553.0
2020-05-23,146501.0,33959.0,27599.0,22309.0,86442.0,709193.0,178689.0,25499.0
2020-05-24,163514.0,38130.0,31499.0,26176.0,102001.0,665543.0,207457.0,28768.0
