time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970135.0,0.0,0.0
2020-03-07,2.0,1.0,2.0,1.0,0.0,973192.0,1.0,1.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,979743.0,2.0,1.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,985990.0,2.0,0.0
2020-03-10,2.0,1.0,2.0,1.0,0.0,992979.0,4.0,2.0
2020-03-11,3.0,1.0,1.0,2.0,0.0,997298.0,5.0,1.0
2020-03-12,3.0,0.0,1.0,0.0,2.0,1000764.0,5.0,0.0
2020-03-13,5.0,3.0,1.0,0.0,2.0,1003074.0,7.0,2.0
2020-03-14,7.0,3.0,0.0,2.0,1.0,1006312.0,8.0,1.0
2020-03-15,8.0,1.0,1.0,2.0,3.0,1005351.0,9.0,1.0
2020-03-16,8.0,0.0,2.0,0.0,5.0,1007476.0,10.0,1.0
2020-03-17,12.0,1.0,2.0,2.0,4.0,1009509.0,11.0,1.0
2020-03-18,9.0,3.0,1.0,0.0,9.0,1010160.0,13.0,2.0
2020-03-19,7.0,1.0,4.0,1.0,7.0,1010579.0,17.0,4.0
2020-03-20,9.0,1.0,2.0,2.0,7.0,1011614.0,18.0,1.0
2020-03-21,10.0,3.0,1.0,1.0,9.0,1010922.0,19.0,1.0
2020-03-22,14.0,2.0,3.0,1.0,5.0,1012742.0,20.0,1.0
2020-03-23,12.0,3.0,4.0,3.0,5.0,1013329.0,24.0,4.0
2020-03-24,18.0,4.0,4.0,1.0,10.0,1014955.0,26.0,2.0
2020-03-25,21.0,7.0,3.0,3.0,16.0,1015052.0,32.0,6.0
2020-03-26,31.0,9.0,3.0,6.0,16.0,1016593.0,37.0,5.0
2020-03-27,38.0,9.0,8.0,7.0,23.0,1016664.0,45.0,8.0
2020-03-28,39.0,8.0,9.0,8.0,24.0,1016694.0,54.0,9.0
2020-03-29,51.0,11.0,6.0,8.0,29.0,1016446.0,60.0,6.0
2020-03-30,67.0,13.0,10.0,10.0,34.0,1015296.0,69.0,9.0
2020-03-31,91.0,20.0,15.0,8.0,44.0,1015383.0,79.0,10.0
2020-04-01,99.0,26.0,22.0,11.0,47.0,1015334.0,100.0,21.0
2020-04-02,112.0,22.0,17.0,18.0,58.0,1016001.0,116.0,16.0
2020-04-03,140.0,26.0,26.0,17.0,71.0,1016515.0,143.0,27.0
2020-04-04,181.0,33.0,39.0,23.0,72.0,1016240.0,172.0,29.0
2020-04-05,213.0,47.0,38.0,20.0,100.0,1016137.0,214.0,42.0
2020-04-06,256.0,52.0,41.0,42.0,116.0,1015780.0,254.0,40.0
2020-04-07,307.0,57.0,47.0,38.0,141.0,1015205.0,300.0,46.0
2020-04-08,338.0,91.0,63.0,45.0,175.0,1015297.0,365.0,65.0
2020-04-09,447.0,89.0,75.0,65.0,220.0,1016237.0,434.0,69.0
2020-04-10,551.0,101.0,79.0,86.0,240.0,1016281.0,516.0,82.0
2020-04-11,665.0,119.0,102.0,91.0,300.0,1015263.0,618.0,102.0
2020-04-12,778.0,147.0,143.0,92.0,335.0,1015427.0,731.0,113.0
2020-04-13,964.0,167.0,142.0,117.0,412.0,1017086.0,859.0,128.0
2020-04-14,1107.0,239.0,174.0,112.0,522.0,1014969.0,1036.0,177.0
2020-04-15,1317.0,272.0,207.0,174.0,595.0,1014509.0,1243.0,207.0
2020-04-16,1603.0,325.0,248.0,185.0,686.0,1014215.0,1503.0,260.0
2020-04-17,1915.0,420.0,305.0,207.0,814.0,1013123.0,1841.0,338.0
2020-04-18,2259.0,484.0,378.0,279.0,952.0,1012719.0,2232.0,391.0
2020-04-19,2686.0,616.0,447.0,346.0,1124.0,1012321.0,2693.0,461.0
2020-04-20,3226.0,676.0,561.0,427.0,1379.0,1012833.0,3227.0,534.0
2020-04-21,3918.0,820.0,608.0,522.0,1718.0,1012878.0,3878.0,651.0
2020-04-22,4747.0,981.0,798.0,593.0,2053.0,1011071.0,4680.0,802.0
2020-04-23,5711.0,1213.0,944.0,655.0,2516.0,1010608.0,5658.0,978.0
2020-04-24,6948.0,1417.0,1136.0,860.0,2958.0,1007402.0,6755.0,1097.0
2020-04-25,8357.0,1745.0,1346.0,1033.0,3617.0,1004307.0,8130.0,1375.0
2020-04-26,10060.0,2132.0,1605.0,1287.0,4293.0,1001617.0,9806.0,1676.0
2020-04-27,12076.0,2565.0,2043.0,1505.0,5231.0,997250.0,11849.0,2043.0
2020-04-28,14595.0,3159.0,2393.0,1871.0,6287.0,992647.0,14325.0,2476.0
2020-04-29,17164.0,3684.0,2877.0,2189.0,7661.0,987081.0,17274.0,2949.0
2020-04-30,20767.0,4378.0,3433.0,2690.0,9206.0,981782.0,20675.0,3401.0
2020-05-01,24812.0,5318.0,4042.0,3209.0,11145.0,973102.0,24868.0,4193.0
2020-05-02,29524.0,6296.0,4879.0,3839.0,13351.0,965049.0,29798.0,4930.0
2020-05-03,35318.0,7435.0,5934.0,4654.0,15891.0,953784.0,35740.0,5942.0
2020-05-04,41954.0,8983.0,7029.0,5466.0,19066.0,939978.0,42805.0,7065.0
2020-05-05,49751.0,10759.0,8388.0,6482.0,22761.0,923755.0,51334.0,8529.0
2020-05-06,58663.0,12683.0,9933.0,7736.0,27498.0,905895.0,61097.0,9763.0
2020-05-07,68429.0,14969.0,11850.0,9334.0,32585.0,884517.0,72685.0,11588.0
2020-05-08,79807.0,17623.0,14016.0,10970.0,39135.0,860125.0,86300.0,13615.0
2020-05-09,92901.0,20573.0,16244.0,13019.0,46627.0,833450.0,102120.0,15820.0
2020-05-10,107059.0,23892.0,19334.0,15069.0,55727.0,802652.0,120546.0,18426.0
2020-05-11,122187.0,27669.0,22466.0,18100.0,66079.0,767653.0,141712.0,21166.0
2020-05-12,137782.0,31676.0,25596.0,20876.0,78734.0,729024.0,166039.0,24327.0
2020-05-13,153944.0,35954.0,29371.0,24280.0,93167.0,687397.0,193363.0,27324.0
2020-05-14,170876.0,40365.0,33561.0,27767.0,109721.0,641979.0,223674.0,30311.0
2020-05-15,186834.0,44211.0,37693.0,31466.0,128449.0,594260.0,256811.0,33137.0
2020-05-16,201052.0,48836.0,41876.0,35414.0,150020.0,545659.0,292847.0,36036.0
2020-05-17,213615.0,52379.0,46092.0,39627.0,173722.0,498042.0,331400.0,38553.0
2020-05-18,223329.0,56011.0,49959.0,43567.0,200667.0,449844.0,372247.0,40847.0
2020-05-19,230639.0,58698.0,53336.0,47404.0,230262.0,404306.0,414388.0,42141.0
2020-05-20,233491.0,61396.0,56513.0,50621.0,262292.0,359724.0,457811.0,43423.0
2020-05-21,233922.0,62750.0,58969.0,54251.0,296376.0,319363.0,501588.0,43777.0
2020-05-22,230893.0,62872.0,60868.0,56786.0,331854.0,281855.0,545063.0,43475.0
2020-05-23,224872.0,61993.0,61700.0,58712.0,368954.0,248282.0,587531.0,42468.0
2020-05-24,215070.0,60900.0,61387.0,60187.0,407821.0,219570.0,629128.0,41597.0
2020-05-25,203727.0,59100.0,60966.0,60331.0,446935.0,193675.0,668932.0,39804.0
2020-05-26,191566.0,56530.0,59586.0,59985.0,485712.0,171442.0,706109.0,37177.0
2020-05-27,178078.0,53855.0,57471.0,59150.0,523746.0,152321.0,741318.0,35209.0
2020-05-28,165124.0,50540.0,54697.0,57376.0,561806.0,136163.0,773770.0,32452.0
2020-05-29,150888.0,46886.0,51443.0,55102.0,598644.0,122181.0,803760.0,29990.0
2020-05-30,137299.0,43203.0,48228.0,52463.0,632928.0,110661.0,830971.0,27211.0
2020-05-31,124151.0,39620.0,44792.0,49805.0,666497.0,100794.0,856065.0,25094.0
2020-06-01,111922.0,35997.0,41326.0,46385.0,696571.0,92667.0,878728.0,22663.0
2020-06-02,100674.0,32689.0,37789.0,42982.0,725315.0,85727.0,899045.0,20317.0
2020-06-03,90285.0,29374.0,34487.0,39700.0,751003.0,80382.0,917178.0,18133.0
2020-06-04,80448.0,26524.0,31010.0,36204.0,776276.0,75165.0,933432.0,16254.0
2020-06-05,71579.0,23745.0,28056.0,32866.0,799075.0,70945.0,947809.0,14377.0
2020-06-06,63588.0,21062.0,25264.0,30046.0,819065.0,67251.0,960734.0,12925.0
2020-06-07,56366.0,18767.0,22507.0,26985.0,836861.0,64387.0,972164.0,11430.0
2020-06-08,49926.0,16543.0,20189.0,24189.0,853898.0,62058.0,982139.0,9975.0
2020-06-09,44285.0,14911.0,18050.0,21549.0,868284.0,59756.0,991314.0,9175.0
2020-06-10,39109.0,13174.0,16112.0,19420.0,881715.0,57451.0,999232.0,7918.0
2020-06-11,34312.0,11575.0,14434.0,17378.0,895139.0,55809.0,1006204.0,6972.0
