time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970218.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,972699.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,980448.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,987185.0,0.0,0.0
2020-03-10,2.0,2.0,0.0,0.0,0.0,992327.0,1.0,1.0
2020-03-11,1.0,1.0,0.0,2.0,0.0,996639.0,2.0,1.0
2020-03-12,1.0,2.0,0.0,1.0,1.0,1000347.0,3.0,1.0
2020-03-13,2.0,0.0,1.0,0.0,2.0,1002365.0,4.0,1.0
2020-03-14,0.0,0.0,0.0,1.0,3.0,1004348.0,4.0,0.0
2020-03-15,2.0,0.0,0.0,1.0,2.0,1007247.0,4.0,0.0
2020-03-16,2.0,0.0,1.0,1.0,1.0,1008469.0,5.0,1.0
2020-03-17,2.0,1.0,0.0,1.0,2.0,1008676.0,6.0,1.0
2020-03-18,5.0,0.0,0.0,0.0,4.0,1009513.0,6.0,0.0
2020-03-19,5.0,1.0,0.0,0.0,4.0,1011406.0,7.0,1.0
2020-03-20,8.0,2.0,1.0,0.0,5.0,1011233.0,8.0,1.0
2020-03-21,10.0,2.0,2.0,2.0,6.0,1011097.0,9.0,1.0
2020-03-22,14.0,2.0,3.0,2.0,7.0,1011370.0,11.0,2.0
2020-03-23,16.0,2.0,1.0,1.0,7.0,1010971.0,15.0,4.0
2020-03-24,16.0,3.0,5.0,2.0,6.0,1013151.0,19.0,4.0
2020-03-25,16.0,0.0,3.0,3.0,7.0,1014088.0,19.0,0.0
2020-03-26,19.0,1.0,2.0,3.0,7.0,1013889.0,21.0,2.0
2020-03-27,22.0,5.0,0.0,1.0,14.0,1015847.0,25.0,4.0
2020-03-28,24.0,2.0,3.0,5.0,13.0,1016400.0,29.0,4.0
2020-03-29,26.0,3.0,2.0,3.0,17.0,1015308.0,31.0,2.0
2020-03-30,41.0,5.0,6.0,5.0,16.0,1015518.0,36.0,5.0
2020-03-31,41.0,10.0,5.0,5.0,14.0,1015708.0,45.0,9.0
2020-04-01,62.0,9.0,9.0,4.0,24.0,1015722.0,52.0,7.0
2020-04-02,71.0,15.0,5.0,5.0,26.0,1016030.0,63.0,11.0
2020-04-03,71.0,15.0,11.0,5.0,31.0,1017679.0,73.0,10.0
2020-04-04,93.0,16.0,8.0,9.0,28.0,1017721.0,85.0,12.0
2020-04-05,107.0,18.0,13.0,14.0,38.0,1018051.0,102.0,17.0
2020-04-06,126.0,31.0,28.0,12.0,47.0,1017009.0,129.0,27.0
2020-04-07,159.0,31.0,24.0,18.0,61.0,1016807.0,155.0,26.0
2020-04-08,195.0,35.0,28.0,19.0,79.0,1017205.0,185.0,30.0
2020-04-09,200.0,43.0,33.0,21.0,92.0,1018028.0,229.0,44.0
2020-04-10,262.0,47.0,41.0,29.0,113.0,1016327.0,270.0,41.0
2020-04-11,314.0,67.0,56.0,42.0,144.0,1015927.0,328.0,58.0
2020-04-12,393.0,67.0,74.0,59.0,160.0,1016917.0,380.0,52.0
2020-04-13,453.0,97.0,58.0,55.0,206.0,1018436.0,465.0,85.0
2020-04-14,554.0,117.0,87.0,59.0,239.0,1018039.0,540.0,75.0
2020-04-15,660.0,140.0,96.0,90.0,279.0,1018147.0,653.0,113.0
2020-04-16,843.0,183.0,133.0,108.0,336.0,1017837.0,799.0,146.0
2020-04-17,1042.0,214.0,177.0,129.0,433.0,1016851.0,969.0,170.0
2020-04-18,1280.0,265.0,186.0,143.0,549.0,1017549.0,1170.0,201.0
2020-04-19,1531.0,348.0,234.0,166.0,628.0,1016400.0,1427.0,257.0
2020-04-20,1830.0,378.0,315.0,226.0,745.0,1015692.0,1748.0,321.0
2020-04-21,2227.0,468.0,369.0,275.0,957.0,1016068.0,2127.0,379.0
2020-04-22,2672.0,544.0,444.0,344.0,1140.0,1015184.0,2567.0,440.0
2020-04-23,3189.0,695.0,526.0,393.0,1394.0,1014965.0,3113.0,546.0
2020-04-24,3905.0,860.0,663.0,516.0,1628.0,1013315.0,3783.0,670.0
2020-04-25,4727.0,1008.0,786.0,597.0,2022.0,1012087.0,4571.0,788.0
2020-04-26,5707.0,1243.0,935.0,702.0,2410.0,1012495.0,5526.0,955.0
