time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970030.0,0.0,0.0
2020-03-07,2.0,3.0,0.0,0.0,0.0,971721.0,0.0,0.0
2020-03-08,4.0,0.0,2.0,0.0,0.0,978276.0,0.0,0.0
2020-03-09,4.0,0.0,0.0,1.0,0.0,985911.0,0.0,0.0
2020-03-10,6.0,1.0,1.0,0.0,1.0,991724.0,2.0,2.0
2020-03-11,5.0,2.0,1.0,0.0,1.0,996571.0,3.0,1.0
2020-03-12,4.0,0.0,2.0,0.0,1.0,999048.0,3.0,0.0
2020-03-13,3.0,0.0,2.0,0.0,2.0,1001981.0,3.0,0.0
2020-03-14,4.0,1.0,1.0,1.0,1.0,1005631.0,4.0,1.0
2020-03-15,5.0,3.0,0.0,2.0,2.0,1007482.0,6.0,2.0
2020-03-16,7.0,0.0,0.0,1.0,3.0,1009645.0,6.0,0.0
2020-03-17,6.0,0.0,0.0,1.0,3.0,1010022.0,6.0,0.0
2020-03-18,6.0,0.0,0.0,0.0,4.0,1011678.0,6.0,0.0
2020-03-19,5.0,1.0,1.0,0.0,3.0,1012830.0,8.0,2.0
2020-03-20,6.0,1.0,0.0,0.0,1.0,1013335.0,8.0,0.0
2020-03-21,7.0,3.0,2.0,1.0,1.0,1012782.0,11.0,3.0
2020-03-22,16.0,3.0,2.0,2.0,1.0,1013668.0,14.0,3.0
2020-03-23,8.0,3.0,1.0,2.0,2.0,1014967.0,16.0,2.0
2020-03-24,13.0,2.0,2.0,3.0,1.0,1014131.0,16.0,0.0
2020-03-25,16.0,4.0,4.0,1.0,3.0,1014046.0,20.0,4.0
2020-03-26,14.0,4.0,4.0,2.0,6.0,1013945.0,22.0,2.0
2020-03-27,27.0,4.0,6.0,4.0,11.0,1015096.0,24.0,2.0
2020-03-28,28.0,1.0,5.0,6.0,9.0,1015051.0,25.0,1.0
2020-03-29,36.0,5.0,5.0,4.0,12.0,1014394.0,30.0,5.0
