time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,970179.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,972083.0,0.0,0.0
2020-03-08,4.0,1.0,0.0,0.0,0.0,978146.0,0.0,0.0
2020-03-09,3.0,1.0,0.0,0.0,0.0,985956.0,0.0,0.0
2020-03-10,4.0,0.0,1.0,0.0,0.0,991545.0,0.0,0.0
2020-03-11,4.0,0.0,1.0,0.0,1.0,997031.0,0.0,0.0
2020-03-12,2.0,3.0,1.0,0.0,1.0,1000776.0,4.0,4.0
2020-03-13,1.0,1.0,0.0,2.0,0.0,1004075.0,4.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,1.0,1004679.0,5.0,1.0
2020-03-15,2.0,0.0,0.0,0.0,3.0,1006872.0,5.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,3.0,1008318.0,5.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,3.0,1009327.0,5.0,0.0
2020-03-18,4.0,0.0,0.0,0.0,4.0,1009935.0,5.0,0.0
2020-03-19,2.0,1.0,0.0,0.0,4.0,1011521.0,6.0,1.0
2020-03-20,5.0,0.0,0.0,0.0,3.0,1012722.0,6.0,0.0
2020-03-21,1.0,2.0,0.0,1.0,6.0,1012174.0,8.0,2.0
2020-03-22,3.0,0.0,1.0,2.0,6.0,1012901.0,9.0,1.0
2020-03-23,8.0,0.0,0.0,2.0,8.0,1012058.0,10.0,1.0
2020-03-24,5.0,1.0,0.0,1.0,9.0,1012855.0,11.0,1.0
2020-03-25,8.0,1.0,1.0,0.0,10.0,1014226.0,12.0,1.0
2020-03-26,7.0,3.0,1.0,2.0,11.0,1013112.0,15.0,3.0
2020-03-27,6.0,7.0,0.0,4.0,6.0,1013517.0,19.0,4.0
2020-03-28,15.0,4.0,5.0,4.0,9.0,1013459.0,23.0,4.0
2020-03-29,21.0,5.0,4.0,3.0,11.0,1013738.0,25.0,2.0
2020-03-30,34.0,9.0,3.0,6.0,11.0,1013872.0,29.0,4.0
2020-03-31,36.0,11.0,7.0,6.0,12.0,1015979.0,36.0,7.0
2020-04-01,40.0,12.0,8.0,3.0,15.0,1016334.0,45.0,9.0
2020-04-02,43.0,9.0,11.0,10.0,17.0,1016398.0,57.0,12.0
2020-04-03,49.0,12.0,6.0,15.0,18.0,1016462.0,68.0,11.0
2020-04-04,64.0,11.0,12.0,16.0,26.0,1016809.0,73.0,5.0
2020-04-05,70.0,14.0,15.0,12.0,28.0,1015129.0,86.0,13.0
2020-04-06,92.0,13.0,16.0,19.0,42.0,1015947.0,99.0,13.0
2020-04-07,115.0,19.0,19.0,12.0,52.0,1016301.0,115.0,16.0
2020-04-08,124.0,33.0,23.0,10.0,55.0,1017326.0,141.0,26.0
2020-04-09,157.0,47.0,24.0,24.0,56.0,1018554.0,172.0,31.0
