time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970337.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,971674.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,1.0,0.0,978753.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,985802.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,1.0,991714.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,1.0,996524.0,1.0,1.0
2020-03-12,4.0,1.0,1.0,1.0,1.0,1000161.0,1.0,0.0
2020-03-13,4.0,0.0,1.0,1.0,2.0,1002742.0,2.0,1.0
2020-03-14,4.0,0.0,0.0,1.0,3.0,1005072.0,2.0,0.0
2020-03-15,4.0,0.0,1.0,1.0,1.0,1007922.0,3.0,1.0
2020-03-16,3.0,1.0,1.0,0.0,2.0,1008875.0,3.0,0.0
2020-03-17,3.0,0.0,3.0,0.0,1.0,1011820.0,4.0,1.0
2020-03-18,4.0,0.0,0.0,2.0,1.0,1012142.0,4.0,0.0
2020-03-19,3.0,1.0,0.0,1.0,3.0,1012466.0,5.0,1.0
2020-03-20,3.0,1.0,0.0,0.0,4.0,1011681.0,5.0,0.0
2020-03-21,5.0,0.0,1.0,1.0,4.0,1012334.0,5.0,0.0
2020-03-22,7.0,1.0,1.0,0.0,3.0,1012566.0,6.0,1.0
2020-03-23,6.0,0.0,2.0,0.0,2.0,1011248.0,7.0,1.0
2020-03-24,7.0,0.0,0.0,2.0,4.0,1012607.0,7.0,0.0
2020-03-25,10.0,0.0,0.0,1.0,3.0,1013547.0,8.0,1.0
2020-03-26,9.0,1.0,0.0,1.0,4.0,1013635.0,10.0,2.0
2020-03-27,11.0,1.0,0.0,1.0,6.0,1015785.0,10.0,0.0
2020-03-28,12.0,5.0,2.0,0.0,6.0,1016899.0,14.0,4.0
2020-03-29,10.0,8.0,1.0,3.0,10.0,1017814.0,19.0,5.0
2020-03-30,14.0,8.0,2.0,1.0,11.0,1017404.0,21.0,2.0
2020-03-31,22.0,4.0,3.0,4.0,14.0,1017177.0,23.0,2.0
2020-04-01,33.0,1.0,2.0,6.0,15.0,1017155.0,24.0,1.0
2020-04-02,29.0,7.0,5.0,4.0,19.0,1016463.0,32.0,8.0
2020-04-03,39.0,12.0,8.0,7.0,21.0,1017813.0,41.0,9.0
2020-04-04,51.0,11.0,9.0,8.0,26.0,1018214.0,49.0,8.0
2020-04-05,61.0,20.0,8.0,7.0,36.0,1018375.0,64.0,15.0
2020-04-06,68.0,15.0,9.0,18.0,39.0,1018030.0,79.0,15.0
2020-04-07,97.0,17.0,13.0,13.0,50.0,1017032.0,93.0,14.0
2020-04-08,107.0,21.0,13.0,11.0,62.0,1016852.0,109.0,16.0
2020-04-09,115.0,23.0,11.0,11.0,68.0,1017116.0,133.0,24.0
2020-04-10,143.0,32.0,22.0,18.0,68.0,1019282.0,154.0,21.0
2020-04-11,185.0,35.0,33.0,30.0,88.0,1018784.0,179.0,25.0
2020-04-12,236.0,52.0,34.0,31.0,96.0,1019091.0,211.0,32.0
2020-04-13,271.0,61.0,43.0,37.0,111.0,1019461.0,257.0,46.0
2020-04-14,332.0,74.0,51.0,39.0,144.0,1019863.0,318.0,61.0
2020-04-15,394.0,88.0,63.0,49.0,175.0,1019415.0,381.0,63.0
2020-04-16,500.0,100.0,89.0,52.0,187.0,1019554.0,459.0,78.0
2020-04-17,518.0,111.0,81.0,64.0,243.0,1019342.0,552.0,93.0
2020-04-18,630.0,138.0,107.0,89.0,260.0,1018595.0,680.0,128.0
2020-04-19,825.0,150.0,132.0,116.0,316.0,1017382.0,787.0,107.0
2020-04-20,968.0,217.0,135.0,133.0,412.0,1019069.0,960.0,173.0
2020-04-21,1216.0,269.0,179.0,137.0,507.0,1019125.0,1153.0,193.0
2020-04-22,1518.0,273.0,244.0,174.0,603.0,1018834.0,1376.0,223.0
2020-04-23,1814.0,367.0,297.0,201.0,782.0,1018697.0,1703.0,327.0
2020-04-24,2178.0,448.0,369.0,235.0,908.0,1017582.0,2080.0,377.0
2020-04-25,2621.0,576.0,417.0,302.0,1102.0,1016828.0,2539.0,459.0
2020-04-26,3124.0,677.0,520.0,376.0,1320.0,1015868.0,3060.0,521.0
2020-04-27,3667.0,803.0,661.0,460.0,1595.0,1015264.0,3701.0,641.0
2020-04-28,4579.0,915.0,742.0,606.0,1911.0,1013720.0,4436.0,735.0
2020-04-29,5546.0,1084.0,879.0,706.0,2286.0,1012833.0,5323.0,887.0
2020-04-30,6688.0,1333.0,1018.0,821.0,2799.0,1009886.0,6386.0,1063.0
2020-05-01,8034.0,1650.0,1243.0,970.0,3412.0,1007422.0,7725.0,1339.0
2020-05-02,9678.0,2069.0,1494.0,1210.0,4079.0,1006070.0,9317.0,1592.0
2020-05-03,11526.0,2514.0,1855.0,1396.0,4913.0,1002507.0,11214.0,1897.0
2020-05-04,13896.0,2875.0,2349.0,1663.0,5946.0,996886.0,13519.0,2305.0
2020-05-05,16664.0,3515.0,2719.0,2062.0,7112.0,992133.0,16264.0,2745.0
2020-05-06,19681.0,4155.0,3228.0,2497.0,8611.0,984875.0,19594.0,3330.0
2020-05-07,23865.0,5117.0,3880.0,3035.0,10385.0,977871.0,23642.0,4048.0
