time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,0.0,0.0,0.0,970117.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,973697.0,0.0,0.0
2020-03-08,0.0,2.0,0.0,0.0,0.0,979695.0,2.0,2.0
2020-03-09,4.0,2.0,0.0,0.0,0.0,986677.0,2.0,0.0
2020-03-10,2.0,3.0,0.0,0.0,0.0,991358.0,4.0,2.0
2020-03-11,4.0,2.0,1.0,1.0,0.0,995952.0,5.0,1.0
2020-03-12,5.0,3.0,0.0,1.0,0.0,999491.0,5.0,0.0
2020-03-13,6.0,2.0,1.0,0.0,1.0,1002955.0,6.0,1.0
2020-03-14,6.0,1.0,0.0,1.0,1.0,1005041.0,7.0,1.0
2020-03-15,8.0,1.0,1.0,0.0,1.0,1005893.0,7.0,0.0
2020-03-16,7.0,2.0,0.0,0.0,1.0,1009256.0,8.0,1.0
2020-03-17,6.0,2.0,2.0,1.0,1.0,1010561.0,10.0,2.0
2020-03-18,6.0,2.0,0.0,0.0,3.0,1011125.0,11.0,1.0
2020-03-19,15.0,2.0,1.0,1.0,2.0,1012406.0,12.0,1.0
2020-03-20,10.0,0.0,2.0,0.0,2.0,1013469.0,14.0,2.0
2020-03-21,18.0,4.0,5.0,1.0,3.0,1013208.0,17.0,3.0
2020-03-22,28.0,5.0,4.0,2.0,6.0,1013986.0,21.0,4.0
2020-03-23,22.0,5.0,5.0,3.0,10.0,1014251.0,26.0,5.0
2020-03-24,25.0,6.0,5.0,5.0,9.0,1014279.0,31.0,5.0
2020-03-25,35.0,3.0,1.0,5.0,13.0,1014955.0,36.0,5.0
2020-03-26,41.0,8.0,2.0,5.0,13.0,1015967.0,43.0,7.0
2020-03-27,42.0,5.0,2.0,6.0,18.0,1015280.0,45.0,2.0
2020-03-28,45.0,4.0,7.0,5.0,20.0,1015585.0,49.0,4.0
2020-03-29,51.0,15.0,5.0,7.0,23.0,1016113.0,62.0,13.0
2020-03-30,67.0,14.0,13.0,6.0,29.0,1016179.0,69.0,7.0
2020-03-31,83.0,16.0,14.0,10.0,34.0,1016215.0,87.0,18.0
2020-04-01,95.0,8.0,11.0,13.0,37.0,1017532.0,94.0,7.0
2020-04-02,130.0,27.0,9.0,13.0,51.0,1016736.0,111.0,17.0
2020-04-03,142.0,24.0,17.0,16.0,47.0,1017256.0,129.0,18.0
2020-04-04,140.0,29.0,24.0,17.0,63.0,1018272.0,157.0,28.0
2020-04-05,178.0,37.0,26.0,30.0,71.0,1016826.0,192.0,35.0
2020-04-06,248.0,40.0,42.0,33.0,93.0,1017021.0,224.0,32.0
2020-04-07,322.0,68.0,58.0,33.0,122.0,1016542.0,274.0,50.0
2020-04-08,394.0,86.0,70.0,51.0,150.0,1017069.0,341.0,67.0
2020-04-09,468.0,97.0,81.0,63.0,190.0,1016726.0,413.0,72.0
2020-04-10,572.0,116.0,86.0,62.0,243.0,1015857.0,504.0,91.0
2020-04-11,656.0,166.0,122.0,66.0,281.0,1016016.0,640.0,136.0
2020-04-12,827.0,184.0,127.0,105.0,351.0,1016797.0,771.0,131.0
2020-04-13,1002.0,187.0,177.0,118.0,412.0,1016414.0,927.0,156.0
2020-04-14,1192.0,297.0,189.0,141.0,487.0,1015392.0,1161.0,234.0
2020-04-15,1440.0,364.0,250.0,191.0,575.0,1015550.0,1442.0,281.0
2020-04-16,1757.0,386.0,316.0,210.0,718.0,1015177.0,1728.0,286.0
2020-04-17,2142.0,429.0,354.0,269.0,860.0,1015995.0,2048.0,320.0
2020-04-18,2558.0,519.0,453.0,335.0,1042.0,1015220.0,2483.0,435.0
2020-04-19,3001.0,637.0,491.0,374.0,1262.0,1015170.0,2994.0,511.0
2020-04-20,3598.0,745.0,599.0,448.0,1550.0,1015869.0,3571.0,577.0
2020-04-21,4293.0,940.0,689.0,569.0,1807.0,1013543.0,4318.0,747.0
2020-04-22,5185.0,1147.0,846.0,664.0,2204.0,1011008.0,5221.0,903.0
2020-04-23,6444.0,1348.0,1080.0,804.0,2736.0,1010016.0,6305.0,1084.0
2020-04-24,7592.0,1627.0,1250.0,964.0,3303.0,1007494.0,7580.0,1275.0
2020-04-25,9322.0,1852.0,1451.0,1198.0,4036.0,1002719.0,8981.0,1401.0
2020-04-26,11046.0,2326.0,1742.0,1345.0,4912.0,1000900.0,10824.0,1843.0
2020-04-27,13364.0,2821.0,2156.0,1605.0,5779.0,995276.0,13099.0,2275.0
2020-04-28,15996.0,3290.0,2540.0,2028.0,6966.0,991980.0,15738.0,2639.0
2020-04-29,19072.0,4015.0,3091.0,2513.0,8396.0,986460.0,18965.0,3227.0
2020-04-30,22682.0,4788.0,3644.0,2932.0,10217.0,979919.0,22819.0,3854.0
2020-05-01,27200.0,5961.0,4419.0,3540.0,12180.0,971131.0,27495.0,4676.0
2020-05-02,32525.0,6899.0,5383.0,4248.0,14733.0,961138.0,32848.0,5353.0
2020-05-03,38441.0,8134.0,6265.0,4973.0,17632.0,949111.0,39278.0,6430.0
2020-05-04,45559.0,9788.0,7692.0,5859.0,20994.0,934136.0,47001.0,7723.0
2020-05-05,54123.0,11784.0,9072.0,7209.0,25146.0,915069.0,56232.0,9231.0
2020-05-06,63267.0,13980.0,10844.0,8435.0,30005.0,895751.0,67183.0,10951.0
2020-05-07,74618.0,16228.0,12816.0,10119.0,36121.0,872663.0,79655.0,12472.0
2020-05-08,87128.0,19355.0,14968.0,11992.0,43043.0,845094.0,94540.0,14885.0
2020-05-09,100597.0,22424.0,17684.0,14132.0,51645.0,815946.0,111796.0,17256.0
2020-05-10,115130.0,25858.0,20925.0,16750.0,61228.0,782492.0,131734.0,19938.0
2020-05-11,130960.0,29530.0,24144.0,19559.0,72934.0,745332.0,154474.0,22740.0
2020-05-12,146929.0,33703.0,27772.0,22317.0,86238.0,705692.0,180217.0,25743.0
2020-05-13,162784.0,37660.0,31886.0,25979.0,101714.0,662488.0,208696.0,28479.0
2020-05-14,179035.0,41634.0,35743.0,29626.0,119882.0,616267.0,240021.0,31325.0
2020-05-15,194597.0,46375.0,39801.0,33474.0,139931.0,568536.0,274783.0,34762.0
2020-05-16,207416.0,50526.0,43728.0,37252.0,162841.0,520651.0,312283.0,37500.0
2020-05-17,218827.0,54105.0,48066.0,41410.0,187921.0,472241.0,351778.0,39495.0
2020-05-18,227755.0,57690.0,51812.0,45798.0,215710.0,425308.0,393307.0,41529.0
2020-05-19,232521.0,60237.0,55021.0,49822.0,246197.0,380193.0,436434.0,43127.0
2020-05-20,233798.0,62403.0,58113.0,52881.0,279562.0,337457.0,480546.0,44112.0
2020-05-21,232709.0,62983.0,59754.0,56056.0,313886.0,298392.0,524225.0,43679.0
2020-05-22,227824.0,63081.0,61198.0,58502.0,350726.0,263588.0,567662.0,43437.0
2020-05-23,219800.0,61928.0,62096.0,59905.0,388513.0,232434.0,609796.0,42134.0
2020-05-24,209695.0,59903.0,61630.0,60653.0,428110.0,204674.0,650243.0,40447.0
2020-05-25,197730.0,58315.0,59886.0,60771.0,467651.0,180786.0,688668.0,38425.0
2020-05-26,185116.0,55604.0,58211.0,59530.0,506036.0,160608.0,725011.0,36343.0
2020-05-27,171540.0,52408.0,55827.0,58325.0,543346.0,143090.0,759245.0,34234.0
2020-05-28,157269.0,48539.0,53145.0,56476.0,581078.0,128415.0,790562.0,31317.0
2020-05-29,143750.0,45125.0,50030.0,53752.0,616875.0,116006.0,819130.0,28568.0
2020-05-30,131175.0,41132.0,46204.0,50998.0,651290.0,105988.0,845015.0,25885.0
2020-05-31,118277.0,37685.0,42722.0,47714.0,683766.0,96726.0,868873.0,23858.0
2020-06-01,106643.0,34235.0,39321.0,44372.0,712427.0,89269.0,890197.0,21324.0
2020-06-02,95742.0,31099.0,35981.0,41182.0,739941.0,82735.0,909537.0,19340.0
2020-06-03,85364.0,27896.0,32988.0,37523.0,764262.0,77550.0,926727.0,17190.0
2020-06-04,76363.0,24732.0,29784.0,34136.0,787839.0,72992.0,941999.0,15272.0
2020-06-05,67947.0,22282.0,26375.0,31305.0,809436.0,69013.0,955477.0,13478.0
2020-06-06,60299.0,20289.0,23697.0,28179.0,828649.0,65595.0,967938.0,12461.0
2020-06-07,52871.0,17756.0,21529.0,25389.0,845424.0,62702.0,978751.0,10813.0
2020-06-08,46774.0,15639.0,19218.0,23200.0,861323.0,60037.0,988304.0,9553.0
2020-06-09,41379.0,14202.0,16821.0,20378.0,875229.0,57725.0,996725.0,8421.0
2020-06-10,36438.0,12356.0,15123.0,18327.0,887609.0,56243.0,1004184.0,7459.0
2020-06-11,32050.0,10909.0,13372.0,16290.0,899520.0,54762.0,1010753.0,6569.0
2020-06-12,28206.0,9700.0,11881.0,14456.0,909452.0,53754.0,1016598.0,5845.0
2020-06-13,24790.0,8517.0,10654.0,12862.0,918886.0,52829.0,1021744.0,5146.0
2020-06-14,21648.0,7441.0,9410.0,11475.0,925796.0,51923.0,1026136.0,4392.0
2020-06-15,19012.0,6524.0,8231.0,10216.0,931381.0,50971.0,1029997.0,3861.0
2020-06-16,16696.0,5663.0,7205.0,8963.0,937706.0,50044.0,1033425.0,3428.0
2020-06-17,14630.0,4999.0,6215.0,7800.0,942044.0,49585.0,1036379.0,2954.0
2020-06-18,12861.0,4559.0,5586.0,6874.0,948292.0,48704.0,1039102.0,2723.0
2020-06-19,11177.0,3943.0,4930.0,6165.0,953149.0,48432.0,1041470.0,2368.0
2020-06-20,9815.0,3402.0,4277.0,5372.0,956477.0,48051.0,1043428.0,1958.0
2020-06-21,8703.0,2851.0,3836.0,4679.0,958876.0,47545.0,1045138.0,1710.0
2020-06-22,7441.0,2543.0,3266.0,4048.0,962454.0,47143.0,1046746.0,1608.0
2020-06-23,6620.0,2197.0,2837.0,3594.0,964993.0,46714.0,1048071.0,1325.0
2020-06-24,5830.0,1969.0,2424.0,3070.0,967557.0,46673.0,1049246.0,1175.0
2020-06-25,5048.0,1729.0,2204.0,2752.0,969894.0,46510.0,1050279.0,1033.0
2020-06-26,4437.0,1502.0,1930.0,2381.0,969695.0,46376.0,1051174.0,895.0
2020-06-27,3878.0,1322.0,1724.0,2107.0,970117.0,46417.0,1051990.0,816.0
2020-06-28,3400.0,1142.0,1471.0,1879.0,973019.0,46344.0,1052654.0,664.0
2020-06-29,2961.0,958.0,1250.0,1655.0,973647.0,46151.0,1053231.0,577.0
2020-06-30,2611.0,905.0,1070.0,1387.0,974954.0,46303.0,1053773.0,542.0
2020-07-01,2242.0,758.0,984.0,1172.0,975828.0,46177.0,1054192.0,419.0
2020-07-02,2012.0,687.0,884.0,1050.0,976678.0,45889.0,1054628.0,436.0
2020-07-03,1722.0,559.0,827.0,877.0,976307.0,46109.0,1054976.0,348.0
2020-07-04,1487.0,520.0,703.0,820.0,977784.0,45871.0,1055309.0,333.0
2020-07-05,1338.0,462.0,569.0,763.0,978594.0,45781.0,1055595.0,286.0
2020-07-06,1201.0,397.0,488.0,629.0,980057.0,45905.0,1055830.0,235.0
