time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,969914.0,0.0,0.0
2020-03-07,5.0,3.0,1.0,0.0,0.0,972716.0,2.0,2.0
2020-03-08,4.0,0.0,1.0,0.0,0.0,980355.0,2.0,0.0
2020-03-09,3.0,1.0,1.0,0.0,0.0,986012.0,3.0,1.0
2020-03-10,4.0,1.0,0.0,0.0,1.0,992173.0,3.0,0.0
2020-03-11,5.0,1.0,0.0,0.0,1.0,996311.0,3.0,0.0
2020-03-12,5.0,0.0,0.0,0.0,1.0,1000810.0,3.0,0.0
2020-03-13,4.0,0.0,0.0,0.0,0.0,1003342.0,3.0,0.0
2020-03-14,5.0,3.0,0.0,0.0,1.0,1005731.0,7.0,4.0
2020-03-15,9.0,4.0,0.0,1.0,1.0,1007586.0,8.0,1.0
2020-03-16,11.0,3.0,2.0,4.0,1.0,1008849.0,9.0,1.0
2020-03-17,14.0,1.0,1.0,2.0,3.0,1010882.0,10.0,1.0
2020-03-18,12.0,2.0,2.0,2.0,6.0,1011014.0,13.0,3.0
2020-03-19,10.0,5.0,3.0,1.0,8.0,1011877.0,16.0,3.0
2020-03-20,12.0,1.0,0.0,3.0,9.0,1013017.0,17.0,1.0
2020-03-21,10.0,1.0,0.0,2.0,11.0,1013150.0,18.0,1.0
2020-03-22,14.0,4.0,3.0,1.0,12.0,1012003.0,23.0,5.0
2020-03-23,15.0,5.0,5.0,2.0,11.0,1013654.0,27.0,4.0
2020-03-24,25.0,11.0,3.0,6.0,12.0,1013969.0,31.0,4.0
2020-03-25,23.0,5.0,5.0,4.0,18.0,1015379.0,37.0,6.0
2020-03-26,27.0,2.0,2.0,5.0,19.0,1015216.0,38.0,1.0
2020-03-27,27.0,3.0,2.0,2.0,25.0,1015045.0,40.0,2.0
2020-03-28,37.0,7.0,7.0,2.0,30.0,1015925.0,44.0,4.0
2020-03-29,54.0,12.0,9.0,4.0,29.0,1015699.0,52.0,8.0
2020-03-30,59.0,19.0,11.0,5.0,27.0,1015518.0,66.0,14.0
2020-03-31,81.0,17.0,14.0,7.0,36.0,1015625.0,78.0,12.0
2020-04-01,95.0,21.0,17.0,9.0,42.0,1017180.0,95.0,17.0
2020-04-02,117.0,26.0,21.0,14.0,40.0,1016728.0,119.0,24.0
2020-04-03,152.0,37.0,18.0,19.0,60.0,1017290.0,146.0,27.0
2020-04-04,188.0,36.0,30.0,17.0,84.0,1016762.0,174.0,28.0
2020-04-05,198.0,39.0,38.0,31.0,87.0,1017909.0,204.0,30.0
2020-04-06,227.0,61.0,41.0,32.0,118.0,1017270.0,248.0,44.0
2020-04-07,303.0,60.0,49.0,36.0,134.0,1017721.0,288.0,40.0
2020-04-08,368.0,82.0,56.0,48.0,152.0,1017336.0,346.0,58.0
2020-04-09,415.0,89.0,67.0,58.0,216.0,1017198.0,411.0,65.0
2020-04-10,486.0,108.0,73.0,71.0,227.0,1017692.0,492.0,81.0
2020-04-11,612.0,124.0,108.0,83.0,274.0,1018117.0,590.0,98.0
2020-04-12,732.0,165.0,119.0,92.0,333.0,1017029.0,715.0,125.0
2020-04-13,913.0,192.0,156.0,101.0,399.0,1016140.0,856.0,141.0
2020-04-14,1126.0,216.0,182.0,135.0,469.0,1015802.0,1041.0,185.0
2020-04-15,1389.0,278.0,244.0,171.0,555.0,1015957.0,1278.0,237.0
2020-04-16,1643.0,353.0,262.0,212.0,691.0,1014280.0,1571.0,293.0
2020-04-17,1991.0,408.0,318.0,222.0,794.0,1015221.0,1894.0,323.0
2020-04-18,2354.0,488.0,398.0,286.0,972.0,1015406.0,2275.0,381.0
2020-04-19,2790.0,590.0,464.0,358.0,1175.0,1016363.0,2746.0,471.0
2020-04-20,3356.0,747.0,561.0,436.0,1402.0,1013974.0,3387.0,641.0
2020-04-21,4079.0,882.0,685.0,507.0,1700.0,1013278.0,4082.0,695.0
2020-04-22,4909.0,1031.0,795.0,605.0,1985.0,1013554.0,4912.0,830.0
2020-04-23,6019.0,1261.0,922.0,728.0,2524.0,1011805.0,5891.0,979.0
2020-04-24,7021.0,1523.0,1103.0,840.0,3028.0,1008173.0,7102.0,1211.0
2020-04-25,8303.0,1857.0,1357.0,1029.0,3583.0,1004072.0,8554.0,1452.0
2020-04-26,10082.0,2138.0,1603.0,1283.0,4375.0,1000022.0,10226.0,1672.0
2020-04-27,12258.0,2624.0,2004.0,1502.0,5236.0,997269.0,12252.0,2026.0
2020-04-28,14545.0,3049.0,2393.0,1818.0,6286.0,993712.0,14714.0,2462.0
2020-04-29,17575.0,3678.0,2902.0,2234.0,7622.0,988307.0,17566.0,2852.0
2020-04-30,20899.0,4428.0,3525.0,2658.0,9254.0,982211.0,21019.0,3453.0
2020-05-01,25209.0,5349.0,4135.0,3270.0,11125.0,972539.0,25250.0,4231.0
2020-05-02,30102.0,6434.0,5035.0,3826.0,13263.0,962907.0,30332.0,5082.0
2020-05-03,36173.0,7490.0,6047.0,4722.0,15909.0,951992.0,36150.0,5818.0
2020-05-04,43012.0,9253.0,7113.0,5700.0,19218.0,938466.0,43471.0,7321.0
2020-05-05,50367.0,10947.0,8507.0,6487.0,23330.0,923545.0,52021.0,8550.0
2020-05-06,59277.0,12680.0,10214.0,7978.0,28031.0,903651.0,61996.0,9975.0
2020-05-07,69439.0,15012.0,11984.0,9544.0,33522.0,881993.0,73749.0,11753.0
2020-05-08,80845.0,17807.0,14160.0,11193.0,40217.0,858516.0,87542.0,13793.0
2020-05-09,93628.0,20559.0,16562.0,13129.0,47591.0,830575.0,103502.0,15960.0
2020-05-10,107789.0,23778.0,19296.0,15452.0,56692.0,799612.0,121769.0,18267.0
2020-05-11,122497.0,27844.0,22225.0,18061.0,67595.0,764952.0,143198.0,21429.0
2020-05-12,138934.0,31490.0,25879.0,20994.0,80486.0,726946.0,167113.0,23915.0
2020-05-13,155720.0,35610.0,29616.0,24407.0,95307.0,684039.0,194261.0,27148.0
2020-05-14,172447.0,39939.0,33668.0,28040.0,111789.0,639586.0,224306.0,30045.0
2020-05-15,189007.0,44619.0,37891.0,31627.0,130987.0,592910.0,257756.0,33450.0
2020-05-16,202432.0,49113.0,42324.0,35572.0,152279.0,543829.0,294167.0,36411.0
2020-05-17,214544.0,52962.0,46307.0,39968.0,176359.0,494355.0,333056.0,38889.0
2020-05-18,223710.0,56150.0,50195.0,43952.0,203402.0,446728.0,373820.0,40764.0
2020-05-19,230609.0,59262.0,53827.0,47528.0,232710.0,399942.0,416397.0,42577.0
2020-05-20,234008.0,61702.0,56650.0,51255.0,264344.0,356008.0,459676.0,43279.0
