time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970365.0,0.0,0.0
2020-03-07,3.0,1.0,2.0,0.0,0.0,971819.0,0.0,0.0
2020-03-08,3.0,1.0,2.0,0.0,0.0,980156.0,0.0,0.0
2020-03-09,6.0,0.0,3.0,0.0,0.0,986753.0,0.0,0.0
2020-03-10,5.0,0.0,1.0,0.0,0.0,991682.0,0.0,0.0
2020-03-11,5.0,1.0,0.0,1.0,0.0,996012.0,1.0,1.0
2020-03-12,4.0,0.0,0.0,1.0,0.0,1000339.0,1.0,0.0
2020-03-13,3.0,2.0,0.0,0.0,0.0,1002457.0,2.0,1.0
2020-03-14,7.0,1.0,0.0,0.0,1.0,1004497.0,2.0,0.0
2020-03-15,7.0,0.0,0.0,0.0,2.0,1006178.0,2.0,0.0
2020-03-16,5.0,2.0,1.0,1.0,2.0,1008606.0,6.0,4.0
2020-03-17,4.0,0.0,0.0,0.0,2.0,1009643.0,6.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,3.0,1011795.0,6.0,0.0
2020-03-19,3.0,0.0,0.0,0.0,3.0,1012475.0,6.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,6.0,1011615.0,6.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,6.0,1010623.0,6.0,0.0
2020-03-22,6.0,1.0,2.0,1.0,5.0,1011540.0,6.0,0.0
2020-03-23,9.0,2.0,1.0,1.0,7.0,1012465.0,8.0,2.0
2020-03-24,11.0,3.0,1.0,2.0,4.0,1013538.0,8.0,0.0
2020-03-25,17.0,4.0,2.0,1.0,4.0,1013918.0,13.0,5.0
2020-03-26,18.0,5.0,5.0,1.0,5.0,1015242.0,16.0,3.0
2020-03-27,22.0,6.0,5.0,3.0,7.0,1016195.0,19.0,3.0
2020-03-28,22.0,4.0,3.0,2.0,11.0,1015141.0,21.0,2.0
2020-03-29,18.0,3.0,3.0,2.0,14.0,1016054.0,23.0,2.0
2020-03-30,29.0,3.0,4.0,4.0,18.0,1016312.0,27.0,4.0
2020-03-31,28.0,6.0,3.0,5.0,18.0,1015696.0,33.0,6.0
2020-04-01,35.0,9.0,4.0,4.0,19.0,1015730.0,36.0,3.0
2020-04-02,41.0,9.0,5.0,3.0,22.0,1016166.0,42.0,6.0
2020-04-03,49.0,9.0,10.0,4.0,24.0,1015709.0,50.0,8.0
2020-04-04,63.0,12.0,16.0,4.0,30.0,1016300.0,64.0,14.0
2020-04-05,97.0,17.0,13.0,9.0,29.0,1015857.0,80.0,16.0
2020-04-06,107.0,25.0,12.0,10.0,45.0,1015864.0,96.0,16.0
2020-04-07,93.0,28.0,19.0,8.0,55.0,1017402.0,115.0,19.0
2020-04-08,130.0,35.0,26.0,20.0,60.0,1017611.0,138.0,23.0
2020-04-09,150.0,32.0,30.0,27.0,77.0,1018456.0,165.0,27.0
2020-04-10,182.0,35.0,41.0,25.0,86.0,1017489.0,200.0,35.0
2020-04-11,219.0,39.0,45.0,31.0,113.0,1018327.0,236.0,36.0
2020-04-12,289.0,57.0,62.0,44.0,125.0,1019128.0,277.0,41.0
2020-04-13,360.0,67.0,67.0,48.0,163.0,1018261.0,329.0,52.0
2020-04-14,435.0,92.0,61.0,50.0,184.0,1017995.0,409.0,80.0
2020-04-15,505.0,114.0,83.0,66.0,222.0,1019684.0,501.0,92.0
2020-04-16,579.0,131.0,96.0,77.0,268.0,1020095.0,604.0,103.0
2020-04-17,673.0,143.0,109.0,92.0,313.0,1019077.0,714.0,110.0
2020-04-18,811.0,171.0,141.0,98.0,378.0,1018441.0,848.0,134.0
2020-04-19,948.0,198.0,158.0,119.0,423.0,1018407.0,1009.0,161.0
2020-04-20,1109.0,223.0,196.0,137.0,534.0,1016980.0,1188.0,179.0
2020-04-21,1289.0,272.0,222.0,165.0,631.0,1017055.0,1410.0,222.0
2020-04-22,1553.0,318.0,261.0,191.0,750.0,1016242.0,1655.0,245.0
2020-04-23,1722.0,385.0,285.0,229.0,845.0,1016314.0,1985.0,330.0
2020-04-24,2101.0,455.0,334.0,256.0,997.0,1015705.0,2314.0,329.0
2020-04-25,2536.0,564.0,431.0,327.0,1236.0,1015793.0,2782.0,468.0
2020-04-26,3081.0,643.0,490.0,410.0,1399.0,1015112.0,3284.0,502.0
2020-04-27,3563.0,761.0,571.0,465.0,1625.0,1015096.0,3881.0,597.0
2020-04-28,4173.0,876.0,680.0,535.0,2002.0,1013175.0,4543.0,662.0
2020-04-29,4966.0,1071.0,832.0,644.0,2406.0,1011987.0,5404.0,861.0
2020-04-30,5955.0,1256.0,916.0,841.0,2929.0,1009912.0,6365.0,961.0
2020-05-01,6919.0,1487.0,1111.0,919.0,3457.0,1009084.0,7525.0,1160.0
2020-05-02,8175.0,1707.0,1415.0,1093.0,4055.0,1006800.0,8845.0,1320.0
2020-05-03,9708.0,2061.0,1543.0,1321.0,4879.0,1003708.0,10471.0,1626.0
2020-05-04,11451.0,2462.0,1870.0,1566.0,5719.0,999304.0,12422.0,1951.0
2020-05-05,13322.0,2953.0,2325.0,1795.0,6801.0,994639.0,14748.0,2326.0
2020-05-06,15871.0,3398.0,2683.0,2128.0,8114.0,991279.0,17335.0,2587.0
2020-05-07,18735.0,4188.0,3188.0,2512.0,9513.0,984690.0,20626.0,3291.0
2020-05-08,22267.0,4847.0,3799.0,2979.0,11157.0,978564.0,24343.0,3717.0
2020-05-09,26275.0,5685.0,4505.0,3503.0,13268.0,970467.0,28753.0,4410.0
2020-05-10,30757.0,6627.0,5260.0,4137.0,15579.0,960699.0,33988.0,5235.0
2020-05-11,35717.0,7971.0,6348.0,4850.0,18432.0,950681.0,40145.0,6157.0
2020-05-12,41724.0,9316.0,7474.0,5871.0,21739.0,936928.0,47336.0,7191.0
2020-05-13,48918.0,10655.0,8649.0,6919.0,25919.0,922025.0,55625.0,8289.0
2020-05-14,56745.0,12447.0,10031.0,7961.0,30823.0,905535.0,65240.0,9615.0
2020-05-15,65494.0,14562.0,11665.0,9308.0,36432.0,885658.0,76435.0,11195.0
2020-05-16,75176.0,16786.0,13623.0,10919.0,43047.0,864032.0,89376.0,12941.0
2020-05-17,85938.0,19414.0,15652.0,12716.0,50780.0,839799.0,104291.0,14915.0
2020-05-18,97905.0,22331.0,17956.0,15007.0,59604.0,811674.0,121375.0,17084.0
2020-05-19,110594.0,25293.0,20840.0,17070.0,69532.0,780155.0,140631.0,19256.0
2020-05-20,123842.0,28619.0,23843.0,19591.0,80858.0,747483.0,162164.0,21533.0
2020-05-21,138163.0,32247.0,26809.0,22298.0,94549.0,711699.0,186374.0,24210.0
2020-05-22,152025.0,35875.0,30295.0,25299.0,109964.0,672595.0,213329.0,26955.0
2020-05-23,165272.0,39616.0,33633.0,28637.0,127219.0,631978.0,242877.0,29548.0
2020-05-24,178447.0,43243.0,37370.0,31820.0,146925.0,588942.0,274711.0,31834.0
2020-05-25,189799.0,46699.0,40790.0,35546.0,168252.0,545362.0,309122.0,34411.0
2020-05-26,199495.0,49765.0,44414.0,38854.0,191913.0,502155.0,345158.0,36036.0
2020-05-27,206844.0,52461.0,47755.0,42322.0,217075.0,458751.0,383211.0,38053.0
2020-05-28,212122.0,55089.0,50708.0,45334.0,245605.0,416985.0,422398.0,39187.0
2020-05-29,214317.0,56639.0,53133.0,48553.0,275778.0,377165.0,462406.0,40008.0
2020-05-30,213868.0,57597.0,55335.0,51114.0,308285.0,339576.0,502924.0,40518.0
2020-05-31,211363.0,57743.0,56007.0,53302.0,342079.0,306028.0,542621.0,39697.0
2020-06-01,206318.0,57494.0,56828.0,54402.0,376304.0,274808.0,582206.0,39585.0
2020-06-02,198887.0,56234.0,56964.0,55207.0,411263.0,246322.0,620451.0,38245.0
2020-06-03,189794.0,55142.0,56183.0,55531.0,446756.0,221974.0,657427.0,36976.0
2020-06-04,179607.0,53078.0,54985.0,55620.0,482578.0,200223.0,692391.0,34964.0
2020-06-05,168755.0,50223.0,53183.0,54856.0,518592.0,180382.0,725371.0,32980.0
2020-06-06,157066.0,47304.0,51265.0,53356.0,552292.0,164003.0,756323.0,30952.0
2020-06-07,144746.0,44480.0,48425.0,51490.0,585484.0,149857.0,785284.0,28961.0
2020-06-08,133615.0,41472.0,45446.0,49236.0,617899.0,137623.0,811854.0,26570.0
2020-06-09,122348.0,38562.0,42899.0,46389.0,649116.0,127529.0,836528.0,24674.0
2020-06-10,111699.0,35134.0,39708.0,43853.0,677887.0,118631.0,858579.0,22051.0
2020-06-11,101321.0,32188.0,36703.0,41211.0,705091.0,110828.0,878857.0,20278.0
2020-06-12,91575.0,29555.0,33748.0,38330.0,731779.0,103487.0,897566.0,18709.0
2020-06-13,82660.0,26864.0,30894.0,35498.0,753805.0,97516.0,914202.0,16636.0
2020-06-14,74656.0,24236.0,28202.0,32604.0,775098.0,92497.0,929269.0,15067.0
2020-06-15,66862.0,21941.0,25793.0,29876.0,794550.0,88179.0,942687.0,13418.0
2020-06-16,59965.0,19526.0,23269.0,27464.0,812374.0,84590.0,954700.0,12013.0
2020-06-17,53510.0,17703.0,20798.0,24718.0,828750.0,81459.0,965560.0,10860.0
2020-06-18,47799.0,15913.0,18723.0,22153.0,844836.0,78758.0,975158.0,9598.0
2020-06-19,42639.0,14054.0,16881.0,20201.0,857772.0,76116.0,983702.0,8544.0
2020-06-20,37836.0,12523.0,15221.0,17945.0,870146.0,73957.0,991383.0,7681.0
2020-06-21,33565.0,11161.0,13746.0,16164.0,879385.0,72194.0,998197.0,6814.0
2020-06-22,29722.0,10057.0,12191.0,14606.0,890702.0,70812.0,1004363.0,6166.0
2020-06-23,26513.0,8903.0,10765.0,13134.0,899763.0,69313.0,1009690.0,5327.0
