time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970194.0,0.0,0.0
2020-03-07,1.0,2.0,1.0,0.0,0.0,972641.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,979334.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,0.0,985241.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,2.0,0.0,991879.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,996055.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,0.0,999205.0,0.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,1.0,1002432.0,1.0,1.0
2020-03-14,3.0,1.0,0.0,0.0,0.0,1004866.0,1.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,1007583.0,1.0,0.0
2020-03-16,3.0,1.0,0.0,0.0,0.0,1009236.0,1.0,0.0
2020-03-17,3.0,0.0,0.0,0.0,1.0,1009875.0,1.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,1.0,1010637.0,2.0,1.0
2020-03-19,2.0,0.0,1.0,0.0,1.0,1010790.0,3.0,1.0
2020-03-20,3.0,1.0,0.0,0.0,1.0,1011036.0,3.0,0.0
2020-03-21,4.0,2.0,0.0,0.0,1.0,1012280.0,4.0,1.0
2020-03-22,4.0,2.0,0.0,1.0,3.0,1012878.0,4.0,0.0
2020-03-23,2.0,3.0,1.0,0.0,4.0,1014641.0,5.0,1.0
2020-03-24,2.0,2.0,0.0,0.0,4.0,1013001.0,6.0,1.0
2020-03-25,3.0,2.0,0.0,0.0,1.0,1013958.0,6.0,0.0
2020-03-26,9.0,1.0,2.0,2.0,0.0,1014699.0,6.0,0.0
2020-03-27,8.0,1.0,1.0,1.0,0.0,1014246.0,8.0,2.0
2020-03-28,8.0,7.0,1.0,0.0,3.0,1013692.0,14.0,6.0
2020-03-29,11.0,2.0,6.0,0.0,6.0,1013672.0,15.0,1.0
2020-03-30,18.0,1.0,2.0,2.0,5.0,1014985.0,16.0,1.0
2020-03-31,15.0,2.0,3.0,0.0,11.0,1014923.0,19.0,3.0
2020-04-01,10.0,1.0,1.0,3.0,11.0,1016371.0,23.0,4.0
2020-04-02,10.0,2.0,1.0,1.0,11.0,1018552.0,25.0,2.0
2020-04-03,15.0,6.0,1.0,2.0,10.0,1019236.0,29.0,4.0
2020-04-04,16.0,6.0,5.0,5.0,17.0,1018432.0,32.0,3.0
2020-04-05,32.0,5.0,7.0,4.0,13.0,1019754.0,35.0,3.0
2020-04-06,41.0,14.0,5.0,4.0,17.0,1018832.0,42.0,7.0
2020-04-07,51.0,7.0,8.0,6.0,26.0,1018182.0,45.0,3.0
2020-04-08,61.0,8.0,7.0,8.0,31.0,1017566.0,51.0,6.0
2020-04-09,75.0,11.0,10.0,6.0,28.0,1017316.0,63.0,12.0
2020-04-10,79.0,20.0,15.0,10.0,33.0,1017057.0,82.0,19.0
2020-04-11,106.0,17.0,20.0,14.0,44.0,1018263.0,92.0,10.0
2020-04-12,126.0,20.0,19.0,16.0,58.0,1019477.0,110.0,18.0
2020-04-13,134.0,25.0,19.0,12.0,64.0,1019284.0,132.0,22.0
2020-04-14,145.0,39.0,24.0,19.0,69.0,1018741.0,167.0,35.0
2020-04-15,173.0,50.0,31.0,17.0,72.0,1017925.0,197.0,30.0
2020-04-16,219.0,42.0,35.0,25.0,94.0,1019143.0,229.0,32.0
2020-04-17,284.0,41.0,46.0,41.0,105.0,1020169.0,272.0,43.0
2020-04-18,326.0,64.0,64.0,36.0,156.0,1020410.0,330.0,58.0
2020-04-19,422.0,72.0,71.0,41.0,183.0,1019710.0,384.0,54.0
2020-04-20,502.0,98.0,77.0,60.0,227.0,1020497.0,460.0,76.0
2020-04-21,603.0,118.0,91.0,75.0,305.0,1017997.0,545.0,85.0
2020-04-22,719.0,145.0,121.0,86.0,364.0,1018566.0,654.0,109.0
2020-04-23,829.0,162.0,121.0,96.0,450.0,1019789.0,782.0,128.0
2020-04-24,990.0,205.0,164.0,122.0,465.0,1018998.0,949.0,167.0
2020-04-25,1164.0,249.0,191.0,129.0,574.0,1017734.0,1148.0,199.0
2020-04-26,1441.0,282.0,235.0,171.0,664.0,1016921.0,1367.0,219.0
2020-04-27,1648.0,407.0,246.0,209.0,776.0,1017547.0,1667.0,300.0
2020-04-28,1991.0,430.0,375.0,256.0,926.0,1016999.0,1994.0,327.0
2020-04-29,2351.0,488.0,404.0,324.0,1165.0,1016116.0,2391.0,397.0
2020-04-30,2761.0,599.0,492.0,384.0,1322.0,1015125.0,2882.0,491.0
2020-05-01,3277.0,750.0,570.0,422.0,1657.0,1015069.0,3447.0,565.0
2020-05-02,4041.0,826.0,701.0,517.0,2016.0,1014624.0,4106.0,659.0
2020-05-03,4832.0,991.0,787.0,631.0,2419.0,1013476.0,4889.0,783.0
2020-05-04,5704.0,1268.0,877.0,791.0,2821.0,1012033.0,5838.0,949.0
2020-05-05,6821.0,1477.0,1185.0,865.0,3381.0,1009582.0,6985.0,1147.0
2020-05-06,8156.0,1782.0,1343.0,1092.0,4097.0,1006948.0,8327.0,1342.0
2020-05-07,9726.0,2047.0,1631.0,1343.0,4834.0,1004299.0,9903.0,1576.0
2020-05-08,11473.0,2481.0,1943.0,1578.0,5724.0,1000363.0,11900.0,1997.0
2020-05-09,13757.0,2962.0,2356.0,1875.0,6781.0,995074.0,14268.0,2368.0
2020-05-10,16289.0,3417.0,2771.0,2115.0,8162.0,988149.0,16920.0,2652.0
2020-05-11,19204.0,4160.0,3276.0,2526.0,9581.0,983495.0,20251.0,3331.0
2020-05-12,22770.0,4958.0,3780.0,3009.0,11469.0,976847.0,24051.0,3800.0
2020-05-13,26629.0,5840.0,4622.0,3643.0,13620.0,969220.0,28598.0,4547.0
2020-05-14,31388.0,6851.0,5360.0,4200.0,16380.0,959226.0,33946.0,5348.0
2020-05-15,36982.0,7959.0,6448.0,5050.0,19450.0,948722.0,40088.0,6142.0
2020-05-16,43402.0,9485.0,7412.0,5909.0,23049.0,935344.0,47394.0,7306.0
2020-05-17,50333.0,11340.0,8725.0,7082.0,27396.0,919697.0,56196.0,8802.0
2020-05-18,58838.0,13207.0,10506.0,8374.0,32216.0,901472.0,66329.0,10133.0
2020-05-19,68704.0,15365.0,12212.0,9853.0,38114.0,881604.0,78019.0,11690.0
2020-05-20,79337.0,17554.0,14363.0,11606.0,45050.0,855650.0,91501.0,13482.0
2020-05-21,90752.0,20558.0,16610.0,13341.0,53572.0,828921.0,107106.0,15605.0
2020-05-22,103324.0,23502.0,19155.0,15514.0,63270.0,800059.0,124746.0,17640.0
2020-05-23,116705.0,26984.0,22024.0,17891.0,74082.0,766588.0,145181.0,20435.0
2020-05-24,130716.0,30219.0,25056.0,20696.0,86989.0,731119.0,167888.0,22707.0
2020-05-25,145072.0,33702.0,28813.0,23344.0,101255.0,692155.0,193199.0,25311.0
2020-05-26,159634.0,37518.0,31956.0,27128.0,117719.0,650634.0,221185.0,27986.0
2020-05-27,173277.0,41726.0,35717.0,30593.0,136834.0,607268.0,252155.0,30970.0
2020-05-28,185741.0,45376.0,39694.0,34152.0,158112.0,561773.0,285624.0,33469.0
2020-05-29,195953.0,49008.0,42957.0,37892.0,182117.0,517101.0,321443.0,35819.0
2020-05-30,204475.0,51749.0,46452.0,41339.0,207837.0,472889.0,358841.0,37398.0
2020-05-31,210966.0,54438.0,49369.0,44662.0,236647.0,429572.0,397655.0,38814.0
2020-06-01,214813.0,56449.0,52479.0,47492.0,266352.0,387403.0,437628.0,39973.0
2020-06-02,215473.0,57588.0,54861.0,50175.0,298940.0,348188.0,477894.0,40266.0
2020-06-03,213365.0,58127.0,56633.0,52995.0,332229.0,311121.0,518191.0,40297.0
2020-06-04,208405.0,57441.0,57102.0,54793.0,368158.0,277800.0,557679.0,39488.0
2020-06-05,201901.0,56430.0,57242.0,55743.0,405166.0,248606.0,596008.0,38329.0
2020-06-06,192673.0,55373.0,56549.0,56015.0,442345.0,222751.0,633340.0,37332.0
2020-06-07,181983.0,53723.0,55223.0,56116.0,479753.0,200092.0,668698.0,35358.0
2020-06-08,171546.0,50963.0,53874.0,55159.0,517114.0,180279.0,701983.0,33285.0
2020-06-09,159220.0,48007.0,51573.0,53918.0,553119.0,162395.0,733402.0,31419.0
2020-06-10,146765.0,45243.0,48842.0,51757.0,588382.0,147210.0,762343.0,28941.0
2020-06-11,134478.0,41631.0,46388.0,49465.0,622197.0,133914.0,788997.0,26654.0
2020-06-12,122611.0,37985.0,42666.0,47176.0,653868.0,123043.0,813236.0,24239.0
2020-06-13,110773.0,35209.0,39840.0,43943.0,684103.0,113468.0,835627.0,22391.0
2020-06-14,100224.0,31932.0,36435.0,40738.0,712303.0,105206.0,855400.0,19773.0
2020-06-15,90057.0,29100.0,33347.0,37794.0,738147.0,98309.0,873508.0,18108.0
2020-06-16,80719.0,26000.0,30714.0,34970.0,762777.0,92367.0,889532.0,16024.0
2020-06-17,71892.0,23462.0,27916.0,31574.0,785574.0,87570.0,904087.0,14555.0
2020-06-18,63711.0,21095.0,25202.0,29085.0,804861.0,83304.0,917293.0,13206.0
2020-06-19,56608.0,18878.0,22531.0,26485.0,823293.0,79551.0,928778.0,11485.0
2020-06-20,50259.0,16693.0,20032.0,24019.0,839453.0,76490.0,939112.0,10334.0
2020-06-21,44682.0,14792.0,18045.0,21601.0,856511.0,73485.0,948089.0,8977.0
2020-06-22,39420.0,13329.0,16075.0,19462.0,868887.0,71253.0,956307.0,8218.0
2020-06-23,34682.0,11708.0,14033.0,17172.0,880366.0,69651.0,963340.0,7033.0
2020-06-24,30794.0,10338.0,12630.0,15302.0,889904.0,68046.0,969628.0,6288.0
2020-06-25,27051.0,9185.0,11134.0,13598.0,898138.0,66240.0,975124.0,5496.0
2020-06-26,23721.0,8188.0,9934.0,11969.0,906630.0,64965.0,979926.0,4802.0
2020-06-27,21036.0,7102.0,8884.0,10781.0,915182.0,63742.0,984123.0,4197.0
2020-06-28,18434.0,6288.0,7624.0,9693.0,922306.0,63025.0,988036.0,3913.0
2020-06-29,16516.0,5443.0,6844.0,8385.0,929618.0,62116.0,991333.0,3297.0
2020-06-30,14460.0,4761.0,5959.0,7360.0,935136.0,61442.0,994197.0,2864.0
2020-07-01,12602.0,4292.0,5222.0,6360.0,939418.0,60866.0,996756.0,2559.0
2020-07-02,11012.0,3842.0,4523.0,5663.0,942482.0,60566.0,999045.0,2289.0
2020-07-03,9702.0,3337.0,4042.0,4928.0,946043.0,59947.0,1001016.0,1971.0
2020-07-04,8578.0,2953.0,3583.0,4285.0,949072.0,59522.0,1002740.0,1724.0
2020-07-05,7506.0,2534.0,3160.0,3790.0,951077.0,59133.0,1004252.0,1512.0
2020-07-06,6590.0,2228.0,2812.0,3319.0,954039.0,58760.0,1005578.0,1326.0
