time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970118.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,972432.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,1.0,979421.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,1.0,986402.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,993309.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,997181.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1001116.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,1.0,1003470.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005668.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1007247.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1008644.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1010547.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,1.0,1010904.0,0.0,0.0
2020-03-19,2.0,0.0,1.0,0.0,1.0,1012348.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,1011871.0,0.0,0.0
2020-03-21,0.0,1.0,1.0,0.0,2.0,1012874.0,1.0,1.0
2020-03-22,1.0,0.0,1.0,0.0,2.0,1014002.0,1.0,0.0
2020-03-23,2.0,0.0,0.0,1.0,4.0,1014519.0,1.0,0.0
2020-03-24,2.0,0.0,0.0,1.0,6.0,1014254.0,1.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,4.0,1014183.0,1.0,0.0
2020-03-26,2.0,0.0,1.0,0.0,4.0,1014598.0,1.0,0.0
2020-03-27,7.0,0.0,1.0,0.0,4.0,1015695.0,1.0,0.0
2020-03-28,7.0,3.0,0.0,1.0,8.0,1016137.0,4.0,3.0
2020-03-29,6.0,2.0,1.0,0.0,10.0,1015285.0,5.0,1.0
2020-03-30,12.0,0.0,2.0,1.0,10.0,1015380.0,5.0,0.0
2020-03-31,12.0,3.0,1.0,3.0,7.0,1015406.0,9.0,4.0
2020-04-01,15.0,2.0,3.0,1.0,8.0,1015233.0,11.0,2.0
2020-04-02,15.0,4.0,6.0,2.0,5.0,1016017.0,16.0,5.0
2020-04-03,26.0,8.0,2.0,2.0,10.0,1016823.0,18.0,2.0
2020-04-04,27.0,6.0,3.0,4.0,12.0,1016661.0,22.0,4.0
2020-04-05,27.0,4.0,2.0,5.0,17.0,1016039.0,25.0,3.0
2020-04-06,27.0,4.0,7.0,3.0,16.0,1016916.0,29.0,4.0
2020-04-07,30.0,5.0,6.0,6.0,15.0,1018483.0,34.0,5.0
2020-04-08,51.0,4.0,7.0,6.0,20.0,1017813.0,39.0,5.0
2020-04-09,58.0,15.0,9.0,4.0,29.0,1017648.0,54.0,15.0
2020-04-10,55.0,10.0,13.0,8.0,37.0,1017988.0,63.0,9.0
2020-04-11,65.0,14.0,14.0,10.0,51.0,1017769.0,74.0,11.0
2020-04-12,83.0,12.0,12.0,9.0,64.0,1017893.0,82.0,8.0
2020-04-13,87.0,16.0,14.0,11.0,57.0,1018647.0,101.0,19.0
2020-04-14,108.0,24.0,21.0,11.0,63.0,1019277.0,120.0,19.0
2020-04-15,149.0,19.0,33.0,16.0,68.0,1019214.0,137.0,17.0
2020-04-16,169.0,30.0,30.0,18.0,91.0,1019081.0,163.0,26.0
2020-04-17,190.0,47.0,24.0,26.0,104.0,1020227.0,197.0,34.0
2020-04-18,244.0,47.0,41.0,25.0,137.0,1020445.0,229.0,32.0
2020-04-19,317.0,55.0,51.0,38.0,154.0,1019446.0,276.0,47.0
2020-04-20,344.0,81.0,66.0,35.0,175.0,1019232.0,341.0,65.0
2020-04-21,423.0,94.0,70.0,64.0,220.0,1019171.0,414.0,73.0
2020-04-22,522.0,110.0,81.0,58.0,251.0,1018685.0,491.0,77.0
2020-04-23,611.0,126.0,107.0,77.0,312.0,1019260.0,588.0,97.0
2020-04-24,699.0,143.0,124.0,89.0,352.0,1019771.0,713.0,125.0
2020-04-25,833.0,173.0,134.0,111.0,431.0,1019015.0,842.0,129.0
2020-04-26,978.0,220.0,158.0,132.0,512.0,1019177.0,1029.0,187.0
2020-04-27,1203.0,297.0,201.0,153.0,608.0,1020037.0,1252.0,223.0
2020-04-28,1387.0,318.0,245.0,209.0,727.0,1018503.0,1493.0,241.0
2020-04-29,1650.0,363.0,270.0,211.0,854.0,1018103.0,1760.0,267.0
2020-04-30,1868.0,453.0,337.0,259.0,997.0,1018404.0,2107.0,347.0
2020-05-01,2268.0,501.0,399.0,299.0,1202.0,1016063.0,2475.0,368.0
2020-05-02,2780.0,629.0,475.0,371.0,1384.0,1016967.0,2959.0,484.0
2020-05-03,3361.0,672.0,594.0,467.0,1639.0,1015056.0,3494.0,535.0
2020-05-04,3995.0,855.0,667.0,507.0,1981.0,1014979.0,4164.0,670.0
2020-05-05,4614.0,1015.0,795.0,617.0,2377.0,1014043.0,4982.0,818.0
2020-05-06,5553.0,1220.0,924.0,758.0,2825.0,1013036.0,5941.0,959.0
2020-05-07,6636.0,1466.0,1079.0,912.0,3368.0,1010837.0,7070.0,1129.0
2020-05-08,7735.0,1816.0,1304.0,1044.0,4004.0,1008289.0,8504.0,1434.0
2020-05-09,9264.0,2061.0,1540.0,1235.0,4765.0,1004674.0,10054.0,1550.0
2020-05-10,11131.0,2431.0,1855.0,1421.0,5660.0,1001724.0,11878.0,1824.0
2020-05-11,13200.0,2822.0,2206.0,1668.0,6802.0,998527.0,14005.0,2127.0
2020-05-12,15475.0,3382.0,2709.0,2084.0,7949.0,993438.0,16624.0,2619.0
2020-05-13,18329.0,4035.0,3117.0,2447.0,9451.0,987110.0,19765.0,3141.0
2020-05-14,21728.0,4768.0,3732.0,3016.0,11152.0,980784.0,23425.0,3660.0
2020-05-15,25687.0,5750.0,4388.0,3470.0,13250.0,973773.0,27855.0,4430.0
2020-05-16,30296.0,6570.0,5219.0,4016.0,15678.0,964383.0,32932.0,5077.0
2020-05-17,35614.0,7816.0,6112.0,5028.0,18415.0,953682.0,38976.0,6044.0
2020-05-18,41852.0,9043.0,7148.0,5812.0,21741.0,939581.0,45982.0,7006.0
2020-05-19,48773.0,10711.0,8706.0,6812.0,25808.0,925544.0,54290.0,8308.0
2020-05-20,56334.0,12415.0,9976.0,8077.0,30307.0,909548.0,63910.0,9620.0
2020-05-21,65118.0,14462.0,11565.0,9229.0,35778.0,890451.0,75059.0,11149.0
2020-05-22,75122.0,16793.0,13495.0,10989.0,42138.0,868626.0,88068.0,13009.0
2020-05-23,85895.0,19303.0,15698.0,12679.0,49815.0,843236.0,103060.0,14992.0
2020-05-24,97805.0,22050.0,17973.0,14713.0,58286.0,814363.0,119785.0,16725.0
2020-05-25,110142.0,25050.0,20356.0,16776.0,68454.0,784966.0,138895.0,19110.0
2020-05-26,123794.0,28596.0,23385.0,19275.0,80316.0,751603.0,160468.0,21573.0
2020-05-27,137686.0,31981.0,26594.0,22000.0,93503.0,714768.0,184551.0,24083.0
2020-05-28,151919.0,35764.0,29953.0,25072.0,108557.0,675307.0,211216.0,26665.0
2020-05-29,164968.0,39666.0,33511.0,28510.0,125900.0,634193.0,240780.0,29564.0
2020-05-30,178020.0,42972.0,37239.0,32029.0,145372.0,591129.0,272609.0,31829.0
2020-05-31,189953.0,46535.0,40673.0,35327.0,166884.0,546579.0,306702.0,34093.0
2020-06-01,199056.0,49856.0,44316.0,38741.0,190774.0,503003.0,343033.0,36331.0
2020-06-02,207096.0,52908.0,47836.0,42258.0,216504.0,459155.0,381087.0,38054.0
2020-06-03,212758.0,54949.0,50359.0,45646.0,245108.0,416430.0,420430.0,39343.0
2020-06-04,215613.0,56926.0,53539.0,48390.0,276014.0,377131.0,460843.0,40413.0
2020-06-05,215409.0,58155.0,54958.0,51562.0,308355.0,338529.0,501514.0,40671.0
2020-06-06,212136.0,58124.0,56632.0,53244.0,342821.0,303963.0,541514.0,40000.0
2020-06-07,206960.0,57813.0,56768.0,55099.0,377470.0,271846.0,580919.0,39405.0
2020-06-08,199697.0,56377.0,56908.0,55940.0,412513.0,244028.0,618940.0,38021.0
2020-06-09,190678.0,54719.0,56240.0,56456.0,449870.0,219216.0,655907.0,36967.0
2020-06-10,180152.0,52630.0,54786.0,56076.0,486335.0,197535.0,690698.0,34791.0
2020-06-11,168601.0,50573.0,53072.0,54458.0,522482.0,177925.0,723942.0,33244.0
2020-06-12,157006.0,47621.0,50785.0,53041.0,557193.0,161094.0,754837.0,30895.0
2020-06-13,144938.0,44761.0,48150.0,51468.0,590184.0,146816.0,783771.0,28934.0
2020-06-14,133997.0,41403.0,45505.0,49059.0,623134.0,134753.0,809790.0,26019.0
2020-06-15,122172.0,38238.0,42772.0,46893.0,654442.0,124059.0,834303.0,24513.0
2020-06-16,110784.0,34866.0,40082.0,43971.0,684255.0,114800.0,856510.0,22207.0
2020-06-17,100280.0,31774.0,36698.0,41477.0,711627.0,106894.0,876616.0,20106.0
2020-06-18,90602.0,29019.0,33266.0,38241.0,736954.0,100206.0,894653.0,18037.0
2020-06-19,81537.0,26181.0,30654.0,35030.0,761001.0,94173.0,911008.0,16355.0
2020-06-20,72719.0,23639.0,27922.0,32184.0,783123.0,89351.0,925641.0,14633.0
2020-06-21,65406.0,21065.0,25485.0,29299.0,802110.0,85258.0,938757.0,13116.0
2020-06-22,58066.0,19237.0,22976.0,26620.0,819212.0,81710.0,950669.0,11912.0
2020-06-23,51930.0,17302.0,20463.0,24245.0,834919.0,78808.0,961177.0,10508.0
2020-06-24,46133.0,15403.0,18366.0,21981.0,850714.0,76023.0,970470.0,9293.0
2020-06-25,41062.0,13616.0,16528.0,19729.0,863051.0,72981.0,978755.0,8285.0
2020-06-26,36636.0,12157.0,14701.0,17850.0,875383.0,71130.0,986038.0,7283.0
2020-06-27,32559.0,10907.0,13067.0,15899.0,886615.0,69812.0,992647.0,6609.0
2020-06-28,28701.0,9667.0,11684.0,14159.0,896177.0,68546.0,998549.0,5902.0
2020-06-29,25558.0,8400.0,10292.0,12547.0,905582.0,67199.0,1003579.0,5030.0
2020-06-30,22275.0,7512.0,9087.0,11228.0,912072.0,66037.0,1008254.0,4675.0
2020-07-01,19585.0,6697.0,8207.0,9735.0,920206.0,64941.0,1012343.0,4089.0
2020-07-02,17259.0,5806.0,7360.0,8767.0,926221.0,63920.0,1015926.0,3583.0
2020-07-03,15379.0,5250.0,6379.0,7925.0,931730.0,63301.0,1019005.0,3079.0
2020-07-04,13667.0,4546.0,5758.0,7015.0,935610.0,62727.0,1021730.0,2725.0
2020-07-05,11908.0,4141.0,5112.0,6246.0,939635.0,62092.0,1024223.0,2493.0
2020-07-06,10589.0,3605.0,4439.0,5565.0,943403.0,61300.0,1026340.0,2117.0
