time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970527.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,973049.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,0.0,980216.0,0.0,0.0
2020-03-09,3.0,1.0,0.0,0.0,0.0,987294.0,0.0,0.0
2020-03-10,4.0,0.0,0.0,0.0,0.0,992192.0,1.0,1.0
2020-03-11,3.0,0.0,0.0,0.0,0.0,997609.0,1.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,0.0,1000282.0,1.0,0.0
2020-03-13,3.0,0.0,0.0,1.0,1.0,1002725.0,1.0,0.0
2020-03-14,2.0,1.0,0.0,0.0,3.0,1005647.0,2.0,1.0
2020-03-15,3.0,1.0,0.0,0.0,3.0,1007029.0,2.0,0.0
2020-03-16,5.0,3.0,0.0,0.0,4.0,1008300.0,5.0,3.0
2020-03-17,2.0,2.0,1.0,0.0,1.0,1009997.0,6.0,1.0
2020-03-18,8.0,1.0,2.0,0.0,5.0,1010459.0,7.0,1.0
2020-03-19,6.0,2.0,0.0,0.0,6.0,1011023.0,8.0,1.0
2020-03-20,3.0,5.0,1.0,1.0,5.0,1013323.0,12.0,4.0
2020-03-21,8.0,2.0,1.0,1.0,4.0,1014031.0,13.0,1.0
2020-03-22,7.0,4.0,0.0,1.0,4.0,1012812.0,15.0,2.0
2020-03-23,11.0,4.0,1.0,1.0,4.0,1013903.0,16.0,1.0
2020-03-24,15.0,4.0,4.0,3.0,6.0,1014099.0,18.0,2.0
2020-03-25,21.0,5.0,4.0,2.0,8.0,1013503.0,21.0,3.0
2020-03-26,34.0,1.0,1.0,5.0,6.0,1014046.0,23.0,2.0
2020-03-27,36.0,1.0,1.0,4.0,12.0,1015270.0,23.0,0.0
2020-03-28,35.0,5.0,3.0,4.0,13.0,1015358.0,29.0,6.0
2020-03-29,39.0,5.0,6.0,6.0,17.0,1015334.0,35.0,6.0
2020-03-30,43.0,7.0,7.0,4.0,23.0,1016169.0,39.0,4.0
2020-03-31,44.0,11.0,7.0,7.0,24.0,1016036.0,46.0,7.0
2020-04-01,47.0,17.0,9.0,9.0,26.0,1016942.0,54.0,8.0
2020-04-02,73.0,18.0,14.0,8.0,21.0,1017635.0,65.0,11.0
2020-04-03,64.0,13.0,10.0,11.0,31.0,1018869.0,78.0,13.0
2020-04-04,68.0,17.0,16.0,9.0,41.0,1017817.0,88.0,10.0
2020-04-05,79.0,24.0,10.0,11.0,46.0,1017976.0,108.0,20.0
2020-04-06,97.0,27.0,17.0,8.0,52.0,1019155.0,129.0,21.0
2020-04-07,123.0,28.0,20.0,12.0,63.0,1018975.0,145.0,16.0
2020-04-08,134.0,31.0,22.0,18.0,68.0,1018487.0,169.0,24.0
2020-04-09,169.0,39.0,36.0,18.0,81.0,1017684.0,200.0,31.0
2020-04-10,197.0,46.0,33.0,25.0,99.0,1016906.0,230.0,30.0
2020-04-11,261.0,56.0,40.0,38.0,119.0,1016561.0,267.0,37.0
2020-04-12,280.0,63.0,50.0,35.0,122.0,1017592.0,318.0,51.0
2020-04-13,320.0,69.0,52.0,44.0,140.0,1017918.0,375.0,57.0
2020-04-14,389.0,80.0,78.0,54.0,163.0,1017699.0,451.0,76.0
2020-04-15,404.0,95.0,77.0,58.0,199.0,1018322.0,533.0,82.0
2020-04-16,496.0,111.0,74.0,70.0,261.0,1016716.0,621.0,88.0
2020-04-17,596.0,125.0,101.0,61.0,313.0,1017756.0,714.0,93.0
2020-04-18,716.0,154.0,133.0,92.0,335.0,1017290.0,827.0,113.0
2020-04-19,841.0,156.0,152.0,109.0,401.0,1017455.0,941.0,114.0
2020-04-20,979.0,217.0,161.0,119.0,494.0,1016751.0,1112.0,171.0
2020-04-21,1144.0,266.0,202.0,152.0,623.0,1016076.0,1318.0,206.0
2020-04-22,1438.0,291.0,263.0,178.0,728.0,1016641.0,1557.0,239.0
2020-04-23,1820.0,354.0,296.0,226.0,849.0,1016788.0,1832.0,275.0
2020-04-24,2115.0,437.0,351.0,269.0,969.0,1016682.0,2183.0,351.0
2020-04-25,2504.0,549.0,382.0,309.0,1136.0,1014235.0,2580.0,397.0
2020-04-26,2854.0,652.0,450.0,361.0,1361.0,1014275.0,3079.0,499.0
2020-04-27,3270.0,791.0,555.0,444.0,1585.0,1013446.0,3685.0,606.0
2020-04-28,3965.0,866.0,683.0,521.0,1911.0,1012029.0,4341.0,656.0
2020-04-29,4733.0,1017.0,807.0,637.0,2273.0,1012121.0,5165.0,824.0
2020-04-30,5741.0,1191.0,963.0,757.0,2699.0,1010989.0,6119.0,954.0
2020-05-01,6810.0,1455.0,1103.0,882.0,3252.0,1009478.0,7279.0,1160.0
2020-05-02,7962.0,1658.0,1295.0,1014.0,3985.0,1007512.0,8545.0,1266.0
2020-05-03,9402.0,2032.0,1557.0,1228.0,4596.0,1003287.0,10089.0,1544.0
2020-05-04,11127.0,2465.0,1820.0,1472.0,5568.0,1000775.0,12012.0,1923.0
2020-05-05,13149.0,2831.0,2278.0,1703.0,6500.0,995779.0,14222.0,2210.0
2020-05-06,15455.0,3380.0,2702.0,2095.0,7697.0,990430.0,16879.0,2657.0
2020-05-07,18235.0,4088.0,3145.0,2466.0,9079.0,985323.0,20057.0,3178.0
2020-05-08,21632.0,4708.0,3776.0,2953.0,10860.0,978842.0,23716.0,3659.0
2020-05-09,25617.0,5567.0,4319.0,3524.0,13054.0,972216.0,28088.0,4372.0
2020-05-10,30440.0,6538.0,5065.0,4099.0,15479.0,963139.0,33196.0,5108.0
2020-05-11,35532.0,7755.0,6080.0,4758.0,18332.0,951939.0,39265.0,6069.0
2020-05-12,41291.0,9019.0,7283.0,5661.0,21452.0,940384.0,46301.0,7036.0
2020-05-13,48154.0,10490.0,8404.0,6761.0,25393.0,926100.0,54367.0,8066.0
2020-05-14,55909.0,12146.0,9846.0,7917.0,30045.0,909086.0,63801.0,9434.0
2020-05-15,64303.0,14343.0,11457.0,9284.0,35477.0,889569.0,74832.0,11031.0
2020-05-16,73951.0,16379.0,13430.0,10614.0,41901.0,867500.0,87505.0,12673.0
2020-05-17,85009.0,19003.0,15272.0,12386.0,49318.0,844162.0,102142.0,14637.0
2020-05-18,96827.0,21784.0,17765.0,14561.0,57741.0,817135.0,118857.0,16715.0
2020-05-19,109532.0,24933.0,20111.0,16686.0,67738.0,786619.0,137813.0,18956.0
2020-05-20,123092.0,28396.0,23045.0,19162.0,78945.0,752227.0,159173.0,21360.0
2020-05-21,137198.0,31743.0,26685.0,21908.0,92090.0,716566.0,183269.0,24096.0
2020-05-22,150424.0,35583.0,29802.0,24988.0,107158.0,676594.0,209921.0,26652.0
2020-05-23,163712.0,39324.0,33189.0,28274.0,124151.0,636642.0,239058.0,29137.0
2020-05-24,177448.0,42656.0,37019.0,31814.0,142960.0,594190.0,270496.0,31438.0
2020-05-25,189560.0,46389.0,40585.0,35351.0,163997.0,551345.0,304882.0,34386.0
2020-05-26,199221.0,49194.0,43801.0,38261.0,187763.0,507894.0,340939.0,36057.0
2020-05-27,206074.0,52316.0,46813.0,41788.0,213377.0,464833.0,378881.0,37942.0
2020-05-28,211449.0,54438.0,49833.0,44752.0,240727.0,424098.0,417939.0,39058.0
2020-05-29,214696.0,56412.0,52470.0,48074.0,270569.0,383779.0,457498.0,39559.0
2020-05-30,214291.0,57576.0,54721.0,50765.0,302451.0,345629.0,498169.0,40671.0
2020-05-31,212007.0,58021.0,55911.0,52980.0,335657.0,310653.0,538364.0,40195.0
2020-06-01,207332.0,57716.0,56696.0,54684.0,370135.0,278849.0,577724.0,39360.0
2020-06-02,200338.0,56797.0,56474.0,55900.0,405342.0,250102.0,616137.0,38413.0
2020-06-03,191466.0,54675.0,55855.0,56524.0,440863.0,224899.0,652673.0,36536.0
2020-06-04,181200.0,52833.0,54772.0,56343.0,477230.0,202922.0,687891.0,35218.0
2020-06-05,170729.0,50279.0,53067.0,54976.0,513188.0,183387.0,720913.0,33022.0
2020-06-06,159316.0,47866.0,51204.0,53390.0,547652.0,166942.0,752124.0,31211.0
2020-06-07,147614.0,44995.0,48701.0,52019.0,580693.0,152612.0,781244.0,29120.0
2020-06-08,136093.0,41973.0,45850.0,49429.0,612079.0,140146.0,808016.0,26772.0
2020-06-09,124690.0,39045.0,42954.0,47242.0,643337.0,129378.0,832795.0,24779.0
2020-06-10,113859.0,35788.0,40159.0,44391.0,672637.0,119910.0,855256.0,22461.0
2020-06-11,103307.0,32952.0,37245.0,41399.0,699996.0,111924.0,876008.0,20752.0
2020-06-12,94076.0,30222.0,34446.0,38645.0,725081.0,105093.0,894863.0,18855.0
2020-06-13,84643.0,27597.0,31617.0,35764.0,748331.0,98705.0,911824.0,16961.0
2020-06-14,76075.0,24854.0,28767.0,33000.0,770960.0,93327.0,927095.0,15271.0
2020-06-15,68029.0,22428.0,26134.0,30517.0,791007.0,89068.0,940916.0,13821.0
2020-06-16,60573.0,20082.0,23752.0,27536.0,810233.0,85556.0,953232.0,12316.0
2020-06-17,54283.0,18003.0,21257.0,25054.0,825926.0,82008.0,964077.0,10845.0
2020-06-18,48828.0,16002.0,19160.0,22722.0,840958.0,79060.0,973692.0,9615.0
2020-06-19,43519.0,14480.0,17354.0,20600.0,854844.0,76743.0,982582.0,8890.0
2020-06-20,38752.0,12821.0,15407.0,18546.0,867046.0,74780.0,990237.0,7655.0
2020-06-21,34607.0,11328.0,13785.0,16834.0,877689.0,73205.0,997183.0,6946.0
2020-06-22,30823.0,10052.0,12372.0,15076.0,888521.0,71527.0,1003315.0,6132.0
2020-06-23,27299.0,9024.0,11102.0,13475.0,895529.0,70098.0,1008834.0,5519.0
2020-06-24,24316.0,8191.0,10019.0,12117.0,904295.0,68843.0,1013848.0,5014.0
2020-06-25,21645.0,7293.0,8884.0,10624.0,910141.0,67963.0,1018174.0,4326.0
2020-06-26,19197.0,6335.0,7920.0,9549.0,917588.0,67169.0,1022038.0,3864.0
2020-06-27,17000.0,5701.0,7027.0,8408.0,923368.0,66203.0,1025494.0,3456.0
2020-06-28,14961.0,5097.0,6292.0,7578.0,928684.0,65367.0,1028566.0,3072.0
2020-06-29,13086.0,4604.0,5574.0,6751.0,933713.0,64481.0,1031296.0,2730.0
2020-06-30,11749.0,3993.0,4974.0,5972.0,938431.0,63976.0,1033635.0,2339.0
2020-07-01,10496.0,3539.0,4435.0,5391.0,941593.0,63472.0,1035751.0,2116.0
2020-07-02,9189.0,3170.0,3905.0,4837.0,945401.0,63064.0,1037651.0,1900.0
2020-07-03,8092.0,2704.0,3500.0,4206.0,947483.0,62504.0,1039288.0,1637.0
2020-07-04,7084.0,2398.0,3152.0,3751.0,949963.0,62268.0,1040771.0,1483.0
2020-07-05,6236.0,2138.0,2689.0,3338.0,950520.0,61886.0,1042056.0,1285.0
2020-07-06,5473.0,1956.0,2309.0,2897.0,952658.0,61690.0,1043246.0,1190.0
