time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969980.0,0.0,0.0
2020-03-07,1.0,0.0,3.0,0.0,0.0,973064.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,3.0,0.0,979228.0,0.0,0.0
2020-03-09,0.0,1.0,1.0,1.0,0.0,986246.0,2.0,2.0
2020-03-10,3.0,0.0,1.0,1.0,1.0,992538.0,2.0,0.0
2020-03-11,4.0,0.0,1.0,0.0,2.0,996067.0,2.0,0.0
2020-03-12,1.0,2.0,1.0,0.0,1.0,999824.0,4.0,2.0
2020-03-13,1.0,2.0,1.0,0.0,1.0,1002994.0,4.0,0.0
2020-03-14,2.0,1.0,2.0,0.0,0.0,1005588.0,4.0,0.0
2020-03-15,2.0,1.0,1.0,0.0,0.0,1006723.0,4.0,0.0
2020-03-16,3.0,1.0,1.0,0.0,1.0,1008008.0,5.0,1.0
2020-03-17,1.0,2.0,0.0,0.0,1.0,1009097.0,6.0,1.0
2020-03-18,4.0,0.0,2.0,0.0,2.0,1008979.0,6.0,0.0
2020-03-19,2.0,1.0,1.0,0.0,3.0,1011351.0,7.0,1.0
2020-03-20,4.0,1.0,1.0,1.0,2.0,1011778.0,7.0,0.0
2020-03-21,7.0,0.0,1.0,1.0,3.0,1013500.0,7.0,0.0
2020-03-22,6.0,1.0,0.0,1.0,4.0,1012604.0,8.0,1.0
2020-03-23,7.0,0.0,2.0,0.0,5.0,1012392.0,9.0,1.0
2020-03-24,6.0,1.0,0.0,2.0,2.0,1011642.0,10.0,1.0
2020-03-25,8.0,3.0,1.0,2.0,3.0,1012878.0,11.0,1.0
2020-03-26,7.0,2.0,3.0,1.0,4.0,1014227.0,13.0,2.0
2020-03-27,9.0,5.0,4.0,2.0,9.0,1014984.0,17.0,4.0
2020-03-28,11.0,6.0,3.0,3.0,6.0,1014175.0,20.0,3.0
2020-03-29,9.0,3.0,5.0,1.0,5.0,1014100.0,24.0,4.0
2020-03-30,13.0,3.0,7.0,1.0,6.0,1015951.0,25.0,1.0
2020-03-31,21.0,1.0,3.0,2.0,11.0,1015988.0,26.0,1.0
2020-04-01,22.0,4.0,1.0,4.0,10.0,1014347.0,30.0,4.0
2020-04-02,22.0,6.0,5.0,4.0,10.0,1015323.0,36.0,6.0
2020-04-03,36.0,6.0,6.0,4.0,15.0,1015545.0,41.0,5.0
2020-04-04,43.0,5.0,9.0,3.0,19.0,1014882.0,44.0,3.0
2020-04-05,47.0,8.0,10.0,3.0,19.0,1015063.0,51.0,7.0
2020-04-06,59.0,10.0,6.0,9.0,21.0,1015687.0,60.0,9.0
2020-04-07,71.0,13.0,9.0,6.0,32.0,1016138.0,67.0,7.0
2020-04-08,85.0,16.0,14.0,7.0,49.0,1016698.0,80.0,13.0
2020-04-09,99.0,24.0,14.0,17.0,60.0,1016473.0,98.0,18.0
2020-04-10,120.0,26.0,18.0,10.0,60.0,1016697.0,118.0,20.0
2020-04-11,145.0,29.0,22.0,16.0,62.0,1016929.0,141.0,23.0
2020-04-12,180.0,38.0,30.0,25.0,78.0,1017708.0,169.0,28.0
2020-04-13,213.0,57.0,31.0,24.0,89.0,1016458.0,211.0,42.0
2020-04-14,259.0,61.0,36.0,26.0,107.0,1019535.0,250.0,39.0
2020-04-15,330.0,67.0,55.0,28.0,145.0,1018360.0,296.0,46.0
2020-04-16,351.0,100.0,50.0,41.0,157.0,1018837.0,363.0,67.0
2020-04-17,400.0,79.0,86.0,45.0,197.0,1018722.0,435.0,72.0
2020-04-18,477.0,100.0,106.0,62.0,232.0,1018266.0,526.0,91.0
2020-04-19,610.0,141.0,96.0,86.0,293.0,1018129.0,640.0,114.0
2020-04-20,738.0,162.0,139.0,91.0,363.0,1016859.0,773.0,133.0
2020-04-21,895.0,185.0,150.0,131.0,431.0,1017206.0,937.0,164.0
2020-04-22,982.0,227.0,154.0,156.0,500.0,1017961.0,1115.0,178.0
2020-04-23,1161.0,247.0,191.0,167.0,634.0,1018251.0,1288.0,173.0
2020-04-24,1367.0,307.0,218.0,182.0,741.0,1018155.0,1521.0,233.0
2020-04-25,1695.0,371.0,277.0,189.0,848.0,1017982.0,1771.0,250.0
2020-04-26,1964.0,445.0,326.0,264.0,961.0,1016428.0,2113.0,342.0
2020-04-27,2378.0,498.0,422.0,314.0,1121.0,1017125.0,2488.0,375.0
2020-04-28,2806.0,574.0,469.0,367.0,1371.0,1015678.0,2946.0,458.0
2020-04-29,3205.0,687.0,542.0,438.0,1578.0,1016100.0,3509.0,563.0
2020-04-30,3773.0,780.0,648.0,482.0,1884.0,1014390.0,4106.0,597.0
2020-05-01,4442.0,958.0,731.0,603.0,2183.0,1013717.0,4875.0,769.0
2020-05-02,5381.0,1159.0,879.0,721.0,2589.0,1010698.0,5760.0,885.0
2020-05-03,6210.0,1373.0,1042.0,830.0,3139.0,1008577.0,6849.0,1089.0
