time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,970279.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0,0.0,971874.0,1.0,1.0
2020-03-08,1.0,2.0,0.0,0.0,0.0,977880.0,2.0,1.0
2020-03-09,1.0,2.0,0.0,0.0,1.0,986536.0,2.0,0.0
2020-03-10,1.0,1.0,1.0,1.0,1.0,991304.0,2.0,0.0
2020-03-11,3.0,0.0,2.0,0.0,0.0,995636.0,2.0,0.0
2020-03-12,5.0,1.0,1.0,1.0,0.0,999177.0,4.0,2.0
2020-03-13,6.0,1.0,1.0,0.0,0.0,1003055.0,4.0,0.0
2020-03-14,6.0,2.0,2.0,0.0,1.0,1004833.0,6.0,2.0
2020-03-15,10.0,5.0,0.0,1.0,1.0,1006804.0,9.0,3.0
2020-03-16,9.0,3.0,0.0,4.0,2.0,1009053.0,11.0,2.0
2020-03-17,8.0,2.0,0.0,1.0,3.0,1009433.0,11.0,0.0
2020-03-18,7.0,2.0,2.0,0.0,2.0,1009943.0,12.0,1.0
2020-03-19,6.0,2.0,0.0,0.0,6.0,1009858.0,13.0,1.0
2020-03-20,5.0,3.0,0.0,0.0,6.0,1010257.0,15.0,2.0
2020-03-21,7.0,0.0,1.0,1.0,5.0,1010630.0,15.0,0.0
2020-03-22,8.0,0.0,0.0,2.0,4.0,1011616.0,15.0,0.0
2020-03-23,7.0,2.0,1.0,3.0,5.0,1012832.0,16.0,1.0
2020-03-24,6.0,1.0,2.0,2.0,14.0,1012659.0,17.0,1.0
2020-03-25,7.0,5.0,2.0,2.0,14.0,1013698.0,22.0,5.0
2020-03-26,26.0,2.0,2.0,4.0,19.0,1013869.0,22.0,0.0
2020-03-27,23.0,5.0,2.0,1.0,19.0,1014049.0,29.0,7.0
2020-03-28,23.0,3.0,7.0,3.0,17.0,1014081.0,33.0,4.0
2020-03-29,33.0,7.0,3.0,8.0,22.0,1014404.0,37.0,4.0
2020-03-30,35.0,7.0,8.0,7.0,32.0,1014808.0,44.0,7.0
2020-03-31,39.0,6.0,6.0,8.0,34.0,1016069.0,48.0,4.0
2020-04-01,47.0,10.0,8.0,4.0,42.0,1016793.0,58.0,10.0
2020-04-02,56.0,9.0,12.0,5.0,41.0,1016995.0,69.0,11.0
2020-04-03,79.0,15.0,16.0,8.0,41.0,1016225.0,83.0,14.0
2020-04-04,100.0,21.0,17.0,8.0,57.0,1016795.0,97.0,14.0
2020-04-05,118.0,28.0,19.0,13.0,70.0,1016827.0,119.0,22.0
2020-04-06,140.0,27.0,22.0,14.0,73.0,1017132.0,141.0,22.0
2020-04-07,141.0,41.0,25.0,16.0,84.0,1017028.0,170.0,29.0
2020-04-08,176.0,38.0,30.0,21.0,85.0,1018218.0,196.0,26.0
2020-04-09,220.0,52.0,34.0,36.0,107.0,1017307.0,235.0,39.0
2020-04-10,282.0,62.0,46.0,28.0,127.0,1017485.0,280.0,45.0
2020-04-11,327.0,76.0,52.0,33.0,144.0,1018246.0,337.0,57.0
2020-04-12,378.0,75.0,56.0,42.0,171.0,1017409.0,387.0,50.0
2020-04-13,439.0,101.0,84.0,62.0,190.0,1018075.0,475.0,88.0
2020-04-14,542.0,116.0,95.0,72.0,243.0,1018272.0,561.0,86.0
2020-04-15,614.0,143.0,106.0,80.0,294.0,1018144.0,672.0,111.0
2020-04-16,684.0,169.0,126.0,80.0,341.0,1018611.0,808.0,136.0
2020-04-17,805.0,175.0,161.0,101.0,418.0,1018408.0,952.0,144.0
2020-04-18,955.0,199.0,184.0,117.0,479.0,1018968.0,1111.0,159.0
2020-04-19,1112.0,256.0,198.0,157.0,566.0,1020131.0,1305.0,194.0
2020-04-20,1384.0,316.0,224.0,180.0,686.0,1017807.0,1540.0,235.0
2020-04-21,1551.0,372.0,271.0,198.0,793.0,1017946.0,1822.0,282.0
2020-04-22,1990.0,415.0,341.0,253.0,896.0,1016691.0,2123.0,301.0
2020-04-23,2264.0,519.0,369.0,288.0,1125.0,1016409.0,2519.0,396.0
2020-04-24,2750.0,603.0,442.0,331.0,1346.0,1015203.0,2994.0,475.0
2020-04-25,3299.0,716.0,570.0,445.0,1551.0,1013761.0,3571.0,577.0
2020-04-26,3949.0,855.0,658.0,508.0,1850.0,1012034.0,4281.0,710.0
2020-04-27,4654.0,953.0,773.0,615.0,2201.0,1010561.0,5032.0,751.0
2020-04-28,5443.0,1091.0,929.0,714.0,2620.0,1009150.0,5911.0,879.0
2020-04-29,6289.0,1342.0,1078.0,872.0,3101.0,1008458.0,7021.0,1110.0
2020-04-30,7455.0,1689.0,1276.0,982.0,3681.0,1006447.0,8277.0,1256.0
2020-05-01,9086.0,2090.0,1557.0,1134.0,4422.0,1004209.0,9881.0,1604.0
2020-05-02,10781.0,2357.0,1937.0,1445.0,5218.0,1000375.0,11658.0,1777.0
2020-05-03,12732.0,2758.0,2186.0,1718.0,6249.0,996326.0,13794.0,2136.0
2020-05-04,15002.0,3277.0,2552.0,2045.0,7389.0,992091.0,16315.0,2521.0
2020-05-05,17691.0,3875.0,3064.0,2482.0,8736.0,986580.0,19331.0,3016.0
2020-05-06,20953.0,4545.0,3592.0,2800.0,10491.0,981740.0,22857.0,3526.0
2020-05-07,24676.0,5420.0,4279.0,3291.0,12393.0,973152.0,27090.0,4233.0
2020-05-08,29099.0,6238.0,5114.0,3943.0,14668.0,964162.0,31916.0,4826.0
2020-05-09,33884.0,7334.0,5849.0,4744.0,17392.0,953400.0,37613.0,5697.0
2020-05-10,39592.0,8695.0,6851.0,5500.0,20586.0,941193.0,44365.0,6752.0
2020-05-11,45920.0,10057.0,8104.0,6528.0,24328.0,927829.0,52243.0,7878.0
2020-05-12,53589.0,11784.0,9451.0,7528.0,28911.0,911333.0,61363.0,9120.0
2020-05-13,61954.0,13697.0,10993.0,8686.0,34096.0,893242.0,71923.0,10560.0
2020-05-14,71003.0,16134.0,12899.0,10369.0,40197.0,873707.0,84530.0,12607.0
2020-05-15,81738.0,18622.0,14981.0,12117.0,47626.0,849869.0,98732.0,14202.0
2020-05-16,93538.0,21371.0,17409.0,14295.0,55795.0,822382.0,115027.0,16295.0
2020-05-17,106053.0,24163.0,19860.0,16348.0,65344.0,792887.0,133339.0,18312.0
2020-05-18,118967.0,27287.0,22478.0,18609.0,76506.0,760477.0,154015.0,20676.0
2020-05-19,132926.0,30681.0,25428.0,21256.0,89120.0,725226.0,177299.0,23284.0
2020-05-20,146469.0,34299.0,28856.0,23985.0,103444.0,687671.0,203147.0,25848.0
2020-05-21,159691.0,37871.0,32296.0,26914.0,119882.0,647576.0,231323.0,28176.0
2020-05-22,172772.0,41748.0,35739.0,30504.0,137932.0,605090.0,262458.0,31135.0
2020-05-23,185476.0,44984.0,39327.0,34032.0,159004.0,561976.0,295667.0,33209.0
2020-05-24,195799.0,48562.0,42998.0,37424.0,182039.0,517757.0,331113.0,35446.0
2020-05-25,204175.0,51572.0,46459.0,40860.0,207131.0,473853.0,368579.0,37466.0
2020-05-26,209572.0,54040.0,49612.0,43716.0,234352.0,431861.0,407429.0,38850.0
2020-05-27,213070.0,55856.0,52279.0,47334.0,263557.0,391320.0,446819.0,39390.0
2020-05-28,213910.0,57252.0,54218.0,49971.0,294749.0,353984.0,486834.0,40015.0
2020-05-29,212582.0,57441.0,55376.0,52648.0,327647.0,318355.0,527062.0,40228.0
2020-05-30,208243.0,57842.0,56198.0,54223.0,362737.0,286188.0,566452.0,39390.0
2020-05-31,202959.0,56715.0,56794.0,55260.0,398210.0,256466.0,605043.0,38591.0
2020-06-01,194178.0,55482.0,56180.0,55503.0,434040.0,230735.0,642539.0,37496.0
2020-06-02,184480.0,53809.0,55056.0,56015.0,469454.0,207620.0,678480.0,35941.0
2020-06-03,173585.0,51343.0,54060.0,54939.0,504461.0,187035.0,712373.0,33893.0
2020-06-04,161686.0,48754.0,51887.0,54158.0,539979.0,169488.0,744375.0,32002.0
2020-06-05,150367.0,45530.0,49533.0,51902.0,574460.0,154190.0,774062.0,29687.0
2020-06-06,138421.0,42644.0,46675.0,49959.0,607587.0,140988.0,801536.0,27474.0
2020-06-07,126948.0,39282.0,43884.0,47574.0,638487.0,129653.0,826531.0,24995.0
2020-06-08,115288.0,36463.0,40709.0,45067.0,667696.0,120181.0,849679.0,23148.0
2020-06-09,104959.0,33249.0,37660.0,41968.0,695323.0,112155.0,870392.0,20713.0
2020-06-10,95563.0,30196.0,34702.0,39321.0,721951.0,105015.0,889225.0,18833.0
2020-06-11,85982.0,27374.0,32009.0,36573.0,747664.0,98818.0,906349.0,17124.0
2020-06-12,77339.0,24936.0,28718.0,33348.0,770034.0,93950.0,921655.0,15306.0
2020-06-13,69416.0,22458.0,26530.0,30621.0,789824.0,89100.0,935500.0,13845.0
2020-06-14,62218.0,20226.0,23997.0,28166.0,807351.0,84888.0,948010.0,12510.0
2020-06-15,55621.0,18281.0,21617.0,25655.0,824299.0,81436.0,959151.0,11141.0
2020-06-16,49634.0,16381.0,19701.0,22984.0,840011.0,78381.0,969226.0,10075.0
2020-06-17,44281.0,14547.0,17513.0,21124.0,854028.0,75883.0,978084.0,8858.0
2020-06-18,39211.0,13014.0,15719.0,18829.0,866177.0,73798.0,985989.0,7905.0
2020-06-19,34992.0,11856.0,14021.0,16988.0,878117.0,72372.0,993214.0,7225.0
2020-06-20,30970.0,10407.0,12507.0,15103.0,889111.0,70942.0,999485.0,6271.0
2020-06-21,27514.0,9361.0,11170.0,13439.0,898286.0,69059.0,1005105.0,5620.0
2020-06-22,24326.0,8302.0,9986.0,12027.0,904935.0,67779.0,1010119.0,5014.0
2020-06-23,21655.0,7262.0,9072.0,10809.0,913059.0,66679.0,1014437.0,4318.0
2020-06-24,19212.0,6490.0,7847.0,9636.0,920932.0,65498.0,1018390.0,3953.0
2020-06-25,17025.0,5779.0,7085.0,8484.0,926710.0,64882.0,1021892.0,3502.0
2020-06-26,14986.0,5118.0,6331.0,7506.0,930866.0,64062.0,1024953.0,3061.0
2020-06-27,13233.0,4439.0,5507.0,6703.0,934098.0,63555.0,1027681.0,2728.0
2020-06-28,11678.0,4031.0,4883.0,5982.0,938630.0,63528.0,1030096.0,2415.0
2020-06-29,10469.0,3534.0,4328.0,5305.0,943203.0,62864.0,1032136.0,2040.0
2020-06-30,9140.0,3164.0,3835.0,4725.0,945682.0,62450.0,1034049.0,1913.0
2020-07-01,7975.0,2773.0,3508.0,4109.0,948591.0,61909.0,1035736.0,1687.0
2020-07-02,7075.0,2362.0,3016.0,3744.0,952093.0,61859.0,1037139.0,1403.0
2020-07-03,6274.0,2141.0,2629.0,3252.0,954455.0,61376.0,1038410.0,1271.0
2020-07-04,5473.0,1814.0,2313.0,2892.0,956261.0,61158.0,1039565.0,1155.0
2020-07-05,4803.0,1639.0,1998.0,2505.0,957956.0,60761.0,1040563.0,998.0
2020-07-06,4212.0,1527.0,1729.0,2209.0,958120.0,60730.0,1041475.0,912.0
