time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969801.0,0.0,0.0
2020-03-07,3.0,2.0,1.0,0.0,0.0,972079.0,0.0,0.0
2020-03-08,6.0,2.0,2.0,0.0,0.0,977961.0,1.0,1.0
2020-03-09,5.0,2.0,2.0,1.0,0.0,985075.0,4.0,3.0
2020-03-10,4.0,0.0,2.0,1.0,0.0,989800.0,4.0,0.0
2020-03-11,7.0,0.0,2.0,1.0,0.0,995084.0,4.0,0.0
2020-03-12,3.0,1.0,1.0,1.0,1.0,999761.0,6.0,2.0
2020-03-13,4.0,1.0,2.0,1.0,1.0,1002352.0,7.0,1.0
2020-03-14,3.0,2.0,1.0,1.0,1.0,1005208.0,8.0,1.0
2020-03-15,3.0,2.0,0.0,0.0,2.0,1006760.0,9.0,1.0
2020-03-16,4.0,1.0,0.0,0.0,2.0,1007875.0,9.0,0.0
2020-03-17,5.0,0.0,1.0,0.0,1.0,1008444.0,9.0,0.0
2020-03-18,6.0,1.0,1.0,0.0,3.0,1010500.0,10.0,1.0
2020-03-19,7.0,0.0,2.0,0.0,2.0,1012258.0,10.0,0.0
2020-03-20,7.0,1.0,1.0,1.0,2.0,1013567.0,12.0,2.0
2020-03-21,6.0,2.0,2.0,1.0,2.0,1014270.0,14.0,2.0
2020-03-22,7.0,1.0,1.0,3.0,4.0,1014541.0,15.0,1.0
2020-03-23,9.0,4.0,1.0,1.0,6.0,1015051.0,18.0,3.0
2020-03-24,13.0,1.0,1.0,1.0,6.0,1015166.0,18.0,0.0
2020-03-25,11.0,2.0,1.0,2.0,6.0,1015507.0,19.0,1.0
2020-03-26,17.0,1.0,4.0,2.0,6.0,1015870.0,21.0,2.0
2020-03-27,20.0,2.0,4.0,4.0,8.0,1016005.0,27.0,6.0
2020-03-28,25.0,6.0,5.0,1.0,11.0,1015132.0,31.0,4.0
2020-03-29,28.0,7.0,6.0,2.0,11.0,1016149.0,35.0,4.0
2020-03-30,28.0,12.0,6.0,4.0,19.0,1016855.0,46.0,11.0
2020-03-31,42.0,12.0,9.0,3.0,17.0,1016572.0,54.0,8.0
2020-04-01,51.0,7.0,7.0,7.0,22.0,1016615.0,62.0,8.0
2020-04-02,65.0,18.0,15.0,6.0,27.0,1017475.0,79.0,17.0
2020-04-03,78.0,17.0,13.0,11.0,40.0,1017035.0,82.0,3.0
2020-04-04,91.0,18.0,20.0,16.0,37.0,1018422.0,98.0,16.0
2020-04-05,106.0,20.0,22.0,18.0,50.0,1017519.0,120.0,22.0
2020-04-06,138.0,28.0,16.0,24.0,51.0,1018275.0,143.0,23.0
2020-04-07,171.0,38.0,28.0,22.0,67.0,1018132.0,171.0,28.0
2020-04-08,200.0,38.0,22.0,31.0,90.0,1016883.0,200.0,29.0
2020-04-09,202.0,45.0,37.0,27.0,107.0,1016604.0,241.0,41.0
2020-04-10,240.0,59.0,35.0,39.0,130.0,1016973.0,279.0,38.0
2020-04-11,291.0,71.0,55.0,43.0,156.0,1016878.0,326.0,47.0
2020-04-12,357.0,82.0,60.0,48.0,173.0,1017283.0,390.0,64.0
2020-04-13,428.0,88.0,79.0,53.0,186.0,1017296.0,459.0,69.0
2020-04-14,531.0,113.0,119.0,65.0,208.0,1018616.0,559.0,100.0
2020-04-15,607.0,136.0,124.0,87.0,275.0,1017951.0,666.0,107.0
2020-04-16,766.0,143.0,151.0,114.0,326.0,1018320.0,782.0,116.0
2020-04-17,908.0,195.0,134.0,121.0,407.0,1018023.0,927.0,145.0
2020-04-18,1104.0,235.0,168.0,146.0,500.0,1018025.0,1101.0,174.0
2020-04-19,1304.0,279.0,214.0,155.0,593.0,1017946.0,1314.0,213.0
2020-04-20,1491.0,326.0,255.0,185.0,726.0,1017197.0,1559.0,245.0
2020-04-21,1714.0,375.0,303.0,231.0,813.0,1016968.0,1851.0,292.0
2020-04-22,2039.0,435.0,335.0,296.0,981.0,1017529.0,2177.0,326.0
2020-04-23,2501.0,488.0,414.0,328.0,1187.0,1016822.0,2591.0,414.0
2020-04-24,2935.0,588.0,511.0,387.0,1414.0,1016131.0,3079.0,488.0
2020-04-25,3489.0,745.0,621.0,462.0,1668.0,1014761.0,3682.0,603.0
2020-04-26,4196.0,866.0,742.0,547.0,2034.0,1013361.0,4413.0,731.0
2020-04-27,4886.0,1054.0,804.0,631.0,2469.0,1012615.0,5230.0,817.0
2020-04-28,5760.0,1216.0,948.0,734.0,2918.0,1010176.0,6209.0,979.0
2020-04-29,6827.0,1484.0,1154.0,930.0,3465.0,1009080.0,7376.0,1167.0
2020-04-30,8100.0,1750.0,1400.0,1077.0,4132.0,1005800.0,8771.0,1395.0
2020-05-01,9743.0,2063.0,1658.0,1293.0,4822.0,1003277.0,10395.0,1624.0
2020-05-02,11476.0,2506.0,1887.0,1466.0,5791.0,1000701.0,12319.0,1924.0
2020-05-03,13535.0,2939.0,2272.0,1843.0,6822.0,996352.0,14609.0,2290.0
2020-05-04,15897.0,3525.0,2690.0,2129.0,8065.0,991004.0,17297.0,2688.0
2020-05-05,18869.0,4060.0,3239.0,2528.0,9532.0,983667.0,20444.0,3147.0
2020-05-06,22167.0,4675.0,3836.0,2960.0,11454.0,977962.0,24185.0,3741.0
2020-05-07,26125.0,5541.0,4487.0,3528.0,13477.0,970536.0,28612.0,4427.0
2020-05-08,30920.0,6623.0,5377.0,4236.0,15892.0,961424.0,33808.0,5196.0
2020-05-09,35767.0,7813.0,6274.0,5086.0,18848.0,949992.0,39965.0,6157.0
2020-05-10,41981.0,9323.0,7326.0,5905.0,22101.0,938248.0,47187.0,7222.0
2020-05-11,49053.0,10967.0,8596.0,6864.0,26288.0,923798.0,55550.0,8363.0
2020-05-12,56920.0,12762.0,10157.0,7893.0,31353.0,906116.0,65288.0,9738.0
2020-05-13,65580.0,14764.0,11652.0,9342.0,36793.0,885158.0,76640.0,11352.0
2020-05-14,75827.0,16900.0,13641.0,10982.0,43138.0,862751.0,89527.0,12887.0
2020-05-15,86577.0,19470.0,15787.0,12900.0,50822.0,836738.0,104346.0,14819.0
2020-05-16,98927.0,22281.0,18145.0,15039.0,60073.0,808357.0,121267.0,16921.0
2020-05-17,111994.0,25338.0,20781.0,17114.0,70636.0,778263.0,140428.0,19161.0
2020-05-18,125508.0,28936.0,23920.0,19323.0,82355.0,744680.0,162262.0,21834.0
2020-05-19,139185.0,32126.0,27020.0,22211.0,95565.0,707995.0,186302.0,24040.0
2020-05-20,152912.0,36166.0,30469.0,25273.0,110628.0,668941.0,213270.0,26968.0
2020-05-21,166327.0,39948.0,33967.0,28822.0,127747.0,627872.0,243115.0,29845.0
2020-05-22,179252.0,43248.0,37516.0,32184.0,147162.0,584147.0,275031.0,31916.0
2020-05-23,190781.0,46717.0,40765.0,35584.0,169552.0,540660.0,309133.0,34102.0
2020-05-24,199554.0,50300.0,44638.0,39270.0,194023.0,497636.0,345811.0,36678.0
2020-05-25,206934.0,53064.0,48197.0,42696.0,219716.0,453224.0,383864.0,38053.0
2020-05-26,212846.0,55188.0,50754.0,45998.0,248152.0,411692.0,423255.0,39391.0
2020-05-27,214922.0,57098.0,53307.0,48613.0,278671.0,371159.0,463574.0,40319.0
2020-05-28,214066.0,57671.0,55572.0,51308.0,311331.0,334143.0,503867.0,40293.0
2020-05-29,210817.0,57963.0,56198.0,53599.0,345738.0,299945.0,543847.0,39980.0
2020-05-30,204763.0,57723.0,56960.0,54539.0,379965.0,269629.0,583013.0,39166.0
2020-05-31,197550.0,55904.0,57309.0,55676.0,415613.0,241608.0,620641.0,37628.0
2020-06-01,189149.0,54353.0,55948.0,56184.0,451375.0,217070.0,657228.0,36587.0
2020-06-02,178636.0,52537.0,54690.0,55849.0,488560.0,195989.0,691924.0,34696.0
2020-06-03,167009.0,49661.0,52891.0,54525.0,526256.0,177166.0,724427.0,32503.0
2020-06-04,155274.0,47282.0,50492.0,53272.0,560278.0,160519.0,755164.0,30737.0
2020-06-05,144096.0,43844.0,48298.0,51104.0,593623.0,146329.0,783257.0,28093.0
2020-06-06,132364.0,40571.0,45004.0,48644.0,626630.0,133952.0,809356.0,26099.0
2020-06-07,120321.0,37342.0,42058.0,46072.0,656953.0,123153.0,833375.0,24019.0
2020-06-08,108901.0,34455.0,38985.0,43214.0,685092.0,114303.0,855063.0,21688.0
2020-06-09,98336.0,31481.0,36005.0,40664.0,712407.0,106703.0,874828.0,19765.0
2020-06-10,88918.0,28235.0,33273.0,37476.0,738089.0,100325.0,892506.0,17678.0
2020-06-11,80051.0,26003.0,30051.0,34525.0,761953.0,94957.0,908570.0,16064.0
2020-06-12,72044.0,23570.0,27521.0,31583.0,783106.0,90000.0,923102.0,14532.0
2020-06-13,64449.0,20963.0,24902.0,28839.0,803091.0,85521.0,936068.0,12966.0
2020-06-14,57625.0,18952.0,22319.0,26199.0,820530.0,81876.0,947538.0,11470.0
2020-06-15,51148.0,16937.0,20362.0,23725.0,836427.0,79174.0,957897.0,10359.0
2020-06-16,45565.0,15085.0,18401.0,21647.0,850713.0,76446.0,967177.0,9280.0
2020-06-17,40484.0,13482.0,16221.0,19541.0,864584.0,73853.0,975377.0,8200.0
2020-06-18,35885.0,12016.0,14540.0,17446.0,875010.0,71806.0,982624.0,7247.0
2020-06-19,31818.0,10716.0,12947.0,15607.0,884610.0,70109.0,989235.0,6611.0
2020-06-20,28159.0,9581.0,11435.0,13843.0,894193.0,68568.0,995026.0,5791.0
2020-06-21,25245.0,8550.0,10241.0,12531.0,902596.0,67125.0,1000071.0,5045.0
2020-06-22,22163.0,7557.0,9279.0,11011.0,910295.0,65870.0,1004676.0,4605.0
2020-06-23,19623.0,6643.0,8131.0,9964.0,917192.0,65177.0,1008689.0,4013.0
2020-06-24,17238.0,5979.0,7254.0,8861.0,923645.0,64328.0,1012263.0,3574.0
2020-06-25,15040.0,5204.0,6435.0,7840.0,928175.0,63455.0,1015402.0,3139.0
2020-06-26,13222.0,4510.0,5781.0,6938.0,933029.0,62667.0,1018091.0,2689.0
2020-06-27,11916.0,3939.0,5075.0,6157.0,936993.0,62278.0,1020430.0,2339.0
2020-06-28,10666.0,3491.0,4364.0,5450.0,941455.0,61933.0,1022560.0,2130.0
2020-06-29,9283.0,3152.0,3864.0,4702.0,944875.0,61703.0,1024462.0,1902.0
2020-06-30,8143.0,2816.0,3376.0,4286.0,947446.0,61329.0,1026118.0,1656.0
2020-07-01,7206.0,2488.0,3023.0,3691.0,949972.0,60819.0,1027617.0,1499.0
2020-07-02,6379.0,2238.0,2646.0,3292.0,952475.0,60339.0,1028884.0,1267.0
2020-07-03,5707.0,1905.0,2291.0,2938.0,953235.0,60045.0,1030011.0,1127.0
2020-07-04,4982.0,1659.0,2073.0,2562.0,955547.0,59521.0,1031032.0,1021.0
2020-07-05,4395.0,1506.0,1864.0,2167.0,958740.0,59404.0,1031930.0,898.0
2020-07-06,3806.0,1290.0,1675.0,1974.0,961260.0,59308.0,1032713.0,783.0
