time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969930.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,973262.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,981251.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,987253.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992741.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996337.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999922.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002131.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1005890.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1007249.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1008448.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1010074.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,2.0,1011550.0,0.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,2.0,1011812.0,1.0,1.0
2020-03-20,4.0,0.0,0.0,1.0,2.0,1012413.0,1.0,0.0
2020-03-21,3.0,3.0,0.0,0.0,2.0,1013201.0,3.0,2.0
2020-03-22,11.0,2.0,2.0,0.0,2.0,1014096.0,4.0,1.0
2020-03-23,13.0,1.0,2.0,1.0,3.0,1014310.0,5.0,1.0
2020-03-24,14.0,2.0,0.0,0.0,3.0,1014897.0,6.0,1.0
2020-03-25,12.0,3.0,1.0,0.0,4.0,1015588.0,9.0,3.0
2020-03-26,14.0,1.0,2.0,3.0,6.0,1016288.0,10.0,1.0
2020-03-27,19.0,5.0,3.0,2.0,7.0,1015411.0,17.0,7.0
2020-03-28,24.0,7.0,2.0,3.0,11.0,1014388.0,22.0,5.0
2020-03-29,21.0,5.0,5.0,3.0,12.0,1014572.0,25.0,3.0
2020-03-30,28.0,4.0,6.0,3.0,11.0,1015849.0,28.0,3.0
2020-03-31,34.0,8.0,3.0,6.0,14.0,1017954.0,35.0,7.0
2020-04-01,26.0,8.0,4.0,3.0,22.0,1018824.0,42.0,7.0
2020-04-02,30.0,6.0,6.0,2.0,22.0,1018317.0,44.0,2.0
2020-04-03,45.0,4.0,9.0,5.0,32.0,1017768.0,47.0,3.0
2020-04-04,60.0,15.0,5.0,5.0,37.0,1018222.0,61.0,14.0
2020-04-05,65.0,9.0,13.0,9.0,43.0,1018601.0,72.0,11.0
2020-04-06,72.0,19.0,12.0,9.0,60.0,1018271.0,85.0,13.0
