time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970429.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,1.0,0.0,973483.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,1.0,0.0,979959.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,988053.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992281.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997039.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000553.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1002630.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,2.0,1004515.0,0.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,1.0,1007709.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1008110.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1008584.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,0.0,1010966.0,1.0,1.0
2020-03-19,2.0,1.0,0.0,0.0,1.0,1010750.0,1.0,0.0
2020-03-20,2.0,0.0,0.0,1.0,1.0,1011172.0,1.0,0.0
2020-03-21,4.0,0.0,2.0,0.0,2.0,1011741.0,1.0,0.0
2020-03-22,5.0,0.0,1.0,1.0,2.0,1012636.0,1.0,0.0
2020-03-23,6.0,2.0,1.0,1.0,1.0,1012530.0,3.0,2.0
2020-03-24,7.0,5.0,1.0,0.0,1.0,1013684.0,5.0,2.0
2020-03-25,7.0,5.0,2.0,0.0,3.0,1013321.0,7.0,2.0
2020-03-26,15.0,3.0,4.0,3.0,3.0,1014734.0,9.0,2.0
2020-03-27,17.0,4.0,3.0,3.0,3.0,1014089.0,11.0,2.0
2020-03-28,17.0,2.0,1.0,1.0,5.0,1014834.0,11.0,0.0
2020-03-29,12.0,4.0,3.0,1.0,7.0,1015952.0,16.0,5.0
2020-03-30,16.0,6.0,3.0,0.0,11.0,1015871.0,21.0,5.0
2020-03-31,18.0,0.0,6.0,1.0,11.0,1015443.0,21.0,0.0
2020-04-01,26.0,3.0,3.0,3.0,10.0,1016588.0,28.0,7.0
2020-04-02,27.0,3.0,4.0,4.0,12.0,1016703.0,29.0,1.0
2020-04-03,31.0,4.0,8.0,2.0,20.0,1016031.0,35.0,6.0
2020-04-04,33.0,6.0,5.0,3.0,22.0,1016580.0,39.0,4.0
2020-04-05,35.0,9.0,2.0,4.0,19.0,1016794.0,43.0,4.0
2020-04-06,39.0,7.0,7.0,4.0,29.0,1016996.0,50.0,7.0
2020-04-07,51.0,5.0,6.0,3.0,30.0,1017325.0,54.0,4.0
2020-04-08,55.0,12.0,5.0,3.0,38.0,1016831.0,66.0,12.0
2020-04-09,58.0,13.0,13.0,3.0,36.0,1016890.0,77.0,11.0
2020-04-10,72.0,12.0,15.0,5.0,42.0,1017488.0,87.0,10.0
2020-04-11,84.0,14.0,16.0,9.0,55.0,1017333.0,98.0,11.0
2020-04-12,103.0,26.0,21.0,13.0,66.0,1016781.0,116.0,18.0
2020-04-13,126.0,29.0,21.0,13.0,82.0,1018817.0,140.0,24.0
2020-04-14,160.0,22.0,29.0,20.0,87.0,1017126.0,164.0,24.0
2020-04-15,184.0,34.0,39.0,16.0,105.0,1018014.0,199.0,35.0
2020-04-16,220.0,47.0,38.0,32.0,114.0,1017152.0,238.0,39.0
2020-04-17,267.0,55.0,47.0,42.0,121.0,1017657.0,279.0,41.0
2020-04-18,331.0,70.0,58.0,42.0,155.0,1018076.0,342.0,63.0
2020-04-19,416.0,83.0,59.0,60.0,185.0,1017033.0,412.0,70.0
2020-04-20,492.0,111.0,49.0,72.0,219.0,1016075.0,499.0,87.0
2020-04-21,542.0,110.0,98.0,65.0,267.0,1017116.0,585.0,86.0
2020-04-22,629.0,151.0,131.0,88.0,309.0,1017456.0,718.0,133.0
2020-04-23,757.0,167.0,161.0,91.0,385.0,1017704.0,855.0,137.0
2020-04-24,905.0,196.0,179.0,129.0,430.0,1018575.0,1013.0,158.0
2020-04-25,1079.0,202.0,181.0,177.0,512.0,1018760.0,1186.0,173.0
2020-04-26,1277.0,270.0,199.0,179.0,614.0,1018888.0,1385.0,199.0
2020-04-27,1503.0,344.0,232.0,184.0,703.0,1018493.0,1637.0,252.0
2020-04-28,1760.0,381.0,294.0,231.0,886.0,1018520.0,1941.0,304.0
2020-04-29,2078.0,428.0,343.0,255.0,1054.0,1018987.0,2257.0,316.0
2020-04-30,2374.0,512.0,402.0,319.0,1227.0,1017630.0,2684.0,427.0
2020-05-01,2802.0,589.0,477.0,388.0,1455.0,1015690.0,3161.0,477.0
2020-05-02,3417.0,690.0,624.0,437.0,1677.0,1015162.0,3717.0,556.0
2020-05-03,4075.0,870.0,681.0,553.0,1996.0,1014671.0,4385.0,668.0
2020-05-04,4904.0,995.0,856.0,623.0,2344.0,1012873.0,5186.0,801.0
2020-05-05,5685.0,1197.0,975.0,750.0,2773.0,1011693.0,6184.0,998.0
2020-05-06,6688.0,1429.0,1079.0,951.0,3290.0,1009860.0,7296.0,1112.0
2020-05-07,8011.0,1686.0,1288.0,1027.0,3899.0,1007258.0,8663.0,1367.0
2020-05-08,9450.0,1989.0,1572.0,1270.0,4526.0,1004962.0,10237.0,1574.0
2020-05-09,11184.0,2389.0,1829.0,1463.0,5424.0,1002169.0,12116.0,1879.0
2020-05-10,13235.0,2872.0,2186.0,1695.0,6390.0,998079.0,14342.0,2226.0
2020-05-11,15316.0,3354.0,2631.0,2061.0,7676.0,992574.0,16971.0,2629.0
2020-05-12,18240.0,3851.0,3068.0,2428.0,9012.0,986896.0,19965.0,2994.0
2020-05-13,21400.0,4647.0,3719.0,2944.0,10664.0,981523.0,23622.0,3657.0
2020-05-14,25143.0,5306.0,4344.0,3474.0,12766.0,972587.0,27832.0,4210.0
2020-05-15,29558.0,6538.0,5157.0,4035.0,15118.0,965053.0,32929.0,5097.0
2020-05-16,34609.0,7549.0,6144.0,4770.0,18133.0,953464.0,38843.0,5914.0
2020-05-17,40818.0,8923.0,7050.0,5689.0,21531.0,940374.0,45701.0,6858.0
2020-05-18,47577.0,10304.0,8314.0,6584.0,25499.0,925285.0,53736.0,8035.0
2020-05-19,54903.0,12226.0,9710.0,7775.0,29952.0,909132.0,63237.0,9501.0
2020-05-20,63677.0,14126.0,11373.0,9117.0,35342.0,890312.0,74164.0,10927.0
2020-05-21,73320.0,16299.0,13517.0,10619.0,41499.0,869021.0,86854.0,12690.0
2020-05-22,84224.0,18913.0,15399.0,12434.0,48875.0,845437.0,101366.0,14512.0
2020-05-23,96274.0,21738.0,17767.0,14402.0,57542.0,818422.0,118154.0,16788.0
2020-05-24,108736.0,24673.0,20320.0,16915.0,67312.0,787333.0,136938.0,18784.0
2020-05-25,122383.0,28228.0,23233.0,19183.0,78617.0,753302.0,158427.0,21489.0
2020-05-26,135574.0,31964.0,26470.0,22014.0,91708.0,717343.0,182645.0,24218.0
2020-05-27,149744.0,35100.0,29896.0,24975.0,106434.0,678136.0,208980.0,26335.0
2020-05-28,163348.0,38738.0,33402.0,27942.0,123410.0,637680.0,238067.0,29087.0
