time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970402.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,1.0,0.0,972536.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,1.0,980793.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,1.0,988207.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,994204.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997748.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999887.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003611.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,1004032.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,1.0,2.0,1005383.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,1.0,1.0,1007904.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,1.0,2.0,1009096.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,1.0,2.0,1009191.0,0.0,0.0
2020-03-19,2.0,1.0,0.0,1.0,2.0,1009162.0,1.0,1.0
2020-03-20,4.0,0.0,1.0,1.0,1.0,1011138.0,1.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,2.0,1012352.0,1.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,2.0,1012488.0,1.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,2.0,1013888.0,1.0,0.0
2020-03-24,3.0,0.0,1.0,0.0,2.0,1015303.0,1.0,0.0
2020-03-25,4.0,1.0,1.0,0.0,2.0,1016480.0,3.0,2.0
2020-03-26,3.0,1.0,0.0,0.0,3.0,1015502.0,4.0,1.0
2020-03-27,4.0,0.0,0.0,0.0,3.0,1015812.0,4.0,0.0
2020-03-28,5.0,1.0,0.0,0.0,1.0,1014148.0,5.0,1.0
2020-03-29,8.0,2.0,2.0,1.0,1.0,1015070.0,7.0,2.0
2020-03-30,7.0,1.0,1.0,2.0,3.0,1015458.0,9.0,2.0
2020-03-31,5.0,0.0,1.0,1.0,5.0,1015532.0,9.0,0.0
2020-04-01,10.0,2.0,2.0,2.0,2.0,1016613.0,10.0,1.0
