time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970229.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,972944.0,0.0,0.0
2020-03-08,2.0,2.0,0.0,0.0,1.0,979078.0,2.0,2.0
2020-03-09,3.0,0.0,1.0,0.0,1.0,986496.0,2.0,0.0
2020-03-10,4.0,2.0,1.0,1.0,1.0,991526.0,3.0,1.0
2020-03-11,5.0,0.0,1.0,1.0,0.0,994090.0,3.0,0.0
2020-03-12,6.0,0.0,1.0,0.0,0.0,998830.0,3.0,0.0
2020-03-13,5.0,2.0,0.0,1.0,1.0,1001832.0,4.0,1.0
2020-03-14,7.0,0.0,2.0,0.0,1.0,1005183.0,4.0,0.0
2020-03-15,7.0,0.0,0.0,2.0,0.0,1006310.0,4.0,0.0
2020-03-16,6.0,1.0,0.0,0.0,2.0,1007635.0,5.0,1.0
2020-03-17,3.0,2.0,2.0,0.0,2.0,1009246.0,8.0,3.0
2020-03-18,6.0,0.0,2.0,1.0,1.0,1009922.0,8.0,0.0
2020-03-19,7.0,0.0,1.0,1.0,2.0,1009967.0,9.0,1.0
2020-03-20,7.0,0.0,0.0,1.0,4.0,1010288.0,9.0,0.0
2020-03-21,6.0,2.0,0.0,0.0,5.0,1010010.0,11.0,2.0
2020-03-22,7.0,1.0,0.0,1.0,5.0,1011164.0,12.0,1.0
2020-03-23,7.0,1.0,2.0,2.0,6.0,1011098.0,12.0,0.0
2020-03-24,12.0,1.0,3.0,1.0,7.0,1011400.0,13.0,1.0
2020-03-25,17.0,2.0,0.0,3.0,10.0,1013321.0,14.0,1.0
2020-03-26,15.0,4.0,0.0,2.0,8.0,1013176.0,16.0,2.0
2020-03-27,20.0,6.0,2.0,0.0,11.0,1013170.0,22.0,6.0
2020-03-28,29.0,3.0,0.0,3.0,7.0,1013822.0,23.0,1.0
2020-03-29,31.0,4.0,1.0,3.0,7.0,1013753.0,26.0,3.0
2020-03-30,28.0,11.0,2.0,7.0,6.0,1014422.0,35.0,9.0
2020-03-31,33.0,6.0,6.0,6.0,10.0,1014735.0,39.0,4.0
2020-04-01,39.0,6.0,6.0,5.0,15.0,1015828.0,43.0,4.0
2020-04-02,43.0,10.0,5.0,4.0,18.0,1015770.0,51.0,8.0
2020-04-03,46.0,9.0,9.0,10.0,21.0,1017100.0,61.0,10.0
2020-04-04,64.0,11.0,17.0,3.0,23.0,1018534.0,71.0,10.0
2020-04-05,83.0,18.0,13.0,9.0,25.0,1017634.0,83.0,12.0
2020-04-06,100.0,21.0,16.0,9.0,44.0,1017792.0,100.0,17.0
2020-04-07,115.0,22.0,18.0,13.0,46.0,1017778.0,118.0,18.0
2020-04-08,139.0,12.0,28.0,20.0,61.0,1017980.0,136.0,18.0
2020-04-09,177.0,23.0,27.0,23.0,79.0,1017958.0,167.0,31.0
2020-04-10,197.0,39.0,28.0,17.0,99.0,1017965.0,195.0,28.0
2020-04-11,218.0,45.0,26.0,21.0,112.0,1017698.0,230.0,35.0
2020-04-12,269.0,55.0,36.0,21.0,131.0,1017766.0,278.0,48.0
2020-04-13,292.0,73.0,56.0,30.0,157.0,1017133.0,343.0,65.0
2020-04-14,334.0,68.0,60.0,54.0,195.0,1017658.0,395.0,52.0
2020-04-15,423.0,77.0,72.0,53.0,213.0,1019296.0,458.0,63.0
2020-04-16,483.0,104.0,77.0,60.0,245.0,1019066.0,538.0,80.0
2020-04-17,582.0,131.0,109.0,64.0,275.0,1018240.0,637.0,99.0
2020-04-18,666.0,173.0,113.0,71.0,351.0,1018592.0,772.0,135.0
2020-04-19,823.0,191.0,130.0,108.0,410.0,1019310.0,899.0,127.0
2020-04-20,957.0,200.0,176.0,115.0,496.0,1018398.0,1050.0,151.0
2020-04-21,1153.0,250.0,184.0,133.0,565.0,1018662.0,1250.0,200.0
2020-04-22,1311.0,249.0,254.0,171.0,662.0,1017768.0,1460.0,210.0
2020-04-23,1564.0,323.0,245.0,229.0,781.0,1016273.0,1685.0,225.0
2020-04-24,1839.0,407.0,271.0,252.0,907.0,1017987.0,1976.0,291.0
2020-04-25,2150.0,490.0,364.0,264.0,1092.0,1016412.0,2347.0,371.0
2020-04-26,2541.0,534.0,452.0,323.0,1289.0,1014925.0,2771.0,424.0
2020-04-27,3076.0,642.0,512.0,426.0,1496.0,1014418.0,3275.0,504.0
2020-04-28,3626.0,773.0,574.0,470.0,1781.0,1013884.0,3868.0,593.0
2020-04-29,4267.0,946.0,710.0,578.0,2146.0,1012498.0,4592.0,724.0
2020-04-30,5171.0,1112.0,829.0,673.0,2517.0,1012051.0,5431.0,839.0
2020-05-01,6157.0,1358.0,1010.0,835.0,3016.0,1010610.0,6480.0,1049.0
2020-05-02,7198.0,1524.0,1217.0,992.0,3562.0,1008519.0,7633.0,1153.0
2020-05-03,8441.0,1859.0,1427.0,1130.0,4253.0,1004441.0,9095.0,1462.0
2020-05-04,10104.0,2256.0,1668.0,1304.0,5043.0,1000656.0,10815.0,1720.0
2020-05-05,11954.0,2627.0,2032.0,1578.0,5853.0,996536.0,12874.0,2059.0
2020-05-06,14075.0,3076.0,2477.0,1876.0,6892.0,991819.0,15284.0,2410.0
2020-05-07,16710.0,3620.0,2932.0,2243.0,8250.0,989000.0,18085.0,2801.0
2020-05-08,19710.0,4212.0,3396.0,2720.0,9640.0,982804.0,21354.0,3269.0
2020-05-09,23036.0,4983.0,3889.0,3183.0,11393.0,976195.0,25280.0,3926.0
2020-05-10,27008.0,5842.0,4622.0,3625.0,13672.0,968573.0,29851.0,4571.0
2020-05-11,31843.0,6829.0,5423.0,4318.0,16278.0,957670.0,35178.0,5327.0
2020-05-12,36741.0,8058.0,6350.0,4968.0,19387.0,947180.0,41416.0,6238.0
2020-05-13,42642.0,9360.0,7527.0,5892.0,22774.0,934107.0,48781.0,7365.0
2020-05-14,49679.0,10971.0,8727.0,6783.0,27096.0,919821.0,57288.0,8507.0
2020-05-15,57700.0,12889.0,10162.0,8231.0,31906.0,902845.0,67248.0,9960.0
2020-05-16,66937.0,14838.0,11853.0,9691.0,37499.0,882963.0,78705.0,11457.0
2020-05-17,76791.0,17372.0,13711.0,11145.0,44141.0,861682.0,92010.0,13305.0
2020-05-18,87784.0,20046.0,15927.0,12966.0,51640.0,835248.0,107306.0,15296.0
2020-05-19,100466.0,22788.0,18698.0,15035.0,60397.0,806549.0,124697.0,17391.0
2020-05-20,112649.0,25774.0,21406.0,17243.0,70707.0,775148.0,144533.0,19836.0
2020-05-21,125996.0,29093.0,24271.0,19933.0,82574.0,742815.0,166545.0,22012.0
2020-05-22,140204.0,32862.0,27377.0,22728.0,96380.0,706367.0,191060.0,24515.0
2020-05-23,154431.0,36488.0,30919.0,25765.0,112523.0,665905.0,218377.0,27317.0
2020-05-24,167984.0,40058.0,34332.0,29023.0,129873.0,624996.0,248304.0,29927.0
2020-05-25,179780.0,43610.0,37899.0,32243.0,149299.0,582267.0,280577.0,32273.0
2020-05-26,190764.0,46588.0,41281.0,36211.0,171438.0,539107.0,314711.0,34134.0
2020-05-27,201222.0,50485.0,44775.0,39504.0,195654.0,495031.0,351450.0,36739.0
2020-05-28,208379.0,53154.0,47912.0,42682.0,222513.0,452133.0,389669.0,38219.0
2020-05-29,212767.0,54538.0,50648.0,45654.0,250526.0,411587.0,428637.0,38968.0
2020-05-30,215413.0,56407.0,53348.0,48732.0,280658.0,371084.0,468594.0,39957.0
2020-05-31,214782.0,57521.0,54972.0,51060.0,312566.0,335029.0,508947.0,40353.0
2020-06-01,211823.0,58062.0,55943.0,53701.0,346186.0,300863.0,548798.0,39851.0
2020-06-02,206344.0,57067.0,56432.0,54931.0,381945.0,270670.0,587644.0,38846.0
2020-06-03,199115.0,56048.0,56330.0,55916.0,417273.0,243308.0,625723.0,38079.0
