time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,969996.0,0.0,0.0
2020-03-07,2.0,3.0,0.0,0.0,0.0,971789.0,1.0,1.0
2020-03-08,5.0,1.0,0.0,1.0,0.0,979471.0,1.0,0.0
2020-03-09,6.0,0.0,1.0,2.0,0.0,985963.0,2.0,1.0
2020-03-10,5.0,1.0,4.0,0.0,4.0,991171.0,5.0,3.0
2020-03-11,4.0,1.0,4.0,0.0,3.0,995472.0,6.0,1.0
2020-03-12,8.0,0.0,3.0,2.0,1.0,999234.0,8.0,2.0
2020-03-13,10.0,1.0,2.0,5.0,3.0,1002903.0,9.0,1.0
2020-03-14,16.0,1.0,2.0,2.0,3.0,1006013.0,10.0,1.0
2020-03-15,13.0,2.0,2.0,3.0,2.0,1007838.0,13.0,3.0
2020-03-16,11.0,1.0,1.0,0.0,5.0,1009169.0,14.0,1.0
2020-03-17,9.0,1.0,1.0,1.0,8.0,1008414.0,15.0,1.0
2020-03-18,10.0,0.0,1.0,0.0,7.0,1010413.0,16.0,1.0
2020-03-19,17.0,0.0,1.0,2.0,5.0,1011064.0,16.0,0.0
2020-03-20,12.0,0.0,1.0,1.0,4.0,1012223.0,18.0,2.0
2020-03-21,13.0,1.0,2.0,3.0,7.0,1011829.0,20.0,2.0
2020-03-22,12.0,3.0,0.0,4.0,8.0,1012904.0,21.0,1.0
2020-03-23,20.0,5.0,3.0,1.0,6.0,1013824.0,23.0,2.0
2020-03-24,35.0,7.0,6.0,1.0,13.0,1015037.0,31.0,8.0
2020-03-25,37.0,10.0,4.0,4.0,9.0,1014660.0,36.0,5.0
2020-03-26,46.0,6.0,3.0,4.0,16.0,1015122.0,39.0,3.0
2020-03-27,40.0,11.0,7.0,4.0,20.0,1015601.0,50.0,11.0
2020-03-28,49.0,13.0,11.0,5.0,21.0,1016373.0,56.0,6.0
2020-03-29,63.0,17.0,8.0,7.0,32.0,1015664.0,71.0,15.0
2020-03-30,88.0,26.0,14.0,10.0,30.0,1015582.0,91.0,20.0
2020-03-31,87.0,24.0,17.0,11.0,34.0,1016761.0,110.0,19.0
2020-04-01,98.0,29.0,21.0,13.0,41.0,1017500.0,129.0,19.0
2020-04-02,138.0,22.0,30.0,15.0,48.0,1015750.0,148.0,19.0
2020-04-03,139.0,22.0,23.0,29.0,66.0,1016706.0,170.0,22.0
2020-04-04,176.0,33.0,30.0,22.0,71.0,1018196.0,198.0,28.0
2020-04-05,192.0,34.0,23.0,19.0,94.0,1017080.0,221.0,23.0
2020-04-06,202.0,47.0,37.0,19.0,116.0,1017332.0,262.0,41.0
2020-04-07,256.0,52.0,46.0,27.0,130.0,1017402.0,306.0,44.0
2020-04-08,294.0,62.0,56.0,39.0,136.0,1017480.0,360.0,54.0
2020-04-09,331.0,73.0,76.0,44.0,162.0,1018084.0,416.0,56.0
2020-04-10,396.0,83.0,74.0,51.0,173.0,1017803.0,484.0,68.0
2020-04-11,469.0,120.0,87.0,66.0,237.0,1017283.0,574.0,90.0
2020-04-12,553.0,131.0,102.0,83.0,263.0,1017934.0,663.0,89.0
2020-04-13,698.0,150.0,108.0,102.0,325.0,1017612.0,765.0,102.0
2020-04-14,813.0,199.0,130.0,122.0,398.0,1018353.0,916.0,151.0
