time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,971020.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,1.0,0.0,971932.0,0.0,0.0
2020-03-08,2.0,1.0,1.0,1.0,1.0,978205.0,1.0,1.0
2020-03-09,3.0,0.0,0.0,1.0,1.0,985844.0,1.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,1.0,991715.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,994789.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,998708.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1001012.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1004012.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,2.0,1006815.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1009164.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1009771.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1009983.0,1.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,0.0,1011001.0,1.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,0.0,1013116.0,1.0,0.0
2020-03-21,0.0,2.0,0.0,0.0,0.0,1013882.0,2.0,1.0
2020-03-22,1.0,1.0,0.0,1.0,0.0,1013464.0,2.0,0.0
2020-03-23,2.0,0.0,0.0,1.0,0.0,1013246.0,2.0,0.0
2020-03-24,2.0,0.0,1.0,2.0,1.0,1014082.0,3.0,1.0
2020-03-25,3.0,1.0,0.0,0.0,2.0,1013758.0,4.0,1.0
2020-03-26,2.0,0.0,0.0,0.0,2.0,1014899.0,4.0,0.0
2020-03-27,4.0,0.0,0.0,1.0,2.0,1015037.0,4.0,0.0
2020-03-28,3.0,2.0,1.0,0.0,3.0,1015681.0,5.0,1.0
2020-03-29,5.0,2.0,0.0,0.0,3.0,1015370.0,6.0,1.0
2020-03-30,10.0,3.0,1.0,0.0,4.0,1016225.0,7.0,1.0
2020-03-31,10.0,4.0,1.0,0.0,5.0,1016987.0,8.0,1.0
2020-04-01,11.0,0.0,2.0,0.0,4.0,1016620.0,8.0,0.0
2020-04-02,11.0,3.0,2.0,2.0,4.0,1017998.0,10.0,2.0
2020-04-03,15.0,4.0,4.0,1.0,4.0,1016061.0,12.0,2.0
2020-04-04,20.0,7.0,2.0,2.0,6.0,1016655.0,17.0,5.0
2020-04-05,19.0,6.0,2.0,1.0,8.0,1017743.0,21.0,4.0
2020-04-06,21.0,7.0,5.0,2.0,8.0,1018409.0,27.0,6.0
2020-04-07,28.0,3.0,8.0,5.0,11.0,1017405.0,31.0,4.0
2020-04-08,27.0,0.0,7.0,5.0,16.0,1018262.0,34.0,3.0
2020-04-09,38.0,2.0,3.0,6.0,16.0,1018699.0,37.0,3.0
2020-04-10,42.0,7.0,2.0,4.0,21.0,1019243.0,42.0,5.0
2020-04-11,46.0,15.0,5.0,6.0,28.0,1018721.0,54.0,12.0
2020-04-12,68.0,22.0,7.0,8.0,35.0,1018968.0,66.0,12.0
2020-04-13,77.0,18.0,11.0,10.0,37.0,1019037.0,77.0,11.0
2020-04-14,91.0,19.0,12.0,12.0,42.0,1020854.0,84.0,7.0
2020-04-15,105.0,21.0,17.0,16.0,53.0,1020154.0,100.0,16.0
2020-04-16,119.0,29.0,17.0,16.0,64.0,1020941.0,124.0,24.0
2020-04-17,157.0,25.0,21.0,17.0,79.0,1021050.0,148.0,24.0
2020-04-18,184.0,33.0,31.0,18.0,91.0,1020882.0,174.0,26.0
2020-04-19,209.0,40.0,30.0,24.0,104.0,1019040.0,208.0,34.0
2020-04-20,232.0,54.0,31.0,28.0,98.0,1019811.0,248.0,40.0
2020-04-21,277.0,64.0,46.0,34.0,128.0,1019356.0,292.0,44.0
2020-04-22,334.0,70.0,53.0,54.0,158.0,1019410.0,350.0,58.0
2020-04-23,419.0,91.0,68.0,65.0,214.0,1019661.0,419.0,69.0
2020-04-24,476.0,124.0,81.0,71.0,247.0,1018578.0,505.0,86.0
2020-04-25,568.0,115.0,113.0,76.0,271.0,1018171.0,603.0,98.0
2020-04-26,670.0,141.0,130.0,89.0,324.0,1018286.0,715.0,112.0
2020-04-27,827.0,179.0,143.0,114.0,374.0,1019265.0,856.0,141.0
2020-04-28,1000.0,216.0,177.0,120.0,467.0,1018118.0,1021.0,165.0
2020-04-29,1216.0,245.0,196.0,168.0,581.0,1017579.0,1212.0,191.0
2020-04-30,1427.0,262.0,238.0,193.0,643.0,1018504.0,1429.0,217.0
2020-05-01,1651.0,355.0,257.0,198.0,768.0,1016881.0,1713.0,284.0
2020-05-02,1958.0,442.0,303.0,251.0,935.0,1017926.0,2052.0,339.0
2020-05-03,2303.0,478.0,428.0,293.0,1075.0,1017722.0,2427.0,375.0
2020-05-04,2651.0,556.0,446.0,350.0,1243.0,1018079.0,2885.0,458.0
2020-05-05,3203.0,705.0,530.0,414.0,1499.0,1016974.0,3405.0,520.0
2020-05-06,3762.0,855.0,639.0,513.0,1800.0,1015188.0,4069.0,664.0
2020-05-07,4507.0,991.0,756.0,604.0,2144.0,1014586.0,4824.0,755.0
2020-05-08,5299.0,1235.0,864.0,694.0,2500.0,1012640.0,5756.0,932.0
2020-05-09,6266.0,1376.0,1080.0,823.0,3023.0,1010914.0,6792.0,1036.0
2020-05-10,7372.0,1639.0,1278.0,1000.0,3720.0,1008071.0,8093.0,1301.0
2020-05-11,8750.0,1908.0,1548.0,1210.0,4438.0,1006754.0,9599.0,1506.0
2020-05-12,10546.0,2265.0,1815.0,1376.0,5133.0,1003133.0,11368.0,1769.0
2020-05-13,12472.0,2729.0,2192.0,1657.0,6002.0,998983.0,13485.0,2117.0
2020-05-14,14678.0,3228.0,2535.0,1981.0,7159.0,994216.0,15996.0,2511.0
2020-05-15,17489.0,3714.0,3063.0,2278.0,8466.0,989097.0,18903.0,2907.0
2020-05-16,20540.0,4390.0,3577.0,2778.0,10042.0,983767.0,22420.0,3517.0
2020-05-17,24264.0,5266.0,4140.0,3259.0,12119.0,975908.0,26506.0,4086.0
2020-05-18,28634.0,6220.0,4901.0,3944.0,14315.0,966422.0,31366.0,4860.0
2020-05-19,33712.0,7411.0,5877.0,4635.0,17082.0,956304.0,37094.0,5728.0
2020-05-20,39266.0,8762.0,6886.0,5471.0,20205.0,943088.0,43916.0,6822.0
2020-05-21,46144.0,10138.0,8106.0,6438.0,24039.0,928876.0,51713.0,7797.0
2020-05-22,53654.0,11892.0,9555.0,7620.0,28352.0,914081.0,61011.0,9298.0
2020-05-23,61983.0,13681.0,10875.0,8973.0,33578.0,895592.0,71552.0,10541.0
2020-05-24,71170.0,15815.0,12750.0,10226.0,39644.0,875888.0,83778.0,12226.0
2020-05-25,81310.0,18256.0,14947.0,11651.0,46894.0,852905.0,97715.0,13937.0
2020-05-26,92574.0,20785.0,17056.0,13625.0,55083.0,826345.0,113660.0,15945.0
2020-05-27,105358.0,23816.0,19762.0,15677.0,64309.0,797969.0,131713.0,18053.0
2020-05-28,118133.0,27249.0,22526.0,18539.0,75109.0,764908.0,152456.0,20743.0
2020-05-29,132529.0,30372.0,25749.0,21208.0,87553.0,728999.0,175600.0,23144.0
2020-05-30,146713.0,34126.0,28770.0,24068.0,102364.0,690671.0,201303.0,25703.0
2020-05-31,160713.0,38187.0,31895.0,27199.0,118524.0,650867.0,229740.0,28437.0
2020-06-01,173669.0,41667.0,35992.0,30363.0,136977.0,609119.0,260792.0,31052.0
2020-06-02,185687.0,45334.0,39564.0,33803.0,157167.0,564919.0,294429.0,33637.0
2020-06-03,195934.0,49110.0,43125.0,37513.0,180508.0,520126.0,330056.0,35627.0
2020-06-04,205030.0,51870.0,46814.0,40952.0,205996.0,476872.0,367607.0,37551.0
2020-06-05,211439.0,54341.0,49542.0,44056.0,232921.0,433921.0,406370.0,38763.0
2020-06-06,214663.0,56026.0,52138.0,47230.0,262516.0,393789.0,446439.0,40069.0
2020-06-07,215756.0,56951.0,54188.0,49885.0,294042.0,355588.0,486633.0,40194.0
2020-06-08,213695.0,57666.0,55744.0,52417.0,326815.0,320561.0,526769.0,40136.0
2020-06-09,209657.0,57551.0,56855.0,54067.0,361822.0,286878.0,566271.0,39502.0
2020-06-10,203478.0,57068.0,57087.0,55562.0,396372.0,257752.0,605077.0,38806.0
2020-06-11,194993.0,55695.0,56488.0,56327.0,432469.0,231913.0,642787.0,37710.0
2020-06-12,185031.0,53831.0,55493.0,56031.0,469523.0,208396.0,678658.0,35871.0
2020-06-13,174052.0,51644.0,53872.0,55201.0,504992.0,187398.0,712633.0,33975.0
2020-06-14,162193.0,48892.0,52200.0,54241.0,540390.0,169644.0,744531.0,31898.0
2020-06-15,150616.0,46022.0,49697.0,52578.0,573763.0,154731.0,774182.0,29651.0
2020-06-16,139028.0,43093.0,46780.0,50590.0,607073.0,141748.0,801689.0,27507.0
2020-06-17,127194.0,39559.0,43901.0,48292.0,638702.0,130191.0,826811.0,25122.0
2020-06-18,116060.0,36463.0,41034.0,45332.0,668967.0,120264.0,849885.0,23074.0
2020-06-19,105719.0,33470.0,37927.0,42444.0,697372.0,112362.0,870969.0,21084.0
2020-06-20,95201.0,30401.0,35088.0,39209.0,723696.0,105173.0,890139.0,19170.0
2020-06-21,85649.0,27703.0,31847.0,36123.0,747672.0,98672.0,907315.0,17176.0
2020-06-22,76942.0,25021.0,29178.0,33489.0,769769.0,93249.0,922699.0,15384.0
2020-06-23,68557.0,22565.0,26503.0,30314.0,790035.0,88905.0,936588.0,13889.0
2020-06-24,61612.0,20263.0,23950.0,27685.0,808317.0,85119.0,948932.0,12344.0
2020-06-25,55383.0,18247.0,21851.0,25258.0,825115.0,81452.0,960047.0,11115.0
2020-06-26,49545.0,16383.0,19419.0,23308.0,840289.0,78462.0,970069.0,10022.0
2020-06-27,43718.0,14570.0,17607.0,21137.0,854319.0,75926.0,979047.0,8978.0
2020-06-28,39007.0,12999.0,15866.0,18653.0,866888.0,73920.0,986945.0,7898.0
2020-06-29,34902.0,11610.0,14300.0,16820.0,878106.0,71961.0,994041.0,7096.0
2020-06-30,31129.0,10260.0,12770.0,15313.0,888464.0,70195.0,1000375.0,6334.0
2020-07-01,27605.0,9186.0,11200.0,13662.0,897131.0,68721.0,1005982.0,5607.0
2020-07-02,24549.0,8152.0,9879.0,12138.0,906121.0,67484.0,1010929.0,4947.0
2020-07-03,21739.0,7100.0,8787.0,10841.0,913268.0,66392.0,1015275.0,4346.0
2020-07-04,19072.0,6453.0,7609.0,9623.0,918781.0,65447.0,1019223.0,3948.0
2020-07-05,16821.0,5731.0,6878.0,8480.0,925119.0,64906.0,1022670.0,3447.0
2020-07-06,14791.0,5041.0,6238.0,7462.0,930057.0,64183.0,1025743.0,3073.0
