time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,970152.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,971991.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,1.0,0.0,979519.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,1.0,1.0,986539.0,0.0,0.0
2020-03-10,2.0,1.0,0.0,0.0,1.0,993108.0,1.0,1.0
2020-03-11,0.0,1.0,1.0,0.0,0.0,996290.0,2.0,1.0
2020-03-12,0.0,1.0,0.0,0.0,1.0,1000122.0,2.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003918.0,2.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1006691.0,2.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1008555.0,2.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1009155.0,2.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1009478.0,2.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1010575.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1012265.0,2.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1013118.0,2.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,1013446.0,2.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,1012057.0,2.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,1012524.0,2.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,1013654.0,2.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,1015129.0,2.0,0.0
2020-03-26,0.0,0.0,1.0,0.0,0.0,1015620.0,2.0,0.0
2020-03-27,1.0,0.0,1.0,0.0,1.0,1016227.0,2.0,0.0
2020-03-28,2.0,0.0,0.0,0.0,1.0,1015608.0,2.0,0.0
2020-03-29,2.0,0.0,0.0,1.0,2.0,1015694.0,2.0,0.0
2020-03-30,3.0,1.0,0.0,0.0,3.0,1014795.0,3.0,1.0
2020-03-31,4.0,1.0,2.0,0.0,3.0,1015132.0,4.0,1.0
2020-04-01,3.0,2.0,0.0,0.0,1.0,1017047.0,5.0,1.0
2020-04-02,3.0,2.0,0.0,0.0,0.0,1016389.0,6.0,1.0
2020-04-03,3.0,1.0,0.0,0.0,0.0,1016481.0,6.0,0.0
2020-04-04,2.0,1.0,0.0,0.0,0.0,1016711.0,7.0,1.0
2020-04-05,3.0,2.0,0.0,0.0,0.0,1017255.0,8.0,1.0
2020-04-06,2.0,1.0,1.0,1.0,1.0,1017357.0,10.0,2.0
2020-04-07,2.0,2.0,1.0,0.0,1.0,1017667.0,11.0,1.0
2020-04-08,3.0,2.0,2.0,0.0,0.0,1018591.0,12.0,1.0
2020-04-09,5.0,0.0,1.0,2.0,1.0,1018864.0,12.0,0.0
2020-04-10,3.0,0.0,2.0,1.0,4.0,1019126.0,12.0,0.0
2020-04-11,5.0,0.0,0.0,0.0,5.0,1018420.0,12.0,0.0
2020-04-12,4.0,0.0,0.0,0.0,5.0,1019054.0,12.0,0.0
2020-04-13,2.0,1.0,0.0,0.0,7.0,1018660.0,14.0,2.0
2020-04-14,4.0,0.0,1.0,0.0,7.0,1017783.0,14.0,0.0
2020-04-15,2.0,1.0,0.0,1.0,5.0,1019551.0,15.0,1.0
2020-04-16,14.0,1.0,4.0,0.0,9.0,1020467.0,17.0,2.0
2020-04-17,16.0,3.0,3.0,2.0,7.0,1020116.0,22.0,5.0
2020-04-18,24.0,4.0,4.0,3.0,8.0,1021487.0,24.0,2.0
2020-04-19,33.0,4.0,5.0,1.0,9.0,1022012.0,30.0,6.0
2020-04-20,24.0,12.0,5.0,3.0,13.0,1020575.0,43.0,13.0
2020-04-21,36.0,10.0,4.0,4.0,13.0,1020594.0,49.0,6.0
2020-04-22,41.0,9.0,11.0,6.0,14.0,1020698.0,54.0,5.0
2020-04-23,45.0,9.0,10.0,6.0,23.0,1021740.0,62.0,8.0
2020-04-24,56.0,6.0,11.0,8.0,25.0,1022402.0,68.0,6.0
2020-04-25,68.0,9.0,9.0,7.0,37.0,1021778.0,73.0,5.0
2020-04-26,73.0,13.0,16.0,6.0,37.0,1022155.0,86.0,13.0
2020-04-27,76.0,16.0,18.0,13.0,44.0,1023184.0,99.0,13.0
2020-04-28,88.0,26.0,17.0,13.0,52.0,1021713.0,119.0,20.0
2020-04-29,100.0,30.0,16.0,20.0,53.0,1020972.0,138.0,19.0
2020-04-30,132.0,31.0,24.0,23.0,58.0,1020175.0,160.0,22.0
2020-05-01,175.0,36.0,32.0,29.0,73.0,1021357.0,194.0,34.0
2020-05-02,179.0,44.0,36.0,33.0,91.0,1021510.0,235.0,41.0
2020-05-03,243.0,58.0,39.0,25.0,111.0,1021767.0,283.0,48.0
2020-05-04,283.0,48.0,51.0,47.0,122.0,1021762.0,324.0,41.0
2020-05-05,345.0,54.0,58.0,48.0,149.0,1021878.0,371.0,47.0
2020-05-06,376.0,78.0,48.0,45.0,187.0,1022438.0,438.0,67.0
2020-05-07,452.0,95.0,74.0,50.0,244.0,1021897.0,517.0,79.0
2020-05-08,519.0,120.0,90.0,71.0,294.0,1021578.0,615.0,98.0
2020-05-09,642.0,134.0,103.0,93.0,320.0,1022666.0,722.0,107.0
2020-05-10,770.0,158.0,117.0,98.0,387.0,1021405.0,846.0,124.0
2020-05-11,885.0,164.0,142.0,122.0,450.0,1022480.0,981.0,135.0
2020-05-12,1031.0,236.0,156.0,139.0,559.0,1021385.0,1165.0,184.0
2020-05-13,1196.0,282.0,211.0,172.0,620.0,1021395.0,1377.0,212.0
2020-05-14,1447.0,337.0,254.0,207.0,742.0,1020749.0,1628.0,251.0
2020-05-15,1729.0,364.0,285.0,251.0,857.0,1020588.0,1911.0,283.0
2020-05-16,2046.0,457.0,350.0,276.0,1042.0,1019238.0,2276.0,365.0
2020-05-17,2439.0,527.0,463.0,334.0,1207.0,1017755.0,2685.0,409.0
2020-05-18,3013.0,621.0,539.0,412.0,1441.0,1017657.0,3173.0,488.0
2020-05-19,3591.0,758.0,608.0,495.0,1687.0,1016424.0,3810.0,637.0
2020-05-20,4211.0,945.0,752.0,548.0,2051.0,1015871.0,4549.0,739.0
2020-05-21,4938.0,1091.0,859.0,646.0,2463.0,1014674.0,5392.0,843.0
2020-05-22,5948.0,1219.0,986.0,747.0,2962.0,1013348.0,6350.0,958.0
2020-05-23,6870.0,1488.0,1169.0,925.0,3408.0,1011776.0,7517.0,1167.0
2020-05-24,8181.0,1746.0,1347.0,1125.0,4048.0,1007876.0,8868.0,1351.0
2020-05-25,9671.0,2081.0,1665.0,1308.0,4798.0,1004833.0,10501.0,1633.0
2020-05-26,11479.0,2391.0,1962.0,1544.0,5624.0,999639.0,12412.0,1911.0
2020-05-27,13644.0,2945.0,2295.0,1779.0,6852.0,995429.0,14768.0,2356.0
2020-05-28,16128.0,3520.0,2666.0,2164.0,8130.0,990733.0,17493.0,2725.0
2020-05-29,18940.0,4193.0,3222.0,2589.0,9631.0,986959.0,20760.0,3267.0
2020-05-30,22478.0,4833.0,3842.0,3042.0,11385.0,980611.0,24548.0,3788.0
2020-05-31,26351.0,5834.0,4583.0,3607.0,13503.0,971994.0,29077.0,4529.0
2020-06-01,30947.0,6821.0,5372.0,4187.0,15922.0,962356.0,34352.0,5275.0
2020-06-02,36384.0,8178.0,6342.0,5016.0,18774.0,950491.0,40650.0,6298.0
2020-06-03,43007.0,9340.0,7458.0,6023.0,22389.0,938248.0,47796.0,7146.0
2020-06-04,50168.0,10885.0,8811.0,6830.0,26596.0,923353.0,56265.0,8469.0
2020-06-05,57861.0,12954.0,10160.0,8012.0,31468.0,907523.0,66246.0,9981.0
2020-06-06,67097.0,14897.0,11915.0,9311.0,37155.0,886939.0,77673.0,11427.0
2020-06-07,77039.0,17231.0,13946.0,11007.0,43540.0,863920.0,90928.0,13255.0
2020-06-08,88259.0,19864.0,16061.0,12827.0,51003.0,838626.0,106117.0,15189.0
2020-06-09,100005.0,22766.0,18448.0,15188.0,60264.0,810868.0,123574.0,17457.0
