time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970486.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,973116.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,1.0,0.0,979651.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,986295.0,1.0,1.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,992210.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996259.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,999665.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1003255.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,2.0,1007365.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1008606.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,2.0,1008863.0,1.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1009575.0,1.0,0.0
2020-03-18,2.0,2.0,0.0,0.0,1.0,1011180.0,2.0,1.0
2020-03-19,3.0,1.0,2.0,0.0,3.0,1012951.0,3.0,1.0
2020-03-20,3.0,2.0,1.0,1.0,2.0,1013646.0,4.0,1.0
2020-03-21,3.0,1.0,1.0,1.0,2.0,1013194.0,4.0,0.0
2020-03-22,2.0,1.0,2.0,0.0,2.0,1013324.0,5.0,1.0
2020-03-23,7.0,1.0,1.0,1.0,2.0,1012701.0,5.0,0.0
2020-03-24,7.0,3.0,0.0,0.0,3.0,1013310.0,6.0,1.0
2020-03-25,8.0,0.0,3.0,1.0,2.0,1014500.0,6.0,0.0
2020-03-26,9.0,2.0,3.0,1.0,3.0,1014894.0,8.0,2.0
2020-03-27,12.0,3.0,1.0,4.0,1.0,1014746.0,9.0,1.0
2020-03-28,13.0,2.0,1.0,3.0,3.0,1014673.0,11.0,2.0
2020-03-29,19.0,2.0,1.0,2.0,4.0,1015983.0,12.0,1.0
2020-03-30,24.0,5.0,3.0,2.0,6.0,1015970.0,15.0,3.0
2020-03-31,27.0,5.0,4.0,3.0,10.0,1014920.0,16.0,1.0
2020-04-01,23.0,10.0,2.0,3.0,12.0,1015031.0,24.0,8.0
2020-04-02,26.0,9.0,5.0,3.0,9.0,1015285.0,29.0,5.0
2020-04-03,32.0,7.0,8.0,4.0,13.0,1014739.0,31.0,2.0
2020-04-04,35.0,8.0,9.0,4.0,16.0,1016341.0,36.0,5.0
2020-04-05,48.0,7.0,9.0,11.0,20.0,1015086.0,42.0,6.0
2020-04-06,54.0,14.0,9.0,9.0,37.0,1015222.0,56.0,14.0
2020-04-07,81.0,13.0,11.0,10.0,44.0,1015691.0,63.0,7.0
2020-04-08,100.0,11.0,16.0,11.0,43.0,1016759.0,74.0,11.0
2020-04-09,95.0,23.0,10.0,14.0,40.0,1016166.0,100.0,26.0
2020-04-10,115.0,28.0,25.0,11.0,53.0,1016288.0,124.0,24.0
2020-04-11,139.0,36.0,25.0,23.0,49.0,1017501.0,146.0,22.0
2020-04-12,167.0,32.0,34.0,20.0,70.0,1018116.0,170.0,24.0
2020-04-13,175.0,46.0,30.0,22.0,83.0,1017412.0,212.0,42.0
2020-04-14,188.0,46.0,23.0,29.0,90.0,1017295.0,245.0,33.0
2020-04-15,229.0,48.0,31.0,34.0,121.0,1017688.0,277.0,32.0
2020-04-16,274.0,64.0,43.0,35.0,130.0,1017646.0,323.0,46.0
