time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969325.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,972075.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978935.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,984492.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,990304.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,996702.0,0.0,0.0
2020-03-12,4.0,0.0,1.0,0.0,1.0,999550.0,0.0,0.0
2020-03-13,2.0,2.0,2.0,0.0,1.0,1003070.0,3.0,3.0
2020-03-14,4.0,1.0,1.0,0.0,2.0,1005141.0,3.0,0.0
2020-03-15,5.0,0.0,1.0,0.0,1.0,1006660.0,3.0,0.0
2020-03-16,3.0,1.0,0.0,0.0,1.0,1008345.0,4.0,1.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1009636.0,4.0,0.0
2020-03-18,4.0,1.0,0.0,0.0,1.0,1011573.0,4.0,0.0
2020-03-19,1.0,1.0,1.0,1.0,2.0,1012642.0,5.0,1.0
2020-03-20,5.0,2.0,1.0,0.0,4.0,1013139.0,6.0,1.0
2020-03-21,8.0,0.0,1.0,0.0,5.0,1013211.0,7.0,1.0
2020-03-22,9.0,2.0,0.0,1.0,6.0,1013919.0,8.0,1.0
2020-03-23,11.0,3.0,0.0,0.0,4.0,1014627.0,8.0,0.0
2020-03-24,9.0,3.0,0.0,1.0,4.0,1014781.0,9.0,1.0
2020-03-25,14.0,1.0,0.0,3.0,3.0,1013835.0,10.0,1.0
2020-03-26,14.0,2.0,1.0,2.0,5.0,1014970.0,12.0,2.0
2020-03-27,15.0,1.0,2.0,1.0,5.0,1015517.0,15.0,3.0
2020-03-28,18.0,9.0,2.0,1.0,7.0,1014852.0,22.0,7.0
2020-03-29,26.0,7.0,2.0,3.0,9.0,1015713.0,23.0,1.0
2020-03-30,40.0,7.0,6.0,4.0,13.0,1015366.0,27.0,4.0
2020-03-31,43.0,6.0,8.0,5.0,13.0,1014589.0,30.0,3.0
2020-04-01,51.0,9.0,9.0,2.0,18.0,1014718.0,38.0,8.0
2020-04-02,56.0,10.0,12.0,2.0,23.0,1015200.0,48.0,10.0
2020-04-03,73.0,12.0,12.0,9.0,24.0,1014960.0,59.0,11.0
2020-04-04,77.0,17.0,7.0,11.0,35.0,1016090.0,69.0,10.0
2020-04-05,83.0,18.0,18.0,9.0,39.0,1016822.0,86.0,17.0
2020-04-06,100.0,22.0,22.0,12.0,47.0,1017550.0,103.0,17.0
2020-04-07,127.0,29.0,23.0,17.0,56.0,1016626.0,128.0,25.0
