time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970432.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,973519.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,980329.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,988717.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,992935.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996376.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999842.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002192.0,0.0,0.0
2020-03-14,1.0,1.0,0.0,0.0,0.0,1005963.0,1.0,1.0
2020-03-15,0.0,1.0,0.0,1.0,0.0,1006676.0,2.0,1.0
2020-03-16,0.0,0.0,1.0,0.0,0.0,1008202.0,2.0,0.0
2020-03-17,1.0,0.0,1.0,0.0,0.0,1010715.0,2.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1011580.0,2.0,0.0
2020-03-19,2.0,0.0,0.0,1.0,0.0,1011119.0,2.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,3.0,1010334.0,2.0,0.0
2020-03-21,2.0,0.0,0.0,0.0,3.0,1011113.0,2.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,3.0,1011103.0,2.0,0.0
2020-03-23,3.0,0.0,0.0,0.0,1.0,1012806.0,2.0,0.0
2020-03-24,3.0,1.0,0.0,0.0,2.0,1012733.0,3.0,1.0
2020-03-25,5.0,1.0,0.0,0.0,1.0,1012329.0,4.0,1.0
2020-03-26,6.0,2.0,2.0,0.0,2.0,1014340.0,5.0,1.0
2020-03-27,9.0,1.0,0.0,1.0,1.0,1014383.0,6.0,1.0
2020-03-28,10.0,2.0,0.0,1.0,2.0,1014405.0,8.0,2.0
2020-03-29,8.0,2.0,0.0,0.0,3.0,1013664.0,11.0,3.0
2020-03-30,8.0,4.0,1.0,0.0,2.0,1014535.0,14.0,3.0
