time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970075.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,971645.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,1.0,0.0,979539.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,985136.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,990579.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,0.0,994530.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,998593.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1001578.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1003657.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1005247.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1006662.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1009668.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,1010846.0,0.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,0.0,1010669.0,0.0,0.0
2020-03-20,2.0,0.0,0.0,0.0,0.0,1011947.0,0.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,1.0,1012555.0,1.0,1.0
2020-03-22,2.0,0.0,0.0,0.0,2.0,1014379.0,1.0,0.0
2020-03-23,2.0,0.0,0.0,0.0,3.0,1012661.0,1.0,0.0
2020-03-24,2.0,1.0,0.0,0.0,2.0,1012394.0,1.0,0.0
2020-03-25,2.0,0.0,1.0,0.0,3.0,1012395.0,1.0,0.0
2020-03-26,2.0,1.0,0.0,0.0,4.0,1012989.0,2.0,1.0
2020-03-27,6.0,1.0,1.0,1.0,7.0,1014885.0,2.0,0.0
2020-03-28,9.0,1.0,0.0,2.0,7.0,1014273.0,2.0,0.0
2020-03-29,12.0,0.0,1.0,0.0,9.0,1013553.0,2.0,0.0
2020-03-30,12.0,1.0,2.0,0.0,9.0,1013191.0,2.0,0.0
2020-03-31,17.0,3.0,2.0,0.0,11.0,1013297.0,4.0,2.0
2020-04-01,17.0,2.0,3.0,0.0,9.0,1013952.0,5.0,1.0
