time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970324.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,2.0,0.0,972737.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,1.0,0.0,979904.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,0.0,986456.0,2.0,2.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991662.0,2.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,995817.0,2.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,1.0,1000342.0,2.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,0.0,1002677.0,2.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,0.0,1004293.0,2.0,0.0
2020-03-15,2.0,1.0,1.0,0.0,2.0,1006088.0,3.0,1.0
2020-03-16,3.0,1.0,1.0,0.0,2.0,1007824.0,3.0,0.0
2020-03-17,3.0,1.0,2.0,0.0,3.0,1009260.0,3.0,0.0
2020-03-18,2.0,0.0,3.0,0.0,2.0,1009794.0,4.0,1.0
2020-03-19,3.0,0.0,2.0,0.0,1.0,1010391.0,4.0,0.0
2020-03-20,4.0,0.0,1.0,1.0,2.0,1012055.0,4.0,0.0
2020-03-21,4.0,0.0,1.0,1.0,3.0,1012731.0,5.0,1.0
2020-03-22,4.0,0.0,0.0,2.0,2.0,1013151.0,5.0,0.0
2020-03-23,3.0,1.0,0.0,0.0,3.0,1013520.0,5.0,0.0
2020-03-24,4.0,0.0,1.0,0.0,3.0,1012907.0,5.0,0.0
2020-03-25,2.0,1.0,0.0,0.0,4.0,1013395.0,6.0,1.0
2020-03-26,2.0,0.0,0.0,0.0,3.0,1013849.0,6.0,0.0
2020-03-27,5.0,1.0,0.0,1.0,4.0,1014359.0,6.0,0.0
2020-03-28,4.0,3.0,0.0,0.0,6.0,1014574.0,8.0,2.0
2020-03-29,6.0,4.0,0.0,0.0,5.0,1015616.0,10.0,2.0
2020-03-30,5.0,1.0,1.0,1.0,5.0,1016158.0,11.0,1.0
2020-03-31,7.0,0.0,1.0,0.0,7.0,1016699.0,11.0,0.0
2020-04-01,7.0,0.0,0.0,0.0,5.0,1017040.0,11.0,0.0
2020-04-02,7.0,1.0,2.0,0.0,4.0,1017397.0,12.0,1.0
2020-04-03,9.0,2.0,3.0,0.0,10.0,1017985.0,15.0,3.0
2020-04-04,14.0,0.0,2.0,3.0,12.0,1017157.0,16.0,1.0
2020-04-05,18.0,2.0,4.0,1.0,8.0,1017582.0,19.0,3.0
2020-04-06,19.0,5.0,5.0,2.0,11.0,1018872.0,25.0,6.0
2020-04-07,27.0,10.0,6.0,4.0,9.0,1018030.0,32.0,7.0
2020-04-08,29.0,7.0,6.0,5.0,8.0,1018213.0,36.0,4.0
2020-04-09,29.0,3.0,7.0,2.0,18.0,1017504.0,41.0,5.0
2020-04-10,32.0,3.0,6.0,5.0,20.0,1017534.0,45.0,4.0
2020-04-11,28.0,8.0,6.0,6.0,22.0,1017792.0,55.0,10.0
2020-04-12,40.0,14.0,9.0,5.0,24.0,1017860.0,67.0,12.0
2020-04-13,45.0,13.0,7.0,6.0,29.0,1019236.0,74.0,7.0
2020-04-14,53.0,6.0,13.0,7.0,34.0,1019628.0,79.0,5.0
2020-04-15,51.0,12.0,9.0,8.0,29.0,1019087.0,86.0,7.0
2020-04-16,85.0,19.0,14.0,13.0,32.0,1019014.0,103.0,17.0
2020-04-17,94.0,18.0,18.0,10.0,43.0,1018864.0,119.0,16.0
2020-04-18,99.0,26.0,23.0,14.0,50.0,1020017.0,143.0,24.0
2020-04-19,121.0,26.0,14.0,14.0,74.0,1019061.0,154.0,11.0
2020-04-20,133.0,30.0,20.0,12.0,85.0,1020018.0,176.0,22.0
2020-04-21,161.0,39.0,33.0,22.0,94.0,1019322.0,207.0,31.0
2020-04-22,201.0,48.0,37.0,28.0,118.0,1019414.0,249.0,42.0
2020-04-23,259.0,55.0,42.0,30.0,130.0,1020595.0,297.0,48.0
2020-04-24,325.0,66.0,53.0,33.0,169.0,1022162.0,352.0,55.0
2020-04-25,373.0,81.0,63.0,37.0,190.0,1021800.0,413.0,61.0
2020-04-26,445.0,88.0,65.0,51.0,239.0,1021105.0,477.0,64.0
2020-04-27,501.0,107.0,85.0,54.0,250.0,1020813.0,552.0,75.0
2020-04-28,625.0,114.0,102.0,75.0,269.0,1020188.0,655.0,103.0
2020-04-29,736.0,166.0,118.0,83.0,322.0,1019990.0,790.0,135.0
2020-04-30,880.0,205.0,165.0,116.0,373.0,1019639.0,943.0,153.0
2020-05-01,1104.0,243.0,185.0,147.0,469.0,1019672.0,1112.0,169.0
2020-05-02,1331.0,276.0,204.0,191.0,596.0,1019924.0,1309.0,197.0
2020-05-03,1516.0,347.0,238.0,207.0,716.0,1020036.0,1578.0,269.0
2020-05-04,1763.0,396.0,301.0,218.0,880.0,1019234.0,1878.0,300.0
2020-05-05,2081.0,493.0,377.0,261.0,995.0,1018727.0,2254.0,376.0
2020-05-06,2512.0,571.0,474.0,319.0,1190.0,1018218.0,2692.0,438.0
2020-05-07,3068.0,673.0,574.0,435.0,1459.0,1017484.0,3230.0,538.0
2020-05-08,3658.0,790.0,661.0,476.0,1764.0,1015962.0,3870.0,640.0
2020-05-09,4376.0,953.0,744.0,614.0,2079.0,1013210.0,4624.0,754.0
2020-05-10,5128.0,1152.0,864.0,691.0,2454.0,1011372.0,5526.0,902.0
2020-05-11,6069.0,1313.0,996.0,802.0,2914.0,1010569.0,6515.0,989.0
2020-05-12,7063.0,1622.0,1201.0,968.0,3393.0,1006935.0,7781.0,1266.0
2020-05-13,8458.0,1880.0,1454.0,1085.0,4057.0,1004832.0,9264.0,1483.0
2020-05-14,10000.0,2174.0,1801.0,1307.0,4904.0,1001447.0,10934.0,1670.0
2020-05-15,12021.0,2590.0,2068.0,1668.0,5952.0,998192.0,12993.0,2059.0
2020-05-16,14137.0,3054.0,2388.0,1961.0,7189.0,996346.0,15375.0,2382.0
2020-05-17,16762.0,3563.0,2811.0,2318.0,8470.0,991434.0,18197.0,2822.0
2020-05-18,19795.0,4322.0,3245.0,2742.0,10033.0,984789.0,21593.0,3396.0
2020-05-19,23387.0,5040.0,3942.0,3161.0,11972.0,977981.0,25413.0,3820.0
2020-05-20,27540.0,5963.0,4859.0,3697.0,14115.0,969998.0,30163.0,4750.0
2020-05-21,32157.0,6890.0,5660.0,4336.0,16613.0,959872.0,35581.0,5418.0
2020-05-22,37583.0,8276.0,6588.0,5289.0,19533.0,949994.0,41997.0,6416.0
2020-05-23,44217.0,9759.0,7742.0,6233.0,23098.0,934718.0,49639.0,7642.0
2020-05-24,51584.0,11573.0,9047.0,7246.0,27442.0,918384.0,58579.0,8940.0
2020-05-25,59964.0,13256.0,10464.0,8403.0,32606.0,901391.0,68723.0,10144.0
2020-05-26,69206.0,15414.0,12125.0,9892.0,38367.0,880668.0,80419.0,11696.0
2020-05-27,78933.0,17820.0,14216.0,11515.0,45219.0,857579.0,94185.0,13766.0
2020-05-28,90804.0,20505.0,16538.0,13349.0,53301.0,831064.0,109911.0,15726.0
2020-05-29,102975.0,23456.0,19086.0,15685.0,62703.0,802032.0,127815.0,17904.0
2020-05-30,116029.0,26729.0,21882.0,17914.0,73570.0,768984.0,147961.0,20146.0
2020-05-31,129598.0,30113.0,24844.0,20754.0,85671.0,734077.0,170589.0,22628.0
2020-06-01,143678.0,33798.0,28113.0,23422.0,99799.0,695506.0,195980.0,25391.0
