time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970004.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,972341.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,0.0,0.0,979001.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,0.0,0.0,986030.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,991325.0,0.0,0.0
2020-03-11,0.0,2.0,0.0,0.0,0.0,997296.0,2.0,2.0
2020-03-12,0.0,1.0,1.0,0.0,0.0,1000592.0,2.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,1.0,1003025.0,2.0,0.0
2020-03-14,1.0,0.0,0.0,1.0,1.0,1004744.0,2.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,3.0,1007595.0,2.0,0.0
2020-03-16,3.0,0.0,1.0,1.0,2.0,1008519.0,2.0,0.0
2020-03-17,5.0,2.0,1.0,1.0,0.0,1009894.0,3.0,1.0
2020-03-18,8.0,3.0,1.0,0.0,4.0,1011188.0,5.0,2.0
2020-03-19,10.0,2.0,0.0,1.0,5.0,1011812.0,6.0,1.0
2020-03-20,12.0,1.0,2.0,1.0,3.0,1011943.0,7.0,1.0
2020-03-21,14.0,2.0,1.0,0.0,5.0,1011800.0,8.0,1.0
2020-03-22,9.0,5.0,2.0,1.0,5.0,1012495.0,12.0,4.0
2020-03-23,11.0,4.0,4.0,0.0,3.0,1012286.0,14.0,2.0
2020-03-24,10.0,1.0,4.0,1.0,3.0,1012745.0,14.0,0.0
2020-03-25,9.0,0.0,3.0,1.0,6.0,1012966.0,14.0,0.0
2020-03-26,9.0,2.0,0.0,2.0,5.0,1014203.0,15.0,1.0
2020-03-27,7.0,3.0,1.0,3.0,8.0,1014366.0,17.0,2.0
2020-03-28,6.0,1.0,3.0,1.0,8.0,1014092.0,17.0,0.0
2020-03-29,10.0,1.0,3.0,2.0,7.0,1014188.0,19.0,2.0
2020-03-30,15.0,2.0,3.0,2.0,6.0,1014892.0,22.0,3.0
2020-03-31,13.0,4.0,3.0,5.0,3.0,1014969.0,25.0,3.0
2020-04-01,24.0,7.0,1.0,3.0,8.0,1013785.0,29.0,4.0
2020-04-02,34.0,10.0,2.0,4.0,11.0,1013385.0,33.0,4.0
2020-04-03,38.0,9.0,6.0,2.0,14.0,1014194.0,36.0,3.0
