time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970043.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,972486.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,979066.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,986428.0,1.0,1.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,992804.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,1.0,0.0,996460.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000573.0,1.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,1.0,1002728.0,1.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,2.0,1005053.0,1.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1007474.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,4.0,1009282.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,3.0,1010685.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1011664.0,1.0,0.0
2020-03-19,3.0,1.0,0.0,0.0,1.0,1011683.0,2.0,1.0
2020-03-20,1.0,1.0,2.0,0.0,1.0,1011953.0,4.0,2.0
2020-03-21,3.0,2.0,1.0,1.0,2.0,1012163.0,5.0,1.0
2020-03-22,6.0,3.0,0.0,2.0,3.0,1013366.0,7.0,2.0
2020-03-23,10.0,2.0,1.0,1.0,3.0,1013704.0,8.0,1.0
2020-03-24,10.0,4.0,2.0,2.0,4.0,1013174.0,11.0,3.0
2020-03-25,20.0,0.0,3.0,1.0,7.0,1014159.0,11.0,0.0
2020-03-26,12.0,4.0,2.0,2.0,8.0,1013588.0,18.0,7.0
2020-03-27,17.0,5.0,2.0,4.0,9.0,1015506.0,20.0,2.0
2020-03-28,28.0,4.0,8.0,3.0,11.0,1015817.0,25.0,5.0
2020-03-29,31.0,5.0,4.0,6.0,11.0,1016977.0,30.0,5.0
2020-03-30,27.0,6.0,5.0,7.0,13.0,1016671.0,36.0,6.0
2020-03-31,38.0,12.0,3.0,9.0,20.0,1016425.0,46.0,10.0
