time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969690.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,972180.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,1.0,980121.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,1.0,1.0,987118.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,1.0,993145.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,997306.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,2.0,999026.0,1.0,1.0
2020-03-13,0.0,0.0,0.0,0.0,3.0,1002251.0,1.0,0.0
2020-03-14,1.0,0.0,1.0,0.0,2.0,1003889.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1005931.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1007791.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,2.0,1009170.0,1.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,3.0,1010207.0,1.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,4.0,1011731.0,1.0,0.0
2020-03-20,1.0,0.0,0.0,0.0,2.0,1013696.0,1.0,0.0
2020-03-21,2.0,1.0,1.0,0.0,2.0,1012977.0,1.0,0.0
2020-03-22,1.0,0.0,1.0,0.0,3.0,1011957.0,1.0,0.0
2020-03-23,1.0,0.0,0.0,1.0,1.0,1012688.0,1.0,0.0
2020-03-24,1.0,0.0,0.0,1.0,4.0,1013007.0,1.0,0.0
2020-03-25,2.0,0.0,0.0,0.0,2.0,1014201.0,1.0,0.0
2020-03-26,2.0,0.0,1.0,0.0,1.0,1013234.0,3.0,2.0
2020-03-27,3.0,1.0,0.0,1.0,1.0,1014040.0,4.0,1.0
2020-03-28,7.0,1.0,1.0,0.0,4.0,1015346.0,5.0,1.0
2020-03-29,7.0,1.0,1.0,2.0,4.0,1015382.0,7.0,2.0
2020-03-30,8.0,3.0,1.0,1.0,4.0,1016196.0,10.0,3.0
2020-03-31,6.0,3.0,3.0,3.0,6.0,1016344.0,14.0,4.0
2020-04-01,12.0,3.0,1.0,3.0,5.0,1016084.0,16.0,2.0
2020-04-02,9.0,7.0,0.0,5.0,7.0,1016103.0,21.0,5.0
2020-04-03,18.0,5.0,0.0,2.0,6.0,1017425.0,24.0,3.0
2020-04-04,15.0,3.0,4.0,1.0,12.0,1017467.0,28.0,4.0
2020-04-05,20.0,2.0,2.0,4.0,10.0,1016150.0,31.0,3.0
2020-04-06,25.0,4.0,5.0,1.0,13.0,1017293.0,35.0,4.0
2020-04-07,32.0,3.0,4.0,3.0,11.0,1017985.0,40.0,5.0
2020-04-08,40.0,5.0,6.0,6.0,13.0,1018940.0,45.0,5.0
2020-04-09,56.0,8.0,8.0,4.0,19.0,1019811.0,51.0,6.0
2020-04-10,58.0,9.0,11.0,5.0,20.0,1018866.0,61.0,10.0
2020-04-11,73.0,10.0,13.0,11.0,27.0,1019340.0,69.0,8.0
2020-04-12,70.0,14.0,12.0,11.0,34.0,1019508.0,82.0,13.0
2020-04-13,83.0,18.0,15.0,10.0,37.0,1019758.0,97.0,15.0
2020-04-14,98.0,15.0,15.0,11.0,44.0,1019566.0,109.0,12.0
2020-04-15,108.0,20.0,20.0,11.0,55.0,1020026.0,128.0,19.0
2020-04-16,130.0,26.0,19.0,13.0,65.0,1019258.0,142.0,14.0
2020-04-17,164.0,29.0,24.0,17.0,84.0,1020127.0,156.0,14.0
2020-04-18,186.0,36.0,34.0,23.0,91.0,1019369.0,185.0,29.0
2020-04-19,229.0,48.0,45.0,25.0,131.0,1020859.0,225.0,40.0
2020-04-20,259.0,71.0,46.0,33.0,140.0,1020882.0,272.0,47.0
2020-04-21,312.0,79.0,60.0,40.0,162.0,1020806.0,327.0,55.0
2020-04-22,386.0,92.0,71.0,60.0,189.0,1020660.0,394.0,67.0
2020-04-23,466.0,101.0,78.0,68.0,231.0,1019804.0,469.0,75.0
2020-04-24,584.0,113.0,94.0,86.0,275.0,1019870.0,570.0,101.0
2020-04-25,647.0,137.0,109.0,101.0,312.0,1019889.0,683.0,113.0
2020-04-26,752.0,153.0,128.0,116.0,381.0,1020383.0,820.0,137.0
2020-04-27,921.0,198.0,142.0,134.0,466.0,1020656.0,972.0,152.0
2020-04-28,1011.0,256.0,169.0,140.0,561.0,1020275.0,1192.0,220.0
2020-04-29,1279.0,278.0,223.0,169.0,658.0,1019881.0,1409.0,217.0
2020-04-30,1561.0,309.0,269.0,202.0,798.0,1016977.0,1641.0,232.0
2020-05-01,1845.0,398.0,302.0,268.0,926.0,1017782.0,1964.0,323.0
2020-05-02,2215.0,473.0,358.0,252.0,1099.0,1017842.0,2323.0,359.0
2020-05-03,2545.0,565.0,417.0,323.0,1228.0,1016668.0,2761.0,438.0
2020-05-04,3085.0,675.0,490.0,382.0,1514.0,1016198.0,3270.0,509.0
2020-05-05,3674.0,762.0,572.0,477.0,1792.0,1015691.0,3868.0,598.0
2020-05-06,4310.0,966.0,776.0,552.0,2061.0,1015126.0,4627.0,759.0
2020-05-07,5142.0,1172.0,861.0,693.0,2440.0,1013545.0,5501.0,874.0
2020-05-08,6130.0,1343.0,998.0,768.0,2922.0,1011749.0,6530.0,1029.0
2020-05-09,7259.0,1553.0,1209.0,919.0,3528.0,1009257.0,7740.0,1210.0
2020-05-10,8479.0,1824.0,1456.0,1093.0,4247.0,1006084.0,9160.0,1420.0
2020-05-11,10165.0,2201.0,1731.0,1315.0,5090.0,1002421.0,10824.0,1664.0
2020-05-12,12246.0,2569.0,2055.0,1568.0,5950.0,998548.0,12806.0,1982.0
2020-05-13,14320.0,3036.0,2426.0,1891.0,7117.0,993492.0,15234.0,2428.0
2020-05-14,16876.0,3755.0,2861.0,2249.0,8496.0,989795.0,18158.0,2924.0
2020-05-15,19853.0,4342.0,3413.0,2775.0,10049.0,983869.0,21517.0,3359.0
2020-05-16,23408.0,5083.0,4016.0,3165.0,12039.0,977039.0,25483.0,3966.0
2020-05-17,27760.0,5985.0,4821.0,3816.0,14346.0,968906.0,30215.0,4732.0
2020-05-18,32747.0,7053.0,5661.0,4519.0,17072.0,958085.0,35740.0,5525.0
2020-05-19,38308.0,8151.0,6632.0,5316.0,20386.0,946578.0,42184.0,6444.0
2020-05-20,44723.0,9668.0,7884.0,6320.0,24013.0,933213.0,49835.0,7651.0
2020-05-21,51964.0,11426.0,9176.0,7248.0,27993.0,917341.0,58788.0,8953.0
2020-05-22,60236.0,13380.0,10681.0,8444.0,33052.0,898801.0,69174.0,10386.0
2020-05-23,69774.0,15427.0,12456.0,9961.0,39074.0,879202.0,81094.0,11920.0
2020-05-24,80224.0,17797.0,14738.0,11654.0,46016.0,855047.0,94711.0,13617.0
2020-05-25,91794.0,20565.0,16983.0,13568.0,54071.0,828317.0,110545.0,15834.0
2020-05-26,104270.0,23538.0,19484.0,15885.0,63524.0,799268.0,128484.0,17939.0
2020-05-27,117543.0,26852.0,22098.0,18291.0,74319.0,767249.0,148895.0,20411.0
2020-05-28,131361.0,30367.0,25179.0,20672.0,87141.0,731193.0,171783.0,22888.0
2020-05-29,144968.0,34208.0,28263.0,23929.0,101202.0,693171.0,197551.0,25768.0
2020-05-30,158889.0,38126.0,31948.0,26770.0,117498.0,652363.0,225842.0,28291.0
2020-05-31,172684.0,41506.0,36001.0,30022.0,135554.0,610209.0,256483.0,30641.0
2020-06-01,184976.0,45247.0,39187.0,33839.0,156285.0,566436.0,289611.0,33128.0
2020-06-02,196150.0,48474.0,42973.0,37503.0,179395.0,522197.0,325037.0,35426.0
2020-06-03,204375.0,51548.0,46198.0,41087.0,204612.0,478154.0,362387.0,37350.0
2020-06-04,210755.0,54192.0,49330.0,44477.0,232127.0,435480.0,401194.0,38807.0
2020-06-05,214108.0,56202.0,52427.0,47453.0,261449.0,394425.0,441152.0,39958.0
2020-06-06,215924.0,57427.0,54462.0,50156.0,292365.0,355639.0,481455.0,40303.0
2020-06-07,213651.0,58278.0,55804.0,52472.0,325545.0,319685.0,521910.0,40455.0
2020-06-08,209213.0,57912.0,56689.0,54414.0,359916.0,287489.0,561762.0,39852.0
2020-06-09,202573.0,56967.0,57282.0,55568.0,395724.0,258287.0,600677.0,38915.0
2020-06-10,195018.0,55422.0,56932.0,56381.0,431373.0,231503.0,637962.0,37285.0
2020-06-11,185916.0,53465.0,55702.0,56431.0,467214.0,208384.0,673587.0,35625.0
2020-06-12,174808.0,51541.0,53455.0,55344.0,503781.0,188170.0,707650.0,34063.0
2020-06-13,163109.0,48987.0,51591.0,54040.0,538505.0,170431.0,739413.0,31763.0
2020-06-14,151606.0,45802.0,49654.0,52547.0,572664.0,154724.0,769108.0,29695.0
2020-06-15,139548.0,42561.0,46972.0,50158.0,606109.0,141866.0,796576.0,27468.0
2020-06-16,127566.0,39475.0,43874.0,47912.0,637704.0,130417.0,821792.0,25216.0
2020-06-17,116112.0,36463.0,40831.0,45052.0,667317.0,120726.0,845104.0,23312.0
2020-06-18,105132.0,33564.0,37815.0,42015.0,695468.0,112413.0,866317.0,21213.0
2020-06-19,95490.0,30537.0,34822.0,39490.0,720802.0,105294.0,885302.0,18985.0
2020-06-20,86185.0,27499.0,31824.0,36249.0,746815.0,99059.0,902355.0,17053.0
2020-06-21,77894.0,25170.0,29017.0,33263.0,769039.0,93804.0,917843.0,15488.0
2020-06-22,69756.0,22757.0,26473.0,30429.0,788903.0,89268.0,931854.0,14011.0
2020-06-23,62427.0,20260.0,24172.0,27948.0,807532.0,85286.0,944230.0,12376.0
2020-06-24,55555.0,18276.0,21647.0,25585.0,825227.0,82374.0,955475.0,11245.0
2020-06-25,49680.0,16386.0,19534.0,23085.0,841024.0,79442.0,965428.0,9953.0
2020-06-26,44379.0,14671.0,17484.0,20854.0,855284.0,76600.0,974367.0,8939.0
2020-06-27,39202.0,12969.0,15575.0,18829.0,869680.0,74502.0,982316.0,7949.0
2020-06-28,34742.0,11598.0,14085.0,17035.0,880340.0,72536.0,989472.0,7156.0
2020-06-29,30852.0,10241.0,12417.0,15177.0,890527.0,70838.0,995693.0,6221.0
2020-06-30,27385.0,9110.0,11000.0,13604.0,898838.0,68981.0,1001203.0,5510.0
2020-07-01,24236.0,8155.0,9865.0,12135.0,907037.0,67850.0,1006171.0,4968.0
2020-07-02,21354.0,7169.0,8796.0,10765.0,914729.0,66990.0,1010515.0,4344.0
2020-07-03,18888.0,6380.0,7798.0,9538.0,920844.0,66026.0,1014334.0,3819.0
2020-07-04,16816.0,5674.0,6929.0,8418.0,926636.0,64959.0,1017751.0,3417.0
2020-07-05,14850.0,5012.0,6149.0,7563.0,932172.0,64056.0,1020793.0,3042.0
2020-07-06,13132.0,4485.0,5468.0,6698.0,936635.0,63553.0,1023469.0,2676.0
