time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,969874.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,971564.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,0.0,978284.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,985963.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,990807.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,996585.0,1.0,1.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,999999.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,1003421.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1004548.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1005809.0,1.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,2.0,1006734.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,2.0,1008928.0,1.0,0.0
2020-03-18,2.0,3.0,1.0,0.0,2.0,1010171.0,4.0,3.0
2020-03-19,7.0,2.0,0.0,1.0,4.0,1011309.0,4.0,0.0
2020-03-20,6.0,0.0,1.0,0.0,5.0,1011158.0,4.0,0.0
2020-03-21,3.0,0.0,1.0,0.0,3.0,1010727.0,5.0,1.0
2020-03-22,4.0,0.0,0.0,0.0,5.0,1011221.0,5.0,0.0
2020-03-23,3.0,1.0,0.0,1.0,4.0,1012097.0,6.0,1.0
2020-03-24,4.0,1.0,3.0,1.0,4.0,1013324.0,7.0,1.0
2020-03-25,3.0,0.0,2.0,1.0,1.0,1014270.0,7.0,0.0
2020-03-26,6.0,2.0,1.0,0.0,1.0,1014931.0,9.0,2.0
2020-03-27,9.0,0.0,4.0,1.0,3.0,1014806.0,9.0,0.0
2020-03-28,11.0,2.0,2.0,2.0,5.0,1016165.0,12.0,3.0
2020-03-29,15.0,1.0,1.0,2.0,9.0,1015250.0,13.0,1.0
2020-03-30,17.0,4.0,1.0,3.0,9.0,1015342.0,16.0,3.0
2020-03-31,16.0,2.0,2.0,2.0,8.0,1014841.0,17.0,1.0
2020-04-01,16.0,4.0,2.0,1.0,14.0,1015611.0,21.0,4.0
2020-04-02,13.0,3.0,3.0,2.0,13.0,1015541.0,26.0,5.0
2020-04-03,18.0,3.0,3.0,2.0,18.0,1016451.0,28.0,2.0
2020-04-04,23.0,6.0,3.0,5.0,16.0,1015911.0,31.0,3.0
2020-04-05,29.0,6.0,5.0,5.0,19.0,1016556.0,34.0,3.0
2020-04-06,48.0,12.0,7.0,9.0,22.0,1017555.0,41.0,7.0
2020-04-07,64.0,12.0,7.0,7.0,33.0,1016852.0,50.0,9.0
