time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970532.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,1.0,0.0,972611.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,1.0,2.0,979659.0,1.0,1.0
2020-03-09,4.0,1.0,1.0,2.0,1.0,986736.0,3.0,2.0
2020-03-10,6.0,0.0,1.0,2.0,1.0,992207.0,3.0,0.0
2020-03-11,6.0,1.0,0.0,0.0,1.0,998434.0,4.0,1.0
2020-03-12,3.0,3.0,0.0,0.0,0.0,1000841.0,6.0,2.0
2020-03-13,1.0,2.0,1.0,0.0,0.0,1002975.0,7.0,1.0
2020-03-14,3.0,1.0,2.0,0.0,0.0,1005229.0,8.0,1.0
2020-03-15,5.0,1.0,4.0,0.0,1.0,1006504.0,9.0,1.0
2020-03-16,2.0,2.0,3.0,2.0,1.0,1007861.0,10.0,1.0
2020-03-17,6.0,0.0,2.0,2.0,2.0,1008762.0,10.0,0.0
2020-03-18,4.0,0.0,1.0,2.0,2.0,1010062.0,10.0,0.0
2020-03-19,5.0,0.0,0.0,0.0,4.0,1011460.0,10.0,0.0
2020-03-20,2.0,1.0,0.0,0.0,4.0,1012372.0,11.0,1.0
2020-03-21,3.0,0.0,0.0,0.0,4.0,1012736.0,11.0,0.0
2020-03-22,3.0,1.0,1.0,0.0,4.0,1012849.0,11.0,0.0
2020-03-23,6.0,3.0,2.0,0.0,3.0,1011748.0,12.0,1.0
2020-03-24,4.0,2.0,1.0,2.0,2.0,1011200.0,14.0,2.0
2020-03-25,10.0,1.0,4.0,0.0,6.0,1012316.0,15.0,1.0
2020-03-26,8.0,1.0,1.0,2.0,5.0,1014413.0,16.0,1.0
2020-03-27,7.0,1.0,1.0,3.0,4.0,1015440.0,17.0,1.0
2020-03-28,5.0,0.0,0.0,0.0,6.0,1015525.0,17.0,0.0
2020-03-29,7.0,3.0,0.0,0.0,4.0,1015184.0,20.0,3.0
2020-03-30,7.0,2.0,2.0,0.0,8.0,1015145.0,21.0,1.0
2020-03-31,5.0,3.0,1.0,0.0,6.0,1014148.0,21.0,0.0
2020-04-01,12.0,3.0,4.0,1.0,8.0,1015023.0,25.0,4.0
2020-04-02,18.0,4.0,2.0,4.0,8.0,1014961.0,26.0,1.0
2020-04-03,26.0,4.0,7.0,3.0,10.0,1014386.0,30.0,4.0
2020-04-04,34.0,9.0,6.0,3.0,13.0,1015067.0,38.0,8.0
2020-04-05,40.0,10.0,8.0,6.0,19.0,1016039.0,47.0,9.0
2020-04-06,40.0,11.0,6.0,6.0,24.0,1017178.0,55.0,8.0
2020-04-07,34.0,15.0,6.0,6.0,27.0,1016568.0,64.0,9.0
2020-04-08,54.0,9.0,10.0,4.0,32.0,1017459.0,68.0,4.0
2020-04-09,42.0,10.0,11.0,9.0,33.0,1017856.0,79.0,11.0
2020-04-10,44.0,21.0,7.0,8.0,44.0,1017790.0,91.0,12.0
2020-04-11,69.0,22.0,17.0,8.0,53.0,1019044.0,107.0,16.0
2020-04-12,78.0,19.0,22.0,7.0,60.0,1017602.0,123.0,16.0
2020-04-13,104.0,21.0,22.0,6.0,57.0,1017831.0,137.0,14.0
2020-04-14,114.0,26.0,16.0,17.0,62.0,1018463.0,156.0,19.0
2020-04-15,146.0,23.0,14.0,24.0,74.0,1018709.0,172.0,16.0
2020-04-16,157.0,41.0,26.0,21.0,80.0,1018667.0,206.0,34.0
2020-04-17,201.0,48.0,36.0,29.0,107.0,1017734.0,241.0,35.0
2020-04-18,236.0,50.0,40.0,34.0,134.0,1018444.0,280.0,39.0
2020-04-19,277.0,53.0,46.0,43.0,153.0,1019480.0,326.0,46.0
2020-04-20,325.0,68.0,51.0,45.0,196.0,1019984.0,374.0,48.0
2020-04-21,369.0,94.0,59.0,47.0,222.0,1019875.0,443.0,69.0
2020-04-22,484.0,122.0,73.0,71.0,247.0,1018643.0,530.0,87.0
2020-04-23,580.0,123.0,91.0,69.0,287.0,1020335.0,623.0,93.0
2020-04-24,691.0,140.0,136.0,106.0,360.0,1020436.0,752.0,129.0
2020-04-25,820.0,187.0,132.0,122.0,413.0,1020364.0,898.0,146.0
2020-04-26,976.0,231.0,159.0,132.0,472.0,1020575.0,1058.0,160.0
2020-04-27,1179.0,271.0,190.0,149.0,573.0,1018793.0,1274.0,216.0
2020-04-28,1411.0,324.0,217.0,184.0,657.0,1018881.0,1506.0,232.0
2020-04-29,1727.0,363.0,279.0,214.0,810.0,1018368.0,1783.0,277.0
2020-04-30,2087.0,417.0,332.0,270.0,922.0,1018435.0,2105.0,322.0
2020-05-01,2427.0,531.0,415.0,305.0,1065.0,1017455.0,2526.0,421.0
2020-05-02,2809.0,611.0,488.0,385.0,1312.0,1018023.0,3006.0,480.0
2020-05-03,3219.0,740.0,527.0,433.0,1633.0,1017303.0,3551.0,545.0
2020-05-04,3848.0,842.0,629.0,534.0,1868.0,1015851.0,4217.0,666.0
2020-05-05,4500.0,1017.0,772.0,662.0,2242.0,1015054.0,5008.0,791.0
2020-05-06,5353.0,1135.0,928.0,719.0,2606.0,1012411.0,5917.0,909.0
2020-05-07,6304.0,1387.0,1044.0,851.0,3145.0,1009999.0,6975.0,1058.0
2020-05-08,7549.0,1576.0,1276.0,1054.0,3713.0,1008006.0,8192.0,1217.0
2020-05-09,8943.0,1942.0,1460.0,1239.0,4435.0,1006425.0,9759.0,1567.0
2020-05-10,10552.0,2262.0,1766.0,1469.0,5161.0,1003654.0,11526.0,1767.0
2020-05-11,12488.0,2649.0,2064.0,1703.0,6193.0,1000688.0,13610.0,2084.0
2020-05-12,14743.0,3228.0,2481.0,1960.0,7449.0,997057.0,16165.0,2555.0
2020-05-13,17336.0,3643.0,3009.0,2308.0,8772.0,991102.0,19076.0,2911.0
2020-05-14,20384.0,4369.0,3429.0,2804.0,10375.0,985483.0,22505.0,3429.0
2020-05-15,24418.0,5183.0,4097.0,3212.0,12323.0,977029.0,26594.0,4089.0
2020-05-16,28289.0,6177.0,4844.0,3896.0,14462.0,968075.0,31482.0,4888.0
2020-05-17,33405.0,7212.0,5672.0,4565.0,17090.0,958146.0,36952.0,5470.0
2020-05-18,38900.0,8454.0,6665.0,5317.0,20220.0,946297.0,43509.0,6557.0
2020-05-19,45124.0,10046.0,7932.0,6186.0,23963.0,933168.0,51356.0,7847.0
2020-05-20,52432.0,11696.0,9202.0,7331.0,28191.0,916226.0,60332.0,8976.0
2020-05-21,60813.0,13484.0,10876.0,8531.0,33520.0,897260.0,70725.0,10393.0
2020-05-22,70285.0,15599.0,12505.0,10073.0,39674.0,876619.0,82625.0,11900.0
2020-05-23,80610.0,18009.0,14711.0,11843.0,46399.0,853591.0,96595.0,13970.0
2020-05-24,92431.0,20725.0,16779.0,13831.0,54482.0,826222.0,112486.0,15891.0
2020-05-25,105089.0,23931.0,19284.0,15978.0,64136.0,796814.0,130814.0,18328.0
2020-05-26,118186.0,27044.0,22077.0,18292.0,75006.0,765452.0,151280.0,20466.0
2020-05-27,131631.0,30582.0,25056.0,20783.0,87508.0,730158.0,174415.0,23135.0
2020-05-28,144659.0,34271.0,28550.0,23816.0,101354.0,692549.0,200310.0,25895.0
2020-05-29,158413.0,37579.0,32281.0,26941.0,117573.0,651138.0,228421.0,28111.0
2020-05-30,171966.0,41272.0,35837.0,29966.0,135944.0,610628.0,259004.0,30583.0
2020-05-31,184836.0,44988.0,39530.0,33807.0,156854.0,567180.0,292518.0,33514.0
2020-06-01,195944.0,48669.0,42829.0,37335.0,179728.0,523934.0,327908.0,35390.0
2020-06-02,204326.0,51285.0,46332.0,40805.0,204848.0,479168.0,365167.0,37259.0
2020-06-03,210740.0,53956.0,49252.0,44096.0,232070.0,436568.0,404113.0,38946.0
2020-06-04,214409.0,55827.0,52010.0,47361.0,261185.0,396053.0,443884.0,39771.0
2020-06-05,215522.0,56747.0,53999.0,50031.0,292380.0,357224.0,483977.0,40093.0
2020-06-06,212940.0,57773.0,55504.0,52409.0,325608.0,321893.0,524393.0,40416.0
2020-06-07,209359.0,57675.0,56492.0,54001.0,360151.0,288450.0,564013.0,39620.0
2020-06-08,203722.0,56908.0,56758.0,55453.0,394660.0,258445.0,602628.0,38615.0
2020-06-09,194578.0,55487.0,56249.0,55838.0,431181.0,233383.0,640019.0,37391.0
2020-06-10,185312.0,53544.0,54993.0,55776.0,466468.0,209966.0,675551.0,35532.0
2020-06-11,174482.0,51429.0,54029.0,55220.0,501542.0,189275.0,709873.0,34322.0
2020-06-12,163091.0,48673.0,52235.0,53684.0,535607.0,171460.0,741697.0,31824.0
2020-06-13,151134.0,46038.0,49343.0,52542.0,571172.0,155970.0,771436.0,29739.0
2020-06-14,138894.0,43298.0,46735.0,50149.0,604278.0,143240.0,799231.0,27795.0
2020-06-15,127838.0,40017.0,43854.0,47931.0,636340.0,131527.0,824621.0,25390.0
2020-06-16,116939.0,36928.0,40970.0,45483.0,665949.0,121098.0,847915.0,23294.0
2020-06-17,106115.0,33785.0,38058.0,42113.0,696255.0,112827.0,869198.0,21283.0
2020-06-18,95899.0,30565.0,35139.0,39476.0,721305.0,105511.0,888062.0,18864.0
2020-06-19,86407.0,27740.0,32269.0,36845.0,745347.0,99443.0,905599.0,17537.0
2020-06-20,77340.0,25153.0,29471.0,33917.0,766891.0,94046.0,921182.0,15583.0
2020-06-21,69376.0,22770.0,26505.0,30986.0,787847.0,89410.0,935224.0,14042.0
2020-06-22,62349.0,20358.0,24031.0,28261.0,807263.0,85158.0,947667.0,12443.0
2020-06-23,55841.0,18375.0,21613.0,25647.0,824339.0,81980.0,958967.0,11300.0
2020-06-24,49806.0,16383.0,19763.0,23370.0,840737.0,78900.0,968993.0,10026.0
2020-06-25,44376.0,14886.0,17460.0,20783.0,855390.0,76601.0,978071.0,9078.0
2020-06-26,39406.0,13114.0,15873.0,18769.0,867282.0,73799.0,986050.0,7979.0
2020-06-27,35069.0,11676.0,14112.0,17118.0,878320.0,72035.0,993112.0,7062.0
2020-06-28,31094.0,10510.0,12541.0,15313.0,888268.0,70369.0,999577.0,6465.0
2020-06-29,27508.0,9390.0,11236.0,13615.0,897351.0,69105.0,1005194.0,5617.0
2020-06-30,24416.0,8207.0,10160.0,12217.0,905292.0,67789.0,1010141.0,4947.0
2020-07-01,21695.0,7278.0,9114.0,10904.0,912014.0,66688.0,1014511.0,4370.0
2020-07-02,19219.0,6410.0,8035.0,9735.0,917295.0,65540.0,1018421.0,3910.0
2020-07-03,16904.0,5650.0,7110.0,8695.0,924128.0,64592.0,1021861.0,3440.0
2020-07-04,15102.0,5125.0,6228.0,7719.0,928787.0,63665.0,1024956.0,3095.0
2020-07-05,13171.0,4609.0,5412.0,6836.0,933032.0,63245.0,1027644.0,2688.0
2020-07-06,11664.0,4071.0,4926.0,5932.0,937546.0,62831.0,1030093.0,2449.0
