time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970298.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,0.0,0.0,972245.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,980904.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986670.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,993655.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,997730.0,0.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,0.0,1001624.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003051.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004342.0,0.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,1005878.0,0.0,0.0
2020-03-16,3.0,0.0,1.0,0.0,1.0,1007754.0,0.0,0.0
2020-03-17,3.0,1.0,1.0,1.0,2.0,1009826.0,1.0,1.0
2020-03-18,3.0,1.0,1.0,0.0,1.0,1010714.0,2.0,1.0
2020-03-19,5.0,1.0,2.0,0.0,2.0,1010136.0,3.0,1.0
2020-03-20,3.0,3.0,1.0,2.0,4.0,1010780.0,6.0,3.0
2020-03-21,9.0,3.0,2.0,1.0,7.0,1013085.0,7.0,1.0
2020-03-22,9.0,3.0,2.0,0.0,7.0,1014250.0,7.0,0.0
2020-03-23,7.0,3.0,3.0,1.0,7.0,1014368.0,9.0,2.0
2020-03-24,14.0,4.0,3.0,1.0,10.0,1014612.0,10.0,1.0
2020-03-25,27.0,5.0,5.0,3.0,10.0,1013709.0,13.0,3.0
2020-03-26,28.0,4.0,3.0,6.0,11.0,1014485.0,16.0,3.0
2020-03-27,29.0,11.0,8.0,6.0,13.0,1015088.0,24.0,8.0
2020-03-28,31.0,15.0,10.0,5.0,20.0,1016663.0,35.0,11.0
2020-03-29,56.0,13.0,7.0,7.0,26.0,1016317.0,42.0,7.0
2020-03-30,53.0,11.0,7.0,7.0,27.0,1016926.0,51.0,9.0
2020-03-31,66.0,13.0,13.0,7.0,22.0,1016603.0,62.0,11.0
2020-04-01,83.0,16.0,19.0,8.0,29.0,1017651.0,75.0,13.0
2020-04-02,102.0,16.0,20.0,17.0,39.0,1015912.0,91.0,16.0
2020-04-03,99.0,21.0,15.0,18.0,53.0,1016299.0,108.0,17.0
2020-04-04,118.0,29.0,21.0,14.0,66.0,1016216.0,132.0,24.0
2020-04-05,133.0,25.0,26.0,21.0,80.0,1015825.0,151.0,19.0
2020-04-06,158.0,36.0,29.0,20.0,92.0,1016263.0,184.0,33.0
2020-04-07,214.0,40.0,31.0,31.0,108.0,1016207.0,215.0,31.0
2020-04-08,226.0,46.0,47.0,27.0,127.0,1015954.0,262.0,47.0
2020-04-09,280.0,68.0,57.0,40.0,132.0,1017456.0,318.0,56.0
2020-04-10,333.0,77.0,55.0,44.0,177.0,1017733.0,380.0,62.0
2020-04-11,408.0,84.0,70.0,48.0,203.0,1017746.0,450.0,70.0
2020-04-12,452.0,110.0,87.0,73.0,229.0,1017087.0,534.0,84.0
2020-04-13,560.0,142.0,88.0,81.0,280.0,1016768.0,636.0,102.0
2020-04-14,634.0,178.0,95.0,100.0,310.0,1018177.0,770.0,134.0
2020-04-15,755.0,171.0,121.0,105.0,370.0,1018363.0,897.0,127.0
2020-04-16,902.0,171.0,143.0,100.0,432.0,1017513.0,1020.0,123.0
2020-04-17,1029.0,220.0,181.0,115.0,521.0,1017382.0,1197.0,177.0
2020-04-18,1223.0,253.0,203.0,141.0,606.0,1017042.0,1384.0,187.0
2020-04-19,1417.0,291.0,223.0,171.0,704.0,1017916.0,1609.0,225.0
2020-04-20,1694.0,348.0,278.0,204.0,821.0,1017886.0,1884.0,275.0
2020-04-21,1973.0,455.0,354.0,253.0,973.0,1015934.0,2240.0,356.0
2020-04-22,2425.0,532.0,407.0,335.0,1130.0,1015270.0,2666.0,426.0
2020-04-23,2884.0,623.0,491.0,413.0,1381.0,1015085.0,3133.0,467.0
2020-04-24,3412.0,731.0,583.0,430.0,1648.0,1013201.0,3718.0,585.0
2020-04-25,4004.0,906.0,685.0,489.0,1956.0,1013169.0,4420.0,702.0
2020-04-26,4762.0,1019.0,790.0,608.0,2316.0,1011519.0,5212.0,792.0
2020-04-27,5611.0,1191.0,919.0,772.0,2691.0,1010058.0,6156.0,944.0
2020-04-28,6654.0,1350.0,1057.0,844.0,3227.0,1008207.0,7190.0,1034.0
2020-04-29,7799.0,1689.0,1222.0,982.0,3905.0,1006254.0,8495.0,1305.0
2020-04-30,9115.0,1957.0,1578.0,1196.0,4575.0,1003544.0,10026.0,1531.0
2020-05-01,10848.0,2308.0,1839.0,1422.0,5448.0,1002357.0,11872.0,1846.0
2020-05-02,12706.0,2665.0,2177.0,1693.0,6382.0,996363.0,13994.0,2122.0
2020-05-03,15260.0,3178.0,2627.0,2101.0,7589.0,993141.0,16436.0,2442.0
2020-05-04,18038.0,3796.0,3074.0,2370.0,9015.0,988367.0,19425.0,2989.0
2020-05-05,21150.0,4613.0,3702.0,2783.0,10883.0,980826.0,23102.0,3677.0
2020-05-06,24880.0,5508.0,4399.0,3322.0,12724.0,973796.0,27399.0,4297.0
2020-05-07,29315.0,6414.0,5033.0,3958.0,15024.0,964386.0,32196.0,4797.0
2020-05-08,34134.0,7452.0,5988.0,4672.0,17913.0,954180.0,38044.0,5848.0
2020-05-09,39904.0,8772.0,6924.0,5483.0,21010.0,941415.0,44793.0,6749.0
2020-05-10,46639.0,10258.0,8196.0,6410.0,24963.0,927023.0,52783.0,7990.0
2020-05-11,54028.0,12045.0,9457.0,7626.0,29545.0,912014.0,61961.0,9178.0
2020-05-12,62553.0,14031.0,11202.0,8971.0,34676.0,892446.0,72826.0,10865.0
2020-05-13,72335.0,16170.0,12938.0,10480.0,40898.0,871345.0,85229.0,12403.0
2020-05-14,82864.0,18738.0,15140.0,12299.0,48530.0,844609.0,99485.0,14256.0
2020-05-15,95304.0,21462.0,17428.0,14315.0,56669.0,817834.0,115787.0,16302.0
2020-05-16,107778.0,24757.0,20007.0,16587.0,66312.0,788686.0,134792.0,19005.0
2020-05-17,121058.0,27672.0,23219.0,18907.0,77569.0,756682.0,155867.0,21075.0
2020-05-18,134746.0,31245.0,26129.0,21322.0,90340.0,720952.0,179450.0,23583.0
2020-05-19,148674.0,35075.0,29207.0,24460.0,104649.0,682054.0,205839.0,26389.0
2020-05-20,162908.0,38913.0,32772.0,28033.0,121775.0,642355.0,234963.0,29124.0
2020-05-21,175922.0,42709.0,36542.0,31444.0,140397.0,598797.0,266370.0,31407.0
2020-05-22,187446.0,46009.0,40135.0,34797.0,162237.0,555867.0,300315.0,33945.0
