time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970293.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,2.0,0.0,973703.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,1.0,979894.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,1.0,0.0,985865.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,992119.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,996251.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999770.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002946.0,0.0,0.0
2020-03-14,1.0,0.0,1.0,0.0,0.0,1004727.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,0.0,1007832.0,0.0,0.0
2020-03-16,0.0,0.0,1.0,0.0,2.0,1009201.0,1.0,1.0
2020-03-17,3.0,0.0,0.0,1.0,2.0,1009108.0,1.0,0.0
2020-03-18,5.0,0.0,0.0,1.0,1.0,1009865.0,1.0,0.0
2020-03-19,2.0,1.0,1.0,0.0,1.0,1010009.0,3.0,2.0
2020-03-20,2.0,1.0,1.0,1.0,1.0,1010532.0,4.0,1.0
2020-03-21,1.0,0.0,0.0,1.0,4.0,1011244.0,4.0,0.0
2020-03-22,3.0,0.0,0.0,1.0,2.0,1012754.0,4.0,0.0
2020-03-23,3.0,0.0,0.0,1.0,1.0,1013241.0,4.0,0.0
2020-03-24,2.0,0.0,0.0,0.0,1.0,1013333.0,4.0,0.0
2020-03-25,1.0,1.0,0.0,0.0,2.0,1013420.0,5.0,1.0
2020-03-26,2.0,0.0,0.0,1.0,1.0,1013727.0,5.0,0.0
2020-03-27,4.0,0.0,1.0,1.0,2.0,1014031.0,5.0,0.0
2020-03-28,5.0,1.0,1.0,1.0,4.0,1014603.0,6.0,1.0
2020-03-29,10.0,2.0,2.0,1.0,5.0,1014424.0,8.0,2.0
2020-03-30,10.0,5.0,1.0,0.0,4.0,1013977.0,10.0,2.0
2020-03-31,12.0,3.0,1.0,2.0,6.0,1015329.0,11.0,1.0
2020-04-01,13.0,2.0,2.0,3.0,8.0,1015803.0,14.0,3.0
2020-04-02,17.0,1.0,2.0,1.0,11.0,1015700.0,15.0,1.0
2020-04-03,18.0,6.0,3.0,2.0,13.0,1016931.0,19.0,4.0
2020-04-04,26.0,7.0,4.0,0.0,14.0,1019098.0,23.0,4.0
2020-04-05,27.0,5.0,5.0,1.0,12.0,1017981.0,26.0,3.0
2020-04-06,35.0,4.0,7.0,4.0,11.0,1018105.0,30.0,4.0
2020-04-07,39.0,11.0,4.0,5.0,11.0,1018313.0,39.0,9.0
2020-04-08,45.0,7.0,7.0,5.0,18.0,1018458.0,44.0,5.0
2020-04-09,53.0,14.0,3.0,4.0,23.0,1017778.0,52.0,8.0
