time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970421.0,0.0,0.0
2020-03-07,3.0,0.0,0.0,1.0,0.0,973850.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,1.0,981133.0,1.0,1.0
2020-03-09,4.0,1.0,0.0,0.0,1.0,988915.0,1.0,0.0
2020-03-10,2.0,1.0,1.0,0.0,0.0,994206.0,2.0,1.0
2020-03-11,1.0,3.0,1.0,0.0,0.0,997732.0,5.0,3.0
2020-03-12,0.0,2.0,2.0,0.0,0.0,1000594.0,6.0,1.0
2020-03-13,3.0,2.0,1.0,1.0,0.0,1003081.0,6.0,0.0
2020-03-14,4.0,2.0,1.0,2.0,1.0,1006040.0,7.0,1.0
2020-03-15,4.0,1.0,1.0,3.0,1.0,1007948.0,7.0,0.0
2020-03-16,2.0,0.0,0.0,2.0,1.0,1008812.0,7.0,0.0
2020-03-17,6.0,1.0,2.0,0.0,1.0,1008061.0,9.0,2.0
2020-03-18,7.0,0.0,1.0,3.0,0.0,1008022.0,9.0,0.0
2020-03-19,11.0,1.0,0.0,1.0,3.0,1008147.0,10.0,1.0
2020-03-20,9.0,1.0,4.0,1.0,3.0,1010681.0,13.0,3.0
2020-03-21,10.0,2.0,2.0,1.0,2.0,1011927.0,15.0,2.0
2020-03-22,9.0,0.0,3.0,2.0,6.0,1011973.0,15.0,0.0
2020-03-23,9.0,1.0,0.0,2.0,5.0,1012740.0,16.0,1.0
2020-03-24,9.0,1.0,1.0,1.0,5.0,1012046.0,17.0,1.0
2020-03-25,7.0,0.0,0.0,1.0,6.0,1013455.0,18.0,1.0
2020-03-26,6.0,1.0,2.0,1.0,6.0,1013543.0,19.0,1.0
2020-03-27,12.0,1.0,2.0,2.0,6.0,1012920.0,19.0,0.0
2020-03-28,13.0,3.0,1.0,0.0,10.0,1014056.0,20.0,1.0
2020-03-29,14.0,3.0,3.0,1.0,10.0,1014258.0,23.0,3.0
2020-03-30,13.0,4.0,3.0,2.0,14.0,1015838.0,27.0,4.0
2020-03-31,18.0,4.0,7.0,0.0,19.0,1016203.0,29.0,2.0
2020-04-01,33.0,6.0,9.0,6.0,16.0,1017020.0,33.0,4.0
2020-04-02,51.0,4.0,10.0,5.0,21.0,1016367.0,36.0,3.0
2020-04-03,48.0,9.0,3.0,6.0,25.0,1016751.0,44.0,8.0
2020-04-04,58.0,11.0,9.0,4.0,33.0,1017466.0,56.0,12.0
2020-04-05,71.0,14.0,10.0,12.0,35.0,1017522.0,68.0,12.0
2020-04-06,78.0,14.0,14.0,8.0,42.0,1016831.0,78.0,10.0
2020-04-07,100.0,18.0,14.0,10.0,58.0,1017640.0,92.0,14.0
2020-04-08,101.0,30.0,14.0,7.0,68.0,1016179.0,123.0,31.0
2020-04-09,129.0,26.0,20.0,18.0,76.0,1016860.0,143.0,20.0
2020-04-10,160.0,21.0,22.0,24.0,95.0,1017888.0,158.0,15.0
2020-04-11,198.0,36.0,23.0,19.0,108.0,1017066.0,186.0,28.0
2020-04-12,256.0,49.0,24.0,20.0,122.0,1017325.0,222.0,36.0
2020-04-13,264.0,67.0,51.0,23.0,128.0,1017998.0,280.0,58.0
2020-04-14,326.0,74.0,54.0,45.0,145.0,1017663.0,335.0,55.0
2020-04-15,393.0,83.0,68.0,47.0,183.0,1016109.0,392.0,57.0
2020-04-16,487.0,99.0,83.0,68.0,211.0,1016221.0,479.0,87.0
