time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970310.0,0.0,0.0
2020-03-07,4.0,0.0,2.0,1.0,0.0,972359.0,0.0,0.0
2020-03-08,5.0,1.0,2.0,0.0,1.0,979104.0,1.0,1.0
2020-03-09,5.0,0.0,2.0,0.0,1.0,985383.0,1.0,0.0
2020-03-10,7.0,1.0,2.0,1.0,1.0,992518.0,3.0,2.0
2020-03-11,7.0,0.0,3.0,0.0,2.0,996831.0,3.0,0.0
2020-03-12,4.0,0.0,2.0,0.0,2.0,1000030.0,4.0,1.0
2020-03-13,4.0,0.0,1.0,1.0,1.0,1003129.0,5.0,1.0
2020-03-14,5.0,0.0,0.0,1.0,3.0,1005315.0,5.0,0.0
2020-03-15,6.0,0.0,0.0,1.0,1.0,1006872.0,5.0,0.0
2020-03-16,8.0,1.0,1.0,1.0,0.0,1007324.0,7.0,2.0
2020-03-17,5.0,2.0,1.0,2.0,1.0,1006943.0,9.0,2.0
2020-03-18,4.0,2.0,2.0,1.0,0.0,1008939.0,9.0,0.0
2020-03-19,6.0,2.0,1.0,1.0,1.0,1010148.0,11.0,2.0
2020-03-20,7.0,0.0,1.0,3.0,3.0,1011453.0,11.0,0.0
2020-03-21,6.0,2.0,1.0,0.0,4.0,1013313.0,15.0,4.0
2020-03-22,8.0,2.0,0.0,2.0,4.0,1013233.0,16.0,1.0
2020-03-23,10.0,1.0,2.0,2.0,2.0,1013723.0,17.0,1.0
2020-03-24,9.0,2.0,2.0,2.0,3.0,1013683.0,17.0,0.0
2020-03-25,9.0,3.0,2.0,0.0,6.0,1014557.0,20.0,3.0
2020-03-26,8.0,2.0,1.0,1.0,9.0,1015247.0,20.0,0.0
2020-03-27,11.0,2.0,3.0,0.0,9.0,1016257.0,22.0,2.0
2020-03-28,14.0,1.0,4.0,1.0,9.0,1016066.0,23.0,1.0
2020-03-29,16.0,4.0,4.0,3.0,9.0,1016181.0,28.0,5.0
2020-03-30,22.0,4.0,3.0,4.0,9.0,1014915.0,30.0,2.0
2020-03-31,27.0,6.0,4.0,4.0,12.0,1016000.0,34.0,4.0
2020-04-01,31.0,4.0,4.0,3.0,16.0,1015213.0,37.0,3.0
2020-04-02,37.0,3.0,6.0,2.0,18.0,1016361.0,43.0,6.0
2020-04-03,36.0,9.0,3.0,3.0,14.0,1016830.0,54.0,11.0
2020-04-04,53.0,11.0,7.0,5.0,16.0,1016665.0,63.0,9.0
2020-04-05,68.0,17.0,9.0,4.0,19.0,1017789.0,73.0,10.0
2020-04-06,65.0,18.0,17.0,14.0,31.0,1017390.0,92.0,19.0
2020-04-07,88.0,10.0,10.0,18.0,39.0,1018161.0,100.0,8.0
2020-04-08,117.0,21.0,12.0,22.0,60.0,1018196.0,119.0,19.0
2020-04-09,133.0,29.0,19.0,17.0,72.0,1018990.0,138.0,19.0
2020-04-10,165.0,32.0,20.0,23.0,70.0,1018382.0,165.0,27.0
2020-04-11,184.0,39.0,28.0,22.0,84.0,1017484.0,191.0,26.0
2020-04-12,212.0,50.0,42.0,26.0,111.0,1016619.0,229.0,38.0
2020-04-13,276.0,57.0,46.0,36.0,121.0,1016644.0,272.0,43.0
2020-04-14,295.0,65.0,64.0,37.0,156.0,1015692.0,322.0,50.0
2020-04-15,322.0,75.0,57.0,50.0,197.0,1017284.0,378.0,56.0
2020-04-16,409.0,81.0,67.0,58.0,222.0,1017663.0,441.0,63.0
2020-04-17,488.0,114.0,80.0,53.0,260.0,1017605.0,527.0,86.0
2020-04-18,608.0,128.0,92.0,80.0,303.0,1018046.0,622.0,95.0
2020-04-19,785.0,160.0,111.0,93.0,352.0,1018066.0,733.0,111.0
2020-04-20,909.0,205.0,137.0,115.0,423.0,1018008.0,906.0,173.0
2020-04-21,1060.0,228.0,174.0,150.0,507.0,1017020.0,1086.0,180.0
2020-04-22,1243.0,283.0,191.0,182.0,616.0,1017201.0,1287.0,201.0
2020-04-23,1508.0,341.0,263.0,177.0,731.0,1016713.0,1555.0,268.0
2020-04-24,1845.0,378.0,300.0,242.0,828.0,1017286.0,1854.0,299.0
2020-04-25,2256.0,440.0,359.0,292.0,1012.0,1017355.0,2226.0,372.0
2020-04-26,2686.0,544.0,441.0,346.0,1245.0,1017360.0,2676.0,450.0
2020-04-27,3076.0,625.0,540.0,389.0,1486.0,1014842.0,3237.0,561.0
2020-04-28,3671.0,781.0,633.0,464.0,1710.0,1014846.0,3891.0,654.0
2020-04-29,4276.0,910.0,744.0,550.0,2089.0,1014042.0,4607.0,716.0
2020-04-30,4945.0,1094.0,848.0,667.0,2461.0,1011761.0,5444.0,837.0
2020-05-01,5881.0,1229.0,1024.0,732.0,2917.0,1010200.0,6441.0,997.0
2020-05-02,6926.0,1505.0,1169.0,858.0,3528.0,1007766.0,7602.0,1161.0
2020-05-03,8074.0,1753.0,1375.0,1105.0,4098.0,1006229.0,8962.0,1360.0
2020-05-04,9620.0,2078.0,1627.0,1313.0,4807.0,1002265.0,10616.0,1654.0
2020-05-05,11438.0,2483.0,1977.0,1591.0,5694.0,999386.0,12597.0,1981.0
2020-05-06,13409.0,2853.0,2238.0,1865.0,6860.0,996182.0,14820.0,2223.0
2020-05-07,15930.0,3453.0,2683.0,2158.0,8027.0,990896.0,17535.0,2715.0
2020-05-08,18940.0,4002.0,3230.0,2584.0,9512.0,984431.0,20628.0,3093.0
2020-05-09,22246.0,4941.0,3857.0,2998.0,11320.0,977940.0,24488.0,3860.0
2020-05-10,26445.0,5801.0,4529.0,3578.0,13447.0,970957.0,28857.0,4369.0
2020-05-11,31072.0,6875.0,5319.0,4338.0,15941.0,960560.0,34189.0,5332.0
2020-05-12,36145.0,8040.0,6191.0,5019.0,18899.0,950156.0,40433.0,6244.0
2020-05-13,42432.0,9366.0,7289.0,5983.0,22400.0,938800.0,47697.0,7264.0
2020-05-14,49709.0,11037.0,8573.0,6850.0,26552.0,921967.0,56289.0,8592.0
2020-05-15,57347.0,12785.0,10288.0,8162.0,31234.0,905186.0,66192.0,9903.0
