time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,970013.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,0.0,1.0,973274.0,1.0,1.0
2020-03-08,1.0,1.0,2.0,0.0,1.0,980573.0,3.0,2.0
2020-03-09,2.0,0.0,2.0,0.0,1.0,988510.0,3.0,0.0
2020-03-10,0.0,0.0,0.0,1.0,2.0,994138.0,3.0,0.0
2020-03-11,0.0,0.0,0.0,1.0,3.0,999115.0,3.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,3.0,1002104.0,3.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,3.0,1004062.0,3.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,1.0,1005451.0,4.0,1.0
2020-03-15,2.0,2.0,0.0,1.0,1.0,1006833.0,6.0,2.0
2020-03-16,3.0,2.0,0.0,0.0,3.0,1007441.0,7.0,1.0
2020-03-17,5.0,1.0,1.0,0.0,2.0,1009134.0,7.0,0.0
2020-03-18,7.0,0.0,2.0,0.0,1.0,1010066.0,7.0,0.0
2020-03-19,6.0,0.0,0.0,1.0,1.0,1011786.0,7.0,0.0
2020-03-20,7.0,1.0,0.0,0.0,1.0,1010798.0,8.0,1.0
2020-03-21,7.0,1.0,0.0,1.0,1.0,1011163.0,9.0,1.0
2020-03-22,7.0,1.0,1.0,0.0,3.0,1012839.0,10.0,1.0
2020-03-23,3.0,3.0,2.0,2.0,5.0,1013601.0,14.0,4.0
2020-03-24,7.0,2.0,1.0,4.0,3.0,1013224.0,14.0,0.0
2020-03-25,11.0,2.0,0.0,2.0,5.0,1014484.0,15.0,1.0
2020-03-26,7.0,6.0,1.0,2.0,3.0,1015903.0,19.0,4.0
2020-03-27,4.0,7.0,1.0,3.0,7.0,1016544.0,24.0,5.0
2020-03-28,11.0,6.0,1.0,5.0,8.0,1016626.0,26.0,2.0
2020-03-29,16.0,3.0,1.0,4.0,11.0,1017866.0,26.0,0.0
2020-03-30,19.0,4.0,1.0,3.0,14.0,1018190.0,29.0,3.0
2020-03-31,23.0,4.0,3.0,3.0,16.0,1016165.0,32.0,3.0
2020-04-01,21.0,7.0,4.0,3.0,11.0,1017394.0,36.0,4.0
2020-04-02,22.0,4.0,2.0,2.0,11.0,1016946.0,37.0,1.0
2020-04-03,27.0,7.0,3.0,3.0,13.0,1017528.0,43.0,6.0
2020-04-04,39.0,9.0,6.0,4.0,16.0,1017684.0,50.0,7.0
2020-04-05,31.0,12.0,4.0,5.0,16.0,1016190.0,60.0,10.0
2020-04-06,49.0,6.0,6.0,9.0,14.0,1016302.0,64.0,4.0
2020-04-07,52.0,15.0,4.0,11.0,20.0,1015979.0,73.0,9.0
2020-04-08,64.0,14.0,10.0,8.0,23.0,1016880.0,79.0,6.0
2020-04-09,71.0,18.0,11.0,10.0,20.0,1017617.0,92.0,13.0
2020-04-10,103.0,19.0,16.0,8.0,40.0,1018686.0,110.0,18.0
2020-04-11,130.0,20.0,13.0,15.0,48.0,1019317.0,126.0,16.0
2020-04-12,125.0,29.0,20.0,17.0,65.0,1018719.0,157.0,31.0
2020-04-13,159.0,28.0,24.0,16.0,73.0,1019074.0,178.0,21.0
2020-04-14,183.0,37.0,31.0,27.0,77.0,1018798.0,209.0,31.0
2020-04-15,207.0,46.0,34.0,30.0,106.0,1019286.0,243.0,34.0
2020-04-16,260.0,59.0,35.0,40.0,135.0,1020253.0,293.0,50.0
2020-04-17,292.0,70.0,56.0,34.0,154.0,1020836.0,353.0,60.0
2020-04-18,346.0,77.0,60.0,49.0,176.0,1019984.0,413.0,60.0
2020-04-19,411.0,98.0,77.0,64.0,197.0,1021103.0,479.0,66.0
2020-04-20,486.0,117.0,83.0,78.0,235.0,1020715.0,561.0,82.0
2020-04-21,576.0,128.0,106.0,80.0,274.0,1019911.0,657.0,96.0
2020-04-22,692.0,152.0,100.0,120.0,336.0,1018393.0,770.0,113.0
2020-04-23,830.0,183.0,129.0,115.0,420.0,1019249.0,900.0,130.0
2020-04-24,957.0,191.0,150.0,143.0,454.0,1018969.0,1056.0,156.0
2020-04-25,1118.0,246.0,193.0,153.0,534.0,1019353.0,1247.0,191.0
2020-04-26,1322.0,278.0,232.0,169.0,686.0,1019117.0,1475.0,228.0
2020-04-27,1548.0,341.0,260.0,228.0,805.0,1018436.0,1744.0,269.0
2020-04-28,1874.0,429.0,313.0,263.0,978.0,1017763.0,2065.0,321.0
2020-04-29,2239.0,534.0,337.0,286.0,1175.0,1018302.0,2443.0,378.0
2020-04-30,2645.0,634.0,450.0,372.0,1331.0,1016284.0,2946.0,503.0
2020-05-01,3297.0,709.0,548.0,415.0,1562.0,1015466.0,3485.0,539.0
2020-05-02,3871.0,832.0,667.0,482.0,1833.0,1013585.0,4124.0,639.0
2020-05-03,4487.0,998.0,778.0,605.0,2127.0,1013307.0,4894.0,770.0
2020-05-04,5337.0,1211.0,900.0,715.0,2478.0,1012180.0,5804.0,910.0
2020-05-05,6232.0,1378.0,1080.0,857.0,3001.0,1011453.0,6888.0,1084.0
2020-05-06,7303.0,1640.0,1284.0,1001.0,3564.0,1008527.0,8174.0,1286.0
2020-05-07,8912.0,1903.0,1455.0,1170.0,4302.0,1005457.0,9642.0,1468.0
2020-05-08,10482.0,2255.0,1751.0,1434.0,5158.0,1002857.0,11395.0,1753.0
2020-05-09,12413.0,2660.0,2074.0,1681.0,6111.0,998262.0,13489.0,2094.0
2020-05-10,14579.0,3118.0,2486.0,1947.0,7213.0,994945.0,15911.0,2422.0
2020-05-11,17129.0,3774.0,2868.0,2303.0,8625.0,990571.0,18810.0,2899.0
2020-05-12,20444.0,4376.0,3470.0,2654.0,10263.0,984747.0,22201.0,3391.0
2020-05-13,23795.0,5198.0,4120.0,3326.0,12032.0,976146.0,26299.0,4098.0
2020-05-14,27910.0,6162.0,4808.0,3831.0,14247.0,966217.0,31004.0,4705.0
2020-05-15,32928.0,7259.0,5683.0,4509.0,17004.0,956725.0,36591.0,5587.0
2020-05-16,38252.0,8345.0,6694.0,5146.0,20457.0,945949.0,43091.0,6500.0
2020-05-17,45077.0,9815.0,7924.0,6223.0,23759.0,932040.0,50635.0,7544.0
