time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969982.0,0.0,0.0
2020-03-07,3.0,1.0,0.0,1.0,0.0,972333.0,0.0,0.0
2020-03-08,2.0,2.0,0.0,0.0,1.0,978978.0,1.0,1.0
2020-03-09,3.0,2.0,0.0,0.0,1.0,986678.0,1.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,1.0,992472.0,1.0,0.0
2020-03-11,4.0,0.0,1.0,0.0,2.0,996824.0,1.0,0.0
2020-03-12,6.0,0.0,1.0,0.0,2.0,1000890.0,1.0,0.0
2020-03-13,4.0,0.0,0.0,0.0,3.0,1004648.0,1.0,0.0
2020-03-14,2.0,2.0,0.0,0.0,2.0,1005693.0,3.0,2.0
2020-03-15,2.0,0.0,1.0,0.0,1.0,1007178.0,3.0,0.0
2020-03-16,2.0,0.0,2.0,1.0,1.0,1009173.0,4.0,1.0
2020-03-17,2.0,1.0,0.0,0.0,1.0,1010729.0,5.0,1.0
2020-03-18,2.0,1.0,0.0,1.0,1.0,1011195.0,5.0,0.0
2020-03-19,3.0,1.0,1.0,2.0,1.0,1011075.0,6.0,1.0
2020-03-20,4.0,2.0,1.0,2.0,3.0,1011876.0,7.0,1.0
2020-03-21,8.0,2.0,1.0,1.0,1.0,1013287.0,8.0,1.0
2020-03-22,10.0,2.0,0.0,3.0,3.0,1013589.0,9.0,1.0
2020-03-23,14.0,2.0,2.0,0.0,5.0,1011985.0,11.0,2.0
2020-03-24,12.0,4.0,3.0,2.0,2.0,1013662.0,14.0,3.0
2020-03-25,11.0,4.0,3.0,3.0,3.0,1014661.0,18.0,4.0
2020-03-26,21.0,6.0,1.0,1.0,7.0,1015421.0,19.0,1.0
2020-03-27,22.0,4.0,2.0,1.0,5.0,1014109.0,21.0,2.0
2020-03-28,24.0,4.0,1.0,3.0,6.0,1013347.0,22.0,1.0
2020-03-29,28.0,6.0,2.0,3.0,4.0,1013224.0,28.0,6.0
2020-03-30,23.0,3.0,1.0,6.0,9.0,1014920.0,31.0,3.0
2020-03-31,28.0,4.0,5.0,5.0,12.0,1015530.0,34.0,3.0
2020-04-01,26.0,8.0,5.0,4.0,17.0,1016718.0,41.0,7.0
2020-04-02,36.0,10.0,1.0,6.0,14.0,1016559.0,49.0,8.0
2020-04-03,28.0,12.0,3.0,5.0,19.0,1015650.0,60.0,11.0
2020-04-04,41.0,10.0,9.0,4.0,24.0,1016624.0,66.0,6.0
2020-04-05,48.0,13.0,10.0,7.0,21.0,1016971.0,74.0,8.0
2020-04-06,67.0,11.0,8.0,11.0,30.0,1016918.0,82.0,8.0
2020-04-07,95.0,16.0,17.0,11.0,32.0,1017496.0,100.0,18.0
2020-04-08,94.0,24.0,16.0,19.0,38.0,1018097.0,118.0,18.0
2020-04-09,116.0,24.0,19.0,13.0,49.0,1018373.0,137.0,19.0
2020-04-10,125.0,22.0,21.0,16.0,61.0,1017416.0,154.0,17.0
2020-04-11,149.0,18.0,24.0,24.0,69.0,1016381.0,173.0,19.0
2020-04-12,191.0,39.0,22.0,25.0,76.0,1016977.0,200.0,27.0
2020-04-13,201.0,50.0,27.0,24.0,94.0,1017140.0,235.0,35.0
2020-04-14,250.0,45.0,40.0,28.0,114.0,1018687.0,274.0,39.0
2020-04-15,266.0,46.0,41.0,34.0,135.0,1018957.0,310.0,36.0
2020-04-16,328.0,73.0,49.0,39.0,171.0,1019069.0,359.0,49.0
2020-04-17,385.0,84.0,59.0,59.0,183.0,1019777.0,421.0,62.0
2020-04-18,446.0,77.0,89.0,60.0,226.0,1019110.0,496.0,75.0
2020-04-19,512.0,83.0,117.0,67.0,274.0,1018448.0,585.0,89.0
2020-04-20,591.0,112.0,100.0,89.0,330.0,1018109.0,680.0,95.0
2020-04-21,737.0,154.0,112.0,102.0,376.0,1018215.0,799.0,119.0
2020-04-22,851.0,195.0,129.0,107.0,439.0,1018334.0,949.0,150.0
2020-04-23,961.0,239.0,165.0,108.0,509.0,1018142.0,1129.0,180.0
2020-04-24,1136.0,262.0,208.0,149.0,599.0,1018145.0,1328.0,199.0
2020-04-25,1348.0,281.0,235.0,176.0,712.0,1018746.0,1527.0,199.0
2020-04-26,1511.0,356.0,262.0,207.0,832.0,1019082.0,1827.0,300.0
2020-04-27,1782.0,410.0,288.0,267.0,970.0,1017282.0,2136.0,309.0
2020-04-28,2238.0,507.0,368.0,296.0,1199.0,1016267.0,2508.0,372.0
2020-04-29,2660.0,569.0,468.0,336.0,1421.0,1015787.0,2929.0,421.0
2020-04-30,3158.0,667.0,516.0,417.0,1651.0,1015794.0,3453.0,524.0
2020-05-01,3683.0,805.0,607.0,517.0,1968.0,1014460.0,4074.0,621.0
2020-05-02,4415.0,932.0,715.0,593.0,2314.0,1013280.0,4781.0,707.0
2020-05-03,5272.0,1062.0,889.0,671.0,2703.0,1012132.0,5638.0,857.0
2020-05-04,6291.0,1313.0,1047.0,798.0,3157.0,1009427.0,6671.0,1033.0
2020-05-05,7432.0,1569.0,1234.0,993.0,3728.0,1006587.0,7902.0,1231.0
2020-05-06,8850.0,1940.0,1501.0,1134.0,4490.0,1004613.0,9412.0,1510.0
2020-05-07,10547.0,2359.0,1754.0,1402.0,5226.0,1001149.0,11238.0,1826.0
2020-05-08,12499.0,2627.0,2139.0,1660.0,6175.0,996935.0,13266.0,2028.0
2020-05-09,14667.0,3158.0,2488.0,1932.0,7363.0,992529.0,15768.0,2502.0
2020-05-10,17227.0,3654.0,2996.0,2350.0,8710.0,986575.0,18632.0,2864.0
2020-05-11,20280.0,4467.0,3396.0,2791.0,10341.0,981598.0,22083.0,3451.0
2020-05-12,23807.0,5178.0,4189.0,3284.0,12278.0,975294.0,26182.0,4099.0
2020-05-13,27846.0,6196.0,4827.0,3770.0,14661.0,966097.0,31043.0,4861.0
2020-05-14,32984.0,7300.0,5691.0,4502.0,17246.0,955521.0,36725.0,5682.0
2020-05-15,38581.0,8322.0,6805.0,5327.0,20351.0,944879.0,43276.0,6551.0
2020-05-16,45165.0,9858.0,7976.0,6200.0,24093.0,931277.0,50924.0,7648.0
2020-05-17,52498.0,11576.0,9377.0,7276.0,28247.0,916489.0,59897.0,8973.0
2020-05-18,61051.0,13515.0,10819.0,8626.0,33662.0,897098.0,70325.0,10428.0
2020-05-19,70523.0,15741.0,12491.0,10265.0,39573.0,876299.0,82433.0,12108.0
2020-05-20,80953.0,17994.0,14594.0,11644.0,46299.0,852966.0,96271.0,13838.0
2020-05-21,92439.0,20877.0,16870.0,13628.0,54691.0,826871.0,112255.0,15984.0
2020-05-22,104347.0,23946.0,19508.0,15893.0,63976.0,796429.0,130431.0,18176.0
2020-05-23,117113.0,26892.0,22548.0,18217.0,74983.0,764207.0,150956.0,20525.0
2020-05-24,130755.0,30506.0,25092.0,20929.0,87226.0,729782.0,173910.0,22954.0
2020-05-25,144765.0,34137.0,28931.0,23745.0,101479.0,691843.0,199697.0,25787.0
2020-05-26,159074.0,37616.0,32014.0,26881.0,117838.0,651848.0,227661.0,27964.0
2020-05-27,171820.0,41411.0,35474.0,30373.0,136309.0,609509.0,258373.0,30712.0
2020-05-28,183811.0,44994.0,39187.0,33656.0,156796.0,565478.0,291600.0,33227.0
2020-05-29,194196.0,48256.0,42693.0,37187.0,179522.0,521794.0,326745.0,35145.0
2020-05-30,203206.0,51146.0,46142.0,40581.0,204513.0,478251.0,363839.0,37094.0
2020-05-31,209364.0,53901.0,49126.0,44260.0,231106.0,435778.0,402440.0,38601.0
2020-06-01,212968.0,55868.0,51759.0,47266.0,260209.0,395593.0,442132.0,39692.0
2020-06-02,213689.0,57420.0,54157.0,49769.0,290674.0,357272.0,482569.0,40437.0
2020-06-03,212515.0,57679.0,55669.0,52159.0,324560.0,321819.0,522460.0,39891.0
2020-06-04,209013.0,57550.0,56529.0,54220.0,358371.0,288704.0,562163.0,39703.0
2020-06-05,203090.0,56564.0,56397.0,55114.0,393387.0,260471.0,600725.0,38562.0
2020-06-06,194755.0,55356.0,56174.0,55727.0,428662.0,234189.0,638092.0,37367.0
2020-06-07,185005.0,53945.0,55337.0,55969.0,464742.0,211107.0,674064.0,35972.0
2020-06-08,174577.0,51428.0,54102.0,55356.0,500458.0,190469.0,707982.0,33918.0
2020-06-09,163060.0,48483.0,51860.0,54312.0,534769.0,172737.0,739582.0,31600.0
2020-06-10,151530.0,45764.0,49855.0,52610.0,568223.0,157550.0,769463.0,29881.0
2020-06-11,140177.0,42835.0,46648.0,50753.0,601528.0,143954.0,797027.0,27564.0
2020-06-12,128699.0,39805.0,43810.0,47890.0,633985.0,131953.0,822535.0,25508.0
2020-06-13,117502.0,36814.0,41364.0,44861.0,663480.0,122280.0,845849.0,23314.0
2020-06-14,106193.0,33909.0,38333.0,42305.0,691975.0,114438.0,867121.0,21272.0
2020-06-15,96427.0,30602.0,35232.0,39233.0,718164.0,107141.0,886267.0,19146.0
2020-06-16,87014.0,27899.0,32544.0,36418.0,742422.0,100143.0,903702.0,17435.0
2020-06-17,78127.0,25361.0,29503.0,34104.0,764924.0,94771.0,919433.0,15731.0
2020-06-18,70224.0,22969.0,26654.0,30731.0,786359.0,90271.0,933541.0,14108.0
2020-06-19,63348.0,20889.0,24441.0,28005.0,804742.0,86615.0,946201.0,12660.0
2020-06-20,56533.0,18629.0,21758.0,25861.0,821349.0,83362.0,957639.0,11438.0
2020-06-21,50608.0,16747.0,20073.0,23466.0,837071.0,80298.0,967888.0,10249.0
2020-06-22,45191.0,14997.0,17828.0,21113.0,851254.0,77863.0,976985.0,9097.0
2020-06-23,40062.0,13275.0,16285.0,19140.0,864109.0,75571.0,985187.0,8202.0
2020-06-24,35523.0,11743.0,14457.0,17221.0,873755.0,73604.0,992294.0,7107.0
2020-06-25,31630.0,10525.0,12894.0,15463.0,884832.0,71750.0,998741.0,6447.0
2020-06-26,28074.0,9664.0,11475.0,14049.0,893730.0,69923.0,1004456.0,5715.0
2020-06-27,25214.0,8551.0,10190.0,12500.0,902584.0,68330.0,1009391.0,4935.0
2020-06-28,22312.0,7676.0,9156.0,11054.0,909657.0,67315.0,1013902.0,4511.0
2020-06-29,19893.0,6696.0,8184.0,9886.0,916329.0,66331.0,1017943.0,4041.0
2020-06-30,17560.0,5948.0,7134.0,8709.0,922424.0,65524.0,1021482.0,3539.0
2020-07-01,15479.0,5268.0,6552.0,7764.0,928455.0,64755.0,1024744.0,3262.0
2020-07-02,13676.0,4518.0,5805.0,6998.0,933792.0,64223.0,1027473.0,2729.0
2020-07-03,12049.0,3960.0,5177.0,6153.0,938765.0,63542.0,1029844.0,2371.0
2020-07-04,10713.0,3643.0,4499.0,5612.0,941854.0,63144.0,1032058.0,2214.0
2020-07-05,9451.0,3235.0,3938.0,4840.0,943643.0,62545.0,1034028.0,1970.0
2020-07-06,8404.0,2822.0,3451.0,4316.0,947321.0,62347.0,1035710.0,1682.0
