time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969980.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,972674.0,1.0,1.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,979045.0,1.0,0.0
2020-03-09,2.0,0.0,1.0,0.0,0.0,988046.0,1.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,993005.0,1.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,997046.0,2.0,1.0
2020-03-12,4.0,0.0,0.0,0.0,0.0,1000881.0,2.0,0.0
2020-03-13,6.0,0.0,0.0,1.0,1.0,1003472.0,2.0,0.0
2020-03-14,4.0,1.0,0.0,1.0,0.0,1004640.0,3.0,1.0
2020-03-15,1.0,2.0,1.0,1.0,1.0,1007263.0,5.0,2.0
2020-03-16,1.0,1.0,2.0,0.0,2.0,1008866.0,5.0,0.0
2020-03-17,2.0,1.0,2.0,1.0,2.0,1009865.0,5.0,0.0
2020-03-18,5.0,1.0,1.0,2.0,3.0,1009373.0,5.0,0.0
2020-03-19,5.0,0.0,2.0,1.0,3.0,1011734.0,5.0,0.0
2020-03-20,2.0,1.0,2.0,0.0,3.0,1011928.0,6.0,1.0
2020-03-21,7.0,1.0,1.0,0.0,3.0,1011137.0,6.0,0.0
2020-03-22,7.0,2.0,0.0,0.0,2.0,1012285.0,7.0,1.0
2020-03-23,6.0,2.0,0.0,0.0,2.0,1012783.0,8.0,1.0
2020-03-24,9.0,4.0,2.0,2.0,1.0,1014135.0,11.0,3.0
2020-03-25,9.0,2.0,0.0,2.0,4.0,1014390.0,12.0,1.0
2020-03-26,8.0,1.0,1.0,0.0,5.0,1014405.0,12.0,0.0
2020-03-27,11.0,1.0,2.0,2.0,7.0,1014778.0,13.0,1.0
2020-03-28,12.0,2.0,2.0,1.0,3.0,1015494.0,16.0,3.0
2020-03-29,12.0,2.0,4.0,2.0,6.0,1015435.0,20.0,4.0
2020-03-30,17.0,4.0,3.0,1.0,10.0,1014944.0,23.0,3.0
2020-03-31,22.0,2.0,4.0,3.0,11.0,1014145.0,27.0,4.0
2020-04-01,24.0,5.0,3.0,3.0,16.0,1014448.0,31.0,4.0
2020-04-02,25.0,6.0,4.0,1.0,17.0,1016803.0,35.0,4.0
2020-04-03,28.0,7.0,5.0,7.0,18.0,1017132.0,42.0,7.0
2020-04-04,35.0,7.0,7.0,4.0,24.0,1017465.0,51.0,9.0
2020-04-05,41.0,8.0,5.0,5.0,29.0,1017803.0,59.0,8.0
2020-04-06,36.0,7.0,2.0,9.0,27.0,1017583.0,63.0,4.0
2020-04-07,40.0,11.0,5.0,8.0,31.0,1018297.0,68.0,5.0
2020-04-08,46.0,9.0,11.0,6.0,39.0,1018165.0,76.0,8.0
2020-04-09,55.0,13.0,11.0,13.0,38.0,1017803.0,92.0,16.0
2020-04-10,80.0,16.0,10.0,11.0,50.0,1018126.0,106.0,14.0
2020-04-11,101.0,25.0,24.0,6.0,57.0,1019840.0,125.0,19.0
2020-04-12,110.0,25.0,24.0,14.0,68.0,1018919.0,144.0,19.0
2020-04-13,132.0,30.0,27.0,20.0,73.0,1018793.0,164.0,20.0
2020-04-14,151.0,38.0,31.0,22.0,86.0,1019289.0,188.0,24.0
2020-04-15,221.0,36.0,32.0,31.0,104.0,1019704.0,209.0,21.0
2020-04-16,242.0,49.0,41.0,33.0,142.0,1019449.0,252.0,43.0
2020-04-17,304.0,72.0,50.0,37.0,171.0,1018915.0,311.0,59.0
2020-04-18,364.0,76.0,70.0,61.0,194.0,1019661.0,375.0,64.0
2020-04-19,456.0,99.0,75.0,59.0,221.0,1020564.0,455.0,80.0
2020-04-20,556.0,124.0,89.0,76.0,266.0,1019453.0,551.0,96.0
2020-04-21,659.0,135.0,94.0,90.0,323.0,1018934.0,659.0,108.0
2020-04-22,772.0,169.0,131.0,107.0,390.0,1018854.0,779.0,120.0
2020-04-23,873.0,193.0,149.0,132.0,439.0,1019622.0,928.0,149.0
2020-04-24,1003.0,248.0,175.0,156.0,550.0,1020074.0,1106.0,178.0
2020-04-25,1206.0,301.0,224.0,148.0,627.0,1021050.0,1327.0,221.0
2020-04-26,1482.0,326.0,258.0,198.0,750.0,1021088.0,1573.0,246.0
2020-04-27,1738.0,389.0,333.0,232.0,861.0,1018911.0,1903.0,330.0
2020-04-28,2099.0,415.0,365.0,298.0,1038.0,1018882.0,2228.0,325.0
2020-04-29,2533.0,481.0,384.0,307.0,1235.0,1018554.0,2605.0,377.0
2020-04-30,2843.0,716.0,478.0,373.0,1464.0,1017116.0,3159.0,554.0
2020-05-01,3398.0,779.0,602.0,430.0,1735.0,1016195.0,3736.0,577.0
2020-05-02,4062.0,919.0,704.0,564.0,2039.0,1014963.0,4414.0,678.0
2020-05-03,4839.0,1052.0,906.0,623.0,2472.0,1012957.0,5238.0,824.0
2020-05-04,5769.0,1214.0,1025.0,779.0,2879.0,1011745.0,6196.0,958.0
2020-05-05,6880.0,1469.0,1152.0,879.0,3464.0,1009672.0,7371.0,1175.0
2020-05-06,8152.0,1801.0,1389.0,1055.0,4048.0,1008891.0,8788.0,1417.0
2020-05-07,9701.0,2083.0,1642.0,1235.0,4857.0,1004964.0,10401.0,1613.0
2020-05-08,11522.0,2442.0,1963.0,1452.0,5715.0,1001815.0,12322.0,1921.0
2020-05-09,13665.0,2978.0,2233.0,1779.0,6759.0,996721.0,14616.0,2294.0
2020-05-10,16019.0,3411.0,2762.0,2161.0,7929.0,991147.0,17355.0,2739.0
2020-05-11,18946.0,4031.0,3247.0,2540.0,9314.0,984833.0,20541.0,3186.0
2020-05-12,22428.0,4833.0,3872.0,2933.0,11172.0,978215.0,24350.0,3809.0
2020-05-13,25909.0,5769.0,4456.0,3623.0,13208.0,970133.0,28774.0,4424.0
2020-05-14,30374.0,6741.0,5338.0,4148.0,15785.0,961044.0,34012.0,5238.0
2020-05-15,35648.0,7861.0,6325.0,4871.0,18658.0,951176.0,40082.0,6070.0
2020-05-16,41878.0,9169.0,7393.0,5868.0,22016.0,938221.0,47170.0,7088.0
2020-05-17,48829.0,10881.0,8584.0,6785.0,25984.0,922581.0,55434.0,8264.0
2020-05-18,56440.0,12475.0,10130.0,8065.0,30444.0,906909.0,65121.0,9687.0
2020-05-19,65337.0,14582.0,11688.0,9452.0,36093.0,886597.0,76274.0,11153.0
