time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969620.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,973050.0,0.0,0.0
2020-03-08,0.0,0.0,1.0,0.0,1.0,979276.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,1.0,985402.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,1.0,990888.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,1.0,995518.0,0.0,0.0
2020-03-12,0.0,1.0,0.0,0.0,1.0,999736.0,1.0,1.0
2020-03-13,0.0,1.0,0.0,0.0,1.0,1003564.0,1.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1004757.0,1.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1006742.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1007873.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1009485.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,1011400.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,1.0,0.0,1011534.0,1.0,0.0
2020-03-20,1.0,0.0,0.0,1.0,0.0,1011837.0,1.0,0.0
2020-03-21,2.0,1.0,0.0,0.0,0.0,1011851.0,1.0,0.0
2020-03-22,2.0,0.0,1.0,0.0,0.0,1012699.0,1.0,0.0
2020-03-23,3.0,0.0,0.0,1.0,1.0,1012556.0,1.0,0.0
2020-03-24,3.0,0.0,0.0,1.0,1.0,1013790.0,1.0,0.0
2020-03-25,2.0,2.0,0.0,0.0,2.0,1013497.0,2.0,1.0
2020-03-26,3.0,3.0,0.0,0.0,2.0,1013530.0,4.0,2.0
2020-03-27,4.0,3.0,0.0,0.0,1.0,1014103.0,5.0,1.0
2020-03-28,7.0,5.0,1.0,2.0,4.0,1014142.0,8.0,3.0
2020-03-29,10.0,7.0,3.0,0.0,6.0,1014261.0,11.0,3.0
2020-03-30,12.0,8.0,3.0,3.0,4.0,1015517.0,17.0,6.0
2020-03-31,14.0,3.0,3.0,3.0,6.0,1015990.0,17.0,0.0
2020-04-01,17.0,2.0,1.0,2.0,9.0,1015293.0,18.0,1.0
2020-04-02,16.0,6.0,3.0,2.0,9.0,1016073.0,24.0,6.0
2020-04-03,22.0,6.0,4.0,3.0,10.0,1015320.0,28.0,4.0
2020-04-04,28.0,3.0,6.0,2.0,12.0,1015837.0,30.0,2.0
2020-04-05,37.0,6.0,4.0,6.0,14.0,1017231.0,33.0,3.0
2020-04-06,38.0,12.0,8.0,3.0,20.0,1017760.0,44.0,11.0
2020-04-07,42.0,7.0,11.0,6.0,23.0,1017514.0,50.0,6.0
2020-04-08,54.0,12.0,12.0,7.0,22.0,1017884.0,59.0,9.0
2020-04-09,72.0,12.0,7.0,10.0,34.0,1017112.0,69.0,10.0
2020-04-10,86.0,14.0,11.0,8.0,44.0,1017275.0,83.0,14.0
2020-04-11,105.0,19.0,9.0,7.0,49.0,1017467.0,98.0,15.0
2020-04-12,125.0,28.0,20.0,15.0,49.0,1017120.0,120.0,22.0
2020-04-13,136.0,21.0,27.0,19.0,75.0,1017479.0,140.0,20.0
2020-04-14,171.0,29.0,22.0,31.0,80.0,1017163.0,165.0,25.0
2020-04-15,200.0,59.0,35.0,23.0,102.0,1018463.0,220.0,55.0
2020-04-16,232.0,61.0,42.0,31.0,114.0,1017996.0,264.0,44.0
2020-04-17,271.0,71.0,47.0,37.0,148.0,1018374.0,318.0,54.0
2020-04-18,325.0,73.0,51.0,39.0,182.0,1018482.0,366.0,48.0
2020-04-19,356.0,83.0,68.0,54.0,191.0,1020190.0,432.0,66.0
2020-04-20,411.0,110.0,81.0,61.0,221.0,1019695.0,523.0,91.0
2020-04-21,503.0,118.0,75.0,81.0,280.0,1018738.0,599.0,76.0
2020-04-22,630.0,120.0,110.0,88.0,321.0,1019290.0,687.0,88.0
2020-04-23,776.0,150.0,113.0,118.0,379.0,1018719.0,804.0,117.0
2020-04-24,951.0,208.0,154.0,119.0,440.0,1019265.0,971.0,167.0
2020-04-25,1135.0,240.0,187.0,156.0,552.0,1018497.0,1164.0,193.0
2020-04-26,1326.0,296.0,212.0,183.0,661.0,1018440.0,1386.0,222.0
2020-04-27,1584.0,347.0,283.0,219.0,774.0,1017933.0,1650.0,264.0
2020-04-28,1794.0,406.0,308.0,250.0,933.0,1018062.0,1965.0,315.0
2020-04-29,2192.0,471.0,376.0,307.0,1131.0,1017246.0,2340.0,375.0
2020-04-30,2618.0,593.0,452.0,341.0,1359.0,1016488.0,2829.0,489.0
2020-05-01,3100.0,688.0,552.0,429.0,1509.0,1016157.0,3369.0,540.0
2020-05-02,3745.0,803.0,640.0,487.0,1820.0,1015037.0,3999.0,630.0
2020-05-03,4433.0,916.0,742.0,589.0,2155.0,1013737.0,4737.0,738.0
2020-05-04,5212.0,1079.0,884.0,686.0,2543.0,1012186.0,5574.0,837.0
2020-05-05,6065.0,1317.0,1030.0,792.0,3035.0,1009429.0,6600.0,1026.0
2020-05-06,7307.0,1546.0,1229.0,969.0,3589.0,1006844.0,7812.0,1212.0
2020-05-07,8616.0,1921.0,1463.0,1169.0,4251.0,1004468.0,9355.0,1543.0
2020-05-08,10240.0,2234.0,1739.0,1361.0,5074.0,1001832.0,11076.0,1721.0
2020-05-09,12165.0,2691.0,2061.0,1609.0,6053.0,997187.0,13172.0,2096.0
2020-05-10,14609.0,3141.0,2523.0,1986.0,7177.0,993916.0,15657.0,2485.0
2020-05-11,17387.0,3704.0,2868.0,2386.0,8639.0,988564.0,18510.0,2853.0
2020-05-12,20407.0,4381.0,3409.0,2884.0,10374.0,983789.0,21945.0,3435.0
2020-05-13,24035.0,5296.0,4011.0,3290.0,12397.0,974784.0,26061.0,4116.0
2020-05-14,28315.0,6148.0,4927.0,3884.0,14673.0,965542.0,30832.0,4771.0
2020-05-15,33517.0,7345.0,5684.0,4597.0,17250.0,955873.0,36478.0,5646.0
2020-05-16,39044.0,8480.0,6702.0,5389.0,20343.0,943382.0,42987.0,6509.0
2020-05-17,45797.0,9945.0,8088.0,6247.0,24086.0,929098.0,50701.0,7714.0
2020-05-18,53312.0,11776.0,9347.0,7568.0,28416.0,912484.0,59892.0,9191.0
2020-05-19,61676.0,13792.0,10981.0,8739.0,33661.0,894475.0,70560.0,10668.0
2020-05-20,71230.0,15729.0,12934.0,10156.0,39890.0,874476.0,82628.0,12068.0
2020-05-21,81690.0,18329.0,14637.0,12091.0,46882.0,851021.0,96665.0,14037.0
2020-05-22,93137.0,21035.0,17078.0,13766.0,55003.0,824793.0,112691.0,16026.0
2020-05-23,106003.0,24340.0,19815.0,16431.0,64544.0,795691.0,131265.0,18574.0
2020-05-24,119360.0,27505.0,22718.0,18661.0,76023.0,762596.0,152046.0,20781.0
2020-05-25,133058.0,31117.0,25548.0,21046.0,88549.0,726966.0,175415.0,23369.0
2020-05-26,146742.0,34428.0,28812.0,23979.0,102894.0,687519.0,201171.0,25756.0
2020-05-27,160225.0,37994.0,32385.0,26991.0,119827.0,647113.0,229463.0,28292.0
2020-05-28,173575.0,41719.0,35978.0,30398.0,138312.0,604746.0,260633.0,31170.0
2020-05-29,185995.0,45486.0,39673.0,34030.0,159063.0,559728.0,294192.0,33559.0
2020-05-30,196643.0,49157.0,43392.0,37762.0,182789.0,516005.0,330167.0,35975.0
2020-05-31,204071.0,52101.0,46952.0,41340.0,207534.0,472539.0,367884.0,37717.0
2020-06-01,211059.0,54378.0,49631.0,44839.0,235660.0,429351.0,406836.0,38952.0
