time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970304.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,0.0,0.0,973065.0,0.0,0.0
2020-03-08,6.0,0.0,0.0,1.0,0.0,980389.0,0.0,0.0
2020-03-09,5.0,0.0,0.0,1.0,0.0,987167.0,0.0,0.0
2020-03-10,4.0,0.0,0.0,0.0,1.0,993096.0,0.0,0.0
2020-03-11,3.0,1.0,0.0,0.0,1.0,997935.0,1.0,1.0
2020-03-12,2.0,0.0,1.0,1.0,1.0,1001474.0,1.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,1.0,1004922.0,2.0,1.0
2020-03-14,4.0,0.0,1.0,1.0,0.0,1005709.0,2.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,2.0,1007976.0,2.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,3.0,1009534.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,3.0,1010897.0,2.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,2.0,1012140.0,2.0,0.0
2020-03-19,7.0,1.0,0.0,0.0,1.0,1014896.0,2.0,0.0
2020-03-20,5.0,3.0,1.0,0.0,3.0,1015016.0,5.0,3.0
2020-03-21,8.0,1.0,1.0,1.0,3.0,1014574.0,5.0,0.0
2020-03-22,9.0,2.0,0.0,0.0,3.0,1013716.0,7.0,2.0
2020-03-23,11.0,2.0,1.0,1.0,4.0,1013816.0,9.0,2.0
2020-03-24,9.0,2.0,1.0,0.0,2.0,1015162.0,10.0,1.0
2020-03-25,10.0,1.0,0.0,1.0,6.0,1014095.0,12.0,2.0
2020-03-26,9.0,2.0,0.0,2.0,5.0,1014195.0,13.0,1.0
2020-03-27,8.0,0.0,1.0,3.0,6.0,1013870.0,13.0,0.0
2020-03-28,10.0,4.0,0.0,4.0,8.0,1015408.0,16.0,3.0
2020-03-29,15.0,7.0,0.0,2.0,11.0,1015651.0,20.0,4.0
2020-03-30,24.0,8.0,3.0,2.0,10.0,1015303.0,23.0,3.0
2020-03-31,28.0,10.0,3.0,4.0,11.0,1016991.0,28.0,5.0
2020-04-01,25.0,5.0,5.0,5.0,17.0,1017484.0,33.0,5.0
2020-04-02,40.0,6.0,9.0,7.0,23.0,1017621.0,43.0,10.0
2020-04-03,48.0,8.0,9.0,7.0,24.0,1016740.0,54.0,11.0
2020-04-04,61.0,12.0,8.0,11.0,25.0,1017824.0,65.0,11.0
2020-04-05,66.0,17.0,6.0,12.0,26.0,1016559.0,75.0,10.0
2020-04-06,83.0,17.0,15.0,5.0,28.0,1017314.0,83.0,8.0
2020-04-07,86.0,22.0,16.0,10.0,39.0,1016804.0,100.0,17.0
2020-04-08,108.0,23.0,16.0,15.0,49.0,1016704.0,111.0,11.0
