time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970156.0,0.0,0.0
2020-03-07,1.0,1.0,2.0,0.0,0.0,972977.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,4.0,0.0,979429.0,1.0,1.0
2020-03-09,3.0,0.0,0.0,1.0,2.0,987581.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,1.0,992879.0,1.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,2.0,997248.0,2.0,1.0
2020-03-12,1.0,1.0,0.0,0.0,2.0,1000967.0,3.0,1.0
2020-03-13,2.0,0.0,0.0,0.0,3.0,1003716.0,3.0,0.0
2020-03-14,4.0,0.0,1.0,1.0,3.0,1006512.0,3.0,0.0
2020-03-15,1.0,1.0,0.0,2.0,2.0,1008865.0,4.0,1.0
2020-03-16,1.0,0.0,1.0,2.0,3.0,1009298.0,4.0,0.0
2020-03-17,1.0,0.0,1.0,0.0,5.0,1010303.0,4.0,0.0
2020-03-18,2.0,1.0,1.0,1.0,3.0,1011612.0,5.0,1.0
2020-03-19,2.0,2.0,0.0,1.0,3.0,1012035.0,5.0,0.0
2020-03-20,2.0,0.0,2.0,1.0,1.0,1013520.0,6.0,1.0
2020-03-21,2.0,0.0,1.0,1.0,2.0,1013056.0,7.0,1.0
2020-03-22,4.0,1.0,1.0,1.0,2.0,1014488.0,8.0,1.0
2020-03-23,6.0,0.0,1.0,0.0,1.0,1014526.0,9.0,1.0
2020-03-24,7.0,4.0,1.0,1.0,4.0,1014405.0,13.0,4.0
2020-03-25,10.0,2.0,2.0,1.0,3.0,1015424.0,13.0,0.0
2020-03-26,11.0,4.0,0.0,1.0,5.0,1015226.0,15.0,2.0
2020-03-27,11.0,4.0,3.0,1.0,6.0,1015315.0,19.0,4.0
2020-03-28,15.0,3.0,2.0,6.0,5.0,1016055.0,20.0,1.0
2020-03-29,15.0,4.0,2.0,6.0,10.0,1016336.0,22.0,2.0
2020-03-30,20.0,3.0,11.0,5.0,14.0,1015754.0,26.0,4.0
2020-03-31,26.0,5.0,8.0,3.0,12.0,1014866.0,30.0,4.0
2020-04-01,40.0,7.0,7.0,4.0,16.0,1015411.0,34.0,4.0
2020-04-02,40.0,7.0,6.0,10.0,12.0,1016028.0,37.0,3.0
2020-04-03,51.0,12.0,5.0,8.0,17.0,1015964.0,47.0,10.0
2020-04-04,57.0,11.0,9.0,6.0,26.0,1016535.0,56.0,9.0
2020-04-05,67.0,12.0,17.0,5.0,34.0,1017713.0,66.0,10.0
2020-04-06,78.0,12.0,13.0,14.0,34.0,1017431.0,79.0,13.0
2020-04-07,97.0,20.0,9.0,16.0,51.0,1017459.0,94.0,15.0
2020-04-08,127.0,18.0,19.0,7.0,53.0,1018371.0,109.0,15.0
2020-04-09,137.0,28.0,22.0,16.0,62.0,1019677.0,135.0,26.0
2020-04-10,151.0,30.0,30.0,21.0,76.0,1019688.0,165.0,30.0
2020-04-11,191.0,34.0,31.0,25.0,94.0,1019424.0,189.0,24.0
2020-04-12,204.0,38.0,32.0,24.0,103.0,1019141.0,221.0,32.0
2020-04-13,264.0,41.0,42.0,28.0,117.0,1018538.0,253.0,32.0
2020-04-14,291.0,52.0,53.0,43.0,143.0,1019390.0,305.0,52.0
2020-04-15,327.0,67.0,58.0,43.0,181.0,1019486.0,365.0,60.0
2020-04-16,421.0,84.0,67.0,53.0,222.0,1020751.0,433.0,68.0
2020-04-17,460.0,90.0,75.0,63.0,268.0,1020055.0,510.0,77.0
2020-04-18,535.0,131.0,78.0,67.0,313.0,1020998.0,608.0,98.0
2020-04-19,642.0,152.0,97.0,81.0,349.0,1021274.0,719.0,111.0
2020-04-20,722.0,175.0,127.0,95.0,402.0,1020137.0,841.0,122.0
2020-04-21,913.0,167.0,155.0,140.0,453.0,1018823.0,975.0,134.0
2020-04-22,1041.0,223.0,166.0,146.0,557.0,1019688.0,1147.0,172.0
2020-04-23,1232.0,262.0,203.0,169.0,628.0,1019657.0,1366.0,219.0
2020-04-24,1492.0,337.0,231.0,197.0,775.0,1018837.0,1610.0,244.0
2020-04-25,1732.0,406.0,315.0,218.0,931.0,1017424.0,1923.0,313.0
2020-04-26,2105.0,467.0,328.0,273.0,1088.0,1018075.0,2268.0,345.0
2020-04-27,2558.0,568.0,402.0,340.0,1235.0,1017847.0,2695.0,427.0
2020-04-28,3060.0,648.0,523.0,406.0,1477.0,1016561.0,3211.0,516.0
2020-04-29,3663.0,771.0,606.0,470.0,1743.0,1014932.0,3821.0,610.0
2020-04-30,4434.0,924.0,681.0,543.0,2058.0,1015474.0,4530.0,709.0
2020-05-01,5131.0,1063.0,866.0,685.0,2510.0,1013290.0,5367.0,837.0
