time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970798.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,0.0,0.0,973863.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,980482.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,987059.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,993219.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997315.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000532.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1002901.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1004823.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1005905.0,0.0,0.0
2020-03-16,3.0,0.0,1.0,0.0,2.0,1007627.0,0.0,0.0
2020-03-17,6.0,0.0,1.0,1.0,2.0,1009890.0,0.0,0.0
2020-03-18,9.0,0.0,0.0,1.0,2.0,1010856.0,0.0,0.0
2020-03-19,8.0,2.0,1.0,0.0,1.0,1012146.0,3.0,3.0
2020-03-20,8.0,3.0,0.0,0.0,2.0,1013135.0,4.0,1.0
2020-03-21,10.0,2.0,2.0,1.0,2.0,1013316.0,6.0,2.0
2020-03-22,10.0,4.0,2.0,3.0,3.0,1013521.0,8.0,2.0
2020-03-23,14.0,3.0,3.0,1.0,3.0,1013682.0,10.0,2.0
2020-03-24,16.0,1.0,5.0,0.0,4.0,1013406.0,13.0,3.0
2020-03-25,17.0,8.0,2.0,2.0,9.0,1012748.0,18.0,5.0
2020-03-26,13.0,5.0,7.0,0.0,10.0,1013932.0,22.0,4.0
2020-03-27,28.0,5.0,5.0,4.0,8.0,1014722.0,25.0,3.0
2020-03-28,31.0,7.0,4.0,7.0,7.0,1015093.0,33.0,8.0
2020-03-29,40.0,10.0,8.0,7.0,10.0,1016033.0,41.0,8.0
2020-03-30,51.0,13.0,8.0,6.0,13.0,1015613.0,49.0,8.0
2020-03-31,61.0,13.0,10.0,9.0,22.0,1016789.0,55.0,6.0
2020-04-01,69.0,16.0,10.0,6.0,25.0,1016283.0,68.0,13.0
2020-04-02,74.0,14.0,18.0,8.0,33.0,1016394.0,77.0,9.0
2020-04-03,81.0,24.0,19.0,5.0,39.0,1017731.0,97.0,20.0
2020-04-04,102.0,15.0,24.0,11.0,44.0,1015692.0,110.0,13.0
2020-04-05,97.0,27.0,21.0,16.0,45.0,1016769.0,136.0,26.0
2020-04-06,113.0,27.0,14.0,16.0,53.0,1017251.0,152.0,16.0
2020-04-07,144.0,19.0,28.0,15.0,69.0,1018680.0,165.0,13.0
2020-04-08,167.0,35.0,30.0,15.0,79.0,1018655.0,189.0,24.0
2020-04-09,194.0,41.0,38.0,24.0,93.0,1018817.0,220.0,31.0
2020-04-10,229.0,50.0,31.0,32.0,109.0,1018309.0,251.0,31.0
2020-04-11,253.0,46.0,52.0,32.0,125.0,1019299.0,292.0,41.0
2020-04-12,318.0,62.0,61.0,41.0,150.0,1019575.0,351.0,59.0
2020-04-13,377.0,78.0,64.0,51.0,186.0,1018616.0,424.0,73.0
2020-04-14,442.0,103.0,64.0,51.0,220.0,1019078.0,494.0,70.0
2020-04-15,525.0,102.0,92.0,56.0,231.0,1018701.0,570.0,76.0
2020-04-16,610.0,141.0,95.0,72.0,287.0,1019487.0,693.0,123.0
2020-04-17,733.0,171.0,109.0,93.0,340.0,1020483.0,825.0,132.0
2020-04-18,860.0,213.0,159.0,95.0,393.0,1020358.0,987.0,162.0
2020-04-19,978.0,221.0,158.0,126.0,442.0,1019055.0,1139.0,152.0
2020-04-20,1192.0,260.0,208.0,149.0,528.0,1019146.0,1328.0,189.0
2020-04-21,1428.0,289.0,243.0,195.0,650.0,1018219.0,1559.0,231.0
2020-04-22,1673.0,344.0,305.0,214.0,780.0,1018395.0,1838.0,279.0
2020-04-23,2012.0,405.0,339.0,249.0,947.0,1017498.0,2168.0,330.0
2020-04-24,2298.0,502.0,357.0,302.0,1062.0,1017267.0,2559.0,391.0
2020-04-25,2728.0,576.0,422.0,383.0,1257.0,1015966.0,3007.0,448.0
2020-04-26,3196.0,663.0,527.0,443.0,1537.0,1014682.0,3523.0,516.0
2020-04-27,3652.0,867.0,636.0,473.0,1792.0,1014644.0,4210.0,687.0
2020-04-28,4376.0,952.0,732.0,610.0,2105.0,1014114.0,4921.0,711.0
2020-04-29,5194.0,1077.0,882.0,692.0,2545.0,1012056.0,5752.0,831.0
2020-04-30,6087.0,1369.0,1004.0,846.0,2983.0,1011682.0,6821.0,1069.0
2020-05-01,7257.0,1586.0,1246.0,950.0,3530.0,1009887.0,8080.0,1259.0
2020-05-02,8531.0,1874.0,1432.0,1146.0,4296.0,1006121.0,9538.0,1458.0
2020-05-03,9993.0,2187.0,1685.0,1352.0,5059.0,1002351.0,11242.0,1704.0
2020-05-04,11784.0,2610.0,2016.0,1574.0,5913.0,998865.0,13295.0,2053.0
2020-05-05,14228.0,3051.0,2435.0,1848.0,7066.0,994957.0,15667.0,2372.0
2020-05-06,16718.0,3603.0,2837.0,2156.0,8322.0,990115.0,18524.0,2857.0
2020-05-07,19690.0,4195.0,3375.0,2585.0,9889.0,984953.0,21788.0,3264.0
2020-05-08,23012.0,5032.0,3920.0,3102.0,11641.0,976873.0,25732.0,3944.0
2020-05-09,27128.0,5957.0,4653.0,3661.0,13643.0,967923.0,30353.0,4621.0
2020-05-10,31731.0,6881.0,5567.0,4356.0,16017.0,958496.0,35751.0,5398.0
2020-05-11,36856.0,8114.0,6444.0,5060.0,19174.0,946951.0,42088.0,6337.0
2020-05-12,42625.0,9410.0,7482.0,5916.0,22663.0,933135.0,49442.0,7354.0
2020-05-13,49919.0,11024.0,8846.0,6955.0,26604.0,918850.0,58003.0,8561.0
2020-05-14,58053.0,12792.0,10204.0,8168.0,31436.0,902391.0,67759.0,9756.0
2020-05-15,67084.0,14831.0,12142.0,9443.0,37443.0,883486.0,79330.0,11571.0
2020-05-16,77337.0,17450.0,13926.0,11064.0,43975.0,861059.0,92791.0,13461.0
2020-05-17,88482.0,19977.0,16268.0,12770.0,51196.0,836316.0,108050.0,15259.0
2020-05-18,100452.0,23076.0,18654.0,14959.0,60104.0,806907.0,125536.0,17486.0
2020-05-19,113236.0,26153.0,21430.0,17392.0,71164.0,776003.0,145241.0,19705.0
2020-05-20,127015.0,29233.0,24423.0,20213.0,82832.0,741180.0,167542.0,22301.0
2020-05-21,140621.0,32675.0,27610.0,22912.0,96303.0,704220.0,192344.0,24802.0
2020-05-22,154848.0,36532.0,30921.0,25893.0,111890.0,665545.0,219910.0,27566.0
2020-05-23,167985.0,40271.0,34770.0,29370.0,129134.0,624201.0,249613.0,29703.0
2020-05-24,180914.0,44192.0,38209.0,32756.0,149105.0,581210.0,282365.0,32752.0
2020-05-25,191462.0,47631.0,41786.0,36129.0,170804.0,536671.0,317270.0,34905.0
2020-05-26,200770.0,50841.0,45301.0,39116.0,195155.0,493964.0,354316.0,37046.0
2020-05-27,208495.0,53469.0,48432.0,43206.0,221599.0,450833.0,392396.0,38080.0
2020-05-28,212990.0,55603.0,51075.0,46335.0,249440.0,409673.0,432022.0,39626.0
2020-05-29,214922.0,56939.0,53737.0,49103.0,280943.0,370897.0,472193.0,40171.0
2020-05-30,214135.0,58076.0,55001.0,51705.0,312978.0,333689.0,512650.0,40457.0
2020-05-31,210656.0,58205.0,56609.0,53388.0,347057.0,300131.0,552662.0,40012.0
2020-06-01,205346.0,57336.0,56903.0,55035.0,381881.0,269000.0,591848.0,39186.0
2020-06-02,197587.0,56765.0,56421.0,55958.0,416498.0,242950.0,630169.0,38321.0
2020-06-03,188820.0,54636.0,55936.0,56497.0,451915.0,218751.0,666587.0,36418.0
2020-06-04,178816.0,52363.0,54743.0,56194.0,487019.0,196987.0,701324.0,34737.0
2020-06-05,168019.0,49773.0,52747.0,55005.0,521389.0,177959.0,733963.0,32639.0
2020-06-06,156432.0,47376.0,50561.0,53159.0,556986.0,161813.0,764695.0,30732.0
2020-06-07,144470.0,44082.0,48235.0,50866.0,591065.0,147667.0,793190.0,28495.0
2020-06-08,132657.0,41218.0,45490.0,48516.0,622198.0,135882.0,819562.0,26372.0
2020-06-09,121276.0,37613.0,42258.0,46410.0,652231.0,125633.0,843645.0,24083.0
2020-06-10,110157.0,34838.0,39490.0,43533.0,680789.0,117027.0,865908.0,22263.0
2020-06-11,99770.0,31806.0,36606.0,40576.0,707944.0,109063.0,885715.0,19807.0
2020-06-12,90801.0,29054.0,33528.0,37532.0,732270.0,102490.0,903931.0,18216.0
2020-06-13,81785.0,26388.0,30396.0,34980.0,756079.0,96853.0,920404.0,16473.0
2020-06-14,73540.0,23767.0,27503.0,32012.0,778367.0,91883.0,935149.0,14745.0
2020-06-15,66024.0,21504.0,25050.0,29264.0,797898.0,87923.0,948382.0,13233.0
2020-06-16,58804.0,19582.0,22770.0,26576.0,815646.0,84072.0,960439.0,12057.0
2020-06-17,52841.0,17403.0,20662.0,24280.0,830925.0,81145.0,971126.0,10687.0
2020-06-18,47432.0,15598.0,18619.0,22120.0,844814.0,78081.0,980724.0,9598.0
2020-06-19,42426.0,14008.0,16730.0,20143.0,858429.0,75373.0,989237.0,8513.0
2020-06-20,37901.0,12546.0,15032.0,18086.0,870874.0,73560.0,996836.0,7599.0
2020-06-21,33561.0,11221.0,13689.0,16135.0,880656.0,71567.0,1003681.0,6845.0
2020-06-22,29630.0,10046.0,12010.0,14620.0,890891.0,70149.0,1009673.0,5992.0
2020-06-23,26305.0,8953.0,10599.0,12950.0,900984.0,68785.0,1015014.0,5341.0
2020-06-24,23421.0,7879.0,9575.0,11596.0,909183.0,67666.0,1019652.0,4638.0
2020-06-25,20653.0,6985.0,8468.0,10303.0,914300.0,66777.0,1023878.0,4226.0
2020-06-26,18417.0,6244.0,7676.0,9095.0,919988.0,65595.0,1027604.0,3726.0
2020-06-27,16296.0,5596.0,6647.0,8370.0,925910.0,64771.0,1030952.0,3348.0
2020-06-28,14455.0,4854.0,5970.0,7255.0,930542.0,64163.0,1033929.0,2977.0
2020-06-29,12795.0,4295.0,5297.0,6563.0,935784.0,63625.0,1036564.0,2635.0
2020-06-30,11263.0,3828.0,4636.0,5802.0,938699.0,63018.0,1038910.0,2346.0
2020-07-01,9906.0,3449.0,4252.0,5045.0,943024.0,62523.0,1040954.0,2044.0
2020-07-02,8704.0,2985.0,3762.0,4413.0,945269.0,62174.0,1042720.0,1766.0
2020-07-03,7654.0,2678.0,3228.0,4013.0,947494.0,61600.0,1044323.0,1603.0
2020-07-04,6825.0,2343.0,2872.0,3527.0,949308.0,61337.0,1045671.0,1348.0
2020-07-05,6120.0,2044.0,2638.0,3084.0,951337.0,61197.0,1046913.0,1242.0
2020-07-06,5404.0,1802.0,2292.0,2723.0,952138.0,60887.0,1048019.0,1106.0
