time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970320.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0,0.0,972863.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,1.0,0.0,979672.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,2.0,987084.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992623.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,997407.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,1001361.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,3.0,1002946.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,3.0,1005548.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,4.0,1005568.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,3.0,1006183.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,4.0,1008787.0,0.0,0.0
2020-03-18,3.0,1.0,1.0,0.0,3.0,1010166.0,1.0,1.0
2020-03-19,4.0,0.0,0.0,0.0,3.0,1012215.0,1.0,0.0
2020-03-20,5.0,0.0,0.0,0.0,1.0,1012340.0,1.0,0.0
2020-03-21,5.0,0.0,0.0,0.0,2.0,1012430.0,1.0,0.0
2020-03-22,4.0,1.0,1.0,0.0,3.0,1012897.0,2.0,1.0
2020-03-23,4.0,0.0,2.0,0.0,5.0,1014064.0,2.0,0.0
2020-03-24,3.0,1.0,1.0,1.0,4.0,1013335.0,3.0,1.0
2020-03-25,5.0,0.0,2.0,1.0,3.0,1014003.0,4.0,1.0
2020-03-26,8.0,0.0,0.0,2.0,5.0,1014433.0,5.0,1.0
2020-03-27,12.0,1.0,0.0,2.0,7.0,1016354.0,6.0,1.0
2020-03-28,9.0,1.0,2.0,2.0,8.0,1014129.0,7.0,1.0
2020-03-29,11.0,4.0,1.0,3.0,5.0,1014417.0,10.0,3.0
2020-03-30,14.0,6.0,2.0,2.0,7.0,1014955.0,16.0,6.0
2020-03-31,17.0,6.0,4.0,2.0,5.0,1015078.0,21.0,5.0
2020-04-01,18.0,10.0,5.0,1.0,8.0,1015386.0,26.0,5.0
