time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970246.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,1.0,0.0,971916.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,1.0,0.0,979112.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,0.0,1.0,986532.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,1.0,992545.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,996822.0,1.0,0.0
2020-03-12,3.0,1.0,0.0,0.0,0.0,1001065.0,1.0,0.0
2020-03-13,3.0,0.0,0.0,1.0,2.0,1002942.0,1.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,1.0,1004198.0,2.0,1.0
2020-03-15,7.0,0.0,1.0,1.0,0.0,1006379.0,2.0,0.0
2020-03-16,4.0,0.0,0.0,2.0,0.0,1007473.0,2.0,0.0
2020-03-17,5.0,1.0,2.0,1.0,0.0,1010075.0,5.0,3.0
2020-03-18,6.0,1.0,2.0,1.0,1.0,1011301.0,6.0,1.0
2020-03-19,4.0,0.0,2.0,2.0,0.0,1013343.0,6.0,0.0
2020-03-20,6.0,0.0,2.0,0.0,3.0,1013146.0,7.0,1.0
2020-03-21,8.0,3.0,1.0,1.0,0.0,1013360.0,10.0,3.0
2020-03-22,6.0,1.0,1.0,3.0,4.0,1013721.0,10.0,0.0
2020-03-23,8.0,1.0,0.0,5.0,4.0,1013415.0,11.0,1.0
2020-03-24,7.0,3.0,2.0,1.0,6.0,1013102.0,13.0,2.0
2020-03-25,8.0,1.0,0.0,0.0,7.0,1015999.0,13.0,0.0
2020-03-26,13.0,1.0,1.0,2.0,5.0,1015396.0,14.0,1.0
2020-03-27,11.0,2.0,1.0,1.0,7.0,1014261.0,15.0,1.0
2020-03-28,12.0,1.0,1.0,1.0,9.0,1013804.0,17.0,2.0
2020-03-29,18.0,2.0,2.0,1.0,7.0,1013670.0,18.0,1.0
2020-03-30,21.0,2.0,3.0,0.0,8.0,1014839.0,19.0,1.0
2020-03-31,21.0,3.0,8.0,3.0,11.0,1014792.0,24.0,5.0
2020-04-01,29.0,6.0,6.0,5.0,15.0,1014130.0,30.0,6.0
2020-04-02,32.0,12.0,1.0,5.0,18.0,1014933.0,40.0,10.0
2020-04-03,33.0,12.0,4.0,4.0,20.0,1015124.0,47.0,7.0
2020-04-04,57.0,11.0,15.0,3.0,30.0,1016021.0,53.0,6.0
2020-04-05,63.0,17.0,12.0,7.0,28.0,1015600.0,67.0,14.0
2020-04-06,78.0,15.0,14.0,9.0,36.0,1015198.0,81.0,14.0
2020-04-07,84.0,27.0,12.0,10.0,44.0,1015994.0,101.0,20.0
2020-04-08,104.0,24.0,16.0,18.0,48.0,1016325.0,120.0,19.0
2020-04-09,145.0,21.0,19.0,22.0,55.0,1017193.0,134.0,14.0
2020-04-10,166.0,31.0,15.0,20.0,66.0,1016298.0,161.0,27.0
2020-04-11,168.0,45.0,23.0,22.0,71.0,1017081.0,197.0,36.0
2020-04-12,219.0,46.0,46.0,27.0,86.0,1018632.0,228.0,31.0
2020-04-13,269.0,69.0,45.0,42.0,106.0,1019176.0,276.0,48.0
2020-04-14,297.0,76.0,55.0,51.0,124.0,1018451.0,335.0,59.0
2020-04-15,387.0,90.0,82.0,48.0,160.0,1019199.0,406.0,71.0
2020-04-16,449.0,103.0,63.0,72.0,197.0,1018589.0,479.0,73.0
2020-04-17,497.0,126.0,82.0,64.0,235.0,1018974.0,570.0,91.0
2020-04-18,599.0,132.0,106.0,76.0,270.0,1019185.0,675.0,105.0
2020-04-19,760.0,154.0,128.0,109.0,335.0,1019158.0,797.0,122.0
2020-04-20,872.0,202.0,137.0,119.0,415.0,1019142.0,946.0,149.0
2020-04-21,1027.0,233.0,162.0,126.0,523.0,1018463.0,1129.0,183.0
2020-04-22,1241.0,285.0,222.0,168.0,585.0,1017681.0,1345.0,216.0
2020-04-23,1489.0,325.0,252.0,212.0,731.0,1017816.0,1588.0,243.0
2020-04-24,1800.0,367.0,334.0,243.0,902.0,1016630.0,1894.0,306.0
2020-04-25,2111.0,444.0,363.0,302.0,1045.0,1014922.0,2213.0,319.0
2020-04-26,2477.0,565.0,381.0,354.0,1240.0,1016276.0,2633.0,420.0
2020-04-27,2990.0,669.0,485.0,403.0,1461.0,1015307.0,3138.0,505.0
2020-04-28,3664.0,769.0,642.0,474.0,1662.0,1014480.0,3732.0,594.0
2020-04-29,4298.0,907.0,744.0,582.0,2018.0,1013319.0,4475.0,743.0
2020-04-30,5087.0,1098.0,861.0,664.0,2406.0,1012389.0,5324.0,849.0
2020-05-01,5881.0,1295.0,1029.0,810.0,2821.0,1010524.0,6346.0,1022.0
2020-05-02,7000.0,1502.0,1179.0,981.0,3463.0,1007996.0,7489.0,1143.0
