time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,970407.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,1.0,971187.0,0.0,0.0
2020-03-08,3.0,1.0,1.0,0.0,1.0,978493.0,0.0,0.0
2020-03-09,2.0,2.0,1.0,0.0,1.0,987460.0,0.0,0.0
2020-03-10,1.0,1.0,1.0,1.0,1.0,992274.0,1.0,1.0
2020-03-11,3.0,0.0,1.0,1.0,2.0,997088.0,1.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,3.0,1000820.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1003204.0,2.0,1.0
2020-03-14,1.0,0.0,0.0,0.0,2.0,1005010.0,2.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,2.0,1007532.0,2.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,2.0,1009535.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1009404.0,2.0,0.0
2020-03-18,2.0,0.0,1.0,0.0,2.0,1010811.0,2.0,0.0
2020-03-19,2.0,0.0,1.0,0.0,1.0,1011912.0,2.0,0.0
2020-03-20,2.0,0.0,0.0,1.0,2.0,1012321.0,2.0,0.0
2020-03-21,2.0,0.0,0.0,0.0,1.0,1012556.0,2.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,2.0,1013684.0,2.0,0.0
2020-03-23,1.0,0.0,1.0,0.0,2.0,1012880.0,2.0,0.0
2020-03-24,4.0,1.0,1.0,0.0,2.0,1013367.0,2.0,0.0
2020-03-25,6.0,1.0,0.0,1.0,1.0,1013505.0,2.0,0.0
2020-03-26,9.0,1.0,1.0,1.0,1.0,1014466.0,3.0,1.0
2020-03-27,9.0,2.0,2.0,1.0,2.0,1015770.0,4.0,1.0
2020-03-28,11.0,2.0,2.0,2.0,2.0,1016262.0,4.0,0.0
2020-03-29,17.0,3.0,2.0,3.0,3.0,1016984.0,7.0,3.0
2020-03-30,17.0,3.0,2.0,3.0,4.0,1017057.0,10.0,3.0
2020-03-31,20.0,6.0,1.0,3.0,9.0,1016453.0,15.0,5.0
2020-04-01,16.0,4.0,2.0,2.0,11.0,1016834.0,18.0,3.0
2020-04-02,16.0,2.0,5.0,1.0,16.0,1017316.0,21.0,3.0
2020-04-03,21.0,8.0,2.0,2.0,17.0,1017693.0,26.0,5.0
2020-04-04,34.0,4.0,6.0,2.0,27.0,1017847.0,29.0,3.0
2020-04-05,41.0,5.0,4.0,4.0,25.0,1017801.0,32.0,3.0
2020-04-06,32.0,14.0,5.0,4.0,28.0,1018656.0,42.0,10.0
2020-04-07,46.0,15.0,10.0,8.0,31.0,1018352.0,48.0,6.0
2020-04-08,65.0,18.0,12.0,11.0,25.0,1016574.0,58.0,10.0
2020-04-09,90.0,22.0,18.0,7.0,39.0,1015633.0,76.0,18.0
2020-04-10,113.0,19.0,20.0,15.0,34.0,1015847.0,92.0,16.0
2020-04-11,138.0,21.0,21.0,23.0,54.0,1017499.0,105.0,13.0
2020-04-12,133.0,26.0,20.0,19.0,66.0,1017081.0,126.0,21.0
2020-04-13,146.0,32.0,25.0,13.0,83.0,1016999.0,148.0,22.0
2020-04-14,192.0,41.0,30.0,22.0,110.0,1018560.0,177.0,29.0
2020-04-15,229.0,43.0,37.0,26.0,124.0,1018176.0,211.0,34.0
2020-04-16,260.0,53.0,44.0,30.0,144.0,1018536.0,260.0,49.0
2020-04-17,324.0,66.0,64.0,35.0,159.0,1019032.0,316.0,56.0
2020-04-18,370.0,94.0,68.0,54.0,177.0,1019124.0,388.0,72.0
2020-04-19,451.0,99.0,71.0,68.0,217.0,1018980.0,478.0,90.0
2020-04-20,541.0,101.0,95.0,83.0,242.0,1019811.0,554.0,76.0
2020-04-21,617.0,122.0,108.0,95.0,288.0,1020286.0,663.0,109.0
2020-04-22,749.0,183.0,123.0,93.0,360.0,1019064.0,792.0,129.0
2020-04-23,853.0,203.0,148.0,126.0,422.0,1019537.0,962.0,170.0
2020-04-24,1000.0,205.0,182.0,140.0,516.0,1019530.0,1122.0,160.0
2020-04-25,1202.0,245.0,222.0,187.0,600.0,1019007.0,1311.0,189.0
2020-04-26,1453.0,324.0,254.0,190.0,735.0,1018721.0,1577.0,266.0
2020-04-27,1749.0,396.0,300.0,265.0,840.0,1017171.0,1895.0,318.0
2020-04-28,2105.0,480.0,355.0,293.0,997.0,1017479.0,2275.0,380.0
2020-04-29,2628.0,543.0,391.0,347.0,1203.0,1016506.0,2675.0,400.0
2020-04-30,3049.0,614.0,513.0,420.0,1467.0,1016239.0,3160.0,485.0
2020-05-01,3604.0,734.0,604.0,480.0,1758.0,1014197.0,3800.0,640.0
2020-05-02,4314.0,884.0,689.0,544.0,2136.0,1013183.0,4478.0,678.0
2020-05-03,5092.0,1096.0,843.0,663.0,2488.0,1013306.0,5360.0,882.0
2020-05-04,6139.0,1319.0,1006.0,810.0,2931.0,1010453.0,6408.0,1048.0
2020-05-05,7275.0,1621.0,1227.0,908.0,3556.0,1008551.0,7675.0,1267.0
2020-05-06,8670.0,1945.0,1416.0,1224.0,4151.0,1005879.0,9152.0,1477.0
2020-05-07,10343.0,2199.0,1726.0,1410.0,4938.0,1002068.0,10837.0,1685.0
2020-05-08,12218.0,2571.0,2006.0,1650.0,5947.0,998881.0,12861.0,2024.0
2020-05-09,14314.0,3104.0,2426.0,1931.0,7198.0,994468.0,15314.0,2453.0
2020-05-10,16689.0,3678.0,2906.0,2246.0,8447.0,989065.0,18206.0,2892.0
2020-05-11,19867.0,4294.0,3381.0,2637.0,10111.0,982819.0,21514.0,3308.0
2020-05-12,23485.0,4967.0,4102.0,3097.0,12167.0,974782.0,25451.0,3937.0
2020-05-13,27589.0,5986.0,4597.0,3798.0,14342.0,966580.0,30068.0,4617.0
2020-05-14,32654.0,7065.0,5590.0,4381.0,16706.0,956885.0,35538.0,5470.0
2020-05-15,38322.0,8400.0,6518.0,5322.0,19944.0,945296.0,42084.0,6546.0
2020-05-16,44422.0,9793.0,7678.0,5991.0,23546.0,933195.0,49659.0,7575.0
2020-05-17,51876.0,11125.0,9148.0,7090.0,27628.0,916794.0,58373.0,8714.0
2020-05-18,60064.0,13164.0,10824.0,8354.0,32795.0,898594.0,68670.0,10297.0
2020-05-19,69304.0,15476.0,12495.0,9993.0,38617.0,878479.0,80608.0,11938.0
2020-05-20,79877.0,17721.0,14612.0,11673.0,45570.0,854820.0,94416.0,13808.0
