time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,969970.0,0.0,0.0
2020-03-07,3.0,0.0,3.0,0.0,0.0,972750.0,0.0,0.0
2020-03-08,2.0,0.0,2.0,1.0,0.0,980105.0,1.0,1.0
2020-03-09,5.0,0.0,0.0,1.0,2.0,986470.0,1.0,0.0
2020-03-10,1.0,1.0,0.0,0.0,2.0,992284.0,2.0,1.0
2020-03-11,1.0,0.0,1.0,0.0,0.0,997435.0,2.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1001095.0,2.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003740.0,2.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1007259.0,2.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,0.0,1007924.0,2.0,0.0
2020-03-16,1.0,0.0,1.0,0.0,0.0,1010030.0,3.0,1.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1010839.0,3.0,0.0
2020-03-18,0.0,0.0,1.0,0.0,0.0,1011444.0,4.0,1.0
2020-03-19,0.0,1.0,0.0,0.0,1.0,1010017.0,5.0,1.0
2020-03-20,0.0,1.0,0.0,0.0,1.0,1009360.0,5.0,0.0
2020-03-21,1.0,0.0,1.0,0.0,1.0,1010190.0,5.0,0.0
2020-03-22,2.0,1.0,2.0,2.0,1.0,1009851.0,6.0,1.0
2020-03-23,6.0,0.0,2.0,1.0,1.0,1010480.0,7.0,1.0
2020-03-24,5.0,1.0,1.0,0.0,1.0,1012639.0,10.0,3.0
2020-03-25,7.0,1.0,1.0,2.0,2.0,1012919.0,10.0,0.0
2020-03-26,4.0,2.0,2.0,1.0,5.0,1012255.0,13.0,3.0
2020-03-27,4.0,1.0,2.0,1.0,4.0,1013400.0,14.0,1.0
2020-03-28,5.0,1.0,1.0,1.0,4.0,1015186.0,14.0,0.0
2020-03-29,11.0,3.0,1.0,1.0,6.0,1014794.0,16.0,2.0
2020-03-30,15.0,2.0,1.0,3.0,4.0,1014580.0,21.0,5.0
2020-03-31,15.0,2.0,1.0,2.0,7.0,1014607.0,24.0,3.0
2020-04-01,20.0,4.0,1.0,2.0,10.0,1016556.0,26.0,2.0
2020-04-02,23.0,5.0,2.0,3.0,13.0,1016453.0,31.0,5.0
2020-04-03,34.0,7.0,6.0,4.0,16.0,1017260.0,36.0,5.0
2020-04-04,41.0,6.0,4.0,7.0,17.0,1016978.0,41.0,5.0
2020-04-05,39.0,9.0,7.0,4.0,22.0,1017122.0,49.0,8.0
2020-04-06,48.0,12.0,3.0,5.0,30.0,1017251.0,57.0,8.0
2020-04-07,53.0,17.0,7.0,7.0,32.0,1016837.0,68.0,11.0
2020-04-08,60.0,14.0,15.0,10.0,31.0,1016580.0,81.0,13.0
2020-04-09,81.0,14.0,15.0,14.0,38.0,1016553.0,90.0,9.0
2020-04-10,79.0,24.0,14.0,9.0,51.0,1016648.0,108.0,18.0
2020-04-11,111.0,31.0,16.0,13.0,65.0,1017529.0,127.0,19.0
2020-04-12,127.0,26.0,23.0,16.0,78.0,1017735.0,141.0,14.0
2020-04-13,159.0,28.0,21.0,18.0,77.0,1018657.0,159.0,18.0
2020-04-14,181.0,37.0,25.0,28.0,92.0,1018393.0,196.0,37.0
2020-04-15,179.0,53.0,49.0,28.0,107.0,1018432.0,246.0,50.0
