time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,969820.0,0.0,0.0
2020-03-07,5.0,1.0,1.0,1.0,0.0,972531.0,0.0,0.0
2020-03-08,5.0,0.0,0.0,0.0,1.0,979755.0,0.0,0.0
2020-03-09,4.0,1.0,0.0,0.0,1.0,986921.0,1.0,1.0
2020-03-10,2.0,1.0,0.0,0.0,1.0,991873.0,1.0,0.0
2020-03-11,2.0,2.0,0.0,0.0,0.0,996752.0,2.0,1.0
2020-03-12,2.0,0.0,1.0,1.0,0.0,1001433.0,2.0,0.0
2020-03-13,5.0,0.0,1.0,1.0,0.0,1003720.0,2.0,0.0
2020-03-14,3.0,0.0,0.0,2.0,1.0,1005814.0,2.0,0.0
2020-03-15,2.0,2.0,0.0,1.0,2.0,1008191.0,4.0,2.0
2020-03-16,3.0,2.0,0.0,2.0,0.0,1009539.0,4.0,0.0
2020-03-17,5.0,1.0,2.0,0.0,2.0,1010634.0,5.0,1.0
2020-03-18,6.0,2.0,0.0,1.0,2.0,1009670.0,5.0,0.0
2020-03-19,5.0,1.0,0.0,1.0,2.0,1012212.0,6.0,1.0
2020-03-20,5.0,3.0,0.0,0.0,3.0,1012749.0,8.0,2.0
2020-03-21,6.0,3.0,4.0,0.0,2.0,1013134.0,12.0,4.0
2020-03-22,6.0,2.0,1.0,3.0,1.0,1013483.0,13.0,1.0
2020-03-23,9.0,4.0,1.0,0.0,2.0,1013863.0,15.0,2.0
2020-03-24,8.0,2.0,1.0,0.0,2.0,1014085.0,17.0,2.0
2020-03-25,8.0,1.0,2.0,2.0,4.0,1014699.0,19.0,2.0
2020-03-26,9.0,0.0,2.0,0.0,8.0,1015091.0,20.0,1.0
2020-03-27,12.0,0.0,4.0,2.0,7.0,1015943.0,20.0,0.0
2020-03-28,12.0,4.0,2.0,3.0,8.0,1016302.0,24.0,4.0
2020-03-29,18.0,3.0,2.0,3.0,10.0,1016049.0,26.0,2.0
2020-03-30,17.0,6.0,3.0,2.0,12.0,1016012.0,31.0,5.0
2020-03-31,17.0,6.0,6.0,2.0,13.0,1016530.0,36.0,5.0
2020-04-01,26.0,2.0,8.0,2.0,13.0,1016672.0,36.0,0.0
2020-04-02,34.0,7.0,12.0,3.0,17.0,1017450.0,44.0,8.0
2020-04-03,57.0,6.0,8.0,6.0,18.0,1017041.0,49.0,5.0
2020-04-04,54.0,8.0,4.0,4.0,22.0,1016877.0,57.0,8.0
2020-04-05,51.0,11.0,8.0,6.0,23.0,1016419.0,68.0,11.0
2020-04-06,53.0,17.0,7.0,3.0,23.0,1017579.0,84.0,16.0
2020-04-07,57.0,19.0,9.0,7.0,27.0,1017354.0,95.0,11.0
2020-04-08,67.0,12.0,12.0,7.0,32.0,1017751.0,103.0,8.0
2020-04-09,83.0,17.0,10.0,11.0,36.0,1017554.0,118.0,15.0
2020-04-10,112.0,18.0,14.0,15.0,50.0,1018095.0,126.0,8.0
2020-04-11,122.0,36.0,21.0,10.0,62.0,1018164.0,153.0,27.0
2020-04-12,160.0,42.0,32.0,18.0,53.0,1017629.0,180.0,27.0
2020-04-13,206.0,44.0,39.0,31.0,71.0,1018237.0,213.0,33.0
2020-04-14,277.0,49.0,43.0,33.0,97.0,1019056.0,250.0,37.0
2020-04-15,306.0,64.0,34.0,40.0,123.0,1019222.0,299.0,49.0
2020-04-16,347.0,77.0,53.0,41.0,166.0,1018468.0,357.0,58.0
2020-04-17,405.0,95.0,64.0,56.0,188.0,1019151.0,443.0,86.0
2020-04-18,456.0,92.0,78.0,62.0,224.0,1019432.0,517.0,74.0
2020-04-19,513.0,106.0,96.0,61.0,270.0,1018489.0,588.0,71.0
2020-04-20,595.0,135.0,92.0,83.0,290.0,1019679.0,691.0,103.0
2020-04-21,749.0,171.0,131.0,97.0,351.0,1019539.0,822.0,131.0
2020-04-22,885.0,174.0,156.0,110.0,395.0,1021352.0,967.0,145.0
2020-04-23,1066.0,223.0,165.0,140.0,516.0,1019115.0,1135.0,168.0
2020-04-24,1256.0,259.0,239.0,167.0,597.0,1020139.0,1348.0,213.0
2020-04-25,1481.0,304.0,268.0,235.0,723.0,1019643.0,1595.0,247.0
2020-04-26,1738.0,350.0,307.0,248.0,835.0,1019504.0,1885.0,290.0
2020-04-27,2120.0,421.0,339.0,277.0,1025.0,1017639.0,2187.0,302.0
2020-04-28,2503.0,514.0,442.0,305.0,1218.0,1017015.0,2598.0,411.0
2020-04-29,2961.0,682.0,487.0,373.0,1374.0,1015042.0,3136.0,538.0
2020-04-30,3492.0,758.0,613.0,427.0,1687.0,1015062.0,3726.0,590.0
2020-05-01,4046.0,938.0,699.0,558.0,1951.0,1013058.0,4443.0,717.0
2020-05-02,4901.0,1050.0,854.0,683.0,2361.0,1012276.0,5253.0,810.0
2020-05-03,5798.0,1226.0,971.0,796.0,2814.0,1010822.0,6216.0,963.0
2020-05-04,6852.0,1396.0,1201.0,893.0,3386.0,1008472.0,7342.0,1126.0
2020-05-05,8132.0,1727.0,1363.0,1095.0,3928.0,1005442.0,8706.0,1364.0
2020-05-06,9496.0,2075.0,1607.0,1261.0,4604.0,1004070.0,10366.0,1660.0
2020-05-07,11277.0,2370.0,1955.0,1555.0,5489.0,1001277.0,12202.0,1836.0
2020-05-08,13532.0,2925.0,2317.0,1916.0,6613.0,997245.0,14484.0,2282.0
2020-05-09,15877.0,3357.0,2669.0,2194.0,7877.0,991712.0,17122.0,2638.0
2020-05-10,18849.0,4078.0,3086.0,2509.0,9413.0,986171.0,20251.0,3129.0
2020-05-11,21771.0,4784.0,3690.0,3000.0,11007.0,979456.0,23965.0,3714.0
2020-05-12,25860.0,5607.0,4444.0,3458.0,13131.0,971782.0,28184.0,4219.0
2020-05-13,30284.0,6624.0,5332.0,4223.0,15263.0,961993.0,33392.0,5208.0
2020-05-14,35867.0,7742.0,6183.0,4947.0,18065.0,950767.0,39524.0,6132.0
2020-05-15,41742.0,9148.0,7358.0,5862.0,21650.0,938487.0,46679.0,7155.0
2020-05-16,48746.0,10581.0,8581.0,6869.0,25768.0,924594.0,54958.0,8279.0
2020-05-17,56507.0,12535.0,9994.0,7961.0,30379.0,906589.0,64693.0,9735.0
2020-05-18,65355.0,14517.0,11625.0,9240.0,35839.0,887592.0,75927.0,11234.0
2020-05-19,75279.0,16907.0,13429.0,10750.0,42368.0,865848.0,88955.0,13028.0
2020-05-20,86485.0,19379.0,15637.0,12626.0,49721.0,841767.0,103787.0,14832.0
2020-05-21,97740.0,22634.0,17914.0,14715.0,58702.0,812997.0,121060.0,17273.0
2020-05-22,110248.0,25519.0,20961.0,16788.0,68628.0,781974.0,140479.0,19419.0
2020-05-23,124141.0,28575.0,23727.0,19430.0,79923.0,748376.0,161857.0,21378.0
2020-05-24,137786.0,32028.0,27065.0,22319.0,92995.0,711834.0,186022.0,24165.0
2020-05-25,151291.0,35766.0,30201.0,25450.0,108486.0,674703.0,212931.0,26909.0
2020-05-26,165877.0,39501.0,33863.0,28454.0,125385.0,633255.0,242275.0,29344.0
2020-05-27,178080.0,43082.0,37561.0,31958.0,144921.0,590195.0,274428.0,32153.0
2020-05-28,189317.0,46821.0,41067.0,35569.0,166534.0,546928.0,308803.0,34375.0
2020-05-29,199370.0,49916.0,44367.0,38613.0,190469.0,503746.0,344924.0,36121.0
2020-05-30,206800.0,53180.0,47428.0,42113.0,216243.0,461499.0,383086.0,38162.0
2020-05-31,212373.0,55468.0,50758.0,45353.0,243748.0,419963.0,422418.0,39332.0
2020-06-01,215337.0,56735.0,53403.0,48456.0,273623.0,379488.0,462399.0,39981.0
2020-06-02,215384.0,57778.0,55141.0,51234.0,305053.0,341877.0,502845.0,40446.0
2020-06-03,212557.0,58197.0,56344.0,52968.0,339274.0,307517.0,543167.0,40322.0
