time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970217.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,972731.0,1.0,1.0
2020-03-08,0.0,0.0,0.0,0.0,1.0,980098.0,1.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,986580.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,2.0,993290.0,1.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,996809.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1000714.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1004181.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1006330.0,1.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,0.0,1008264.0,2.0,1.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1010621.0,2.0,0.0
2020-03-17,5.0,1.0,0.0,1.0,3.0,1010619.0,3.0,1.0
2020-03-18,5.0,0.0,1.0,1.0,2.0,1012539.0,3.0,0.0
2020-03-19,2.0,1.0,2.0,0.0,2.0,1012021.0,5.0,2.0
2020-03-20,3.0,0.0,2.0,0.0,1.0,1011554.0,5.0,0.0
2020-03-21,5.0,0.0,2.0,0.0,0.0,1013103.0,6.0,1.0
2020-03-22,5.0,2.0,1.0,0.0,1.0,1013793.0,8.0,2.0
2020-03-23,6.0,3.0,3.0,0.0,0.0,1014291.0,11.0,3.0
2020-03-24,6.0,2.0,3.0,1.0,1.0,1014259.0,13.0,2.0
2020-03-25,10.0,2.0,3.0,2.0,2.0,1015092.0,15.0,2.0
2020-03-26,10.0,2.0,0.0,4.0,5.0,1014036.0,17.0,2.0
2020-03-27,10.0,3.0,0.0,3.0,5.0,1014533.0,19.0,2.0
2020-03-28,19.0,3.0,3.0,2.0,6.0,1014270.0,20.0,1.0
2020-03-29,21.0,6.0,2.0,1.0,6.0,1014387.0,25.0,5.0
2020-03-30,20.0,5.0,4.0,6.0,6.0,1014265.0,29.0,4.0
2020-03-31,25.0,2.0,5.0,2.0,7.0,1014473.0,32.0,3.0
2020-04-01,25.0,6.0,6.0,4.0,11.0,1015531.0,39.0,7.0
2020-04-02,22.0,7.0,2.0,6.0,11.0,1015779.0,44.0,5.0
2020-04-03,30.0,5.0,4.0,5.0,17.0,1016079.0,51.0,7.0
2020-04-04,34.0,8.0,6.0,8.0,17.0,1015086.0,59.0,8.0
2020-04-05,43.0,6.0,5.0,6.0,25.0,1014914.0,61.0,2.0
2020-04-06,41.0,13.0,4.0,5.0,28.0,1016276.0,73.0,12.0
2020-04-07,50.0,15.0,14.0,2.0,35.0,1018359.0,89.0,16.0
2020-04-08,68.0,13.0,11.0,10.0,38.0,1019106.0,94.0,5.0
2020-04-09,85.0,18.0,17.0,12.0,43.0,1018964.0,107.0,13.0
2020-04-10,103.0,19.0,17.0,10.0,48.0,1019327.0,121.0,14.0
2020-04-11,119.0,33.0,12.0,15.0,56.0,1020692.0,147.0,26.0
2020-04-12,152.0,30.0,19.0,23.0,67.0,1021626.0,171.0,24.0
2020-04-13,178.0,29.0,25.0,21.0,90.0,1020456.0,193.0,22.0
2020-04-14,185.0,51.0,38.0,22.0,86.0,1020121.0,233.0,40.0
2020-04-15,212.0,56.0,51.0,27.0,103.0,1020204.0,271.0,38.0
2020-04-16,253.0,60.0,51.0,32.0,146.0,1017886.0,310.0,39.0
2020-04-17,305.0,63.0,58.0,38.0,173.0,1019384.0,359.0,49.0
2020-04-18,408.0,86.0,65.0,63.0,199.0,1020183.0,431.0,72.0
2020-04-19,522.0,107.0,102.0,83.0,229.0,1018286.0,516.0,85.0
2020-04-20,623.0,118.0,107.0,94.0,300.0,1019020.0,621.0,105.0
2020-04-21,751.0,154.0,119.0,94.0,374.0,1019029.0,755.0,134.0
2020-04-22,838.0,181.0,134.0,126.0,415.0,1018987.0,899.0,144.0
2020-04-23,1017.0,235.0,183.0,139.0,503.0,1018740.0,1081.0,182.0
2020-04-24,1168.0,231.0,209.0,173.0,615.0,1017411.0,1277.0,196.0
2020-04-25,1362.0,307.0,211.0,186.0,695.0,1017604.0,1508.0,231.0
2020-04-26,1732.0,322.0,289.0,233.0,819.0,1017497.0,1760.0,252.0
2020-04-27,2047.0,447.0,326.0,271.0,1002.0,1017305.0,2108.0,348.0
2020-04-28,2421.0,540.0,401.0,312.0,1166.0,1017121.0,2505.0,397.0
2020-04-29,2962.0,587.0,486.0,360.0,1370.0,1017397.0,2960.0,455.0
2020-04-30,3383.0,697.0,578.0,435.0,1620.0,1015988.0,3555.0,595.0
2020-05-01,4000.0,830.0,675.0,535.0,1942.0,1013865.0,4241.0,686.0
2020-05-02,4800.0,1011.0,856.0,630.0,2275.0,1012693.0,5036.0,795.0
2020-05-03,5637.0,1168.0,964.0,754.0,2690.0,1011909.0,5970.0,934.0
2020-05-04,6734.0,1426.0,1132.0,905.0,3253.0,1009688.0,7062.0,1092.0
2020-05-05,7912.0,1691.0,1316.0,1028.0,3894.0,1006571.0,8363.0,1301.0
2020-05-06,9352.0,2027.0,1594.0,1209.0,4595.0,1003145.0,9929.0,1566.0
2020-05-07,10938.0,2400.0,1883.0,1456.0,5503.0,1000033.0,11801.0,1872.0
2020-05-08,13123.0,2743.0,2286.0,1694.0,6518.0,995160.0,13927.0,2126.0
2020-05-09,15378.0,3240.0,2597.0,2063.0,7689.0,992679.0,16479.0,2552.0
2020-05-10,17973.0,3886.0,3042.0,2448.0,9156.0,986557.0,19468.0,2989.0
2020-05-11,21312.0,4676.0,3647.0,2873.0,10984.0,979596.0,23013.0,3545.0
2020-05-12,25171.0,5515.0,4331.0,3418.0,13068.0,971488.0,27309.0,4296.0
2020-05-13,29647.0,6485.0,5114.0,4059.0,15455.0,963129.0,32264.0,4955.0
2020-05-14,34821.0,7748.0,6082.0,4791.0,18111.0,952412.0,38290.0,6026.0
2020-05-15,40773.0,9066.0,7333.0,5655.0,21606.0,939716.0,45283.0,6993.0
2020-05-16,47535.0,10396.0,8577.0,6553.0,25838.0,924757.0,53321.0,8038.0
2020-05-17,55286.0,12227.0,9836.0,7842.0,30264.0,908766.0,62750.0,9429.0
2020-05-18,64275.0,14224.0,11467.0,9149.0,35770.0,890420.0,73675.0,10925.0
2020-05-19,74506.0,16500.0,13415.0,10865.0,42050.0,867926.0,86465.0,12790.0
2020-05-20,84915.0,19023.0,15348.0,12550.0,49464.0,842395.0,101084.0,14619.0
2020-05-21,96441.0,21890.0,17678.0,14456.0,58304.0,814788.0,117831.0,16747.0
2020-05-22,109566.0,24923.0,20572.0,16482.0,68349.0,783486.0,136755.0,18924.0
2020-05-23,122718.0,28138.0,23379.0,19077.0,79662.0,749926.0,158422.0,21667.0
2020-05-24,136898.0,31465.0,26537.0,21859.0,92873.0,713630.0,182427.0,24005.0
2020-05-25,150629.0,35358.0,30029.0,24682.0,108417.0,675261.0,209025.0,26598.0
2020-05-26,164377.0,39395.0,33179.0,28091.0,125683.0,634909.0,238158.0,29133.0
2020-05-27,177820.0,43152.0,37036.0,31641.0,144913.0,592686.0,270111.0,31953.0
2020-05-28,188988.0,46548.0,40679.0,34940.0,166365.0,550280.0,304327.0,34216.0
2020-05-29,198899.0,49938.0,44118.0,38496.0,190146.0,506064.0,340620.0,36293.0
2020-05-30,206838.0,52482.0,47458.0,42107.0,215736.0,461924.0,378393.0,37773.0
2020-05-31,211701.0,55034.0,50399.0,45381.0,243704.0,420486.0,417604.0,39211.0
2020-06-01,214481.0,57090.0,52834.0,48448.0,274176.0,379712.0,457707.0,40103.0
2020-06-02,214598.0,57825.0,54503.0,50750.0,306189.0,341663.0,498129.0,40422.0
2020-06-03,212261.0,58154.0,55871.0,53256.0,339461.0,306774.0,538289.0,40160.0
2020-06-04,207452.0,57794.0,56612.0,54625.0,374679.0,274801.0,577756.0,39467.0
2020-06-05,200037.0,56384.0,56681.0,55414.0,411151.0,247243.0,616026.0,38270.0
2020-06-06,190892.0,54802.0,55991.0,55837.0,447752.0,222407.0,652748.0,36722.0
2020-06-07,179930.0,52995.0,54821.0,55681.0,483513.0,199552.0,688056.0,35308.0
2020-06-08,169460.0,50364.0,52803.0,54570.0,520169.0,180571.0,720781.0,32725.0
2020-06-09,157563.0,47929.0,50857.0,53254.0,554537.0,163805.0,751945.0,31164.0
2020-06-10,145765.0,44854.0,48696.0,50982.0,589338.0,148672.0,780712.0,28767.0
2020-06-11,134115.0,41690.0,45827.0,48944.0,620189.0,136362.0,807400.0,26688.0
2020-06-12,122848.0,38548.0,42550.0,46810.0,649513.0,125550.0,831775.0,24375.0
2020-06-13,111930.0,35205.0,39854.0,44106.0,679014.0,115961.0,853930.0,22155.0
2020-06-14,101259.0,32255.0,36744.0,41207.0,704485.0,108522.0,874283.0,20353.0
2020-06-15,91453.0,29333.0,33593.0,38275.0,729751.0,101622.0,892562.0,18279.0
2020-06-16,82455.0,26435.0,30789.0,35358.0,754216.0,96248.0,908979.0,16417.0
2020-06-17,73762.0,24032.0,27883.0,32569.0,775843.0,91462.0,923871.0,14892.0
2020-06-18,66173.0,21596.0,25239.0,29533.0,797253.0,86728.0,937066.0,13195.0
2020-06-19,59161.0,19408.0,23018.0,26847.0,814905.0,82690.0,949025.0,11959.0
2020-06-20,52776.0,17523.0,20871.0,24396.0,832153.0,79411.0,959700.0,10675.0
2020-06-21,46872.0,15534.0,18891.0,21913.0,846918.0,76707.0,969248.0,9548.0
2020-06-22,41773.0,13748.0,16864.0,20103.0,859845.0,74158.0,977767.0,8519.0
2020-06-23,37029.0,12139.0,15088.0,17992.0,872582.0,71985.0,985292.0,7525.0
2020-06-24,32722.0,10785.0,13249.0,16198.0,883203.0,70332.0,991831.0,6539.0
2020-06-25,29198.0,9656.0,11878.0,14280.0,893628.0,68841.0,997554.0,5723.0
2020-06-26,25933.0,8662.0,10546.0,12856.0,902535.0,67496.0,1002864.0,5310.0
2020-06-27,22743.0,7752.0,9492.0,11454.0,910482.0,66474.0,1007617.0,4753.0
2020-06-28,20277.0,6862.0,8264.0,10180.0,916939.0,65393.0,1011773.0,4156.0
