time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970684.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,1.0,0.0,972074.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979454.0,0.0,0.0
2020-03-09,0.0,1.0,0.0,1.0,0.0,985963.0,1.0,1.0
2020-03-10,0.0,0.0,1.0,0.0,1.0,992142.0,1.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,1.0,996718.0,1.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,1.0,998784.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1001216.0,1.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,1.0,1003641.0,1.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,1.0,1006024.0,1.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,1.0,1006953.0,1.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,0.0,1007778.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,1010009.0,1.0,0.0
2020-03-19,0.0,2.0,0.0,0.0,1.0,1012598.0,2.0,1.0
2020-03-20,3.0,0.0,1.0,0.0,1.0,1013193.0,2.0,0.0
2020-03-21,5.0,0.0,1.0,0.0,1.0,1013228.0,3.0,1.0
2020-03-22,6.0,0.0,1.0,0.0,3.0,1013255.0,3.0,0.0
2020-03-23,5.0,2.0,2.0,0.0,3.0,1013813.0,5.0,2.0
2020-03-24,8.0,1.0,2.0,1.0,3.0,1013549.0,6.0,1.0
2020-03-25,12.0,1.0,0.0,2.0,5.0,1012463.0,7.0,1.0
2020-03-26,16.0,3.0,2.0,3.0,6.0,1014248.0,9.0,2.0
2020-03-27,21.0,2.0,5.0,3.0,5.0,1014654.0,11.0,2.0
2020-03-28,24.0,4.0,4.0,2.0,8.0,1015143.0,15.0,4.0
2020-03-29,28.0,5.0,2.0,1.0,7.0,1015204.0,19.0,4.0
2020-03-30,28.0,3.0,3.0,2.0,10.0,1015381.0,24.0,5.0
2020-03-31,26.0,5.0,5.0,3.0,11.0,1015823.0,29.0,5.0
2020-04-01,32.0,6.0,5.0,7.0,14.0,1016213.0,33.0,4.0
2020-04-02,38.0,8.0,5.0,9.0,15.0,1017170.0,44.0,11.0
2020-04-03,48.0,8.0,6.0,6.0,21.0,1017314.0,47.0,3.0
2020-04-04,50.0,10.0,7.0,4.0,28.0,1018906.0,57.0,10.0
2020-04-05,49.0,11.0,8.0,4.0,34.0,1019972.0,66.0,9.0
2020-04-06,56.0,20.0,9.0,6.0,38.0,1018272.0,75.0,9.0
2020-04-07,73.0,25.0,9.0,12.0,43.0,1018474.0,89.0,14.0
2020-04-08,101.0,18.0,17.0,14.0,61.0,1018424.0,104.0,15.0
2020-04-09,101.0,23.0,17.0,12.0,75.0,1017727.0,127.0,23.0
2020-04-10,137.0,26.0,29.0,22.0,68.0,1018245.0,148.0,21.0
2020-04-11,179.0,34.0,26.0,32.0,87.0,1016756.0,174.0,26.0
2020-04-12,212.0,38.0,25.0,34.0,101.0,1016579.0,206.0,32.0
2020-04-13,266.0,42.0,35.0,29.0,129.0,1017526.0,232.0,26.0
2020-04-14,299.0,56.0,48.0,30.0,143.0,1017932.0,282.0,50.0
2020-04-15,334.0,67.0,51.0,43.0,170.0,1018838.0,338.0,56.0
2020-04-16,380.0,87.0,68.0,53.0,211.0,1018507.0,404.0,66.0
2020-04-17,464.0,99.0,70.0,59.0,235.0,1019184.0,468.0,64.0
2020-04-18,514.0,100.0,89.0,77.0,276.0,1018486.0,565.0,97.0
2020-04-19,595.0,113.0,113.0,85.0,320.0,1018541.0,657.0,92.0
2020-04-20,737.0,157.0,119.0,105.0,379.0,1019179.0,770.0,113.0
2020-04-21,866.0,184.0,150.0,115.0,462.0,1019053.0,934.0,164.0
2020-04-22,1026.0,227.0,195.0,134.0,538.0,1018443.0,1117.0,183.0
2020-04-23,1226.0,250.0,202.0,168.0,626.0,1018604.0,1310.0,193.0
2020-04-24,1529.0,296.0,269.0,222.0,736.0,1017841.0,1558.0,248.0
2020-04-25,1816.0,385.0,308.0,238.0,896.0,1016671.0,1862.0,304.0
2020-04-26,2112.0,477.0,366.0,272.0,1057.0,1015905.0,2224.0,362.0
2020-04-27,2561.0,567.0,419.0,344.0,1252.0,1015914.0,2659.0,435.0
2020-04-28,3034.0,616.0,497.0,423.0,1495.0,1015509.0,3131.0,472.0
2020-04-29,3551.0,743.0,571.0,484.0,1703.0,1014372.0,3742.0,611.0
2020-04-30,4137.0,867.0,722.0,551.0,2041.0,1013015.0,4475.0,733.0
2020-05-01,4888.0,1097.0,788.0,648.0,2406.0,1011699.0,5291.0,816.0
2020-05-02,5883.0,1263.0,993.0,783.0,2886.0,1010161.0,6264.0,973.0
2020-05-03,6931.0,1458.0,1164.0,927.0,3410.0,1008469.0,7441.0,1177.0
2020-05-04,8244.0,1782.0,1391.0,1062.0,4045.0,1006448.0,8890.0,1449.0
2020-05-05,9827.0,2088.0,1701.0,1328.0,4810.0,1003627.0,10584.0,1694.0
2020-05-06,11563.0,2590.0,1898.0,1616.0,5812.0,999773.0,12620.0,2036.0
2020-05-07,13877.0,2985.0,2313.0,1785.0,6938.0,996072.0,14900.0,2280.0
2020-05-08,16177.0,3511.0,2717.0,2152.0,8237.0,990676.0,17615.0,2715.0
2020-05-09,19273.0,4163.0,3278.0,2578.0,9845.0,985733.0,20936.0,3321.0
2020-05-10,22666.0,5033.0,3898.0,3018.0,11621.0,978870.0,24891.0,3955.0
2020-05-11,26774.0,5864.0,4634.0,3580.0,13785.0,968468.0,29378.0,4487.0
2020-05-12,31481.0,6809.0,5495.0,4319.0,16234.0,959475.0,34705.0,5327.0
2020-05-13,36764.0,8115.0,6436.0,4994.0,19199.0,948559.0,40998.0,6293.0
2020-05-14,43051.0,9680.0,7526.0,5899.0,22670.0,934898.0,48385.0,7387.0
2020-05-15,50103.0,10961.0,8701.0,7010.0,26867.0,920728.0,56716.0,8331.0
2020-05-16,58071.0,12813.0,10286.0,8230.0,31809.0,904409.0,66755.0,10039.0
2020-05-17,67209.0,15012.0,11718.0,9632.0,37515.0,883249.0,78260.0,11505.0
2020-05-18,77349.0,17329.0,13896.0,11254.0,44356.0,859759.0,91462.0,13202.0
2020-05-19,88763.0,20016.0,16064.0,13053.0,52197.0,833709.0,106773.0,15311.0
2020-05-20,100973.0,22789.0,18877.0,15205.0,60993.0,806542.0,124258.0,17485.0
2020-05-21,113548.0,25940.0,21408.0,17399.0,71943.0,774855.0,143914.0,19656.0
2020-05-22,128019.0,29576.0,24374.0,20076.0,83553.0,739188.0,166302.0,22388.0
2020-05-23,141358.0,32930.0,27620.0,22950.0,97578.0,701020.0,191066.0,24764.0
2020-05-24,155110.0,36771.0,30918.0,25879.0,113192.0,661820.0,218674.0,27608.0
2020-05-25,168819.0,40210.0,34713.0,29344.0,130738.0,619480.0,248585.0,29911.0
2020-05-26,181464.0,43954.0,38187.0,32667.0,151224.0,576527.0,281158.0,32573.0
2020-05-27,192077.0,47557.0,42136.0,36361.0,172606.0,532407.0,315968.0,34810.0
2020-05-28,201318.0,50872.0,45190.0,40019.0,197330.0,488156.0,352590.0,36622.0
2020-05-29,208622.0,53350.0,48606.0,43332.0,224180.0,444999.0,390908.0,38318.0
2020-05-30,213941.0,55820.0,51199.0,46677.0,253910.0,403906.0,430615.0,39707.0
2020-05-31,215579.0,57114.0,53950.0,49300.0,285696.0,365160.0,470719.0,40104.0
2020-06-01,214159.0,57865.0,55485.0,52026.0,317999.0,329229.0,511078.0,40359.0
2020-06-02,210935.0,57991.0,56530.0,54193.0,352181.0,294406.0,551157.0,40079.0
2020-06-03,205292.0,57513.0,56791.0,55311.0,387762.0,263797.0,590385.0,39228.0
2020-06-04,197420.0,56496.0,56762.0,56037.0,424221.0,236636.0,628422.0,38037.0
2020-06-05,187309.0,54274.0,56424.0,56202.0,460317.0,212312.0,664737.0,36315.0
2020-06-06,177020.0,51964.0,54768.0,55534.0,496763.0,190881.0,698821.0,34084.0
2020-06-07,165593.0,49250.0,52647.0,54236.0,532896.0,172554.0,731362.0,32541.0
2020-06-08,153194.0,46728.0,50045.0,52997.0,568193.0,156768.0,761501.0,30139.0
2020-06-09,140648.0,43224.0,47979.0,50621.0,601946.0,142537.0,789355.0,27854.0
2020-06-10,129378.0,39762.0,44806.0,48313.0,633057.0,130781.0,814887.0,25532.0
2020-06-11,118105.0,36782.0,41597.0,45417.0,664097.0,120535.0,838296.0,23409.0
2020-06-12,106965.0,33879.0,38442.0,42812.0,692298.0,111859.0,859539.0,21243.0
2020-06-13,97042.0,30645.0,35202.0,39853.0,719481.0,104683.0,878788.0,19249.0
2020-06-14,87110.0,28055.0,32140.0,36960.0,744148.0,98337.0,896432.0,17644.0
2020-06-15,78318.0,25408.0,29454.0,33858.0,767840.0,92822.0,912076.0,15644.0
2020-06-16,69887.0,22644.0,26708.0,30706.0,788662.0,88018.0,926172.0,14096.0
2020-06-17,62260.0,20361.0,24075.0,28137.0,807968.0,84050.0,938625.0,12453.0
2020-06-18,55390.0,18306.0,21672.0,25491.0,825292.0,80179.0,949935.0,11310.0
2020-06-19,49312.0,16379.0,19543.0,23021.0,841499.0,77442.0,959999.0,10064.0
2020-06-20,43552.0,14636.0,17652.0,20787.0,856413.0,74723.0,968893.0,8894.0
2020-06-21,38593.0,13023.0,15709.0,18956.0,869196.0,72624.0,976824.0,7931.0
2020-06-22,34093.0,11387.0,14023.0,16903.0,881827.0,70493.0,983724.0,6900.0
2020-06-23,30253.0,10217.0,12399.0,14741.0,892057.0,68865.0,989896.0,6172.0
2020-06-24,26746.0,9101.0,10941.0,13246.0,900279.0,67643.0,995392.0,5496.0
2020-06-25,23691.0,7880.0,9727.0,11800.0,907421.0,66231.0,1000060.0,4668.0
2020-06-26,20919.0,7065.0,8580.0,10518.0,914009.0,65318.0,1004409.0,4349.0
2020-06-27,18507.0,6349.0,7637.0,9288.0,920621.0,64461.0,1008202.0,3793.0
2020-06-28,16236.0,5539.0,6815.0,8207.0,926251.0,63550.0,1011479.0,3277.0
2020-06-29,14295.0,4828.0,5967.0,7402.0,931022.0,62905.0,1014336.0,2857.0
2020-06-30,12583.0,4341.0,5198.0,6469.0,935958.0,62327.0,1016884.0,2548.0
2020-07-01,11082.0,3755.0,4642.0,5646.0,940349.0,61961.0,1019096.0,2212.0
2020-07-02,9828.0,3428.0,4091.0,5061.0,944477.0,61349.0,1021180.0,2084.0
2020-07-03,8569.0,3013.0,3580.0,4512.0,948649.0,60942.0,1022971.0,1791.0
2020-07-04,7430.0,2590.0,3228.0,3846.0,951728.0,60745.0,1024518.0,1547.0
2020-07-05,6539.0,2293.0,2830.0,3452.0,953677.0,60553.0,1025892.0,1374.0
2020-07-06,5833.0,1970.0,2469.0,3049.0,956462.0,60508.0,1027062.0,1170.0
